Lamar,304,Idaho State,2320
5:00,2320,Torey Noel missed Three Point Jumper.,19,33
5:00,2320,Colton Weisbrod Offensive Rebound.,19,33
4:54,304,Foul on Stephen Lennox.,19,33
4:54,2320,Colton Weisbrod made Free Throw.,20,33
4:54,2320,Colton Weisbrod made Free Throw.,21,33
4:45,304,Ethan Telfair missed Jumper.,21,33
4:45,2320,Colton Weisbrod Defensive Rebound.,21,33
4:10,2320,Marcus Owens Turnover.,21,33
3:50,304,Novak Topalovic missed Jumper.,21,33
3:50,2320,Marcus Owens Defensive Rebound.,21,33
3:27,304,Foul on Geno Luzcando.,21,33
3:27,304,Official TV Timeout,21,33
3:27,2320,Nick Garth made Free Throw.,22,33
3:27,2320,Nick Garth made Free Throw.,23,33
3:06,304,Geno Luzcando made Three Point Jumper. Assisted by Brandon Boyd.,23,36
2:32,2320,Cameron McGee missed Three Point Jumper.,23,36
2:32,304,Robert Jones III Defensive Rebound.,23,36
2:28,2320,Foul on Marcus Owens.,23,36
2:26,304,Robert Jones III missed Free Throw.,23,36
2:26,304,Idaho State Deadball Team Rebound.,23,36
2:26,304,Robert Jones III missed Free Throw.,23,36
2:26,2320,Colton Weisbrod Defensive Rebound.,23,36
2:07,2320,Torey Noel made Jumper.,25,36
1:49,304,Novak Topalovic Turnover.,25,36
1:32,2320,Christian Albright missed Jumper.,25,36
1:32,304,Robert Jones III Block.,25,36
1:29,304,Idaho State Defensive Rebound.,25,36
1:04,304,Geno Luzcando missed Three Point Jumper.,25,36
1:04,2320,Colton Weisbrod Defensive Rebound.,25,36
0:53,304,Foul on Geno Luzcando.,25,36
0:53,2320,Nick Garth made Free Throw.,26,36
0:53,2320,Nick Garth made Free Throw.,27,36
0:53,2320,Nick Garth made Free Throw.,28,36
0:30,2320,Foul on Cameron McGee.,28,36
0:30,304,Idaho State  Timeout,28,36
0:30,304,Ethan Telfair made Free Throw.,28,37
0:30,304,Ethan Telfair missed Free Throw.,28,37
0:30,2320,Colton Weisbrod Defensive Rebound.,28,37
0:07,2320,Nick Garth missed Three Point Jumper.,28,37
0:07,2320,Christian Albright Offensive Rebound.,28,37
0:02,2320,Christian Albright missed Two Point Tip Shot.,28,37
0:02,2320,Colton Weisbrod Offensive Rebound.,28,37
0:00,304,End of 1st half,28,37
19:49,304,Gary Chivichyan made Layup. Assisted by Ethan Telfair.,28,39
19:40,2320,Torey Noel missed Layup.,28,39
19:40,304,Novak Topalovic Block.,28,39
19:40,2320,Lamar Offensive Rebound.,28,39
19:39,2320,Colton Weisbrod made Layup. Assisted by Torey Noel.,30,39
19:39,304,Foul on Novak Topalovic.,30,39
