Baton Rouge,158,Nebraska,2582
9:52,2582,Isaiah Fontaine missed Jumper.,16,25
9:52,2582,JaMarcus Weatherspoon Offensive Rebound.,16,25
9:48,2582,JaMarcus Weatherspoon missed Jumper.,16,25
9:48,158,Jack McVeigh Block.,16,25
9:44,158,Jack McVeigh Defensive Rebound.,16,25
9:41,158,Jack McVeigh Turnover.,16,25
9:36,2582,Patrick Smith made Jumper.,18,25
9:16,158,Glynn Watson Jr. made Jumper.,18,27
9:00,2582,Patrick Smith missed Jumper.,18,27
9:00,158,Ed Morrow Defensive Rebound.,18,27
8:53,158,Tai Webster Turnover.,18,27
8:53,2582,JaMarcus Weatherspoon Steal.,18,27
8:47,158,Foul on Glynn Watson Jr..,18,27
8:36,2582,JaMarcus Weatherspoon made Free Throw.,19,27
8:36,2582,JaMarcus Weatherspoon made Free Throw.,20,27
8:15,158,Foul on Tai Webster.,20,27
8:15,158,Tai Webster Turnover.,20,27
8:04,2582,Tre'lun Banks missed Jumper.,20,27
8:04,158,Michael Jacobson Defensive Rebound.,20,27
7:59,158,Ed Morrow Turnover.,20,27
7:59,158,Official TV Timeout,20,27
7:45,2582,Shawn Prudhomme missed Three Point Jumper.,20,27
7:45,2582,Chris Thomas Offensive Rebound.,20,27
7:40,2582,Chris Thomas Turnover.,20,27
7:39,158,Glynn Watson Jr. Steal.,20,27
7:37,158,Glynn Watson Jr. Turnover.,20,27
7:35,2582,Tre'lun Banks Steal.,20,27
7:33,2582,Jared Sam made Dunk. Assisted by Tre'lun Banks.,22,27
7:12,158,Ed Morrow missed Jumper.,22,27
7:12,2582,JaMarcus Weatherspoon Defensive Rebound.,22,27
7:04,2582,Chris Thomas missed Jumper.,22,27
7:04,158,Michael Jacobson Defensive Rebound.,22,27
6:39,158,Michael Jacobson made Jumper.,22,29
6:22,2582,JaMarcus Weatherspoon missed Jumper.,22,29
6:22,158,Isaiah Roby Block.,22,29
6:21,158,Michael Jacobson Defensive Rebound.,22,29
6:10,158,Ed Morrow missed Jumper.,22,29
6:10,2582,Jared Sam Block.,22,29
6:08,2582,Tre'lun Banks Defensive Rebound.,22,29
6:05,158,Foul on Michael Jacobson.,22,29
6:05,2582,Shawn Prudhomme missed Free Throw.,22,29
6:05,2582,Southern Deadball Team Rebound.,22,29
6:05,2582,Shawn Prudhomme made Free Throw.,23,29
5:42,158,Jeriah Horne made Three Point Jumper. Assisted by Glynn Watson Jr..,23,32
5:28,2582,Tre'lun Banks made Jumper. Assisted by Emanual Shepherd.,25,32
5:15,158,Evan Taylor made Jumper.,25,34
5:07,2582,Shawn Prudhomme made Three Point Jumper. Assisted by Tre'lun Banks.,28,34
4:46,2582,Foul on Jared Sam.,28,34
4:46,158,Jordy Tshimanga missed Free Throw.,28,34
4:46,158,Nebraska Deadball Team Rebound.,28,34
4:46,158,Jordy Tshimanga missed Free Throw.,28,34
4:46,2582,Rashad Andrews Defensive Rebound.,28,34
4:19,2582,Shawn Prudhomme missed Jumper.,28,34
4:19,158,Jack McVeigh Defensive Rebound.,28,34
4:05,158,Jeriah Horne made Layup. Assisted by Tai Webster.,28,36
3:41,2582,Jared Sam missed Layup.,28,36
3:41,2582,Emanual Shepherd Offensive Rebound.,28,36
3:39,2582,Emanual Shepherd missed Jumper.,28,36
3:39,158,Jordy Tshimanga Defensive Rebound.,28,36
3:31,158,Jack McVeigh missed Three Point Jumper.,28,36
3:31,2582,Rashad Andrews Defensive Rebound.,28,36
3:21,2582,Emanual Shepherd made Jumper.,30,36
3:08,158,Jeriah Horne missed Three Point Jumper.,30,36
3:08,158,Jordy Tshimanga Offensive Rebound.,30,36
3:04,158,Jordy Tshimanga missed Jumper.,30,36
3:04,2582,Rashad Andrews Defensive Rebound.,30,36
2:51,2582,Shawn Prudhomme made Three Point Jumper. Assisted by Brendon Ganaway.,33,36
2:31,158,Jack McVeigh Turnover.,33,36
2:31,158,Official TV Timeout,33,36
2:23,2582,Rashad Andrews Turnover.,33,36
2:22,158,Jeriah Horne Steal.,33,36
2:12,158,Jeriah Horne Turnover.,33,36
2:11,2582,Emanual Shepherd Steal.,33,36
2:07,2582,Brendon Ganaway Turnover.,33,36
1:42,158,Glynn Watson Jr. missed Jumper.,33,36
1:42,158,Isaiah Roby Offensive Rebound.,33,36
1:34,158,Isaiah Roby made Jumper.,33,38
1:13,2582,Shawn Prudhomme missed Three Point Jumper.,33,38
1:13,158,Jeriah Horne Defensive Rebound.,33,38
0:50,2582,Foul on Isaiah Fontaine.,33,38
0:50,158,Ed Morrow made Free Throw.,33,39
0:50,158,Ed Morrow made Free Throw.,33,40
0:33,2582,Shawn Prudhomme missed Jumper.,33,40
0:33,158,Jeriah Horne Block.,33,40
0:30,2582,Shawn Prudhomme Offensive Rebound.,33,40
0:28,2582,Shawn Prudhomme missed Jumper.,33,40
0:28,158,Ed Morrow Defensive Rebound.,33,40
0:04,158,Foul on Glynn Watson Jr..,33,40
0:04,158,Glynn Watson Jr. Turnover.,33,40
0:00,2582,Brendon Ganaway made Three Point Jumper.,36,40
0:00,158,End of 1st half,36,40
19:47,2582,Jared Sam missed Jumper.,36,40
19:47,158,Ed Morrow Block.,36,40
19:45,158,Tai Webster Defensive Rebound.,36,40
19:30,158,Ed Morrow Turnover.,36,40
19:29,2582,Shawn Prudhomme Steal.,36,40
19:23,2582,Shawn Prudhomme missed Jumper.,36,40
19:23,158,Tai Webster Defensive Rebound.,36,40
19:11,158,Tai Webster Turnover.,36,40
19:00,2582,Shawn Prudhomme Turnover.,36,40
18:59,158,Evan Taylor Steal.,36,40
18:56,158,Evan Taylor missed Layup.,36,40
18:56,2582,Shawn Prudhomme Block.,36,40
18:54,2582,Rashad Andrews Defensive Rebound.,36,40
18:51,2582,Rashad Andrews made Jumper.,38,40
18:27,158,Michael Jacobson missed Three Point Jumper.,38,40
18:27,2582,Emanual Shepherd Defensive Rebound.,38,40
18:13,2582,Tre'lun Banks made Layup.,40,40
17:55,2582,Foul on Emanual Shepherd.,40,40
17:55,158,Michael Jacobson missed Free Throw.,40,40
17:55,158,Nebraska Deadball Team Rebound.,40,40
17:55,158,Michael Jacobson missed Free Throw.,40,40
17:55,2582,Emanual Shepherd Defensive Rebound.,40,40
17:29,2582,Jared Sam made Dunk. Assisted by Rashad Andrews.,42,40
17:25,158,Nebraska  Timeout,42,40
17:25,158,Official TV Timeout,42,40
17:07,2582,Foul on Emanual Shepherd.,42,40
17:07,158,Ed Morrow made Free Throw.,42,41
17:07,158,Ed Morrow missed Free Throw.,42,41
17:07,2582,Shawn Prudhomme Defensive Rebound.,42,41
16:48,2582,Tre'lun Banks missed Three Point Jumper.,42,41
16:48,2582,Rashad Andrews Offensive Rebound.,42,41
16:31,2582,Jared Sam Turnover.,42,41
16:09,158,Isaiah Roby missed Three Point Jumper.,42,41
16:09,2582,Jared Sam Defensive Rebound.,42,41
15:57,2582,Tre'lun Banks made Three Point Jumper.,45,41
15:39,2582,Foul on Emanual Shepherd.,45,41
15:39,158,Official TV Timeout,45,41
15:34,158,Glynn Watson Jr. made Three Point Jumper.,45,44
15:02,2582,Shawn Prudhomme Turnover.,45,44
15:01,158,Evan Taylor Steal.,45,44
14:57,2582,Foul on Rashad Andrews.,45,44
14:57,158,Ed Morrow missed Free Throw.,45,44
14:57,158,Nebraska Deadball Team Rebound.,45,44
14:57,158,Ed Morrow made Free Throw.,45,45
14:40,2582,Tre'lun Banks missed Jumper.,45,45
14:40,158,Tai Webster Defensive Rebound.,45,45
14:34,2582,Foul on Shawn Prudhomme.,45,45
14:34,158,Evan Taylor made Free Throw.,45,46
14:34,158,Evan Taylor made Free Throw.,45,47
14:18,2582,Jared Sam made Jumper.,47,47
13:59,158,Anton Gill missed Layup.,47,47
13:59,158,Anton Gill Offensive Rebound.,47,47
13:52,158,Anton Gill made Jumper.,47,49
13:45,2582,Foul on Patrick Smith.,47,49
13:45,2582,Patrick Smith Turnover.,47,49
13:39,2582,Foul on Shawn Prudhomme.,47,49
13:39,158,Evan Taylor made Free Throw.,47,50
13:39,158,Evan Taylor made Free Throw.,47,51
13:20,2582,Shawn Prudhomme made Jumper. Assisted by Tre'lun Banks.,49,51
13:12,158,Jordy Tshimanga Turnover.,49,51
12:53,2582,Tre'lun Banks made Layup.,51,51
12:42,158,Isaiah Roby missed Three Point Jumper.,51,51
