Evansville,150,Duke,339
4:33,150,Grayson Allen made Three Point Jumper. Assisted by Trevon Duval.,16,45
4:13,150,Jump Ball won by Duke,16,45
4:13,339,Blake Simmons Turnover.,16,45
4:13,150,Trevon Duval Steal.,16,45
3:58,150,Alex O'Connell missed Three Point Jumper.,16,45
3:58,150,Marvin Bagley III Offensive Rebound.,16,45
3:51,339,Foul on John Hall.,16,45
3:51,150,Official TV Timeout,16,45
3:51,150,Marvin Bagley III made Free Throw.,16,46
3:51,150,Marvin Bagley III missed Free Throw.,16,46
3:51,339,Evansville Defensive Rebound.,16,46
3:33,339,K.J. Riley missed Jumper.,16,46
3:33,150,Marvin Bagley III Defensive Rebound.,16,46
3:14,150,Wendell Carter Jr missed Jumper.,16,46
3:14,150,Marvin Bagley III Offensive Rebound.,16,46
3:10,339,Foul on Blake Simmons.,16,46
3:10,150,Marvin Bagley III made Free Throw.,16,47
3:10,150,Marvin Bagley III made Free Throw.,16,48
2:57,339,Dainius Chatkevicius made Dunk. Assisted by Noah Frederking.,18,48
2:47,150,Wendell Carter Jr made Jumper. Assisted by Trevon Duval.,18,50
2:07,339,Marty Hill missed Three Point Jumper.,18,50
2:07,150,Grayson Allen Defensive Rebound.,18,50
2:03,150,Marvin Bagley III missed Jumper.,18,50
2:03,339,Dainius Chatkevicius Defensive Rebound.,18,50
1:47,339,K.J. Riley Turnover.,18,50
1:47,150,Alex O'Connell Steal.,18,50
1:36,150,Wendell Carter Jr made Layup. Assisted by Grayson Allen.,18,52
1:36,339,Foul on Dainius Chatkevicius.,18,52
1:36,150,Wendell Carter Jr made Free Throw.,18,53
1:05,339,Evansville  Turnover.,18,53
0:55,150,Marvin Bagley III made Dunk. Assisted by Grayson Allen.,18,55
0:44,339,Marty Hill Turnover.,18,55
0:44,150,Gary Trent Jr Steal.,18,55
0:35,150,Grayson Allen made Three Point Jumper. Assisted by Jordan Goldwire.,18,58
0:14,150,Foul on Grayson Allen.,18,58
0:03,339,Dalen Traore missed Jumper.,18,58
0:03,150,Alex O'Connell Defensive Rebound.,18,58
0:00,150,End of 1st half,18,58
20:00,339,Jump Ball won by Evansville,18,58
19:38,150,Jump Ball won by Duke,18,58
19:38,339,Noah Frederking Turnover.,18,58
19:38,150,Gary Trent Jr Steal.,18,58
19:28,150,Wendell Carter Jr missed Three Point Jumper.,18,58
19:28,150,Marvin Bagley III Offensive Rebound.,18,58
19:23,339,Foul on John Hall.,18,58
19:15,150,Gary Trent Jr made Three Point Jumper. Assisted by Trevon Duval.,18,61
18:57,150,Foul on Trevon Duval.,18,61
18:50,339,Dainius Chatkevicius missed Layup.,18,61
18:50,150,Marvin Bagley III Block.,18,61
18:50,150,Wendell Carter Jr Defensive Rebound.,18,61
18:38,339,Foul on K.J. Riley.,18,61
18:35,150,Wendell Carter Jr made Three Point Jumper. Assisted by Gary Trent Jr.,18,64
18:16,339,Evan Kuhlman missed Three Point Jumper.,18,64
18:16,150,Grayson Allen Defensive Rebound.,18,64
18:05,150,Marvin Bagley III made Layup. Assisted by Grayson Allen.,18,66
17:57,339,Evansville  Timeout,18,66
17:54,339,Dainius Chatkevicius missed Layup.,18,66
17:54,150,Marvin Bagley III Defensive Rebound.,18,66
17:38,150,Wendell Carter Jr made Three Point Jumper. Assisted by Marvin Bagley III.,18,69
17:20,339,Evan Kuhlman made Three Point Jumper. Assisted by Noah Frederking.,21,69
17:04,150,Wendell Carter Jr made Dunk. Assisted by Trevon Duval.,21,71
16:40,339,Noah Frederking Turnover.,21,71
16:32,150,Gary Trent Jr made Three Point Jumper. Assisted by Marques Bolden.,21,74
16:08,339,Dainius Chatkevicius missed Layup.,21,74
16:08,150,Marques Bolden Defensive Rebound.,21,74
15:57,150,Official TV Timeout,21,74
15:56,150,Gary Trent Jr made Jumper. Assisted by Trevon Duval.,21,76
15:29,339,K.J. Riley missed Layup.,21,76
15:29,150,Marques Bolden Block.,21,76
15:29,150,Trevon Duval Defensive Rebound.,21,76
15:21,150,Alex O'Connell made Dunk. Assisted by Trevon Duval.,21,78
14:48,339,Blake Simmons made Three Point Jumper. Assisted by K.J. Riley.,24,78
14:29,339,Foul on K.J. Riley.,24,78
14:11,150,Marques Bolden missed Jumper.,24,78
14:11,339,Marty Hill Defensive Rebound.,24,78
14:00,339,Blake Simmons Turnover.,24,78
14:00,150,Gary Trent Jr Steal.,24,78
13:42,150,Justin Robinson missed Three Point Jumper.,24,78
13:42,339,K.J. Riley Defensive Rebound.,24,78
13:36,339,Marty Hill made Three Point Jumper. Assisted by K.J. Riley.,27,78
13:16,150,Alex O'Connell missed Three Point Jumper.,27,78
13:16,150,Marques Bolden Offensive Rebound.,27,78
13:10,150,Jordan Goldwire missed Three Point Jumper.,27,78
13:10,150,Marques Bolden Offensive Rebound.,27,78
13:05,150,Marques Bolden Turnover.,27,78
13:05,339,K.J. Riley Steal.,27,78
13:03,150,Foul on Marques Bolden.,27,78
12:51,339,John Hall missed Jumper.,27,78
12:51,150,Duke Defensive Rebound.,27,78
12:35,339,Foul on K.J. Riley.,27,78
12:35,150,Wendell Carter Jr made Free Throw.,27,79
12:35,150,Wendell Carter Jr made Free Throw.,27,80
12:25,339,John Hall missed Three Point Jumper.,27,80
12:25,150,Grayson Allen Defensive Rebound.,27,80
12:17,150,Grayson Allen missed Layup.,27,80
12:17,339,Blake Simmons Block.,27,80
