Delaware,2550,Seton Hall,48
5:36,48,Anthony Mosley made Free Throw.,18,26
5:23,2550,Khadeen Carrington Turnover.,18,26
5:22,48,Darian Bryant Steal.,18,26
5:14,48,Anthony Mosley Turnover.,18,26
5:14,2550,Madison Jones Steal.,18,26
5:10,2550,Myles Powell made Layup. Assisted by Madison Jones.,18,28
5:06,48,Delaware  Timeout,18,28
4:43,48,Darian Bryant made Layup.,20,28
4:29,2550,Myles Powell missed Three Point Jumper.,20,28
4:29,48,Cazmon Hayes Defensive Rebound.,20,28
4:14,48,Cazmon Hayes missed Layup.,20,28
4:14,2550,Myles Powell Defensive Rebound.,20,28
4:06,2550,Myles Powell Turnover.,20,28
4:05,48,Ryan Daly Steal.,20,28
3:43,48,Devonne Pinkard missed Three Point Jumper.,20,28
3:43,2550,Dalton Soffer Defensive Rebound.,20,28
3:34,2550,Khadeen Carrington missed Jumper.,20,28
3:34,2550,Michael Nzei Offensive Rebound.,20,28
3:29,2550,Dalton Soffer missed Three Point Jumper.,20,28
3:29,2550,Madison Jones Offensive Rebound.,20,28
3:25,2550,Madison Jones missed Layup.,20,28
3:25,48,Darian Bryant Defensive Rebound.,20,28
2:56,48,Cazmon Hayes made Jumper.,22,28
2:40,2550,Myles Powell missed Layup.,22,28
2:40,2550,Michael Nzei Offensive Rebound.,22,28
2:37,2550,Michael Nzei missed Layup.,22,28
2:36,48,Ryan Daly Block.,22,28
2:35,2550,Michael Nzei Offensive Rebound.,22,28
2:34,48,Foul on Devonne Pinkard.,22,28
2:34,2550,Official TV Timeout,22,28
2:34,2550,Michael Nzei missed Free Throw.,22,28
2:34,2550,Seton Hall Deadball Team Rebound.,22,28
2:34,2550,Michael Nzei missed Free Throw.,22,28
2:34,48,Eric Carter Defensive Rebound.,22,28
2:12,48,Devonne Pinkard made Jumper. Assisted by Eric Carter.,24,28
1:54,48,Foul on Anthony Mosley.,24,28
1:54,2550,Michael Nzei missed Free Throw.,24,28
1:54,2550,Myles Powell Offensive Rebound.,24,28
1:48,2550,Eron Gordon made Jumper.,24,30
1:23,48,Anthony Mosley missed Layup.,24,30
1:23,2550,Khadeen Carrington Defensive Rebound.,24,30
1:16,2550,Khadeen Carrington made Layup.,24,32
0:53,48,Eric Carter made Jumper. Assisted by Anthony Mosley.,26,32
0:36,2550,Michael Nzei made Layup. Assisted by Khadeen Carrington.,26,34
0:08,48,Darian Bryant missed Jumper.,26,34
0:08,2550,Angel Delgado Defensive Rebound.,26,34
0:06,48,Foul on Eric Carter.,26,34
0:05,2550,Angel Delgado missed Free Throw.,26,34
0:04,48,Ryan Daly Defensive Rebound.,26,34
0:01,48,Ryan Daly missed Three Point Jumper.,26,34
0:01,48,Delaware Deadball Team Rebound.,26,34
0:00,2550,End of 1st half,26,34
19:50,2550,Desi Rodriguez missed Layup.,26,34
19:50,48,Eric Carter Defensive Rebound.,26,34
19:37,48,Chivarsky Corbett Turnover.,26,34
19:22,2550,Angel Delgado made Layup.,26,36
18:55,48,Eric Carter made Jumper.,28,36
18:43,2550,Madison Jones made Three Point Jumper.,28,39
18:25,48,Devonne Pinkard Turnover.,28,39
18:24,2550,Madison Jones Steal.,28,39
18:22,2550,Madison Jones made Layup.,28,41
18:22,48,Delaware  Timeout,28,41
18:22,2550,Official TV Timeout,28,41
17:57,48,Skye Johnson missed Layup.,28,41
17:57,48,Ryan Daly Offensive Rebound.,28,41
17:39,48,Chivarsky Corbett missed Three Point Jumper.,28,41
17:39,2550,Seton Hall Defensive Rebound.,28,41
17:22,2550,Desi Rodriguez missed Jumper.,28,41
17:22,2550,Angel Delgado Offensive Rebound.,28,41
17:16,2550,Desi Rodriguez missed Layup.,28,41
17:16,48,Skye Johnson Defensive Rebound.,28,41
16:56,48,Chivarsky Corbett made Layup. Assisted by Anthony Mosley.,30,41
16:37,2550,Khadeen Carrington missed Three Point Jumper.,30,41
16:37,48,Chivarsky Corbett Defensive Rebound.,30,41
16:31,2550,Foul on Khadeen Carrington.,30,41
16:31,48,Cazmon Hayes made Free Throw.,31,41
16:31,48,Cazmon Hayes made Free Throw.,32,41
16:24,2550,Angel Delgado made Layup. Assisted by Madison Jones.,32,43
16:09,48,Anthony Mosley missed Layup.,32,43
16:09,2550,Madison Jones Block.,32,43
16:09,48,Delaware Offensive Rebound.,32,43
16:07,48,Ryan Daly made Three Point Jumper. Assisted by Anthony Mosley.,35,43
15:45,2550,Ismael Sanogo made Layup. Assisted by Angel Delgado.,35,45
15:45,48,Foul on Chivarsky Corbett.,35,45
15:45,2550,Official TV Timeout,35,45
15:45,2550,Ismael Sanogo made Free Throw.,35,46
15:35,48,Ryan Daly made Layup.,37,46
15:10,2550,Myles Powell Turnover.,37,46
14:55,48,Ryan Daly missed Three Point Jumper.,37,46
14:55,2550,Angel Delgado Defensive Rebound.,37,46
14:46,2550,Myles Powell made Three Point Jumper. Assisted by Khadeen Carrington.,37,49
14:32,48,Devonne Pinkard missed Three Point Jumper.,37,49
14:32,2550,Angel Delgado Defensive Rebound.,37,49
14:24,2550,Khadeen Carrington missed Layup.,37,49
14:24,48,Devonne Pinkard Defensive Rebound.,37,49
14:05,48,Cazmon Hayes missed Jumper.,37,49
14:05,2550,Ismael Sanogo Defensive Rebound.,37,49
13:50,48,Foul on Eric Carter.,37,49
13:41,2550,Myles Powell Turnover.,37,49
13:41,2550,Foul on Myles Powell.,37,49
13:14,48,Eric Carter Turnover.,37,49
13:12,2550,Madison Jones Steal.,37,49
13:10,2550,Madison Jones made Layup.,37,51
12:52,2550,Foul on Ismael Sanogo.,37,51
12:52,48,Cazmon Hayes made Free Throw.,38,51
