NJIT,218,Temple,2885
2:03,2885,Anthony Tarke missed Three Point Jumper.,25,29
2:03,218,Shizz Alston Jr. Defensive Rebound.,25,29
1:46,218,Mark Williams missed Three Point Jumper.,25,29
1:46,2885,Tim Coleman Defensive Rebound.,25,29
1:43,218,Foul on Obi Enechionyia.,25,29
1:29,2885,Chris Jenkins made Three Point Jumper. Assisted by Abdul Lewis.,28,29
1:07,218,Daniel Dingle missed Three Point Jumper.,28,29
1:07,2885,NJIT Deadball Team Rebound.,28,29
1:07,218,Foul on Daniel Dingle.,28,29
0:41,2885,Abdul Lewis Turnover.,28,29
0:40,218,Quinton Rose Steal.,28,29
0:32,218,Mark Williams made Jumper. Assisted by Daniel Dingle.,28,31
0:29,218,Temple  Timeout,28,31
0:02,2885,Chris Jenkins missed Three Point Jumper.,28,31
0:02,2885,NJIT Deadball Team Rebound.,28,31
0:01,218,Foul on Ernest Aflakpui.,28,31
0:01,2885,Abdul Lewis made Free Throw.,29,31
0:01,2885,Abdul Lewis made Free Throw.,30,31
0:00,218,End of 1st half,30,31
19:52,218,Obi Enechionyia missed Three Point Jumper.,30,31
19:52,2885,Osa Izevbuwa Defensive Rebound.,30,31
19:21,2885,Osa Izevbuwa missed Jumper.,30,31
19:21,218,Ernest Aflakpui Defensive Rebound.,30,31
19:00,218,Obi Enechionyia missed Jumper.,30,31
19:00,2885,Abdul Lewis Defensive Rebound.,30,31
18:52,2885,Rob Ukawuba missed Layup.,30,31
18:52,218,Obi Enechionyia Defensive Rebound.,30,31
18:39,218,Daniel Dingle missed Jumper.,30,31
18:39,2885,Rob Ukawuba Defensive Rebound.,30,31
18:31,2885,Osa Izevbuwa missed Jumper.,30,31
18:31,2885,Abdul Lewis Offensive Rebound.,30,31
18:26,2885,Damon Lynn made Three Point Jumper. Assisted by Abdul Lewis.,33,31
18:10,218,Shizz Alston Jr. missed Layup.,33,31
18:10,2885,Tim Coleman Defensive Rebound.,33,31
18:02,2885,Damon Lynn missed Three Point Jumper.,33,31
18:02,218,Ernest Aflakpui Defensive Rebound.,33,31
17:48,218,Shizz Alston Jr. missed Layup.,33,31
17:48,218,Temple Deadball Team Rebound.,33,31
17:47,2885,Foul on Tim Coleman.,33,31
17:47,218,Shizz Alston Jr. made Free Throw.,33,32
17:47,218,Shizz Alston Jr. made Free Throw.,33,33
17:27,2885,Tim Coleman missed Jumper.,33,33
17:27,218,Temple Defensive Rebound.,33,33
17:15,218,Alani Moore II Turnover.,33,33
17:14,2885,Abdul Lewis Steal.,33,33
