Fairleigh Dickinson,2132,Cincinnati,161
7:01,2132,Kevin Johnson Steal.,14,39
7:00,2132,Kevin Johnson made Dunk.,14,41
6:54,161,Kaleb Bishop Turnover.,14,41
6:53,2132,Kevin Johnson Steal.,14,41
6:52,161,Foul on Kaleb Bishop.,14,41
6:52,2132,Kevin Johnson made Free Throw.,14,42
6:52,2132,Kevin Johnson made Free Throw.,14,43
6:33,161,Darian Anderson made Jumper. Assisted by Mike Holloway.,16,43
6:23,161,Foul on Mike Holloway.,16,43
6:23,2132,Nysier Brooks missed Free Throw.,16,43
6:23,2132,Cincinnati Deadball Team Rebound.,16,43
6:23,2132,Nysier Brooks made Free Throw.,16,44
6:17,161,Earl Potts Jr missed Dunk.,16,44
6:17,161,Nadi Beciri Offensive Rebound.,16,44
6:15,2132,Foul on Jarron Cumberland.,16,44
6:15,161,Nadi Beciri made Free Throw.,17,44
6:15,161,Nadi Beciri made Free Throw.,18,44
6:08,2132,Kevin Johnson made Three Point Jumper. Assisted by Gary Clark.,18,47
5:54,161,Darian Anderson missed Three Point Jumper.,18,47
5:54,2132,Troy Caupain Defensive Rebound.,18,47
5:44,2132,Kevin Johnson missed Jumper.,18,47
5:44,2132,Gary Clark Offensive Rebound.,18,47
5:32,2132,Nysier Brooks made Jumper. Assisted by Jacob Evans.,18,49
5:11,161,Malik Miller missed Jumper.,18,49
5:11,2132,Gary Clark Defensive Rebound.,18,49
4:52,161,Foul on Darian Anderson.,18,49
4:52,2132,Troy Caupain made Free Throw.,18,50
4:52,2132,Troy Caupain made Free Throw.,18,51
4:47,161,Malik Miller missed Layup.,18,51
4:47,161,Nadi Beciri Offensive Rebound.,18,51
4:43,161,Nadi Beciri missed Two Point Tip Shot.,18,51
4:43,161,Nadi Beciri Offensive Rebound.,18,51
4:41,161,Nadi Beciri missed Layup.,18,51
4:41,2132,Tre Scott Block.,18,51
4:39,2132,Tre Scott Defensive Rebound.,18,51
4:32,2132,Tre Scott made Jumper.,18,53
4:17,161,Stephan Jiggetts missed Jumper.,18,53
4:17,2132,Kyle Washington Defensive Rebound.,18,53
4:13,2132,Kyle Washington Turnover.,18,53
4:12,161,Stephan Jiggetts Steal.,18,53
4:11,161,Stephan Jiggetts made Layup.,20,53
4:03,2132,Justin Jenifer missed Three Point Jumper.,20,53
4:03,2132,Jacob Evans Offensive Rebound.,20,53
3:56,2132,Jacob Evans missed Three Point Jumper.,20,53
3:56,161,Earl Potts Jr Defensive Rebound.,20,53
3:47,2132,Foul on Jacob Evans.,20,53
3:47,2132,Official TV Timeout,20,53
3:47,161,Stephan Jiggetts made Free Throw.,21,53
3:47,161,Stephan Jiggetts made Free Throw.,22,53
3:37,2132,Jacob Evans made Three Point Jumper. Assisted by Troy Caupain.,22,56
3:15,2132,Foul on Troy Caupain.,22,56
3:15,161,Darian Anderson made Free Throw.,23,56
3:15,161,Darian Anderson made Free Throw.,24,56
2:54,2132,Kyle Washington Turnover.,24,56
2:51,161,Darian Anderson Turnover.,24,56
2:50,2132,Kevin Johnson Steal.,24,56
2:48,2132,Kevin Johnson missed Layup.,24,56
2:48,2132,Tre Scott Offensive Rebound.,24,56
2:46,161,Foul on Kaleb Bishop.,24,56
2:46,2132,Tre Scott missed Free Throw.,24,56
2:46,2132,Cincinnati Deadball Team Rebound.,24,56
2:46,2132,Tre Scott missed Free Throw.,24,56
2:46,161,Nadi Beciri Defensive Rebound.,24,56
2:35,161,Nadi Beciri missed Jumper.,24,56
2:35,161,Tyrone O'Garro Offensive Rebound.,24,56
2:32,161,Tyrone O'Garro missed Layup.,24,56
2:32,2132,Kyle Washington Defensive Rebound.,24,56
2:18,2132,Kyle Washington made Jumper.,24,58
2:13,161,Tyrone O'Garro Turnover.,24,58
1:59,2132,Jacob Evans made Three Point Jumper. Assisted by Tre Scott.,24,61
1:35,161,Foul on Stephan Jiggetts.,24,61
1:35,161,Stephan Jiggetts Turnover.,24,61
1:17,2132,Kyle Washington missed Layup.,24,61
1:17,161,Malik Miller Block.,24,61
1:14,2132,Kyle Washington Offensive Rebound.,24,61
1:12,2132,Kyle Washington made Layup.,24,63
0:56,161,Darnell Edge missed Jumper.,24,63
0:56,2132,Jacob Evans Defensive Rebound.,24,63
0:49,2132,Justin Jenifer made Layup. Assisted by Jacob Evans.,24,65
0:39,161,Darian Anderson made Layup.,26,65
0:28,2132,Jacob Evans missed Jumper.,26,65
0:28,2132,Kyle Washington Offensive Rebound.,26,65
0:05,2132,Kevin Johnson Turnover.,26,65
0:04,161,Darian Anderson Steal.,26,65
0:02,161,Darnell Edge missed Layup.,26,65
0:02,2132,Kevin Johnson Block.,26,65
0:01,161,Malik Miller Offensive Rebound.,26,65
0:00,2132,End of 1st half,26,65
19:43,161,Darian Anderson missed Layup.,26,65
19:43,2132,Jacob Evans Defensive Rebound.,26,65
19:30,2132,Kyle Washington Turnover.,26,65
19:28,161,Malik Miller Steal.,26,65
19:15,161,Stephan Jiggetts made Three Point Jumper. Assisted by Kaleb Bishop.,29,65
18:47,2132,Troy Caupain made Three Point Jumper. Assisted by Gary Clark.,29,68
18:28,161,Stephan Jiggetts missed Layup.,29,68
18:28,2132,Troy Caupain Defensive Rebound.,29,68
18:19,2132,Jacob Evans missed Three Point Jumper.,29,68
18:19,161,Earl Potts Jr Defensive Rebound.,29,68
18:12,161,Stephan Jiggetts missed Layup.,29,68
18:12,2132,Gary Clark Block.,29,68
18:11,161,Fairleigh Dickinson Offensive Rebound.,29,68
18:10,161,Darian Anderson made Jumper. Assisted by Stephan Jiggetts.,31,68
17:53,2132,Gary Clark missed Jumper.,31,68
17:53,161,Kaleb Bishop Defensive Rebound.,31,68
17:31,161,Malik Miller missed Jumper.,31,68
17:31,161,Fairleigh Dickinson Deadball Team Rebound.,31,68
17:27,2132,Foul on Kevin Johnson.,31,68
17:07,161,Darian Anderson missed Jumper.,31,68
17:07,161,Kaleb Bishop Offensive Rebound.,31,68
17:04,161,Kaleb Bishop missed Layup.,31,68
17:04,2132,Jacob Evans Defensive Rebound.,31,68
16:53,2132,Kyle Washington Turnover.,31,68
16:42,161,Malik Miller made Dunk. Assisted by Stephan Jiggetts.,33,68
16:18,2132,Kyle Washington made Jumper. Assisted by Troy Caupain.,33,70
16:09,161,Darian Anderson missed Layup.,33,70
16:09,2132,Troy Caupain Defensive Rebound.,33,70
16:03,2132,Troy Caupain missed Jumper.,33,70
16:03,2132,Troy Caupain Offensive Rebound.,33,70
15:59,2132,Troy Caupain made Layup.,33,72
15:46,161,Earl Potts Jr missed Three Point Jumper.,33,72
15:46,161,Malik Miller Offensive Rebound.,33,72
15:37,161,Stephan Jiggetts made Jumper. Assisted by Earl Potts Jr.,35,72
15:24,2132,Tre Scott made Jumper. Assisted by Jacob Evans.,35,74
15:07,161,Stephan Jiggetts missed Three Point Jumper.,35,74
15:07,2132,Kyle Washington Defensive Rebound.,35,74
14:56,2132,Jacob Evans made Dunk. Assisted by Troy Caupain.,35,76
14:49,161,Earl Potts Jr missed Jumper.,35,76
14:49,2132,Kyle Washington Defensive Rebound.,35,76
14:36,2132,Kevin Johnson made Three Point Jumper. Assisted by Troy Caupain.,35,79
14:04,2132,Foul on Jacob Evans.,35,79
14:04,2132,Official TV Timeout,35,79
14:04,161,Stephan Jiggetts made Free Throw.,36,79
14:04,161,Stephan Jiggetts made Free Throw.,37,79
13:58,161,Foul on Stephan Jiggetts.,37,79
13:49,2132,Justin Jenifer missed Three Point Jumper.,37,79
13:49,2132,Gary Clark Offensive Rebound.,37,79
13:43,2132,Gary Clark made Dunk.,37,81
13:16,161,Earl Potts Jr made Three Point Jumper.,40,81
12:57,2132,Quadri Moore made Jumper. Assisted by Kevin Johnson.,40,83
12:45,2132,Foul on Kevin Johnson.,40,83
12:36,161,Stephan Jiggetts missed Jumper.,40,83
12:36,2132,Jarron Cumberland Defensive Rebound.,40,83
12:27,2132,Gary Clark made Dunk. Assisted by Jarron Cumberland.,40,85
11:52,161,Earl Potts Jr missed Three Point Jumper.,40,85
11:52,2132,Quadri Moore Defensive Rebound.,40,85
11:44,2132,Jarron Cumberland missed Three Point Jumper.,40,85
11:44,161,Nadi Beciri Defensive Rebound.,40,85
11:40,2132,Foul on Quadri Moore.,40,85
11:40,2132,Official TV Timeout,40,85
11:34,161,Earl Potts Jr missed Layup.,40,85
11:34,2132,Nysier Brooks Block.,40,85
11:32,2132,Kevin Johnson Defensive Rebound.,40,85
11:29,2132,Jarron Cumberland made Three Point Jumper. Assisted by Justin Jenifer.,40,88
11:10,161,Earl Potts Jr made Layup. Assisted by Stephan Jiggetts.,42,88
11:04,2132,Jarron Cumberland made Layup. Assisted by Justin Jenifer.,42,90
10:49,161,Malik Miller missed Jumper.,42,90
10:49,2132,Nysier Brooks Defensive Rebound.,42,90
10:40,161,Foul on Earl Potts Jr.,42,90
10:40,2132,Nysier Brooks missed Free Throw.,42,90
10:40,2132,Cincinnati Deadball Team Rebound.,42,90
10:40,2132,Nysier Brooks made Free Throw.,42,91
10:21,161,Nadi Beciri made Three Point Jumper. Assisted by Darian Anderson.,45,91
10:06,2132,Kevin Johnson missed Three Point Jumper.,45,91
10:06,161,Darian Anderson Defensive Rebound.,45,91
9:58,161,Darian Anderson made Layup.,47,91
9:46,2132,Jarron Cumberland made Three Point Jumper. Assisted by Justin Jenifer.,47,94
9:30,161,Darian Anderson missed Three Point Jumper.,47,94
9:30,161,Tyrone O'Garro Offensive Rebound.,47,94
9:26,161,Tyrone O'Garro missed Two Point Tip Shot.,47,94
9:26,161,Nadi Beciri Offensive Rebound.,47,94
9:23,161,Tyrone O'Garro made Layup. Assisted by Nadi Beciri.,49,94
9:04,2132,Quadri Moore Turnover.,49,94
8:48,161,Nadi Beciri Turnover.,49,94
