Towson,2378,UMBC,119
13:13,2378,Foul on Jourdan Grant.,45,48
13:13,119,Arnaud William Adala Moto made Free Throw.,46,48
13:00,2378,Jourdan Grant missed Layup.,46,48
13:00,119,Justin Gorham Defensive Rebound.,46,48
12:52,119,Justin Gorham Turnover.,46,48
12:52,119,Foul on Justin Gorham.,46,48
12:23,2378,Jourdan Grant made Jumper.,46,50
12:01,119,Foul on Mike Morsell.,46,50
12:01,119,Mike Morsell Turnover.,46,50
11:32,2378,Will Darley missed Jumper.,46,50
11:32,119,Justin Gorham Defensive Rebound.,46,50
11:10,119,Deshaun Morman made Layup.,48,50
10:59,2378,K.J. Maura Turnover.,48,50
10:57,119,Deshaun Morman Steal.,48,50
10:54,119,Justin Gorham made Layup. Assisted by Deshaun Morman.,50,50
10:30,2378,K.J. Maura made Jumper.,50,52
10:10,119,Jordan McNeil made Three Point Jumper. Assisted by Deshaun Morman.,53,52
9:45,119,Foul on Justin Gorham.,53,52
9:45,2378,Official TV Timeout,53,52
9:45,2378,K.J. Maura missed Free Throw.,53,52
9:45,2378,UMBC Deadball Team Rebound.,53,52
9:45,2378,K.J. Maura made Free Throw.,53,53
9:27,119,John Davis Turnover.,53,53
9:26,2378,Jourdan Grant Steal.,53,53
9:20,119,Foul on Justin Gorham.,53,53
9:20,2378,Jourdan Grant made Free Throw.,53,54
9:20,2378,Jourdan Grant missed Free Throw.,53,54
9:20,119,Arnaud William Adala Moto Defensive Rebound.,53,54
9:01,119,John Davis Turnover.,53,54
9:00,2378,Arkel Lamar Steal.,53,54
8:50,2378,Jourdan Grant missed Layup.,53,54
8:50,119,John Davis Defensive Rebound.,53,54
8:22,2378,Foul on Jourdan Grant.,53,54
8:22,119,Deshaun Morman missed Free Throw.,53,54
8:22,119,Towson Deadball Team Rebound.,53,54
8:22,119,Deshaun Morman made Free Throw.,54,54
8:09,2378,Jairus Lyles Turnover.,54,54
8:09,119,Mike Morsell Steal.,54,54
8:09,2378,Foul on Jairus Lyles.,54,54
7:48,119,Arnaud William Adala Moto missed Jumper.,54,54
7:48,2378,Will Darley Defensive Rebound.,54,54
7:39,2378,Jairus Lyles missed Layup.,54,54
7:39,119,Arnaud William Adala Moto Defensive Rebound.,54,54
7:26,119,Mike Morsell made Layup.,56,54
6:56,2378,Will Darley Turnover.,56,54
6:54,119,Arnaud William Adala Moto Steal.,56,54
6:53,119,Arnaud William Adala Moto Turnover.,56,54
6:51,2378,K.J. Maura Steal.,56,54
6:48,2378,Joe Sherburne made Three Point Jumper. Assisted by K.J. Maura.,56,57
6:45,119,Towson  Timeout,56,57
6:45,2378,Official TV Timeout,56,57
6:28,119,Brian Starr made Three Point Jumper.,59,57
6:02,2378,Jairus Lyles made Three Point Jumper. Assisted by Joe Sherburne.,59,60
5:43,119,Mike Morsell missed Jumper.,59,60
5:43,2378,Jairus Lyles Defensive Rebound.,59,60
5:36,119,Foul on Brian Starr.,59,60
5:36,2378,K.J. Maura made Free Throw.,59,61
5:36,2378,K.J. Maura made Free Throw.,59,62
5:24,119,Mike Morsell missed Layup.,59,62
5:24,2378,Joe Sherburne Defensive Rebound.,59,62
5:23,119,Foul on Mike Morsell.,59,62
5:23,2378,Joe Sherburne made Free Throw.,59,63
5:23,2378,Joe Sherburne missed Free Throw.,59,63
5:23,119,John Davis Defensive Rebound.,59,63
5:08,119,Brian Starr missed Three Point Jumper.,59,63
5:08,2378,UMBC Defensive Rebound.,59,63
4:34,2378,Jairus Lyles missed Jumper.,59,63
4:34,119,John Davis Defensive Rebound.,59,63
4:18,119,Eddie Keith II made Layup.,61,63
4:18,2378,Foul on Arkel Lamar.,61,63
4:18,119,Eddie Keith II missed Free Throw.,61,63
4:18,119,Mike Morsell Offensive Rebound.,61,63
4:17,119,Mike Morsell missed Layup.,61,63
4:17,119,Eddie Keith II Offensive Rebound.,61,63
4:13,119,Eddie Keith II made Two Point Tip Shot.,63,63
3:50,2378,Joe Sherburne made Three Point Jumper. Assisted by Jourdan Grant.,63,66
3:22,2378,Official TV Timeout,63,66
3:21,119,Mike Morsell made Layup. Assisted by Eddie Keith II.,65,66
2:48,2378,Joe Sherburne made Three Point Jumper. Assisted by Will Darley.,65,69
2:19,119,Deshaun Morman missed Three Point Jumper.,65,69
2:19,119,John Davis Offensive Rebound.,65,69
2:15,119,John Davis made Layup.,67,69
1:46,2378,Jairus Lyles made Three Point Jumper.,67,72
1:31,2378,Foul on Joe Sherburne.,67,72
1:18,2378,Foul on Will Darley.,67,72
1:18,119,Arnaud William Adala Moto made Free Throw.,68,72
1:18,119,Arnaud William Adala Moto missed Free Throw.,68,72
1:18,119,John Davis Offensive Rebound.,68,72
1:16,2378,Foul on Will Darley.,68,72
1:16,119,John Davis missed Free Throw.,68,72
1:16,119,Towson Deadball Team Rebound.,68,72
1:16,119,John Davis made Free Throw.,69,72
1:12,2378,UMBC  Timeout,69,72
0:50,2378,Jairus Lyles missed Jumper.,69,72
0:50,119,Mike Morsell Defensive Rebound.,69,72
0:49,2378,Foul on Jairus Lyles.,69,72
0:49,119,Mike Morsell made Free Throw.,70,72
0:49,119,Mike Morsell made Free Throw.,71,72
0:45,2378,UMBC  Timeout,71,72
0:24,2378,Jairus Lyles missed Jumper.,71,72
0:12,119,Mike Morsell made Layup.,73,72
0:08,119,Towson  Timeout,73,72
0:01,2378,Jairus Lyles missed Jumper.,73,72
0:01,119,John Davis Defensive Rebound.,73,72
0:00,2378,End of Game,73,72
