Columbia,2142,Colgate,171
4:06,171,Quinton Adlesh missed Three Point Jumper.,23,34
4:06,171,Gabe Stefanini Offensive Rebound.,23,34
4:04,2142,Foul on Jordan Robertson.,23,34
3:47,171,Jaron Faulds missed Jumper.,23,34
3:47,2142,Malcolm Regisford Defensive Rebound.,23,34
3:26,2142,Malcolm Regisford missed Layup.,23,34
3:26,171,Gabe Stefanini Defensive Rebound.,23,34
3:15,171,Quinton Adlesh missed Jumper.,23,34
3:15,171,Jaron Faulds Offensive Rebound.,23,34
3:11,171,Jaron Faulds made Layup.,25,34
3:06,171,Foul on Peter Barba.,25,34
2:48,2142,Francisco Amiel missed Jumper.,25,34
2:48,171,Nate Hickman Defensive Rebound.,25,34
2:40,171,Nate Hickman missed Three Point Jumper.,25,34
2:40,2142,Jordan Swopshire Defensive Rebound.,25,34
2:20,2142,Jordan Swopshire missed Three Point Jumper.,25,34
2:20,171,Mike Smith Defensive Rebound.,25,34
2:09,171,Quinton Adlesh missed Layup.,25,34
2:09,171,Quinton Adlesh Offensive Rebound.,25,34
1:55,171,Peter Barba missed Three Point Jumper.,25,34
1:55,171,Peter Barba Offensive Rebound.,25,34
1:40,171,Mike Smith made Three Point Jumper.,28,34
1:06,2142,Sean O'Brien made Jumper.,28,36
0:42,171,Nate Hickman made Layup.,30,36
0:21,2142,Colgate  Timeout,30,36
0:13,2142,Will Rayman Turnover.,30,36
0:13,2142,Foul on Will Rayman.,30,36
0:00,171,Peter Barba missed Three Point Jumper.,30,36
0:00,171,Tai Bibbs Offensive Rebound.,30,36
0:00,2142,End of 1st half,30,36
19:47,171,Lukas Meisner missed Jumper.,30,36
19:47,2142,Jordan Swopshire Defensive Rebound.,30,36
19:35,2142,Dana Batt made Layup. Assisted by Will Rayman.,30,38
19:19,171,Quinton Adlesh Turnover.,30,38
19:18,2142,Sean O'Brien Steal.,30,38
19:04,2142,Will Rayman missed Layup.,30,38
19:04,171,Patrick Tape Block.,30,38
19:01,2142,Will Rayman Offensive Rebound.,30,38
18:58,2142,Will Rayman missed Layup.,30,38
18:58,171,Patrick Tape Defensive Rebound.,30,38
18:52,171,Lukas Meisner missed Three Point Jumper.,30,38
18:52,2142,Sean O'Brien Defensive Rebound.,30,38
18:44,2142,Francisco Amiel missed Three Point Jumper.,30,38
18:44,171,Lukas Meisner Defensive Rebound.,30,38
18:23,171,Patrick Tape made Layup. Assisted by Nate Hickman.,32,38
18:09,2142,Will Rayman missed Three Point Jumper.,32,38
18:09,171,Patrick Tape Defensive Rebound.,32,38
18:00,171,Mike Smith missed Three Point Jumper.,32,38
18:00,171,Patrick Tape Offensive Rebound.,32,38
17:57,171,Patrick Tape made Layup.,34,38
17:38,2142,Dana Batt made Layup. Assisted by Francisco Amiel.,34,40
17:22,171,Mike Smith made Three Point Jumper.,37,40
17:03,2142,Will Rayman made Three Point Jumper. Assisted by Sean O'Brien.,37,43
16:47,171,Nate Hickman made Three Point Jumper. Assisted by Mike Smith.,40,43
16:30,2142,Will Rayman made Dunk. Assisted by Francisco Amiel.,40,45
16:11,171,Quinton Adlesh missed Three Point Jumper.,40,45
16:11,171,Lukas Meisner Offensive Rebound.,40,45
15:58,171,Lukas Meisner made Three Point Jumper. Assisted by Patrick Tape.,43,45
15:41,2142,Jordan Swopshire made Three Point Jumper. Assisted by Dana Batt.,43,48
15:27,171,Patrick Tape Turnover.,43,48
15:27,171,Foul on Patrick Tape.,43,48
15:27,2142,Official TV Timeout,43,48
15:21,2142,Sean O'Brien missed Three Point Jumper.,43,48
15:21,2142,Dana Batt Offensive Rebound.,43,48
14:53,2142,Dana Batt made Layup. Assisted by Francisco Amiel.,43,50
