Fresno State,2934,CSU Bakersfield,278
4:32,278,Jahmel Taylor missed Free Throw.,17,23
4:32,2934,James Suber Defensive Rebound.,17,23
4:08,2934,Dedrick Basile missed Three Point Jumper.,17,23
4:08,278,Paul Watson Defensive Rebound.,17,23
3:56,2934,Official TV Timeout,17,23
3:41,278,Deshon Taylor missed Three Point Jumper.,17,23
3:41,278,Terrell Carter II Offensive Rebound.,17,23
3:41,2934,Foul on James Suber.,17,23
3:41,278,Terrell Carter II missed Free Throw.,17,23
3:41,2934,Dedrick Basile Defensive Rebound.,17,23
3:36,2934,James Suber made Layup. Assisted by Dedrick Basile.,17,25
3:21,278,Cullen Russo missed Layup.,17,25
3:21,2934,James Suber Defensive Rebound.,17,25
3:13,2934,Matt Smith Turnover.,17,25
3:13,278,Jahmel Taylor Steal.,17,25
3:12,2934,Foul on Matt Smith.,17,25
3:12,278,Jahmel Taylor made Free Throw.,18,25
3:12,278,Jahmel Taylor made Free Throw.,19,25
2:50,2934,Damiyne Durham missed Three Point Jumper.,19,25
2:50,2934,Brent Wrapp Offensive Rebound.,19,25
2:44,2934,Dedrick Basile missed Layup.,19,25
2:44,278,Jahmel Taylor Defensive Rebound.,19,25
2:33,2934,Foul on James Suber.,19,25
2:33,278,Jaron Hopkins made Free Throw.,20,25
2:33,278,Jaron Hopkins made Free Throw.,21,25
2:08,2934,Brent Wrapp missed Layup.,21,25
2:08,2934,Damiyne Durham Offensive Rebound.,21,25
2:05,2934,Damiyne Durham made Two Point Tip Shot.,21,27
1:51,278,Jaron Hopkins Turnover.,21,27
1:50,2934,Justin Pride Steal.,21,27
1:46,2934,Jaylin Airington made Layup. Assisted by Justin Pride.,21,29
1:23,278,Paul Watson made Jumper.,23,29
0:51,2934,Jaylin Airington missed Jumper.,23,29
0:51,2934,CSU Bakersfield Offensive Rebound.,23,29
0:47,2934,Damiyne Durham made Layup. Assisted by Brent Wrapp.,23,31
0:34,278,Bryson Williams made Layup. Assisted by Sam Bittner.,25,31
0:12,2934,CSU Bakersfield  Timeout,25,31
0:01,2934,Damiyne Durham made Three Point Jumper. Assisted by Jaylin Airington.,25,34
0:00,2934,End of 1st half,25,34
19:35,2934,Jaylin Airington made Layup. Assisted by Dedrick Basile.,25,36
19:35,278,Foul on Bryson Williams.,25,36
19:35,2934,Jaylin Airington made Free Throw.,25,37
19:19,2934,Brent Wrapp missed Jumper.,25,37
19:19,2934,Shon Briggs Offensive Rebound.,25,37
19:16,2934,Foul on Brent Wrapp.,25,37
19:14,278,Paul Watson missed Jumper.,25,37
19:14,278,Jaron Hopkins Offensive Rebound.,25,37
19:09,278,Jaron Hopkins made Dunk.,27,37
18:50,2934,Damiyne Durham missed Three Point Jumper.,27,37
18:50,2934,Brent Wrapp Offensive Rebound.,27,37
18:41,2934,Shon Briggs missed Layup.,27,37
18:41,278,Jahmel Taylor Defensive Rebound.,27,37
18:28,278,Bryson Williams made Layup.,29,37
18:18,2934,CSU Bakersfield  Timeout,29,37
18:12,2934,Damiyne Durham made Three Point Jumper. Assisted by Jaylin Airington.,29,40
17:54,278,Cullen Russo made Layup. Assisted by Jaron Hopkins.,31,40
17:32,2934,Jaylin Airington made Three Point Jumper. Assisted by Brent Wrapp.,31,43
17:23,278,Jaron Hopkins Turnover.,31,43
17:23,2934,Dedrick Basile Steal.,31,43
17:22,2934,Dedrick Basile made Layup.,31,45
17:19,278,Foul on Jaron Hopkins.,31,45
17:19,2934,Jaylin Airington made Free Throw.,31,46
17:07,278,Paul Watson Turnover.,31,46
17:06,2934,Matt Smith Steal.,31,46
17:03,278,Foul on Paul Watson.,31,46
17:03,2934,Jaylin Airington made Free Throw.,31,47
17:03,2934,Jaylin Airington made Free Throw.,31,48
16:51,278,Jahmel Taylor made Layup.,33,48
16:11,2934,Matt Smith made Layup. Assisted by Dedrick Basile.,33,50
16:03,2934,Foul on James Suber.,33,50
15:57,2934,Official TV Timeout,33,50
15:55,278,Cullen Russo missed Layup.,33,50
15:55,2934,Matt Smith Block.,33,50
15:53,2934,James Suber Defensive Rebound.,33,50
15:33,2934,Jaylin Airington Turnover.,33,50
15:32,278,Paul Watson Steal.,33,50
15:29,278,Jahmel Taylor missed Three Point Jumper.,33,50
15:29,2934,Dedrick Basile Defensive Rebound.,33,50
15:22,2934,Dedrick Basile Turnover.,33,50
15:06,278,Jahmel Taylor missed Layup.,33,50
15:06,2934,Damiyne Durham Block.,33,50
15:04,2934,James Suber Defensive Rebound.,33,50
15:00,2934,Jaylin Airington made Layup.,33,52
15:00,278,Foul on Paul Watson.,33,52
15:00,2934,Jaylin Airington made Free Throw.,33,53
14:54,2934,Foul on Matt Smith.,33,53
14:36,278,Jahmel Taylor missed Jumper.,33,53
14:36,2934,Jaylin Airington Defensive Rebound.,33,53
14:10,2934,Jaylin Airington missed Three Point Jumper.,33,53
14:10,2934,Jaylin Airington Offensive Rebound.,33,53
13:41,2934,Jaylin Airington missed Three Point Jumper.,33,53
13:41,2934,Taze Moore Offensive Rebound.,33,53
13:36,2934,Taze Moore Turnover.,33,53
13:22,2934,Foul on Justin Pride.,33,53
13:17,278,Sam Bittner missed Layup.,33,53
13:17,2934,James Suber Defensive Rebound.,33,53
12:45,2934,Jaylin Airington made Dunk. Assisted by Dedrick Basile.,33,55
12:29,2934,Foul on James Suber.,33,55
12:29,278,Deshon Taylor made Free Throw.,34,55
12:29,278,Deshon Taylor made Free Throw.,35,55
12:08,2934,Jaylin Airington missed Jumper.,35,55
12:08,2934,Taze Moore Offensive Rebound.,35,55
12:06,2934,Taze Moore made Dunk.,35,57
11:51,2934,Foul on Moataz Aly.,35,57
11:51,2934,Official TV Timeout,35,57
11:35,2934,Foul on Moataz Aly.,35,57
11:35,278,Terrell Carter II made Free Throw.,36,57
11:35,278,Terrell Carter II made Free Throw.,37,57
11:07,2934,Dedrick Basile missed Three Point Jumper.,37,57
11:07,278,Jaron Hopkins Defensive Rebound.,37,57
10:49,2934,Foul on Moataz Aly.,37,57
10:49,278,Terrell Carter II made Free Throw.,38,57
10:49,278,Terrell Carter II missed Free Throw.,38,57
10:49,2934,Justin Pride Defensive Rebound.,38,57
10:48,278,Foul on Terrell Carter II.,38,57
10:46,278,Foul on Jaron Hopkins.,38,57
10:28,2934,Damiyne Durham missed Three Point Jumper.,38,57
10:28,2934,Jaylin Airington Offensive Rebound.,38,57
10:08,2934,Jaylin Airington missed Three Point Jumper.,38,57
10:08,278,Terrell Carter II Defensive Rebound.,38,57
9:49,278,Terrell Carter II missed Layup.,38,57
9:49,2934,Justin Pride Defensive Rebound.,38,57
9:16,2934,Dedrick Basile missed Layup.,38,57
9:16,278,Cullen Russo Defensive Rebound.,38,57
9:08,278,Jaron Hopkins missed Layup.,38,57
9:08,278,Jaron Hopkins Offensive Rebound.,38,57
9:05,278,Jaron Hopkins missed Layup.,38,57
9:05,2934,Shon Briggs Defensive Rebound.,38,57
8:33,2934,Jaylin Airington missed Layup.,38,57
8:33,2934,Jaylin Airington Offensive Rebound.,38,57
8:29,278,Foul on Terrell Carter II.,38,57
8:29,2934,Jaylin Airington missed Free Throw.,38,57
8:29,2934,Shon Briggs Offensive Rebound.,38,57
7:59,2934,Shon Briggs missed Layup.,38,57
7:59,2934,Damiyne Durham Offensive Rebound.,38,57
7:31,2934,Official TV Timeout,38,57
7:29,2934,CSU Bakersfield  Turnover.,38,57
7:11,278,Deshon Taylor missed Layup.,38,57
7:11,2934,Shon Briggs Defensive Rebound.,38,57
6:46,2934,Jaylin Airington missed Jumper.,38,57
6:46,278,Jaron Hopkins Defensive Rebound.,38,57
6:40,278,Jaron Hopkins missed Layup.,38,57
6:40,2934,Jaylin Airington Defensive Rebound.,38,57
6:32,278,Foul on Jahmel Taylor.,38,57
6:30,2934,Dedrick Basile made Free Throw.,38,58
6:30,2934,Dedrick Basile made Free Throw.,38,59
6:15,278,Cullen Russo made Three Point Jumper. Assisted by Jaron Hopkins.,41,59
5:36,2934,Justin Pride Turnover.,41,59
5:34,278,Nate Grimes Steal.,41,59
5:30,278,Jahmel Taylor missed Layup.,41,59
5:30,278,Nate Grimes Offensive Rebound.,41,59
5:30,278,Nate Grimes missed Two Point Tip Shot.,41,59
5:30,2934,Taze Moore Defensive Rebound.,41,59
4:58,2934,Justin Pride missed Layup.,41,59
4:58,278,Paul Watson Defensive Rebound.,41,59
4:48,278,Fresno St  Timeout,41,59
4:48,278,Cullen Russo made Layup.,43,59
4:48,2934,Foul on Taze Moore.,43,59
4:39,278,Cullen Russo made Free Throw.,44,59
4:24,2934,Dedrick Basile missed Layup.,44,59
4:24,2934,Dedrick Basile Offensive Rebound.,44,59
4:18,2934,CSU Bakersfield  Turnover.,44,59
4:03,2934,Foul on Dedrick Basile.,44,59
4:03,278,Deshon Taylor made Free Throw.,45,59
4:03,278,Deshon Taylor made Free Throw.,46,59
4:03,2934,CSU Bakersfield  Timeout,46,59
3:37,2934,Shon Briggs missed Three Point Jumper.,46,59
3:37,2934,Damiyne Durham Offensive Rebound.,46,59
3:31,278,Foul on Paul Watson.,46,59
3:31,2934,Damiyne Durham made Free Throw.,46,60
3:31,2934,Damiyne Durham made Free Throw.,46,61
3:23,278,Deshon Taylor missed Three Point Jumper.,46,61
3:23,2934,Dedrick Basile Defensive Rebound.,46,61
2:55,2934,Jaylin Airington Turnover.,46,61
2:54,278,Paul Watson Steal.,46,61
2:51,278,Deshon Taylor Turnover.,46,61
2:50,2934,Dedrick Basile Steal.,46,61
2:47,2934,Dedrick Basile missed Jumper.,46,61
2:47,278,Cullen Russo Defensive Rebound.,46,61
2:43,2934,Foul on Shon Briggs.,46,61
2:43,278,Jahmel Taylor made Free Throw.,47,61
2:43,278,Jahmel Taylor made Free Throw.,48,61
2:40,2934,Dedrick Basile Turnover.,48,61
2:39,278,Cullen Russo made Layup. Assisted by Deshon Taylor.,50,61
2:31,2934,Matt Smith made Dunk. Assisted by Jaylin Airington.,50,63
2:23,278,Jahmel Taylor missed Three Point Jumper.,50,63
2:23,278,Paul Watson Offensive Rebound.,50,63
2:20,278,Paul Watson made Two Point Tip Shot.,52,63
2:18,278,Fresno St  Timeout,52,63
2:10,2934,Dedrick Basile missed Free Throw.,52,63
2:10,2934,CSU Bakersfield Deadball Team Rebound.,52,63
2:10,2934,Dedrick Basile made Free Throw.,52,64
2:09,278,Foul on Jaron Hopkins.,52,64
1:55,278,Paul Watson Turnover.,52,64
1:52,2934,Jaylin Airington Steal.,52,64
1:47,278,Foul on Jahmel Taylor.,52,64
1:47,2934,Brent Wrapp missed Free Throw.,52,64
1:47,2934,CSU Bakersfield Deadball Team Rebound.,52,64
1:47,2934,Brent Wrapp missed Free Throw.,52,64
1:47,278,Jaron Hopkins Defensive Rebound.,52,64
1:43,278,Jaron Hopkins missed Three Point Jumper.,52,64
1:43,2934,Justin Pride Defensive Rebound.,52,64
1:35,2934,Justin Pride Turnover.,52,64
1:35,278,Jahmel Taylor Steal.,52,64
1:34,278,Jahmel Taylor missed Layup.,52,64
1:34,2934,Brent Wrapp Defensive Rebound.,52,64
1:18,278,Foul on Cullen Russo.,52,64
1:18,2934,Justin Pride missed Free Throw.,52,64
1:18,2934,CSU Bakersfield Deadball Team Rebound.,52,64
1:18,2934,Justin Pride made Free Throw.,52,65
1:10,2934,Foul on Matt Smith.,52,65
1:10,278,Deshon Taylor missed Free Throw.,52,65
1:10,278,Fresno St Deadball Team Rebound.,52,65
1:10,278,Deshon Taylor made Free Throw.,53,65
0:57,278,Foul on Jahmel Taylor.,53,65
0:57,2934,Justin Pride missed Free Throw.,53,65
0:57,2934,CSU Bakersfield Deadball Team Rebound.,53,65
0:57,2934,Justin Pride missed Free Throw.,53,65
0:57,278,Paul Watson Defensive Rebound.,53,65
0:49,2934,Foul on Taze Moore.,53,65
0:49,278,Deshon Taylor made Free Throw.,54,65
0:49,278,Deshon Taylor made Free Throw.,55,65
0:45,2934,Brent Wrapp made Free Throw.,55,66
0:45,2934,Brent Wrapp made Free Throw.,55,67
0:44,278,Foul on Sam Bittner.,55,67
0:40,278,Deshon Taylor made Free Throw.,56,67
0:40,278,Deshon Taylor made Free Throw.,57,67
0:39,2934,Foul on Justin Pride.,57,67
0:35,278,Foul on Sam Bittner.,57,67
0:35,2934,Jaylin Airington made Free Throw.,57,68
0:35,2934,Jaylin Airington made Free Throw.,57,69
0:28,278,Jaron Hopkins made Layup.,59,69
0:26,278,Fresno St  Timeout,59,69
0:23,278,Foul on Jahmel Taylor.,59,69
0:23,2934,Brent Wrapp made Free Throw.,59,70
0:23,2934,Brent Wrapp made Free Throw.,59,71
0:18,278,Jaron Hopkins made Layup.,61,71
0:13,278,Foul on Paul Watson.,61,71
0:13,2934,Brent Wrapp missed Free Throw.,61,71
0:13,2934,CSU Bakersfield Deadball Team Rebound.,61,71
0:13,2934,Brent Wrapp missed Free Throw.,61,71
0:13,278,Jaron Hopkins Defensive Rebound.,61,71
0:13,278,Bryson Williams made Layup.,63,71
0:07,2934,Justin Pride Turnover.,63,71
0:07,278,Johnny McWilliams Steal.,63,71
0:07,278,Johnny McWilliams Turnover.,63,71
0:00,2934,End of Game,63,71
