Georgia Tech,2747,Wofford,59
1:42,59,Tadric Jackson Turnover.,57,56
1:28,59,Foul on Abdoulaye Gueye.,57,56
1:18,2747,Fletcher Magee made Jumper.,57,58
1:10,59,Georgia Tech  Timeout,57,58
1:02,59,Tadric Jackson Turnover.,57,58
1:02,2747,Cameron Jackson Steal.,57,58
0:40,2747,Fletcher Magee missed Jumper.,57,58
0:40,2747,Cameron Jackson Offensive Rebound.,57,58
0:31,59,Foul on Abdoulaye Gueye.,57,58
0:30,59,Foul on Jose Alvarado.,57,58
0:30,2747,Storm Murphy made Free Throw.,57,59
0:30,2747,Storm Murphy made Free Throw.,57,60
0:19,59,Tadric Jackson made Three Point Jumper.,60,60
0:16,2747,Wofford  Timeout,60,60
0:03,2747,Fletcher Magee made Three Point Jumper.,60,63
0:02,59,Georgia Tech  Timeout,60,63
0:02,2747,Wofford  Timeout,60,63
0:00,2747,End of Game,60,63
