Miami (OH),2655,Tulane,193
5:10,193,Jalen Adaway missed Free Throw.,19,29
5:10,2655,Cameron Reynolds Defensive Rebound.,19,29
5:00,2655,Melvin Frazier Turnover.,19,29
4:47,193,Isaiah Coleman-Lands Turnover.,19,29
4:47,2655,Cameron Reynolds Steal.,19,29
4:44,193,Foul on Jalen Adaway.,19,29
4:44,2655,Ray Ona Embo missed Free Throw.,19,29
4:44,2655,Tulane Deadball Team Rebound.,19,29
4:44,2655,Ray Ona Embo made Free Throw.,19,30
4:34,193,Rod Mills Jr. made Three Point Jumper. Assisted by Darrian Ringo.,22,30
4:12,2655,Ray Ona Embo missed Three Point Jumper.,22,30
4:12,193,Rod Mills Jr. Defensive Rebound.,22,30
4:02,193,Dalonte Brown missed Jumper.,22,30
4:02,2655,Melvin Frazier Defensive Rebound.,22,30
3:54,2655,Cameron Reynolds made Layup.,22,32
3:54,193,Foul on Bam Bowman.,22,32
3:54,2655,Official TV Timeout,22,32
3:54,2655,Cameron Reynolds missed Free Throw.,22,32
3:54,193,Rod Mills Jr. Defensive Rebound.,22,32
3:41,193,Darrian Ringo Turnover.,22,32
3:41,2655,Melvin Frazier Steal.,22,32
3:36,2655,Cameron Reynolds missed Three Point Jumper.,22,32
3:36,193,Darrian Ringo Defensive Rebound.,22,32
3:26,193,Logan McLane made Layup. Assisted by Darrian Ringo.,24,32
3:26,2655,Foul on Bul Ajang.,24,32
3:26,193,Logan McLane made Free Throw.,25,32
3:11,2655,Colin Slater Turnover.,25,32
3:10,193,Darrian Ringo Steal.,25,32
3:09,2655,Foul on Ray Ona Embo.,25,32
3:09,193,Darrian Ringo made Free Throw.,26,32
3:09,193,Darrian Ringo made Free Throw.,27,32
2:55,2655,Colin Slater missed Three Point Jumper.,27,32
2:55,193,Rod Mills Jr. Defensive Rebound.,27,32
2:27,193,Darrian Ringo Turnover.,27,32
2:27,2655,Melvin Frazier Steal.,27,32
2:23,2655,Melvin Frazier Turnover.,27,32
1:52,193,Miami (OH)  Turnover.,27,32
1:40,2655,Colin Slater made Three Point Jumper. Assisted by Jordan Cornish.,27,35
1:25,2655,Foul on Colin Slater.,27,35
1:25,193,Darrian Ringo made Free Throw.,28,35
1:25,193,Darrian Ringo made Free Throw.,29,35
1:10,2655,Colin Slater made Jumper.,29,37
0:57,2655,Foul on Melvin Frazier.,29,37
0:57,193,Jake Wright missed Free Throw.,29,37
0:57,193,Miami (OH) Deadball Team Rebound.,29,37
0:57,193,Jake Wright made Free Throw.,30,37
0:40,2655,Colin Slater missed Three Point Jumper.,30,37
0:40,2655,Bul Ajang Offensive Rebound.,30,37
0:38,2655,Bul Ajang missed Jumper.,30,37
0:38,193,Rod Mills Jr. Defensive Rebound.,30,37
0:24,193,Miami (OH)  Timeout,30,37
0:09,193,Darrian Ringo missed Three Point Jumper.,30,37
0:09,2655,Bul Ajang Defensive Rebound.,30,37
0:03,2655,Bul Ajang Turnover.,30,37
0:00,2655,End of 1st half,30,37
19:50,193,Jalen Adaway made Dunk. Assisted by Nike Sibande.,32,37
19:19,2655,Jordan Cornish missed Layup.,32,37
19:19,2655,Tulane Offensive Rebound.,32,37
19:15,2655,Cameron Reynolds made Jumper. Assisted by Melvin Frazier.,32,39
18:58,193,Dalonte Brown missed Layup.,32,39
18:58,2655,Blake Paul Block.,32,39
18:56,193,Miami (OH) Offensive Rebound.,32,39
18:49,2655,Foul on Blake Paul.,32,39
18:34,193,Nike Sibande made Three Point Jumper. Assisted by Precious Ayah.,35,39
18:12,2655,Cameron Reynolds made Jumper.,35,41
17:55,193,Isaiah Coleman-Lands made Layup.,37,41
17:40,2655,Ray Ona Embo made Layup. Assisted by Jordan Cornish.,37,43
17:40,193,Foul on Isaiah Coleman-Lands.,37,43
17:40,2655,Ray Ona Embo made Free Throw.,37,44
17:28,193,Logan McLane Turnover.,37,44
17:17,2655,Ray Ona Embo missed Jumper.,37,44
17:17,193,Dalonte Brown Defensive Rebound.,37,44
16:53,193,Logan McLane Turnover.,37,44
16:38,2655,Blake Paul missed Layup.,37,44
16:38,193,Logan McLane Block.,37,44
16:36,2655,Cameron Reynolds Offensive Rebound.,37,44
16:33,2655,Cameron Reynolds missed Jumper.,37,44
16:33,193,Jalen Adaway Defensive Rebound.,37,44
16:26,193,Nike Sibande made Jumper.,39,44
16:14,193,Foul on Nike Sibande.,39,44
16:09,2655,Melvin Frazier made Dunk. Assisted by Blake Paul.,39,46
15:44,193,Logan McLane Turnover.,39,46
15:43,2655,Melvin Frazier Steal.,39,46
15:38,2655,Official TV Timeout,39,46
15:38,193,Foul on Rod Mills Jr..,39,46
15:35,2655,Blake Paul missed Jumper.,39,46
15:35,2655,Melvin Frazier Offensive Rebound.,39,46
15:31,2655,Melvin Frazier missed Layup.,39,46
15:31,193,Logan McLane Block.,39,46
15:29,193,Darrian Ringo Defensive Rebound.,39,46
15:26,193,Logan McLane Turnover.,39,46
15:04,2655,Blake Paul made Jumper. Assisted by Melvin Frazier.,39,48
14:47,193,Jalen Adaway missed Jumper.,39,48
14:46,2655,Blake Paul Defensive Rebound.,39,48
14:39,2655,Melvin Frazier made Dunk. Assisted by Jordan Cornish.,39,50
14:28,193,Miami (OH)  Timeout,39,50
14:05,193,Nike Sibande missed Three Point Jumper.,39,50
14:05,193,Miami (OH) Offensive Rebound.,39,50
14:03,193,Miami (OH)  Turnover.,39,50
13:47,2655,Ray Ona Embo made Three Point Jumper. Assisted by Cameron Reynolds.,39,53
13:13,193,Nike Sibande Turnover.,39,53
13:12,2655,Melvin Frazier Steal.,39,53
13:08,2655,Melvin Frazier made Layup. Assisted by Ray Ona Embo.,39,55
12:35,193,Nike Sibande made Three Point Jumper. Assisted by Bam Bowman.,42,55
12:13,2655,Cameron Reynolds missed Jumper.,42,55
12:13,193,Bam Bowman Defensive Rebound.,42,55
12:03,193,Darrian Ringo missed Layup.,42,55
12:03,2655,Blake Paul Block.,42,55
12:02,193,Rod Mills Jr. Offensive Rebound.,42,55
11:42,193,Nike Sibande made Three Point Jumper. Assisted by Darrian Ringo.,45,55
11:16,2655,Jordan Cornish missed Jumper.,45,55
11:16,193,Rod Mills Jr. Defensive Rebound.,45,55
11:04,193,Jake Wright missed Three Point Jumper.,45,55
11:04,193,Precious Ayah Offensive Rebound.,45,55
11:01,2655,Official TV Timeout,45,55
10:54,2655,Ray Ona Embo Turnover.,45,55
10:53,193,Darrian Ringo Steal.,45,55
10:50,193,Nike Sibande made Layup. Assisted by Darrian Ringo.,47,55
10:23,2655,Jordan Cornish made Layup.,47,57
9:59,193,Nike Sibande missed Three Point Jumper.,47,57
9:59,2655,Tulane Defensive Rebound.,47,57
9:37,193,Foul on Bam Bowman.,47,57
9:28,2655,Jordan Cornish missed Layup.,47,57
9:28,193,Logan McLane Defensive Rebound.,47,57
9:14,193,Rod Mills Jr. made Layup. Assisted by Isaiah Coleman-Lands.,49,57
8:49,2655,Cameron Reynolds made Jumper.,49,59
8:28,193,Logan McLane Turnover.,49,59
8:10,2655,Ray Ona Embo missed Jumper.,49,59
8:10,2655,Samir Sehic Offensive Rebound.,49,59
8:07,2655,Samir Sehic missed Layup.,49,59
8:07,2655,Samir Sehic Offensive Rebound.,49,59
8:04,2655,Samir Sehic made Layup.,49,61
7:40,193,Rod Mills Jr. missed Jumper.,49,61
7:40,2655,Samir Sehic Block.,49,61
7:38,2655,Samir Sehic Defensive Rebound.,49,61
7:29,2655,Melvin Frazier made Layup.,49,63
6:59,193,Rod Mills Jr. missed Three Point Jumper.,49,63
6:59,193,Jalen Adaway Offensive Rebound.,49,63
6:56,2655,Foul on Caleb Daniels.,49,63
6:56,2655,Official TV Timeout,49,63
6:46,193,Logan McLane made Layup.,51,63
6:30,2655,Caleb Daniels made Jumper.,51,65
6:18,193,Jalen Adaway Turnover.,51,65
5:55,2655,Melvin Frazier made Three Point Jumper. Assisted by Samir Sehic.,51,68
5:36,193,Jalen Adaway missed Three Point Jumper.,51,68
5:36,2655,Samir Sehic Defensive Rebound.,51,68
5:29,2655,Caleb Daniels made Layup. Assisted by Melvin Frazier.,51,70
5:19,193,Nike Sibande missed Three Point Jumper.,51,70
5:14,193,Precious Ayah Offensive Rebound.,51,70
5:12,193,Precious Ayah missed Layup.,51,70
5:12,2655,Samir Sehic Defensive Rebound.,51,70
5:09,2655,Caleb Daniels missed Layup.,51,70
5:09,193,Precious Ayah Block.,51,70
5:08,2655,Caleb Daniels Offensive Rebound.,51,70
5:07,2655,Caleb Daniels missed Layup.,51,70
5:07,193,Precious Ayah Block.,51,70
5:04,193,Precious Ayah Defensive Rebound.,51,70
4:49,193,Precious Ayah Turnover.,51,70
4:24,193,Foul on Precious Ayah.,51,70
4:24,2655,Ray Ona Embo missed Free Throw.,51,70
4:24,2655,Tulane Deadball Team Rebound.,51,70
4:24,2655,Ray Ona Embo made Free Throw.,51,71
4:15,193,Dalonte Brown missed Jumper.,51,71
4:15,2655,Melvin Frazier Defensive Rebound.,51,71
4:01,2655,Melvin Frazier Turnover.,51,71
4:00,2655,Official TV Timeout,51,71
3:31,2655,Foul on Caleb Daniels.,51,71
3:31,193,Nike Sibande made Free Throw.,52,71
3:31,193,Nike Sibande made Free Throw.,53,71
3:31,193,Nike Sibande made Free Throw.,54,71
3:25,2655,Melvin Frazier made Layup.,54,73
2:57,193,Nike Sibande missed Jumper.,54,73
2:57,2655,Caleb Daniels Defensive Rebound.,54,73
2:49,2655,Cameron Reynolds made Three Point Jumper. Assisted by Caleb Daniels.,54,76
2:28,193,Precious Ayah missed Jumper.,54,76
2:28,2655,Samir Sehic Block.,54,76
2:28,193,Miami (OH) Offensive Rebound.,54,76
2:23,2655,Foul on Buay Koka.,54,76
2:23,193,Dalonte Brown made Free Throw.,55,76
2:23,193,Dalonte Brown made Free Throw.,56,76
2:03,2655,Shakwon Barrett missed Jumper.,56,76
2:03,193,Miami (OH) Defensive Rebound.,56,76
1:52,193,Logan McLane Turnover.,56,76
1:51,2655,Melvin Frazier Steal.,56,76
1:48,2655,Melvin Frazier missed Layup.,56,76
1:48,2655,Melvin Frazier Offensive Rebound.,56,76
1:46,2655,Melvin Frazier made Layup.,56,78
1:13,2655,Foul on Riley Conroy.,56,78
1:13,2655,Tulane  Timeout,56,78
1:05,193,Jake Wright made Three Point Jumper. Assisted by Precious Ayah.,59,78
0:43,2655,Colin Slater made Layup.,59,80
0:19,193,Isaiah Coleman-Lands missed Three Point Jumper.,59,80
0:19,2655,Riley Conroy Defensive Rebound.,59,80
0:00,2655,End of Game,59,80
