Wisconsin,258,Virginia,275
1:34,258,Jack Salt Defensive Rebound.,18,22
1:13,258,Ty Jerome made Jumper.,18,24
1:02,275,Wisconsin  Timeout,18,24
0:47,275,Foul on D'Mitrik Trice.,18,24
0:47,275,D'Mitrik Trice Turnover.,18,24
0:40,258,Kyle Guy missed Three Point Jumper.,18,24
0:40,275,D'Mitrik Trice Defensive Rebound.,18,24
0:18,275,D'Mitrik Trice made Jumper.,20,24
0:00,258,Ty Jerome missed Three Point Jumper.,20,24
0:00,275,Wisconsin Deadball Team Rebound.,20,24
0:00,258,End of 1st half,20,24
20:00,258,Jump Ball won by Virginia,20,24
19:46,258,Kyle Guy made Jumper.,20,26
19:30,275,Aleem Ford Turnover.,20,26
19:30,258,Ty Jerome Steal.,20,26
19:17,258,Devon Hall missed Jumper.,20,26
19:17,275,Aleem Ford Defensive Rebound.,20,26
19:04,275,Ethan Happ made Layup. Assisted by D'Mitrik Trice.,22,26
18:33,258,Jack Salt made Layup.,22,28
18:09,275,Khalil Iverson Turnover.,22,28
17:57,258,Ty Jerome missed Jumper.,22,28
17:57,275,Aleem Ford Defensive Rebound.,22,28
17:31,275,Ethan Happ made Jumper.,24,28
17:13,258,Kyle Guy made Jumper. Assisted by Devon Hall.,24,30
16:58,275,Ethan Happ made Layup. Assisted by D'Mitrik Trice.,26,30
16:32,258,Ty Jerome made Jumper. Assisted by Kyle Guy.,26,32
16:20,275,Ethan Happ missed Jumper.,26,32
16:20,275,Ethan Happ Offensive Rebound.,26,32
16:13,275,Ethan Happ missed Layup.,26,32
16:13,258,Isaiah Wilkins Defensive Rebound.,26,32
15:58,258,Kyle Guy missed Three Point Jumper.,26,32
15:58,275,Aleem Ford Defensive Rebound.,26,32
15:43,275,Brad Davison missed Layup.,26,32
15:43,258,Jack Salt Defensive Rebound.,26,32
15:25,258,Kyle Guy made Jumper.,26,34
15:12,275,Wisconsin  Timeout,26,34
15:05,275,Foul on Charles Thomas IV.,26,34
15:05,275,Charles Thomas IV Turnover.,26,34
15:05,258,Official TV Timeout,26,34
14:52,258,Devon Hall missed Jumper.,26,34
14:52,275,Charles Thomas IV Defensive Rebound.,26,34
14:42,258,Foul on Isaiah Wilkins.,26,34
14:24,275,Brad Davison missed Three Point Jumper.,26,34
14:24,258,Jack Salt Defensive Rebound.,26,34
14:06,258,Kyle Guy missed Three Point Jumper.,26,34
14:06,275,Brevin Pritzl Defensive Rebound.,26,34
13:53,275,Kobe King missed Jumper.,26,34
13:53,258,Ty Jerome Defensive Rebound.,26,34
13:30,258,Mamadi Diakite made Jumper.,26,36
13:13,275,Charles Thomas IV missed Three Point Jumper.,26,36
13:13,258,Kyle Guy Defensive Rebound.,26,36
12:57,258,Ty Jerome missed Jumper.,26,36
12:57,275,Charles Thomas IV Defensive Rebound.,26,36
12:37,275,Brad Davison missed Jumper.,26,36
12:37,258,Mamadi Diakite Defensive Rebound.,26,36
12:36,275,Foul on Kobe King.,26,36
12:17,258,Devon Hall made Jumper.,26,38
12:02,275,Ethan Happ Turnover.,26,38
11:43,258,Jack Salt made Dunk. Assisted by Devon Hall.,26,40
11:34,275,Wisconsin  Timeout,26,40
11:26,275,Nate Reuvers Turnover.,26,40
11:26,258,Nigel Johnson Steal.,26,40
11:11,258,Nigel Johnson missed Jumper.,26,40
11:11,275,Khalil Iverson Block.,26,40
11:11,258,Virginia Offensive Rebound.,26,40
11:04,258,Mamadi Diakite missed Layup.,26,40
11:04,275,Wisconsin Defensive Rebound.,26,40
10:53,275,Nate Reuvers Turnover.,26,40
10:53,258,Jack Salt Steal.,26,40
10:32,258,Devon Hall made Jumper.,26,42
10:08,275,Nate Reuvers missed Jumper.,26,42
10:08,258,Devon Hall Defensive Rebound.,26,42
9:53,258,Kyle Guy missed Three Point Jumper.,26,42
9:53,258,Jack Salt Offensive Rebound.,26,42
9:36,258,Kyle Guy Turnover.,26,42
9:36,275,Nate Reuvers Steal.,26,42
9:32,258,Foul on Kyle Guy.,26,42
9:11,275,Brad Davison made Three Point Jumper. Assisted by Kobe King.,29,42
8:45,258,Devon Hall missed Three Point Jumper.,29,42
8:45,258,Mamadi Diakite Offensive Rebound.,29,42
8:43,275,Foul on Aleem Ford.,29,42
8:31,258,Ty Jerome missed Three Point Jumper.,29,42
8:31,258,Jack Salt Offensive Rebound.,29,42
8:12,258,Nigel Johnson missed Jumper.,29,42
8:12,275,Ethan Happ Defensive Rebound.,29,42
7:47,275,Aleem Ford missed Three Point Jumper.,29,42
7:47,258,Nigel Johnson Defensive Rebound.,29,42
7:31,258,Virginia  Timeout,29,42
7:23,275,Foul on Kobe King.,29,42
7:13,258,De'Andre Hunter missed Jumper.,29,42
7:13,258,Isaiah Wilkins Offensive Rebound.,29,42
7:13,258,Isaiah Wilkins missed Two Point Tip Shot.,29,42
7:13,258,Virginia Offensive Rebound.,29,42
6:51,258,De'Andre Hunter missed Jumper.,29,42
6:51,275,Brevin Pritzl Defensive Rebound.,29,42
6:34,275,Kobe King missed Three Point Jumper.,29,42
6:34,258,Nigel Johnson Defensive Rebound.,29,42
6:10,258,Isaiah Wilkins missed Jumper.,29,42
6:10,275,Aleem Ford Defensive Rebound.,29,42
6:01,275,Brad Davison made Layup.,31,42
5:37,258,Ty Jerome missed Three Point Jumper.,31,42
5:37,258,Jack Salt Offensive Rebound.,31,42
5:12,258,De'Andre Hunter missed Layup.,31,42
5:12,275,Ethan Happ Defensive Rebound.,31,42
5:12,258,Foul on Jack Salt.,31,42
5:04,275,Aleem Ford missed Three Point Jumper.,31,42
