Nazareth,2084,Buffalo,110426
1:52,-1,Nazareth College Offensive Rebound.,21,36
1:51,-1,Jake Burgio made Jumper. Assisted by Tyler Stenglein.,23,36
1:35,2084,Blake Hamilton Turnover.,23,36
1:16,2084,Foul on Nikola Rakicevic.,23,36
1:03,-1,Daniel Jacob missed Three Point Jumper.,23,36
1:03,2084,Blake Hamilton Defensive Rebound.,23,36
0:55,2084,Nick Perkins made Dunk. Assisted by Ikenna Smart.,23,38
0:35,-1,Daniel Jacob missed Layup.,23,38
0:35,2084,Nick Perkins Block.,23,38
0:33,2084,Nikola Rakicevic Defensive Rebound.,23,38
0:29,2084,Ikenna Smart made Layup. Assisted by Dontay Caruthers.,23,40
0:29,-1,Foul on Brendan Wind.,23,40
0:29,2084,Ikenna Smart made Free Throw.,23,41
0:00,-1,Daniel Jacob made Jumper.,25,41
0:00,2084,End of 1st half,25,41
19:52,-1,Foul on Tyler Stenglein.,25,41
19:50,2084,Nick Perkins made Dunk. Assisted by Dontay Caruthers.,25,43
19:29,2084,Foul on Willie Conner.,25,43
19:14,-1,Brendan Wind Turnover.,25,43
18:55,2084,Ikenna Smart made Layup. Assisted by Nick Perkins.,25,45
18:25,-1,Brendan Wind Turnover.,25,45
18:24,2084,Willie Conner Steal.,25,45
18:21,2084,Willie Conner missed Layup.,25,45
18:21,2084,Ikenna Smart Offensive Rebound.,25,45
18:18,2084,Ikenna Smart made Layup.,25,47
18:17,-1,Nazareth College  Timeout,25,47
17:57,-1,Jake Burgio Turnover.,25,47
17:56,2084,Nick Perkins Steal.,25,47
17:51,2084,Nick Perkins made Layup. Assisted by Ikenna Smart.,25,49
17:28,-1,Tyler Stenglein made Jumper.,27,49
17:07,2084,Ikenna Smart Turnover.,27,49
17:07,2084,Foul on Ikenna Smart.,27,49
16:45,-1,Tyler Stenglein missed Jumper.,27,49
16:45,2084,David Kadiri Block.,27,49
16:43,2084,Blake Hamilton Defensive Rebound.,27,49
16:38,2084,Blake Hamilton Turnover.,27,49
16:38,-1,Brendan Wind Steal.,27,49
16:32,2084,Foul on Davonta Jordan.,27,49
16:32,-1,Brendan Wind made Free Throw.,28,49
16:32,-1,Brendan Wind made Free Throw.,29,49
16:05,2084,Nick Perkins missed Three Point Jumper.,29,49
16:05,2084,Davonta Jordan Offensive Rebound.,29,49
16:00,2084,Davonta Jordan Turnover.,29,49
15:59,-1,Jake Burgio Steal.,29,49
15:57,-1,Tyler Stenglein missed Layup.,29,49
15:57,2084,Nick Perkins Defensive Rebound.,29,49
15:46,2084,David Kadiri made Layup. Assisted by Blake Hamilton.,29,51
15:28,-1,Tyler Stenglein Turnover.,29,51
15:27,2084,Blake Hamilton Steal.,29,51
15:25,2084,James Jones made Layup. Assisted by Blake Hamilton.,29,53
14:56,-1,Chris Jones missed Layup.,29,53
14:56,2084,Nick Perkins Defensive Rebound.,29,53
14:50,2084,David Kadiri made Dunk. Assisted by Davonta Jordan.,29,55
14:48,-1,Nazareth College  Timeout,29,55
14:31,-1,Cody Green missed Three Point Jumper.,29,55
14:31,2084,Davonta Jordan Defensive Rebound.,29,55
14:21,2084,Ikenna Smart made Layup. Assisted by Blake Hamilton.,29,57
14:21,-1,Foul on Jack Mulcahy.,29,57
14:21,2084,Ikenna Smart missed Free Throw.,29,57
14:21,-1,Daniel Freilicher Defensive Rebound.,29,57
13:57,-1,Brendan Wind made Jumper. Assisted by Cody Green.,31,57
13:42,2084,Ikenna Smart Turnover.,31,57
13:23,-1,Brendan Wind missed Layup.,31,57
13:23,2084,Ikenna Smart Defensive Rebound.,31,57
13:11,2084,James Jones missed Three Point Jumper.,31,57
13:11,-1,Mitch Keniston Defensive Rebound.,31,57
12:54,-1,Jack Mulcahy missed Jumper.,31,57
12:54,2084,Blake Hamilton Block.,31,57
12:52,2084,Buffalo Defensive Rebound.,31,57
12:37,2084,Davonta Jordan Turnover.,31,57
12:36,-1,Daniel Freilicher Steal.,31,57
12:34,-1,Daniel Freilicher Turnover.,31,57
12:34,2084,Davonta Jordan Steal.,31,57
12:28,2084,Ikenna Smart Turnover.,31,57
12:27,-1,Brendan Wind Steal.,31,57
12:21,-1,Brendan Wind made Jumper.,33,57
12:03,2084,James Jones missed Three Point Jumper.,33,57
