NJIT,322,Lafayette,2885
7:27,322,Matt Klinewski made Jumper. Assisted by Nick Lindner.,26,17
7:18,322,Foul on Nick Lindner.,26,17
7:18,322,Official TV Timeout,26,17
7:12,322,Foul on Eric Stafford.,26,17
7:12,2885,Tim Coleman made Free Throw.,27,17
7:12,2885,Tim Coleman made Free Throw.,28,17
6:44,322,Matt Klinewski missed Jumper.,28,17
6:44,2885,Tim Coleman Defensive Rebound.,28,17
6:44,2885,Tim Coleman Turnover.,28,17
6:18,322,Matt Klinewski missed Jumper.,28,17
6:18,2885,Mohamed Bendary Defensive Rebound.,28,17
6:10,2885,Chris Jenkins made Three Point Jumper. Assisted by Damon Lynn.,31,17
5:51,2885,Foul on Tim Coleman.,31,17
5:42,322,Nick Lindner missed Jumper.,31,17
5:42,2885,Tim Coleman Defensive Rebound.,31,17
5:34,2885,Rob Ukawuba Turnover.,31,17
5:34,2885,Foul on Rob Ukawuba.,31,17
5:25,2885,Foul on Anthony Tarke.,31,17
5:25,322,Eric Stafford made Free Throw.,31,18
5:25,322,Eric Stafford made Free Throw.,31,19
5:17,2885,Anthony Tarke Turnover.,31,19
4:57,322,Myles Cherry made Jumper. Assisted by Eric Stafford.,31,21
4:52,2885,Chris Jenkins made Three Point Jumper.,34,21
4:29,2885,Tim Coleman made Layup. Assisted by Mohamed Bendary.,36,21
4:22,322,Lafayette  Timeout,36,21
3:50,322,Matt Klinewski missed Jumper.,36,21
3:50,322,Nick Lindner Offensive Rebound.,36,21
3:47,322,Nick Lindner made Three Point Jumper. Assisted by Myles Cherry.,36,24
3:12,2885,Tim Coleman missed Jumper.,36,24
3:12,322,Nick Lindner Defensive Rebound.,36,24
2:58,322,Myles Cherry made Layup. Assisted by Nick Lindner.,36,26
2:40,2885,Mohamed Bendary missed Jumper.,36,26
2:40,322,Eric Stafford Defensive Rebound.,36,26
2:31,322,Nick Lindner missed Three Point Jumper.,36,26
2:31,322,Nick Lindner Offensive Rebound.,36,26
2:25,322,Matt Klinewski made Layup.,36,28
2:08,2885,Mohamed Bendary Turnover.,36,28
1:42,322,Nick Lindner missed Layup.,36,28
1:42,2885,Tim Coleman Block.,36,28
1:40,2885,Chris Jenkins Defensive Rebound.,36,28
1:26,2885,Damon Lynn missed Layup.,36,28
1:26,322,Eric Stafford Defensive Rebound.,36,28
1:10,322,Matt Klinewski missed Jumper.,36,28
1:10,2885,Ron Alston Defensive Rebound.,36,28
0:58,2885,Taj Price missed Jumper.,36,28
0:58,322,Eric Stafford Defensive Rebound.,36,28
0:51,322,Nick Lindner missed Three Point Jumper.,36,28
0:51,2885,Chris Jenkins Defensive Rebound.,36,28
0:31,2885,Ron Alston missed Three Point Jumper.,36,28
0:31,322,Matt Klinewski Defensive Rebound.,36,28
0:02,322,Matt Klinewski missed Jumper.,36,28
0:02,2885,NJIT Defensive Rebound.,36,28
0:00,322,End of 1st half,36,28
19:53,2885,Tim Coleman Turnover.,36,28
19:51,322,Auston Evans Steal.,36,28
19:44,322,Paulius Zalys made Three Point Jumper. Assisted by Auston Evans.,36,31
19:26,2885,Damon Lynn missed Three Point Jumper.,36,31
19:26,322,Paulius Zalys Defensive Rebound.,36,31
19:13,322,Eric Stafford Turnover.,36,31
19:00,2885,Osa Izevbuwa missed Layup.,36,31
19:00,322,Matt Klinewski Defensive Rebound.,36,31
18:47,322,Paulius Zalys made Three Point Jumper. Assisted by Eric Stafford.,36,34
18:23,322,Foul on Auston Evans.,36,34
18:23,2885,Tim Coleman made Free Throw.,37,34
18:23,2885,Tim Coleman missed Free Throw.,37,34
18:23,322,Matt Klinewski Defensive Rebound.,37,34
18:05,322,Paulius Zalys missed Three Point Jumper.,37,34
18:05,2885,Shyquan Gibbs Defensive Rebound.,37,34
17:57,2885,Tim Coleman missed Three Point Jumper.,37,34
17:57,322,Lafayette Defensive Rebound.,37,34
17:32,2885,Foul on Rob Ukawuba.,37,34
17:32,322,Kyle Stout made Jumper. Assisted by Eric Stafford.,37,36
17:26,2885,Abdul Lewis missed Jumper.,37,36
17:26,322,Matt Klinewski Block.,37,36
17:22,2885,NJIT Offensive Rebound.,37,36
17:02,322,Foul on Matt Klinewski.,37,36
16:56,2885,Damon Lynn made Three Point Jumper. Assisted by Shyquan Gibbs.,40,36
