Florida Gulf Coast,127,Michigan State,526
6:54,526,RaySean Scott Jr. made Three Point Jumper. Assisted by Reggie Reid.,17,19
6:35,127,Joshua Langford made Jumper. Assisted by Lourawls Nairn Jr..,17,21
6:00,526,Christian Terrell missed Jumper.,17,21
6:00,526,Antravious Simmons Offensive Rebound.,17,21
6:00,127,Foul on Nick Ward.,17,21
6:00,526,Antravious Simmons made Free Throw.,18,21
6:00,526,Antravious Simmons made Free Throw.,19,21
5:48,526,Foul on Kevin Mickle.,19,21
5:48,127,Matt Van Dyk made Free Throw.,19,22
5:48,127,Matt Van Dyk missed Free Throw.,19,22
5:48,526,RaySean Scott Jr. Defensive Rebound.,19,22
5:21,526,Rayjon Tucker missed Layup.,19,22
5:21,127,Eron Harris Defensive Rebound.,19,22
5:12,127,Miles Bridges missed Layup.,19,22
5:12,127,Matt Van Dyk Offensive Rebound.,19,22
5:10,526,Foul on RaySean Scott Jr..,19,22
5:10,127,Matt Van Dyk made Free Throw.,19,23
5:10,127,Matt Van Dyk made Free Throw.,19,24
4:58,526,RaySean Scott Jr. made Three Point Jumper. Assisted by Christian Terrell.,22,24
4:47,127,Eron Harris missed Jumper.,22,24
4:47,526,Rayjon Tucker Defensive Rebound.,22,24
4:33,526,Foul on Antravious Simmons.,22,24
4:33,526,Antravious Simmons Turnover.,22,24
4:23,127,Cassius Winston made Layup.,22,26
4:10,526,Rayjon Tucker Turnover.,22,26
4:09,127,Eron Harris Steal.,22,26
4:07,127,Cassius Winston missed Jumper.,22,26
4:07,127,Eron Harris Offensive Rebound.,22,26
4:03,127,Eron Harris made Two Point Tip Shot.,22,28
4:03,526,Florida Gulf Coast  Timeout,22,28
4:03,127,Official TV Timeout,22,28
3:49,526,Brandon Goodwin made Jumper.,24,28
3:31,127,Miles Bridges made Dunk. Assisted by Joshua Langford.,24,30
3:10,526,Brandon Goodwin made Layup.,26,30
3:01,127,Matt Van Dyk made Layup. Assisted by Cassius Winston.,26,32
2:33,127,Foul on Joshua Langford.,26,32
2:33,526,Christian Carlyle missed Free Throw.,26,32
2:33,526,Florida Gulf Coast Deadball Team Rebound.,26,32
2:33,526,Christian Carlyle made Free Throw.,27,32
2:14,127,Miles Bridges made Three Point Jumper. Assisted by Lourawls Nairn Jr..,27,35
1:52,526,RaySean Scott Jr. missed Jumper.,27,35
1:52,127,Miles Bridges Defensive Rebound.,27,35
1:39,526,Foul on Christian Carlyle.,27,35
1:39,127,Eron Harris made Free Throw.,27,36
1:39,127,Eron Harris missed Free Throw.,27,36
1:39,526,Christian Terrell Defensive Rebound.,27,36
1:22,526,Christian Terrell missed Three Point Jumper.,27,36
1:22,526,Rayjon Tucker Offensive Rebound.,27,36
1:12,526,Brandon Goodwin made Layup.,29,36
1:08,127,Miles Bridges Turnover.,29,36
1:07,526,Christian Terrell Steal.,29,36
1:06,526,Brandon Goodwin made Layup. Assisted by Christian Terrell.,31,36
1:01,127,Michigan St  Timeout,31,36
1:01,127,Technical Foul on Michigan St.,31,36
1:01,526,Christian Terrell made Free Throw.,32,36
1:01,526,Christian Terrell made Free Throw.,33,36
0:42,526,Foul on Brandon Goodwin.,33,36
0:42,127,Eron Harris made Free Throw.,33,37
0:42,127,Eron Harris made Free Throw.,33,38
