Navy,2430,UNC Greensboro,2426
4:40,2430,Demetrius Troy made Jumper.,18,26
4:28,2426,Hasan Abdullah Turnover.,18,26
4:26,2430,James Dickey Steal.,18,26
4:14,2426,Foul on Ryan Pearson.,18,26
3:44,2430,R.J. White made Jumper.,18,28
3:12,2426,Bryce Dulin made Jumper.,20,28
2:48,2430,Demetrius Troy missed Three Point Jumper.,20,28
2:48,2426,Ryan Pearson Defensive Rebound.,20,28
2:36,2430,Foul on Diante Baldwin.,20,28
2:36,2430,Official TV Timeout,20,28
2:36,2426,Bryce Dulin missed Free Throw.,20,28
2:36,2426,Navy Deadball Team Rebound.,20,28
2:36,2426,Bryce Dulin made Free Throw.,21,28
2:18,2430,R.J. White Turnover.,21,28
2:01,2426,George Kiernan made Three Point Jumper. Assisted by Nourse Fox.,24,28
1:29,2430,Demetrius Troy Turnover.,24,28
1:10,2426,George Kiernan missed Three Point Jumper.,24,28
1:10,2430,Demetrius Troy Defensive Rebound.,24,28
0:46,2430,Jordy Kuiper made Jumper. Assisted by James Dickey.,24,30
0:16,2426,Edward Alade missed Layup.,24,30
0:16,2430,James Dickey Block.,24,30
0:15,2426,Shawn Anderson Offensive Rebound.,24,30
0:11,2426,Shawn Anderson made Layup.,26,30
0:02,2430,Diante Baldwin made Jumper.,26,32
0:00,2430,End of 1st half,26,32
19:44,2430,R.J. White made Layup. Assisted by Marvin Smith.,26,34
19:13,2426,Hasan Abdullah missed Three Point Jumper.,26,34
19:13,2426,Evan Wieck Offensive Rebound.,26,34
19:11,2430,Foul on R.J. White.,26,34
19:10,2426,Shawn Anderson made Jumper. Assisted by Hasan Abdullah.,28,34
18:54,2430,R.J. White missed Layup.,28,34
18:54,2426,Hasan Abdullah Defensive Rebound.,28,34
18:42,2426,Shawn Anderson Turnover.,28,34
18:18,2430,Marvin Smith missed Layup.,28,34
18:18,2426,Evan Wieck Defensive Rebound.,28,34
18:10,2426,Shawn Anderson missed Layup.,28,34
18:10,2430,Diante Baldwin Defensive Rebound.,28,34
18:05,2426,Foul on Hasan Abdullah.,28,34
17:46,2430,Marvin Smith missed Three Point Jumper.,28,34
17:46,2430,Diante Baldwin Offensive Rebound.,28,34
17:36,2430,Francis Alonso missed Jumper.,28,34
17:36,2426,Shawn Anderson Defensive Rebound.,28,34
17:35,2430,Foul on Marvin Smith.,28,34
17:17,2426,Tom Lacey Turnover.,28,34
16:57,2430,Marvin Smith missed Three Point Jumper.,28,34
16:57,2426,Evan Wieck Defensive Rebound.,28,34
16:37,2426,Tom Lacey missed Layup.,28,34
16:37,2430,Jordy Kuiper Defensive Rebound.,28,34
16:22,2430,Foul on Jordy Kuiper.,28,34
16:22,2430,Jordy Kuiper Turnover.,28,34
16:03,2426,Ryan Pearson Turnover.,28,34
15:38,2430,Francis Alonso made Three Point Jumper. Assisted by James Dickey.,28,37
15:16,2426,Hasan Abdullah Turnover.,28,37
15:15,2430,R.J. White Steal.,28,37
15:07,2430,Francis Alonso Turnover.,28,37
15:07,2426,Hasan Abdullah Steal.,28,37
15:03,2426,Hasan Abdullah made Layup.,30,37
14:35,2430,Francis Alonso missed Three Point Jumper.,30,37
14:35,2430,R.J. White Offensive Rebound.,30,37
14:31,2430,Diante Baldwin made Three Point Jumper. Assisted by R.J. White.,30,40
14:13,2430,Foul on Francis Alonso.,30,40
14:13,2430,Official TV Timeout,30,40
13:41,2426,Zach Fong missed Three Point Jumper.,30,40
13:41,2430,UNC Greensboro Defensive Rebound.,30,40
13:11,2430,Demetrius Troy made Jumper. Assisted by Diante Baldwin.,30,42
12:53,2426,Bryce Dulin made Layup.,32,42
12:40,2430,R.J. White made Layup. Assisted by Demetrius Troy.,32,44
12:19,2426,James Hemphill Turnover.,32,44
12:18,2430,Demetrius Troy Steal.,32,44
11:57,2430,Demetrius Troy missed Three Point Jumper.,32,44
11:57,2430,James Dickey Offensive Rebound.,32,44
11:55,2426,Foul on James Hemphill.,32,44
11:54,2426,Foul on George Kiernan.,32,44
11:53,2430,Malik Massey made Layup. Assisted by Demetrius Troy.,32,46
11:48,2426,Bryce Dulin Turnover.,32,46
11:48,2430,Official TV Timeout,32,46
11:31,2430,Malik Massey made Three Point Jumper. Assisted by Demetrius Troy.,32,49
11:14,2426,Nourse Fox made Three Point Jumper.,35,49
10:44,2430,James Dickey made Layup.,35,51
10:33,2426,Shawn Anderson made Layup.,37,51
10:07,2430,Demetrius Troy made Three Point Jumper.,37,54
9:59,2430,Foul on Malik Massey.,37,54
9:55,2426,Bryce Dulin made Three Point Jumper. Assisted by Shawn Anderson.,40,54
9:26,2430,James Dickey missed Layup.,40,54
9:26,2430,Jordy Kuiper Offensive Rebound.,40,54
9:19,2430,James Dickey missed Dunk.,40,54
9:19,2430,Jordy Kuiper Offensive Rebound.,40,54
9:17,2426,Foul on George Kiernan.,40,54
9:17,2430,Jordy Kuiper missed Free Throw.,40,54
9:17,2430,UNC Greensboro Deadball Team Rebound.,40,54
9:17,2430,Jordy Kuiper made Free Throw.,40,55
9:01,2430,Foul on Francis Alonso.,40,55
9:01,2426,Tom Lacey made Free Throw.,41,55
9:01,2426,Tom Lacey made Free Throw.,42,55
8:32,2430,Diante Baldwin made Layup.,42,57
8:17,2426,Bryce Dulin made Three Point Jumper.,45,57
7:47,2430,James Dickey made Layup. Assisted by R.J. White.,45,59
7:16,2426,Nourse Fox missed Three Point Jumper.,45,59
7:16,2430,UNC Greensboro Defensive Rebound.,45,59
7:14,2430,Official TV Timeout,45,59
6:56,2430,Marvin Smith made Three Point Jumper. Assisted by Demetrius Troy.,45,62
6:37,2426,Tom Lacey Turnover.,45,62
6:37,2430,Demetrius Troy Steal.,45,62
6:33,2430,Diante Baldwin made Layup. Assisted by Demetrius Troy.,45,64
6:18,2430,Foul on R.J. White.,45,64
6:18,2426,Shawn Anderson made Free Throw.,46,64
6:18,2426,Shawn Anderson made Free Throw.,47,64
5:51,2430,James Dickey made Layup. Assisted by Marvin Smith.,47,66
5:41,2426,Evan Wieck missed Layup.,47,66
5:41,2430,Jordy Kuiper Defensive Rebound.,47,66
5:15,2430,Jordy Kuiper made Layup. Assisted by Diante Baldwin.,47,68
4:48,2426,George Kiernan made Layup.,49,68
4:25,2430,James Dickey Turnover.,49,68
4:24,2426,Hasan Abdullah Steal.,49,68
4:22,2426,Shawn Anderson made Layup. Assisted by Hasan Abdullah.,51,68
4:03,2430,UNC Greensboro  Timeout,51,68
3:48,2430,R.J. White Turnover.,51,68
3:47,2426,Hasan Abdullah Steal.,51,68
3:34,2430,Foul on Francis Alonso.,51,68
3:34,2426,Shawn Anderson made Free Throw.,53,68
3:34,2426,Shawn Anderson made Free Throw.,52,68
3:04,2430,Demetrius Troy made Jumper.,53,70
2:46,2426,Shawn Anderson Turnover.,53,70
2:44,2430,Marvin Smith Steal.,53,70
2:44,2426,Foul on George Kiernan.,53,70
