Furman,2737,Winthrop,231
3:40,2737,Anders Broman made Three Point Jumper. Assisted by Keon Johnson.,17,16
3:06,231,Geoff Beans missed Three Point Jumper.,17,16
3:06,2737,Keon Johnson Defensive Rebound.,17,16
2:53,2737,Roderick Perkins missed Layup.,17,16
2:53,231,Geoff Beans Defensive Rebound.,17,16
2:44,231,Geoff Beans made Three Point Jumper. Assisted by Daniel Fowler.,20,16
2:30,231,Foul on Andrew Brown.,20,16
2:26,231,Foul on Kris Acox.,20,16
2:26,2737,Roderick Perkins made Free Throw.,20,17
2:26,2737,Roderick Perkins made Free Throw.,20,18
2:10,231,Devin Sibley made Three Point Jumper.,23,18
1:51,2737,Xavier Cooks missed Jumper.,23,18
1:51,231,Devin Sibley Defensive Rebound.,23,18
1:44,2737,Foul on Anders Broman.,23,18
1:44,231,Devin Sibley made Free Throw.,24,18
1:44,231,Devin Sibley made Free Throw.,25,18
1:36,2737,Duby Okeke missed Dunk.,25,18
1:36,231,Matt Rafferty Block.,25,18
1:36,2737,Winthrop Offensive Rebound.,25,18
1:30,2737,Xavier Cooks Turnover.,25,18
1:29,231,John Davis III Steal.,25,18
1:29,2737,Foul on Duby Okeke.,25,18
1:29,231,John Davis III missed Free Throw.,25,18
1:29,231,Matt Rafferty Offensive Rebound.,25,18
1:24,231,Geoff Beans Turnover.,25,18
1:05,2737,Keon Johnson Turnover.,25,18
0:52,231,John Davis III Turnover.,25,18
0:51,2737,Bjorn Broman Steal.,25,18
0:42,231,Foul on Daniel Fowler.,25,18
0:42,2737,Xavier Cooks missed Free Throw.,25,18
0:42,2737,Winthrop Deadball Team Rebound.,25,18
0:42,2737,Xavier Cooks made Free Throw.,25,19
0:42,231,Furman  Timeout,25,19
0:15,231,Devin Sibley Turnover.,25,19
0:05,2737,Keon Johnson made Jumper.,25,21
0:00,2737,End of 1st half,25,21
19:39,2737,Tevin Prescott Turnover.,25,21
19:38,231,Daniel Fowler Steal.,25,21
19:18,231,John Davis III missed Three Point Jumper.,25,21
19:18,2737,Tevin Prescott Defensive Rebound.,25,21
19:08,2737,Keon Johnson missed Layup.,25,21
19:08,2737,Winthrop Offensive Rebound.,25,21
18:41,2737,Roderick Perkins missed Three Point Jumper.,25,21
18:41,231,Devin Sibley Defensive Rebound.,25,21
18:09,231,Furman  Turnover.,25,21
17:49,2737,Xavier Cooks made Layup.,25,23
17:32,231,Kris Acox missed Layup.,25,23
17:32,2737,Xavier Cooks Defensive Rebound.,25,23
17:21,2737,Tevin Prescott made Jumper. Assisted by Xavier Cooks.,25,25
16:59,231,Daniel Fowler Turnover.,25,25
16:48,2737,Xavier Cooks made Three Point Jumper.,25,28
16:36,231,Furman  Timeout,25,28
