Norfolk State,2350,Loyola-Chicago,2450
1:45,2450,Dan Robinson made Two Point Tip Shot.,20,32
1:41,2450,Norfolk St  Timeout,20,32
1:26,2350,Aundre Jackson missed Layup.,20,32
1:26,2450,Dan Robinson Block.,20,32
1:24,2450,Dan Robinson Defensive Rebound.,20,32
1:09,2450,Carrington Ward missed Three Point Jumper.,20,32
1:09,2450,Dan Robinson Offensive Rebound.,20,32
0:48,2450,Zaynah Robinson made Jumper.,22,32
0:29,2350,Donte Ingram missed Jumper.,22,32
0:29,2450,Dan Robinson Defensive Rebound.,22,32
0:09,2450,Alex Long made Jumper.,24,32
0:00,2350,End of 1st half,24,32
19:43,2450,Foul on Dan Robinson.,24,32
19:43,2450,Dan Robinson Turnover.,24,32
19:20,2350,Aundre Jackson Turnover.,24,32
19:18,2450,Alex Long Steal.,24,32
19:15,2450,Alex Long Turnover.,24,32
19:14,2350,Donte Ingram Steal.,24,32
19:11,2350,Ben Richardson missed Three Point Jumper.,24,32
19:11,2450,Dan Robinson Defensive Rebound.,24,32
18:54,2450,Jonathan Wade made Three Point Jumper. Assisted by Zaynah Robinson.,27,32
18:37,2350,Aundre Jackson made Layup.,27,34
18:37,2450,Foul on Dan Robinson.,27,34
18:37,2350,Aundre Jackson made Free Throw.,27,35
18:08,2450,Kyle Williams made Three Point Jumper. Assisted by Jonathan Wade.,30,35
17:52,2350,Milton Doyle missed Layup.,30,35
17:52,2450,Alex Long Block.,30,35
17:52,2350,Loyola (CHI) Offensive Rebound.,30,35
17:38,2350,Aundre Jackson missed Layup.,30,35
17:38,2450,Alex Long Block.,30,35
17:37,2450,Zaynah Robinson Defensive Rebound.,30,35
17:33,2450,Zaynah Robinson missed Layup.,30,35
17:33,2450,Jordan Butler Offensive Rebound.,30,35
17:26,2450,Jordan Butler made Layup.,32,35
17:11,2350,Ben Richardson Turnover.,32,35
17:05,2450,Alex Long made Free Throw.,34,35
17:05,2450,Alex Long made Free Throw.,33,35
17:05,2450,Zaynah Robinson missed Layup.,33,35
17:05,2450,Alex Long Offensive Rebound.,34,35
17:02,2350,Foul on Milton Doyle.,34,35
16:42,2450,Foul on Jonathan Wade.,34,35
16:31,2350,Cameron Satterwhite missed Three Point Jumper.,34,35
16:31,2450,Jonathan Wade Defensive Rebound.,34,35
16:22,2450,Zaynah Robinson missed Three Point Jumper.,34,35
16:22,2350,Aundre Jackson Defensive Rebound.,34,35
16:19,2450,Foul on Alex Long.,34,35
16:01,2350,Jake Baughman made Layup. Assisted by Aundre Jackson.,34,37
15:34,2450,Kyle Williams made Jumper. Assisted by Alex Long.,36,37
15:16,2350,Donte Ingram made Jumper. Assisted by Aundre Jackson.,36,39
15:10,2450,Jonathan Wade Turnover.,36,39
15:10,2350,Official TV Timeout,36,39
14:53,2350,Bruno Skokna made Layup.,36,41
14:32,2450,Zaynah Robinson missed Three Point Jumper.,36,41
14:32,2450,Kyle Williams Offensive Rebound.,36,41
14:27,2450,Kyle Williams made Two Point Tip Shot.,38,41
14:01,2350,Milton Doyle made Three Point Jumper. Assisted by Bruno Skokna.,38,44
13:43,2350,Foul on Milton Doyle.,38,44
13:19,2450,Alex Long made Layup. Assisted by Jonathan Wade.,40,44
13:04,2350,Bruno Skokna made Three Point Jumper. Assisted by Milton Doyle.,40,47
12:40,2450,Jonathan Wade made Three Point Jumper. Assisted by Jordan Butler.,43,47
12:36,2450,Norfolk St  Timeout,43,47
12:17,2450,Foul on Dan Robinson.,43,47
12:05,2350,Bruno Skokna missed Three Point Jumper.,43,47
12:05,2450,Zaynah Robinson Defensive Rebound.,43,47
