Northern Kentucky,2413,Morehead State,94
3:53,2413,Malik Maitland missed Three Point Jumper.,25,27
3:53,94,Drew McDonald Block.,25,27
3:51,94,Northern Kentucky Defensive Rebound.,25,27
3:42,94,Lavone Holland II missed Layup.,25,27
3:42,2413,Lamontray Harris Defensive Rebound.,25,27
3:35,2413,Miguel Dicent made Layup. Assisted by Xavier Moon.,25,29
3:21,94,Jalen Tate made Jumper.,27,29
3:01,2413,Miguel Dicent made Three Point Jumper. Assisted by Malik Maitland.,27,32
2:53,2413,Foul on Miguel Dicent.,27,32
2:53,94,Jeff Garrett missed Free Throw.,27,32
2:53,94,Northern Kentucky Deadball Team Rebound.,27,32
2:53,94,Jeff Garrett missed Free Throw.,27,32
2:53,2413,Malik Maitland Defensive Rebound.,27,32
2:44,2413,DeJuan Marrero missed Jumper.,27,32
2:44,94,Drew McDonald Defensive Rebound.,27,32
2:37,94,Cole Murray made Three Point Jumper. Assisted by Blake Spellman.,30,32
2:18,2413,Malik Maitland made Layup.,30,34
1:59,94,Jeff Garrett Turnover.,30,34
1:58,2413,Malik Maitland Steal.,30,34
1:55,2413,Malik Maitland made Layup.,30,36
1:53,94,Northern Kentucky  Timeout,30,36
1:33,94,Drew McDonald made Three Point Jumper. Assisted by Jalen Tate.,33,36
1:10,2413,DeJuan Marrero Turnover.,33,36
0:57,94,Drew McDonald made Layup.,35,36
0:30,2413,Malik Maitland made Layup.,35,38
0:30,94,Foul on Drew McDonald.,35,38
0:30,2413,Malik Maitland made Free Throw.,35,39
0:05,94,Lavone Holland II made Layup.,37,39
0:00,2413,End of 1st half,37,39
19:46,2413,DeJuan Marrero made Layup.,37,41
19:24,94,Drew McDonald made Layup. Assisted by Lavone Holland II.,39,41
19:24,2413,Foul on DeJuan Marrero.,39,41
19:24,94,Drew McDonald made Free Throw.,40,41
19:15,2413,Treshaad Williams made Layup. Assisted by Malik Maitland.,40,43
19:00,94,Jalen Tate missed Layup.,40,43
19:00,2413,DeJuan Marrero Defensive Rebound.,40,43
18:50,2413,Miguel Dicent made Layup.,40,45
18:31,94,Drew McDonald made Jumper. Assisted by Jeff Garrett.,42,45
18:02,2413,Xavier Moon made Three Point Jumper. Assisted by Malik Maitland.,42,48
17:31,94,Lavone Holland II made Layup.,44,48
17:31,2413,Foul on Malik Maitland.,44,48
17:31,94,Lavone Holland II missed Free Throw.,44,48
17:31,2413,Morehead St Defensive Rebound.,44,48
17:11,2413,Foul on DeJuan Marrero.,44,48
17:11,2413,DeJuan Marrero Turnover.,44,48
16:59,94,Lavone Holland II missed Jumper.,44,48
16:59,2413,DeJuan Marrero Defensive Rebound.,44,48
16:53,2413,Treshaad Williams missed Layup.,44,48
16:53,94,Lavone Holland II Defensive Rebound.,44,48
16:46,94,Drew McDonald made Jumper. Assisted by Jordan Garnett.,46,48
16:29,2413,Miguel Dicent missed Jumper.,46,48
16:29,94,Lavone Holland II Defensive Rebound.,46,48
16:22,94,Lavone Holland II Turnover.,46,48
16:21,2413,Miguel Dicent Steal.,46,48
16:18,2413,DeJuan Marrero made Dunk. Assisted by Miguel Dicent.,46,50
15:59,94,Drew McDonald Turnover.,46,50
15:57,2413,Malik Maitland Steal.,46,50
15:54,2413,Xavier Moon made Layup. Assisted by Malik Maitland.,46,52
15:24,94,Drew McDonald made Three Point Jumper. Assisted by Lavone Holland II.,49,52
15:07,2413,DeJuan Marrero missed Layup.,49,52
15:07,94,Jalen Tate Defensive Rebound.,49,52
