Ohio State,258,Virginia,194
14:16,194,Jae'Sean Tate made Layup. Assisted by JaQuan Lyle.,12,7
13:51,258,Jarred Reuter Turnover.,12,7
13:48,258,Official TV Timeout,12,7
13:26,194,Trevor Thompson Turnover.,12,7
13:26,258,Devon Hall Steal.,12,7
13:22,258,Devon Hall missed Layup.,12,7
13:22,258,Virginia Offensive Rebound.,12,7
13:22,194,JaQuan Lyle Block.,12,7
13:22,258,Mamadi Diakite Offensive Rebound.,12,7
13:22,258,Mamadi Diakite missed Dunk.,12,7
13:19,258,Mamadi Diakite missed Dunk.,12,7
13:19,258,Virginia Offensive Rebound.,12,7
13:13,258,Kyle Guy missed Jumper.,12,7
13:13,194,Trevor Thompson Defensive Rebound.,12,7
12:46,258,Foul on Marial Shayok.,12,7
12:40,194,JaQuan Lyle Turnover.,12,7
12:28,258,Marial Shayok missed Jumper.,12,7
12:28,194,C.J. Jackson Defensive Rebound.,12,7
12:21,194,Andre Wesson missed Three Point Jumper.,12,7
12:21,258,Devon Hall Defensive Rebound.,12,7
12:13,258,Jump Ball won by Virginia,12,7
11:55,258,Jarred Reuter missed Jumper.,12,7
11:55,194,Jae'Sean Tate Defensive Rebound.,12,7
11:46,194,Trevor Thompson made Layup. Assisted by Jae'Sean Tate.,14,7
11:29,258,Marial Shayok made Jumper. Assisted by Devon Hall.,14,9
11:10,194,Marc Loving missed Three Point Jumper.,14,9
11:10,258,Jarred Reuter Defensive Rebound.,14,9
10:48,194,Foul on Jae'Sean Tate.,14,9
10:48,258,Official TV Timeout,14,9
10:43,194,Foul on C.J. Jackson.,14,9
10:29,258,Marial Shayok made Jumper.,14,11
10:06,258,Foul on Kyle Guy.,14,11
10:06,194,Andre Wesson made Layup. Assisted by Trevor Thompson.,16,11
10:06,194,Andre Wesson made Free Throw.,17,11
10:00,194,Foul on Kam Williams.,17,11
9:53,258,Marial Shayok missed Jumper.,17,11
9:53,194,Micah Potter Defensive Rebound.,17,11
9:39,194,Jae'Sean Tate missed Jumper.,17,11
9:39,258,Marial Shayok Defensive Rebound.,17,11
9:27,258,London Perrantes missed Three Point Jumper.,17,11
9:27,194,Marc Loving Defensive Rebound.,17,11
9:17,194,Jae'Sean Tate made Three Point Jumper. Assisted by Marc Loving.,20,11
9:00,258,Mamadi Diakite missed Layup.,20,11
9:00,258,Mamadi Diakite Offensive Rebound.,20,11
8:58,194,Jump Ball won by Ohio State,20,11
8:58,258,Mamadi Diakite Turnover.,20,11
8:51,194,Jae'Sean Tate made Layup. Assisted by JaQuan Lyle.,22,11
8:19,258,Ty Jerome made Three Point Jumper. Assisted by London Perrantes.,22,14
8:02,194,JaQuan Lyle missed Jumper.,22,14
8:02,258,London Perrantes Defensive Rebound.,22,14
7:37,194,Foul on JaQuan Lyle.,22,14
7:37,258,Official TV Timeout,22,14
7:31,258,London Perrantes Turnover.,22,14
7:31,194,C.J. Jackson Steal.,22,14
7:26,194,JaQuan Lyle made Layup.,24,14
7:00,258,Ty Jerome missed Three Point Jumper.,24,14
7:00,258,Darius Thompson Offensive Rebound.,24,14
6:48,258,Jack Salt missed Dunk.,24,14
6:48,194,Jae'Sean Tate Defensive Rebound.,24,14
6:28,194,Micah Potter missed Three Point Jumper.,24,14
6:28,258,Isaiah Wilkins Defensive Rebound.,24,14
6:06,258,Ty Jerome made Jumper.,24,16
5:50,258,Foul on London Perrantes.,24,16
5:47,194,Marc Loving made Layup. Assisted by C.J. Jackson.,26,16
5:31,194,Foul on Trevor Thompson.,26,16
5:31,258,Devon Hall missed Free Throw.,26,16
5:31,258,Virginia Deadball Team Rebound.,26,16
5:29,194,Marc Loving Defensive Rebound.,26,16
5:21,194,Marc Loving missed Layup.,26,16
5:21,258,Isaiah Wilkins Block.,26,16
5:21,194,Ohio State Offensive Rebound.,26,16
5:10,194,Marc Loving Turnover.,26,16
4:54,258,Ty Jerome Turnover.,26,16
4:31,194,C.J. Jackson made Three Point Jumper. Assisted by JaQuan Lyle.,29,16
4:00,258,Devon Hall missed Three Point Jumper.,29,16
4:00,258,Isaiah Wilkins Offensive Rebound.,29,16
3:52,258,Marial Shayok Turnover.,29,16
3:52,194,JaQuan Lyle Steal.,29,16
3:44,194,C.J. Jackson made Three Point Jumper. Assisted by JaQuan Lyle.,32,16
3:40,258,Virginia  Timeout,32,16
3:17,258,London Perrantes made Three Point Jumper. Assisted by Darius Thompson.,32,19
2:51,194,JaQuan Lyle Turnover.,32,19
2:51,258,Darius Thompson Steal.,32,19
2:32,258,Isaiah Wilkins missed Jumper.,32,19
2:32,258,Jarred Reuter Offensive Rebound.,32,19
2:19,258,Jarred Reuter made Layup.,32,21
2:17,194,Ohio State  Timeout,32,21
2:11,194,JaQuan Lyle Turnover.,32,21
2:02,258,London Perrantes Turnover.,32,21
2:02,194,JaQuan Lyle Steal.,32,21
1:47,194,JaQuan Lyle Turnover.,32,21
1:26,258,London Perrantes missed Three Point Jumper.,32,21
1:26,194,Trevor Thompson Defensive Rebound.,32,21
1:19,194,JaQuan Lyle Turnover.,32,21
1:19,258,Isaiah Wilkins Steal.,32,21
1:11,258,Kyle Guy missed Layup.,32,21
1:00,194,Trevor Thompson Block.,32,21
0:57,194,Jae'Sean Tate Defensive Rebound.,32,21
0:52,194,Jae'Sean Tate made Layup.,34,21
0:43,194,Foul on Trevor Thompson.,34,21
0:43,258,London Perrantes missed Free Throw.,34,21
0:43,258,Virginia Deadball Team Rebound.,34,21
0:43,258,London Perrantes made Free Throw.,34,22
0:26,194,Jae'Sean Tate made Layup. Assisted by C.J. Jackson.,36,22
0:05,194,Foul on Marc Loving.,36,22
0:05,258,Kyle Guy made Free Throw.,36,23
0:05,258,Kyle Guy made Free Throw.,36,24
0:04,194,JaQuan Lyle missed Three Point Jumper.,36,24
0:04,258,Virginia Defensive Rebound.,36,24
0:00,258,End of 1st half,36,24
20:00,258,Jump Ball won by Virginia,36,24
19:45,258,London Perrantes Turnover.,36,24
19:45,194,Kam Williams Steal.,36,24
19:15,194,Ohio State  Turnover.,36,24
19:02,258,London Perrantes made Layup.,36,26
18:47,194,Kam Williams missed Three Point Jumper.,36,26
18:47,258,Darius Thompson Defensive Rebound.,36,26
18:28,258,Devon Hall made Layup.,36,28
18:02,194,Micah Potter Turnover.,36,28
18:02,258,London Perrantes Steal.,36,28
17:53,258,Darius Thompson made Layup.,36,30
17:35,194,Micah Potter missed Layup.,36,30
17:35,258,Isaiah Wilkins Block.,36,30
17:35,194,Marc Loving Offensive Rebound.,36,30
17:22,194,Marc Loving missed Layup.,36,30
17:22,258,Devon Hall Defensive Rebound.,36,30
17:14,258,Darius Thompson made Layup. Assisted by Devon Hall.,36,32
17:07,194,Ohio State  Timeout,36,32
17:07,194,Foul on Jae'Sean Tate.,36,32
17:07,194,Jae'Sean Tate Turnover.,36,32
16:40,258,Foul on Darius Thompson.,36,32
16:40,258,Darius Thompson Turnover.,36,32
16:31,194,Kam Williams missed Jumper.,36,32
16:31,258,Darius Thompson Block.,36,32
16:31,258,Jack Salt Defensive Rebound.,36,32
16:14,258,Devon Hall made Three Point Jumper. Assisted by Darius Thompson.,36,35
15:55,258,Foul on Jack Salt.,36,35
15:55,258,Official TV Timeout,36,35
15:55,194,Jae'Sean Tate made Free Throw.,37,35
15:55,194,Jae'Sean Tate made Free Throw.,38,35
15:32,258,Devon Hall missed Jumper.,38,35
15:32,258,Jack Salt Offensive Rebound.,38,35
15:32,258,Jack Salt made Two Point Tip Shot.,38,37
15:04,194,Jae'Sean Tate Turnover.,38,37
15:04,258,Jack Salt Steal.,38,37
14:48,258,London Perrantes made Jumper.,38,39
14:21,194,C.J. Jackson made Three Point Jumper. Assisted by Marc Loving.,41,39
14:02,258,London Perrantes missed Jumper.,41,39
14:02,194,Trevor Thompson Defensive Rebound.,41,39
13:47,258,Foul on Isaiah Wilkins.,41,39
13:47,194,Trevor Thompson made Free Throw.,42,39
13:47,194,Trevor Thompson made Free Throw.,43,39
13:21,258,Marial Shayok missed Jumper.,43,39
13:21,194,Jae'Sean Tate Defensive Rebound.,43,39
13:11,194,C.J. Jackson missed Three Point Jumper.,43,39
13:11,194,Jae'Sean Tate Offensive Rebound.,43,39
13:05,194,Jae'Sean Tate missed Layup.,43,39
13:05,258,Jarred Reuter Defensive Rebound.,43,39
12:44,194,Foul on Jae'Sean Tate.,43,39
12:44,258,Jarred Reuter made Free Throw.,43,40
12:44,258,Jarred Reuter made Free Throw.,43,41
12:28,194,Marc Loving made Three Point Jumper. Assisted by C.J. Jackson.,46,41
11:59,258,Marial Shayok missed Jumper.,46,41
11:59,194,Marc Loving Block.,46,41
11:59,258,Virginia Offensive Rebound.,46,41
11:59,258,Official TV Timeout,46,41
11:55,258,Mamadi Diakite missed Jumper.,46,41
11:55,194,JaQuan Lyle Defensive Rebound.,46,41
11:43,194,Marc Loving missed Three Point Jumper.,46,41
11:43,258,Darius Thompson Defensive Rebound.,46,41
11:28,194,Foul on C.J. Jackson.,46,41
11:22,258,Darius Thompson missed Jumper.,46,41
11:22,194,Trevor Thompson Defensive Rebound.,46,41
10:56,194,C.J. Jackson Turnover.,46,41
10:56,258,Darius Thompson Steal.,46,41
10:34,194,Foul on Trevor Thompson.,46,41
10:34,258,Jarred Reuter missed Free Throw.,46,41
10:34,258,Virginia Deadball Team Rebound.,46,41
10:34,258,Jarred Reuter made Free Throw.,46,42
10:20,194,JaQuan Lyle made Layup.,48,42
10:04,258,Kyle Guy missed Three Point Jumper.,48,42
10:04,194,C.J. Jackson Defensive Rebound.,48,42
9:49,194,Micah Potter made Layup. Assisted by Marc Loving.,50,42
9:38,258,Virginia  Timeout,50,42
9:34,194,Foul on C.J. Jackson.,50,42
9:03,258,London Perrantes made Three Point Jumper. Assisted by Devon Hall.,50,45
8:40,194,JaQuan Lyle missed Jumper.,50,45
8:40,258,Jack Salt Defensive Rebound.,50,45
8:28,258,Darius Thompson missed Jumper.,50,45
8:28,194,Micah Potter Defensive Rebound.,50,45
8:19,194,JaQuan Lyle Turnover.,50,45
8:06,258,Devon Hall missed Three Point Jumper.,50,45
8:06,258,Jack Salt Offensive Rebound.,50,45
8:06,194,Foul on Micah Potter.,50,45
8:04,258,London Perrantes missed Jumper.,50,45
8:04,194,Marc Loving Defensive Rebound.,50,45
7:37,194,C.J. Jackson Turnover.,50,45
7:29,258,Official TV Timeout,50,45
7:13,258,Marial Shayok missed Layup.,50,45
7:13,194,Jae'Sean Tate Defensive Rebound.,50,45
7:02,194,Kam Williams missed Layup.,50,45
7:02,258,Darius Thompson Block.,50,45
7:02,194,Trevor Thompson made Free Throw.,51,45
7:02,194,Jae'Sean Tate Offensive Rebound.,50,45
7:02,258,Foul on Jack Salt.,50,45
7:02,194,Trevor Thompson missed Free Throw.,51,45
7:02,258,Jack Salt Defensive Rebound.,51,45
