Loyola (MD),2184,Duquesne,2352
15:03,2352,Chancellor Barnard missed Free Throw.,13,7
15:03,2352,Loyola (MD) Deadball Team Rebound.,13,7
15:03,2352,Chancellor Barnard missed Free Throw.,13,7
15:03,2184,Emile Blackman Defensive Rebound.,13,7
14:55,2184,Mike Lewis II missed Jumper.,13,7
14:55,2184,Nakye Sanders Offensive Rebound.,13,7
14:53,2184,Nakye Sanders made Layup.,13,9
14:31,2352,Andre Walker missed Three Point Jumper.,13,9
14:31,2184,Tarin Smith Block.,13,9
14:29,2352,Andre Walker Offensive Rebound.,13,9
14:21,2352,Andre Walker missed Jumper.,13,9
14:21,2184,Eric James Defensive Rebound.,13,9
14:04,2352,Foul on KaVaughn Scott.,13,9
14:04,2184,Tarin Smith missed Free Throw.,13,9
14:04,2184,Duquesne Deadball Team Rebound.,13,9
14:04,2184,Tarin Smith made Free Throw.,13,10
13:44,2352,Jarred Jones Turnover.,13,10
13:42,2184,Emile Blackman Steal.,13,10
13:38,2184,Emile Blackman made Jumper.,13,12
13:27,2184,Foul on Mike Lewis II.,13,12
13:25,2184,Foul on Eric James.,13,12
13:20,2352,Ian Langendoerfer Turnover.,13,12
13:20,2352,Foul on Ian Langendoerfer.,13,12
13:10,2184,Nakye Sanders Turnover.,13,12
12:55,2352,Ian Langendoerfer Turnover.,13,12
12:42,2184,Nakye Sanders made Jumper.,13,14
12:21,2352,James Fives missed Jumper.,13,14
12:21,2184,Nakye Sanders Block.,13,14
12:19,2184,Eric James Defensive Rebound.,13,14
12:15,2184,Spencer Littleson made Three Point Jumper. Assisted by Eric James.,13,17
11:51,2352,Chancellor Barnard made Layup. Assisted by KaVaughn Scott.,15,17
11:38,2184,Nakye Sanders made Layup. Assisted by Spencer Littleson.,15,19
11:05,2352,Chancellor Barnard made Layup.,17,19
10:42,2184,Rene Castro made Jumper.,17,21
10:20,2352,Ian Langendoerfer missed Jumper.,17,21
10:20,2184,Duquesne Defensive Rebound.,17,21
10:17,2184,Official TV Timeout,17,21
10:05,2184,Eric James missed Layup.,17,21
10:05,2184,Darius Lewis Offensive Rebound.,17,21
9:58,2184,Darius Lewis missed Two Point Tip Shot.,17,21
9:58,2352,Andrew Kostecka Defensive Rebound.,17,21
9:51,2352,James Fives missed Jumper.,17,21
9:51,2184,Eric James Defensive Rebound.,17,21
9:44,2184,Isiaha Mike missed Jumper.,17,21
9:44,2352,Loyola (MD) Defensive Rebound.,17,21
9:26,2352,Jarred Jones made Jumper. Assisted by Andre Walker.,19,21
9:10,2184,Spencer Littleson missed Layup.,19,21
9:10,2352,Loyola (MD) Defensive Rebound.,19,21
8:52,2184,Foul on Rene Castro.,19,21
8:50,2184,Foul on Isiaha Mike.,19,21
8:50,2352,Jarred Jones missed Free Throw.,19,21
8:50,2352,Loyola (MD) Deadball Team Rebound.,19,21
8:50,2352,Jarred Jones made Free Throw.,20,21
8:31,2184,Darius Lewis made Jumper. Assisted by Spencer Littleson.,20,23
8:11,2352,Cam Gregory missed Layup.,20,23
8:11,2352,Jarred Jones Offensive Rebound.,20,23
8:01,2352,Andre Walker made Layup.,22,23
7:48,2352,Foul on Jarred Jones.,22,23
7:48,2184,Official TV Timeout,22,23
7:48,2184,Isiaha Mike made Free Throw.,22,24
7:48,2184,Isiaha Mike missed Free Throw.,22,24
7:48,2184,Duquesne Deadball Team Rebound.,22,24
7:48,2184,Isiaha Mike missed Free Throw.,22,24
7:48,2184,Emile Blackman Offensive Rebound.,22,24
7:48,2184,Emile Blackman missed Jumper.,22,24
7:48,2184,Darius Lewis Offensive Rebound.,22,24
7:48,2184,Darius Lewis made Layup.,22,26
7:22,2352,Andre Walker Turnover.,22,26
7:17,2184,Spencer Littleson missed Jumper.,22,26
7:17,2352,Andrew Kostecka Block.,22,26
7:16,2184,Emile Blackman Offensive Rebound.,22,26
6:58,2184,Tarin Smith missed Jumper.,22,26
6:58,2352,Andre Walker Defensive Rebound.,22,26
6:44,2352,Andre Walker Turnover.,22,26
6:20,2184,Darius Lewis missed Jumper.,22,26
6:20,2352,Chancellor Barnard Defensive Rebound.,22,26
6:04,2352,Jarred Jones made Three Point Jumper. Assisted by Chancellor Barnard.,25,26
5:49,2184,Tarin Smith made Jumper.,25,28
5:27,2352,Jarred Jones missed Jumper.,25,28
5:27,2352,Jarred Jones Offensive Rebound.,25,28
5:25,2184,Foul on Nakye Sanders.,25,28
5:25,2352,Jarred Jones missed Free Throw.,25,28
5:25,2184,Spencer Littleson Defensive Rebound.,25,28
5:11,2184,Emile Blackman missed Three Point Jumper.,25,28
5:11,2352,KaVaughn Scott Defensive Rebound.,25,28
4:58,2352,Chancellor Barnard Turnover.,25,28
4:57,2184,Tarin Smith Steal.,25,28
4:55,2184,Tarin Smith missed Layup.,25,28
4:55,2352,Chancellor Barnard Block.,25,28
4:54,2184,Duquesne Offensive Rebound.,25,28
4:54,2184,Spencer Littleson made Jumper. Assisted by Tarin Smith.,25,30
4:38,2352,KaVaughn Scott Turnover.,25,30
4:38,2352,Foul on KaVaughn Scott.,25,30
4:21,2352,Foul on Andrew Kostecka.,25,30
4:21,2184,Tarin Smith made Free Throw.,25,31
4:21,2184,Tarin Smith made Free Throw.,25,32
4:04,2352,Nevell Provo missed Three Point Jumper.,25,32
4:04,2184,Spencer Littleson Defensive Rebound.,25,32
3:54,2184,Emile Blackman missed Three Point Jumper.,25,32
3:54,2352,Nevell Provo Defensive Rebound.,25,32
3:34,2352,Andrew Kostecka missed Three Point Jumper.,25,32
3:34,2184,Emile Blackman Defensive Rebound.,25,32
3:31,2352,Foul on Austin Harriott.,25,32
3:31,2184,Official TV Timeout,25,32
3:31,2184,Emile Blackman made Free Throw.,25,33
3:31,2184,Emile Blackman made Free Throw.,25,34
3:00,2352,Andre Walker missed Jumper.,25,34
3:00,2352,KaVaughn Scott Offensive Rebound.,25,34
2:57,2352,KaVaughn Scott missed Layup.,25,34
2:57,2184,Eric James Defensive Rebound.,25,34
2:53,2184,Eric James Turnover.,25,34
2:53,2184,Foul on Eric James.,25,34
2:40,2184,Foul on Eric James.,25,34
2:40,2352,Jarred Jones made Free Throw.,26,34
2:40,2352,Jarred Jones made Free Throw.,27,34
2:30,2184,Spencer Littleson Turnover.,27,34
2:29,2352,Jarred Jones Steal.,27,34
2:24,2352,Chuck Champion missed Jumper.,27,34
2:24,2184,Jordan Robinson Defensive Rebound.,27,34
2:07,2184,Tarin Smith made Jumper.,27,36
1:38,2352,Andre Walker missed Three Point Jumper.,27,36
1:38,2184,Emile Blackman Defensive Rebound.,27,36
1:32,2184,Emile Blackman missed Layup.,27,36
1:32,2352,Chuck Champion Defensive Rebound.,27,36
1:23,2352,Jarred Jones made Three Point Jumper. Assisted by Chuck Champion.,30,36
1:01,2184,Tarin Smith missed Layup.,30,36
1:01,2352,Chancellor Barnard Block.,30,36
0:57,2352,Cam Gregory Defensive Rebound.,30,36
0:48,2352,Jarred Jones missed Jumper.,30,36
0:48,2352,Jarred Jones Offensive Rebound.,30,36
0:47,2184,Foul on Spencer Littleson.,30,36
0:47,2352,Jarred Jones missed Free Throw.,30,36
0:47,2352,Loyola (MD) Deadball Team Rebound.,30,36
0:46,2352,Jarred Jones missed Free Throw.,30,36
0:46,2184,Darius Lewis Defensive Rebound.,30,36
0:35,2184,Eric James missed Three Point Jumper.,30,36
0:35,2184,Darius Lewis Offensive Rebound.,30,36
0:31,2184,Darius Lewis Turnover.,30,36
0:27,2352,Loyola (MD)  Timeout,30,36
0:00,2352,Jarred Jones made Jumper. Assisted by Ian Langendoerfer.,32,36
0:00,2184,End of 1st half,32,36
19:42,2352,Jarred Jones missed Jumper.,32,36
19:42,2184,Darius Lewis Block.,32,36
19:41,2184,Darius Lewis Defensive Rebound.,32,36
19:32,2184,Mike Lewis II made Jumper. Assisted by Tarin Smith.,32,38
19:00,2352,Andrew Kostecka missed Three Point Jumper.,32,38
19:00,2352,Cam Gregory Offensive Rebound.,32,38
18:55,2352,Andre Walker made Three Point Jumper. Assisted by Cam Gregory.,35,38
18:33,2184,Emile Blackman Turnover.,35,38
18:32,2352,Andrew Kostecka Steal.,35,38
18:29,2352,Andrew Kostecka made Layup. Assisted by Cam Gregory.,37,38
18:11,2184,Tarin Smith Turnover.,37,38
17:41,2352,Andre Walker missed Jumper.,37,38
17:41,2184,Emile Blackman Defensive Rebound.,37,38
17:33,2184,Isiaha Mike Turnover.,37,38
17:12,2352,Andrew Kostecka made Three Point Jumper. Assisted by Chancellor Barnard.,40,38
17:00,2352,Foul on Cam Gregory.,40,38
17:00,2184,Tarin Smith missed Free Throw.,40,38
17:00,2184,Duquesne Deadball Team Rebound.,40,38
17:00,2184,Tarin Smith made Free Throw.,40,39
16:40,2352,Cam Gregory missed Layup.,40,39
16:40,2184,Darius Lewis Block.,40,39
16:39,2184,Darius Lewis Defensive Rebound.,40,39
16:31,2352,Foul on Andre Walker.,40,39
16:30,2184,Mike Lewis II made Jumper.,40,41
16:30,2352,Foul on Andrew Kostecka.,40,41
16:29,2184,Mike Lewis II made Free Throw.,40,42
16:03,2352,Chancellor Barnard Turnover.,40,42
15:49,2184,Mike Lewis II missed Three Point Jumper.,40,42
15:49,2352,Jarred Jones Defensive Rebound.,40,42
15:39,2352,Chancellor Barnard Turnover.,40,42
15:39,2184,Isiaha Mike Steal.,40,42
15:39,2184,Official TV Timeout,40,42
15:31,2184,Isiaha Mike made Layup.,40,44
14:49,2352,Andre Walker missed Jumper.,40,44
14:49,2184,Darius Lewis Block.,40,44
14:48,2184,Emile Blackman Defensive Rebound.,40,44
14:42,2184,Mike Lewis II missed Jumper.,40,44
14:42,2352,Cam Gregory Defensive Rebound.,40,44
14:35,2352,Andre Walker made Layup. Assisted by Cam Gregory.,42,44
14:17,2184,Mike Lewis II Turnover.,42,44
14:05,2352,Chancellor Barnard Turnover.,42,44
14:04,2184,Emile Blackman Steal.,42,44
14:01,2184,Emile Blackman missed Layup.,42,44
14:01,2352,Chancellor Barnard Block.,42,44
13:59,2352,Andre Walker Defensive Rebound.,42,44
13:45,2184,Foul on Darius Lewis.,42,44
13:45,2352,James Fives made Free Throw.,43,44
13:45,2352,James Fives made Free Throw.,44,44
13:22,2184,Tarin Smith missed Three Point Jumper.,44,44
13:22,2352,Ian Langendoerfer Defensive Rebound.,44,44
13:08,2352,Andre Walker missed Three Point Jumper.,44,44
13:08,2184,Spencer Littleson Defensive Rebound.,44,44
12:56,2352,Foul on James Fives.,44,44
12:53,2184,Isiaha Mike missed Jumper.,44,44
12:53,2352,Cam Gregory Defensive Rebound.,44,44
12:22,2352,Ian Langendoerfer missed Three Point Jumper.,44,44
12:22,2184,Emile Blackman Defensive Rebound.,44,44
12:21,2352,Foul on Austin Harriott.,44,44
12:06,2184,Rene Castro missed Three Point Jumper.,44,44
12:06,2184,Rene Castro Offensive Rebound.,44,44
12:03,2184,Rene Castro missed Layup.,44,44
12:03,2184,Nakye Sanders Offensive Rebound.,44,44
11:52,2184,Nakye Sanders missed Two Point Tip Shot.,44,44
