Sacred Heart,2217,Fairfield,2529
6:26,2217,Jerome Segura Steal.,17,27
6:25,2217,Jerome Segura made Layup.,17,29
6:12,2529,De'von Barnett made Layup.,19,29
5:56,2217,Jerome Segura missed Three Point Jumper.,19,29
5:56,2529,Quincy McKnight Defensive Rebound.,19,29
5:48,2529,Quincy McKnight missed Layup.,19,29
5:48,2217,Curtis Cobb Defensive Rebound.,19,29
5:24,2217,Matija Milin Turnover.,19,29
5:23,2529,Quincy McKnight Steal.,19,29
5:18,2529,Quincy McKnight made Jumper.,21,29
4:48,2217,Matija Milin made Jumper. Assisted by Curtis Cobb.,21,31
4:25,2529,Joseph Lopez missed Jumper.,21,31
4:25,2529,Quincy McKnight Offensive Rebound.,21,31
4:23,2217,Foul on Jonathan Kasibabu.,21,31
4:23,2529,Joseph Lopez missed Free Throw.,21,31
4:23,2217,Deniz Celen Defensive Rebound.,21,31
4:15,2217,Curtis Cobb Turnover.,21,31
4:15,2217,Foul on Curtis Cobb.,21,31
4:06,2217,Foul on Deniz Celen.,21,31
4:06,2529,Joseph Lopez made Free Throw.,22,31
4:06,2529,Joseph Lopez missed Free Throw.,22,31
4:06,2217,Jerry Johnson Jr. Defensive Rebound.,22,31
3:54,2217,Deniz Celen missed Three Point Jumper.,22,31
3:54,2529,Quincy McKnight Defensive Rebound.,22,31
3:46,2529,Chris Robinson made Layup. Assisted by Quincy McKnight.,24,31
3:31,2217,Matija Milin missed Jumper.,24,31
3:31,2529,Charles Tucker Jr. Defensive Rebound.,24,31
3:24,2217,Foul on Jerry Johnson Jr..,24,31
3:24,2217,Official TV Timeout,24,31
3:24,2529,Charles Tucker Jr. missed Free Throw.,24,31
3:24,2529,Sacred Heart Deadball Team Rebound.,24,31
3:24,2529,Charles Tucker Jr. missed Free Throw.,24,31
3:24,2217,Matija Milin Defensive Rebound.,24,31
3:07,2529,Foul on Mario Matasovic.,24,31
3:06,2217,Jonathan Kasibabu made Dunk. Assisted by Jerome Segura.,24,33
2:52,2529,Charles Tucker Jr. Turnover.,24,33
2:51,2217,Deniz Celen Steal.,24,33
2:46,2217,Jerome Segura made Layup.,24,35
2:46,2529,Foul on Joseph Lopez.,24,35
2:46,2217,Jerome Segura missed Free Throw.,24,35
2:46,2529,Mario Matasovic Defensive Rebound.,24,35
2:37,2217,Foul on Deniz Celen.,24,35
2:37,2529,Quincy McKnight made Free Throw.,25,35
2:37,2529,Quincy McKnight made Free Throw.,26,35
2:18,2217,Tyler Nelson missed Jumper.,26,35
2:18,2529,Joseph Lopez Defensive Rebound.,26,35
2:04,2529,Mario Matasovic Turnover.,26,35
2:04,2529,Foul on Mario Matasovic.,26,35
1:55,2217,Jerome Segura missed Layup.,26,35
1:55,2529,Joseph Lopez Defensive Rebound.,26,35
1:45,2529,Charles Tucker Jr. Turnover.,26,35
1:44,2217,Tyler Nelson Steal.,26,35
1:43,2529,Foul on Chris Robinson.,26,35
1:43,2217,Tyler Nelson missed Free Throw.,26,35
1:43,2529,De'von Barnett Defensive Rebound.,26,35
1:28,2529,Charles Tucker Jr. made Layup. Assisted by De'von Barnett.,28,35
1:13,2217,Tyler Nelson missed Layup.,28,35
1:13,2529,Quincy McKnight Defensive Rebound.,28,35
1:06,2529,Quincy McKnight made Jumper.,30,35
0:48,2217,Jerome Segura made Layup.,30,37
0:45,2529,Sacred Heart  Timeout,30,37
0:34,2529,De'von Barnett missed Jumper.,30,37
0:34,2217,Jerome Segura Defensive Rebound.,30,37
0:25,2217,Matija Milin made Three Point Jumper. Assisted by Jerome Segura.,30,40
0:04,2529,De'von Barnett Turnover.,30,40
0:00,2217,Jerome Segura missed Three Point Jumper.,30,40
0:00,2529,Joseph Lopez Defensive Rebound.,30,40
0:00,2217,End of 1st half,30,40
19:44,2217,Jerome Segura made Three Point Jumper. Assisted by Curtis Cobb.,30,43
19:12,2529,Charles Tucker Jr. missed Jumper.,30,43
19:12,2529,De'von Barnett Offensive Rebound.,30,43
19:06,2217,Foul on Tyler Nelson.,30,43
18:45,2217,Foul on Curtis Cobb.,30,43
18:45,2529,Quincy McKnight made Free Throw.,31,43
18:45,2529,Quincy McKnight made Free Throw.,32,43
18:31,2217,Tyler Nelson Turnover.,32,43
18:30,2529,Quincy McKnight Steal.,32,43
18:27,2529,Quincy McKnight missed Layup.,32,43
18:27,2529,De'von Barnett Offensive Rebound.,32,43
18:24,2529,De'von Barnett made Two Point Tip Shot.,34,43
18:13,2217,Jerry Johnson Jr. missed Three Point Jumper.,34,43
18:13,2529,Charles Tucker Jr. Defensive Rebound.,34,43
18:06,2529,Charles Tucker Jr. missed Layup.,34,43
18:06,2529,Joseph Lopez Offensive Rebound.,34,43
18:04,2217,Foul on Jerome Segura.,34,43
18:04,2529,Joseph Lopez made Free Throw.,35,43
18:04,2529,Joseph Lopez made Free Throw.,36,43
17:38,2217,Jerry Johnson Jr. made Layup.,36,45
17:26,2529,De'von Barnett made Jumper. Assisted by Sean Hoehn.,38,45
17:14,2529,Foul on Sean Hoehn.,38,45
17:08,2217,Amadou Sidibe missed Layup.,38,45
17:08,2529,Joseph Lopez Defensive Rebound.,38,45
17:05,2217,Foul on Jonathan Kasibabu.,38,45
16:47,2529,Joseph Lopez Turnover.,38,45
16:46,2217,Amadou Sidibe Steal.,38,45
16:41,2217,Jerry Johnson Jr. made Three Point Jumper. Assisted by Jerome Segura.,38,48
16:22,2529,De'von Barnett made Jumper. Assisted by Sean Hoehn.,40,48
16:01,2217,Amadou Sidibe Turnover.,40,48
16:00,2529,Joseph Lopez Steal.,40,48
15:56,2529,Sean Hoehn missed Three Point Jumper.,40,48
