South Carolina State,2724,Wichita State,2569
6:33,2569,"Foul on ""Ej"" Eric Eaves.",10,28
6:33,2569,"""Ej"" Eric Eaves Turnover.",10,28
6:11,2724,Landry Shamet missed Three Point Jumper.,10,28
6:11,2724,Rashard Kelly Offensive Rebound.,10,28
5:59,2724,Rashard Kelly made Jumper. Assisted by Daishon Smith.,10,30
5:35,2569,Ed Stephens made Three Point Jumper. Assisted by Greg Mortimer.,13,30
5:11,2724,Rashard Kelly Turnover.,13,30
5:10,2569,Greg Mortimer Steal.,13,30
4:46,2569,Ian Kinard missed Layup.,13,30
4:46,2724,Rashard Kelly Defensive Rebound.,13,30
4:44,2569,Foul on Tashombe Riley.,13,30
4:44,2724,Landry Shamet made Free Throw.,13,31
4:44,2724,Landry Shamet made Free Throw.,13,32
4:34,2569,"""Jj"" Jam Richardson Turnover.",13,32
4:16,2724,Rauno Nurger missed Layup.,13,32
4:16,2569,"""Jj"" Jam Richardson Defensive Rebound.",13,32
4:10,2569,"""Jj"" Jam Richardson Turnover.",13,32
3:54,2724,Foul on Darral Willis Jr..,13,32
3:54,2724,Darral Willis Jr. Turnover.,13,32
3:54,2569,South Carolina St  Timeout,13,32
3:44,2724,Foul on Daishon Smith.,13,32
3:44,2569,Greg Mortimer made Free Throw.,14,32
3:44,2569,Greg Mortimer made Free Throw.,15,32
3:27,2724,Markis McDuffie made Dunk. Assisted by Rauno Nurger.,15,34
3:07,2569,"""Ej"" Eric Eaves Turnover.",15,34
3:06,2724,Conner Frankamp Steal.,15,34
3:05,2724,Conner Frankamp Turnover.,15,34
3:04,2569,"""Ej"" Eric Eaves Steal.",15,34
3:02,2569,"""Ej"" Eric Eaves missed Jumper.",15,34
3:02,2724,Markis McDuffie Defensive Rebound.,15,34
2:58,2724,Markis McDuffie made Dunk.,15,36
2:28,2569,Jaylen Reid missed Jumper.,15,36
2:28,2724,Markis McDuffie Defensive Rebound.,15,36
2:16,2724,Rauno Nurger made Layup. Assisted by Darral Willis Jr..,15,38
1:56,2569,Greg Mortimer missed Three Point Jumper.,15,38
1:56,2724,Markis McDuffie Defensive Rebound.,15,38
1:45,2724,Darral Willis Jr. made Jumper. Assisted by Conner Frankamp.,15,40
1:32,2569,Greg Mortimer Turnover.,15,40
1:32,2724,Austin Reaves Steal.,15,40
