Idaho State,167,New Mexico,304
15:05,167,Jordan Hunter made Layup.,9,10
14:49,167,Foul on Jordan Hunter.,9,10
14:30,304,Robert Jones III made Three Point Jumper. Assisted by Ethan Telfair.,12,10
14:23,304,Foul on Novak Topalovic.,12,10
14:13,167,Connor MacDougall missed Jumper.,12,10
14:13,167,New Mexico Offensive Rebound.,12,10
14:06,167,Jordan Hunter missed Jumper.,12,10
14:06,167,Connor MacDougall Offensive Rebound.,12,10
14:03,167,Connor MacDougall Turnover.,12,10
14:02,304,Ethan Telfair Steal.,12,10
13:58,304,Ethan Telfair missed Layup.,12,10
13:58,304,Geno Luzcando Offensive Rebound.,12,10
13:54,304,Geno Luzcando made Two Point Tip Shot.,14,10
13:48,167,Connor MacDougall Turnover.,14,10
13:27,304,Ethan Telfair made Three Point Jumper. Assisted by Geno Luzcando.,17,10
13:07,167,Aher Uguak Turnover.,17,10
13:05,304,Ethan Telfair Steal.,17,10
12:59,304,Balint Mocsan missed Three Point Jumper.,17,10
12:59,167,Connor MacDougall Defensive Rebound.,17,10
12:50,167,Elijah Brown missed Three Point Jumper.,17,10
12:50,167,Aher Uguak Offensive Rebound.,17,10
12:48,167,Aher Uguak missed Dunk.,17,10
12:48,304,Geno Luzcando Defensive Rebound.,17,10
12:48,167,Foul on Elijah Brown.,17,10
12:33,304,Ethan Telfair made Jumper. Assisted by Robert Jones III.,19,10
12:20,167,Tim Williams made Dunk. Assisted by Jalen Harris.,19,12
12:10,304,Robert Jones III made Three Point Jumper. Assisted by Ethan Telfair.,22,12
11:58,304,Foul on Geno Luzcando.,22,12
11:58,167,New Mexico  Timeout,22,12
11:45,167,Elijah Brown Turnover.,22,12
11:44,304,Ethan Telfair Steal.,22,12
11:28,304,Balint Mocsan Turnover.,22,12
11:27,167,Jalen Harris Steal.,22,12
11:24,167,Xavier Adams made Dunk. Assisted by Jalen Harris.,22,14
11:04,167,Foul on Jalen Harris.,22,14
11:04,304,Balint Mocsan Turnover.,22,14
10:49,167,Damien Jefferson missed Three Point Jumper.,22,14
10:49,304,Novak Topalovic Defensive Rebound.,22,14
10:31,304,Novak Topalovic made Layup.,24,14
10:11,167,Damien Jefferson missed Jumper.,24,14
10:11,167,Connor MacDougall Offensive Rebound.,24,14
10:10,304,Foul on Gary Chivichyan.,24,14
10:10,167,Connor MacDougall made Free Throw.,24,15
10:10,167,Connor MacDougall missed Free Throw.,24,15
10:10,304,Idaho State Deadball Team Rebound.,24,15
10:10,167,Foul on Sam Logwood.,24,15
10:00,167,Foul on Jalen Harris.,24,15
9:54,304,Ethan Telfair missed Three Point Jumper.,24,15
9:54,167,New Mexico Deadball Team Rebound.,24,15
9:53,304,Foul on Robert Jones III.,24,15
9:52,167,Damien Jefferson missed Free Throw.,24,15
9:52,167,Connor MacDougall Offensive Rebound.,24,15
9:50,167,Connor MacDougall made Jumper.,24,17
9:50,304,Foul on Stephen Lennox.,24,17
9:50,167,Connor MacDougall missed Free Throw.,24,17
9:50,304,Novak Topalovic Defensive Rebound.,24,17
9:31,304,Stephen Lennox missed Three Point Jumper.,24,17
9:31,167,Sam Logwood Defensive Rebound.,24,17
9:24,167,Damien Jefferson missed Three Point Jumper.,24,17
9:24,304,Ethan Telfair Defensive Rebound.,24,17
9:14,304,Erik Nakken missed Three Point Jumper.,24,17
9:14,304,Clark Wilkinson Offensive Rebound.,24,17
9:09,304,Ethan Telfair Turnover.,24,17
8:59,167,Connor MacDougall Turnover.,24,17
8:42,304,Novak Topalovic Turnover.,24,17
8:41,167,Elijah Brown Steal.,24,17
8:37,167,Elijah Brown missed Layup.,24,17
8:37,167,Sam Logwood Offensive Rebound.,24,17
8:35,167,Sam Logwood missed Two Point Tip Shot.,24,17
8:35,167,Jordan Hunter Offensive Rebound.,24,17
8:33,167,Elijah Brown made Layup. Assisted by Jordan Hunter.,24,19
8:23,167,Foul on Tim Williams.,24,19
8:04,304,Ethan Telfair Turnover.,24,19
7:51,167,Obij Aget made Dunk. Assisted by Elijah Brown.,24,21
7:30,304,Stephen Lennox Turnover.,24,21
7:30,167,New Mexico  Timeout,24,21
7:16,304,Foul on Balint Mocsan.,24,21
7:16,167,Jordan Hunter made Free Throw.,24,22
7:16,167,Jordan Hunter made Free Throw.,24,23
6:48,304,Ethan Telfair missed Layup.,24,23
6:48,167,Obij Aget Block.,24,23
6:47,304,Balint Mocsan Offensive Rebound.,24,23
6:44,304,Idaho State  Turnover.,24,23
6:16,167,Elijah Brown Turnover.,24,23
6:15,304,Ethan Telfair Steal.,24,23
5:46,304,Idaho State  Turnover.,24,23
5:26,167,Elijah Brown Turnover.,24,23
5:08,304,Novak Topalovic missed Layup.,24,23
5:08,167,Obij Aget Block.,24,23
5:06,167,Obij Aget Defensive Rebound.,24,23
4:45,167,Jordan Hunter missed Three Point Jumper.,24,23
4:45,304,Ethan Telfair Defensive Rebound.,24,23
4:33,304,Balint Mocsan made Three Point Jumper. Assisted by Stephen Lennox.,27,23
