Pepperdine,2692,Weber State,2492
5:02,2492,Nolan Taylor made Jumper.,20,35
4:47,2692,Jerrick Harding missed Three Point Jumper.,20,35
4:47,2492,Harrison Meads Defensive Rebound.,20,35
4:33,2492,Jade' Smith missed Three Point Jumper.,20,35
4:33,2692,Dusty Baker Defensive Rebound.,20,35
4:07,2692,Michal Kozak missed Three Point Jumper.,20,35
4:07,2492,Eric Cooper Jr. Defensive Rebound.,20,35
3:53,2492,Nolan Taylor made Layup.,22,35
3:32,2692,Zach Braxton missed Jumper.,22,35
3:32,2492,Harrison Meads Block.,22,35
3:27,2692,Michal Kozak Offensive Rebound.,22,35
3:22,2692,Ryan Richardson made Three Point Jumper. Assisted by Michal Kozak.,22,38
3:06,2492,Nolan Taylor missed Jumper.,22,38
3:06,2692,Michal Kozak Defensive Rebound.,22,38
2:46,2492,Foul on Harrison Meads.,22,38
2:46,2692,Official TV Timeout,22,38
2:42,2692,Ryan Richardson missed Three Point Jumper.,22,38
2:42,2492,Colbey Ross Defensive Rebound.,22,38
2:38,2692,Foul on Michal Kozak.,22,38
2:22,2492,Darnell Dunn missed Layup.,22,38
2:22,2692,Zach Braxton Defensive Rebound.,22,38
2:12,2492,Foul on Eric Cooper Jr..,22,38
2:05,2692,Jerrick Harding made Three Point Jumper. Assisted by Ryan Richardson.,22,41
1:49,2492,Trae Berhow made Three Point Jumper.,25,41
1:45,2492,Foul on Matthew Atewe.,25,41
1:45,2692,Zach Braxton missed Free Throw.,25,41
1:45,2492,Matthew Atewe Defensive Rebound.,25,41
1:29,2692,Foul on Michal Kozak.,25,41
1:21,2492,Matthew Atewe made Dunk. Assisted by Colbey Ross.,27,41
0:56,2492,Foul on Matthew Atewe.,27,41
0:56,2692,Zach Braxton missed Free Throw.,27,41
0:56,2692,Weber State Deadball Team Rebound.,27,41
0:56,2692,Zach Braxton missed Free Throw.,27,41
0:56,2492,Matthew Atewe Defensive Rebound.,27,41
0:46,2492,Matthew Atewe missed Layup.,27,41
0:46,2692,Dusty Baker Block.,27,41
0:42,2492,Trae Berhow Offensive Rebound.,27,41
0:41,2692,Foul on Zach Braxton.,27,41
0:27,2492,Colbey Ross missed Jumper.,27,41
0:27,2692,Zach Braxton Defensive Rebound.,27,41
0:02,2692,Jerrick Harding made Jumper.,27,43
0:00,2692,End of 1st half,27,43
19:48,2492,Harrison Meads made Layup. Assisted by Colbey Ross.,29,43
19:48,2692,Foul on Michal Kozak.,29,43
19:48,2492,Harrison Meads made Free Throw.,30,43
19:34,2692,Zach Braxton missed Jumper.,30,43
19:34,2492,Jade' Smith Defensive Rebound.,30,43
19:25,2492,Nolan Taylor made Jumper. Assisted by Jade' Smith.,32,43
18:51,2692,Jerrick Harding missed Three Point Jumper.,32,43
18:51,2492,Colbey Ross Defensive Rebound.,32,43
18:44,2692,Foul on Jordan Dallas.,32,43
18:44,2492,Colbey Ross made Free Throw.,33,43
18:44,2492,Colbey Ross made Free Throw.,34,43
18:15,2692,Jerrick Harding missed Jumper.,34,43
18:15,2492,Harrison Meads Defensive Rebound.,34,43
18:04,2692,Foul on Jordan Dallas.,34,43
18:04,2492,Foul on Eric Cooper Jr..,34,43
18:04,2492,Eric Cooper Jr. Turnover.,34,43
17:47,2692,Foul on Jordan Dallas.,34,43
17:47,2692,Jordan Dallas Turnover.,34,43
17:34,2492,Harrison Meads made Dunk. Assisted by Colbey Ross.,36,43
17:24,2692,Weber State  Timeout,36,43
17:11,2692,Ryan Richardson missed Three Point Jumper.,36,43
17:11,2692,Jerrick Harding Offensive Rebound.,36,43
16:52,2692,Jerrick Harding missed Jumper.,36,43
16:52,2692,Michal Kozak Offensive Rebound.,36,43
16:50,2492,Foul on Colbey Ross.,36,43
16:43,2692,Jerrick Harding made Jumper.,36,45
16:25,2492,Eric Cooper Jr. made Three Point Jumper. Assisted by Colbey Ross.,39,45
16:04,2692,Jerrick Harding Turnover.,39,45
16:03,2492,Nolan Taylor Steal.,39,45
16:00,2492,Colbey Ross missed Three Point Jumper.,39,45
16:00,2492,Eric Cooper Jr. Offensive Rebound.,39,45
15:55,2492,Eric Cooper Jr. made Two Point Tip Shot.,41,45
15:55,2692,Foul on Zach Braxton.,41,45
15:55,2692,Official TV Timeout,41,45
15:55,2492,Eric Cooper Jr. made Free Throw.,42,45
15:39,2492,Foul on Matthew Atewe.,42,45
15:39,2692,Ryan Richardson made Free Throw.,42,46
15:39,2692,Ryan Richardson made Free Throw.,42,47
15:28,2492,Colbey Ross made Three Point Jumper. Assisted by Amadi Udenyi.,45,47
15:12,2692,Michal Kozak missed Three Point Jumper.,45,47
15:12,2492,Nolan Taylor Defensive Rebound.,45,47
15:01,2492,Colbey Ross missed Layup.,45,47
15:01,2492,Matthew Atewe Offensive Rebound.,45,47
14:57,2492,Matthew Atewe missed Two Point Tip Shot.,45,47
14:57,2692,Zach Braxton Block.,45,47
14:55,2492,Matthew Atewe Offensive Rebound.,45,47
14:53,2492,Matthew Atewe made Two Point Tip Shot.,47,47
14:37,2692,Jerrick Harding made Jumper.,47,49
14:12,2492,Matthew Atewe made Layup. Assisted by Nolan Taylor.,49,49
13:54,2692,Jerrick Harding Turnover.,49,49
13:53,2492,Amadi Udenyi Steal.,49,49
13:35,2492,Amadi Udenyi Turnover.,49,49
13:34,2692,Ryan Richardson Steal.,49,49
13:31,2692,Dusty Baker missed Three Point Jumper.,49,49
13:31,2492,Amadi Udenyi Defensive Rebound.,49,49
13:11,2492,Matthew Atewe missed Layup.,49,49
13:11,2692,Zach Braxton Block.,49,49
13:08,2492,Trae Berhow Offensive Rebound.,49,49
13:05,2492,Trae Berhow missed Jumper.,49,49
13:05,2492,Trae Berhow Offensive Rebound.,49,49
12:49,2492,Amadi Udenyi missed Three Point Jumper.,49,49
12:49,2492,Nolan Taylor Offensive Rebound.,49,49
12:41,2492,Matthew Atewe made Dunk. Assisted by Amadi Udenyi.,51,49
12:24,2692,Zach Braxton made Layup. Assisted by Dusty Baker.,51,51
11:59,2492,Colbey Ross Turnover.,51,51
11:59,2692,Official TV Timeout,51,51
11:40,2692,Ryan Richardson missed Three Point Jumper.,51,51
11:40,2492,Jade' Smith Defensive Rebound.,51,51
11:33,2492,Trae Berhow missed Three Point Jumper.,51,51
11:33,2492,Knox Hellums Offensive Rebound.,51,51
11:22,2492,Darnell Dunn missed Jumper.,51,51
11:22,2692,Jordan Dallas Block.,51,51
11:18,2692,Ryan Richardson Defensive Rebound.,51,51
10:59,2692,Foul on Dusty Baker.,51,51
10:59,2692,Dusty Baker Turnover.,51,51
10:26,2492,Jade' Smith Turnover.,51,51
10:10,2692,Jerrick Harding made Layup.,51,53
9:52,2492,Trae Berhow made Three Point Jumper.,54,53
9:26,2692,Jerrick Harding missed Layup.,54,53
9:26,2692,Ricky Nelson Offensive Rebound.,54,53
8:59,2692,Jordan Dallas Turnover.,54,53
8:57,2492,Knox Hellums Steal.,54,53
8:55,2692,Foul on Ryan Richardson.,54,53
8:55,2492,Knox Hellums missed Free Throw.,54,53
8:55,2492,Pepperdine Deadball Team Rebound.,54,53
8:55,2492,Knox Hellums missed Free Throw.,54,53
8:55,2692,Ricky Nelson Defensive Rebound.,54,53
8:37,2692,Zach Braxton missed Jumper.,54,53
8:37,2492,Trae Berhow Defensive Rebound.,54,53
8:32,2492,Knox Hellums missed Three Point Jumper.,54,53
8:32,2692,Jordan Dallas Defensive Rebound.,54,53
8:11,2692,Jerrick Harding made Jumper. Assisted by Ryan Richardson.,54,55
7:47,2492,Amadi Udenyi Turnover.,54,55
7:45,2692,Jerrick Harding Steal.,54,55
7:43,2692,Ryan Richardson made Layup. Assisted by Ricky Nelson.,54,57
7:37,2692,Official TV Timeout,54,57
7:10,2492,Colbey Ross Turnover.,54,57
7:08,2692,Zach Braxton Steal.,54,57
6:54,2692,Ryan Richardson made Jumper.,54,59
6:30,2492,Eric Cooper Jr. made Jumper.,56,59
6:04,2692,Zach Braxton made Layup.,56,61
5:35,2492,Darnell Dunn missed Three Point Jumper.,56,61
5:35,2492,Colbey Ross Offensive Rebound.,56,61
5:33,2692,Foul on Ricky Nelson.,56,61
5:33,2492,Colbey Ross made Free Throw.,57,61
5:33,2492,Colbey Ross made Free Throw.,58,61
5:13,2692,Ryan Richardson made Three Point Jumper. Assisted by Dusty Baker.,58,64
5:00,2492,Nolan Taylor missed Three Point Jumper.,58,64
5:00,2692,Michal Kozak Defensive Rebound.,58,64
4:39,2492,Foul on Colbey Ross.,58,64
4:26,2492,Foul on Harrison Meads.,58,64
4:23,2692,Jerrick Harding missed Jumper.,58,64
4:23,2492,Matthew Atewe Defensive Rebound.,58,64
4:11,2492,Eric Cooper Jr. missed Three Point Jumper.,58,64
4:11,2692,Dusty Baker Defensive Rebound.,58,64
4:08,2492,Foul on Colbey Ross.,58,64
3:50,2492,Foul on Matthew Atewe.,58,64
3:50,2692,Official TV Timeout,58,64
3:50,2692,Zach Braxton made Free Throw.,58,65
3:50,2692,Zach Braxton made Free Throw.,58,66
3:34,2492,Trae Berhow missed Three Point Jumper.,58,66
3:34,2492,Jade' Smith Offensive Rebound.,58,66
3:28,2492,Jade' Smith made Two Point Tip Shot.,60,66
3:16,2692,Ryan Richardson missed Three Point Jumper.,60,66
3:16,2492,Harrison Meads Defensive Rebound.,60,66
3:02,2492,Foul on Trae Berhow.,60,66
3:02,2492,Trae Berhow Turnover.,60,66
2:56,2492,Foul on Jade' Smith.,60,66
2:56,2692,Jerrick Harding made Free Throw.,60,67
2:56,2692,Jerrick Harding made Free Throw.,60,68
2:34,2492,Colbey Ross made Layup.,62,68
2:15,2692,Michal Kozak missed Layup.,62,68
2:15,2492,Harrison Meads Defensive Rebound.,62,68
2:09,2492,Jade' Smith made Layup.,64,68
2:08,2492,Pepperdine  Timeout,64,68
1:39,2492,Foul on Trae Berhow.,64,68
1:39,2692,Michal Kozak made Free Throw.,64,69
1:39,2692,Michal Kozak made Free Throw.,64,70
1:29,2492,Jade' Smith missed Layup.,64,70
1:29,2492,Matthew Atewe Offensive Rebound.,64,70
1:24,2692,Foul on Michal Kozak.,64,70
1:24,2492,Matthew Atewe missed Free Throw.,64,70
1:24,2492,Pepperdine Deadball Team Rebound.,64,70
1:24,2492,Matthew Atewe made Free Throw.,65,70
1:07,2692,Jerrick Harding Turnover.,65,70
1:05,2492,Jade' Smith Steal.,65,70
1:03,2492,Jade' Smith made Layup.,67,70
0:37,2692,Zach Braxton missed Jumper.,67,70
0:37,2492,Matthew Atewe Defensive Rebound.,67,70
0:16,2492,Colbey Ross missed Jumper.,67,70
0:16,2692,Michal Kozak Defensive Rebound.,67,70
0:10,2492,Foul on Colbey Ross.,67,70
0:10,2692,Dusty Baker made Free Throw.,67,71
0:10,2692,Dusty Baker made Free Throw.,67,72
0:10,2692,Weber State  Timeout,67,72
0:07,2492,Trae Berhow missed Three Point Jumper.,67,72
0:07,2492,Knox Hellums Offensive Rebound.,67,72
0:03,2492,Trae Berhow missed Jumper.,67,72
0:03,2692,Michal Kozak Defensive Rebound.,67,72
0:00,2692,End of Game,67,72
