Holy Cross,2363,Manhattan,107
16:52,2363,Manhattan Deadball Team Rebound.,26,46
16:40,2363,Aaron Walker Jr. missed Three Point Jumper.,26,46
16:40,107,Connor Niego Defensive Rebound.,26,46
16:27,107,Connor Niego missed Jumper.,26,46
16:27,2363,Calvin Crawford Defensive Rebound.,26,46
16:03,2363,Thomas Capuano missed Three Point Jumper.,26,46
16:03,107,Connor Niego Defensive Rebound.,26,46
15:52,107,Holy Cross  Timeout,26,46
15:33,107,Connor Niego missed Three Point Jumper.,26,46
15:33,2363,Nehemiah Mack Defensive Rebound.,26,46
15:16,2363,Foul on Ebube Ebube.,26,46
15:16,2363,Ebube Ebube Turnover.,26,46
14:50,107,Jehyve Floyd missed Layup.,26,46
14:50,2363,Calvin Crawford Defensive Rebound.,26,46
14:34,2363,Calvin Crawford missed Three Point Jumper.,26,46
14:34,2363,Ebube Ebube Offensive Rebound.,26,46
14:30,2363,Nehemiah Mack made Three Point Jumper. Assisted by Ebube Ebube.,26,49
14:28,2363,Manhattan  Timeout,26,49
14:08,107,Caleb Green missed Layup.,26,49
14:08,2363,Calvin Crawford Defensive Rebound.,26,49
13:52,2363,Nehemiah Mack made Three Point Jumper.,26,52
13:21,107,Matt Zignorski missed Three Point Jumper.,26,52
13:21,107,Patrick Benzan Offensive Rebound.,26,52
13:18,2363,Foul on Nehemiah Mack.,26,52
13:08,107,Matt Zignorski made Three Point Jumper. Assisted by Patrick Benzan.,29,52
12:39,2363,Zane Waterman Turnover.,29,52
12:38,107,Caleb Green Steal.,29,52
12:34,107,Matt Zignorski made Jumper.,31,52
12:10,107,Foul on Jehyve Floyd.,31,52
11:56,2363,Zavier Turner missed Three Point Jumper.,31,52
11:56,107,Patrick Benzan Defensive Rebound.,31,52
11:48,107,Matt Zignorski made Layup.,33,52
11:33,2363,Zane Waterman made Three Point Jumper. Assisted by Patrick Strzala.,33,55
11:13,107,Holy Cross  Timeout,33,55
11:12,107,Patrick Benzan made Layup.,35,55
10:55,2363,Calvin Crawford Turnover.,35,55
10:55,107,Caleb Green Steal.,35,55
10:40,107,Karl Charles missed Layup.,35,55
10:40,107,Holy Cross Deadball Team Rebound.,35,55
10:22,107,Caleb Green made Three Point Jumper. Assisted by Matt Zignorski.,38,55
