Eastern Illinois,71,Bradley,2197
4:37,71,Elijah Childs Offensive Rebound.,16,23
4:34,71,Elijah Childs made Jumper.,16,25
4:12,71,Foul on Jayden Hodgson.,16,25
3:51,2197,Eastern Illinois  Turnover.,16,25
3:51,71,Official TV Timeout,16,25
3:27,71,Koch Bar Turnover.,16,25
3:26,2197,Terrell Lewis Steal.,16,25
3:22,2197,Jajuan Starks missed Jumper.,16,25
3:22,2197,Jajuan Starks Offensive Rebound.,16,25
3:05,2197,Ray Crossland made Jumper. Assisted by Jajuan Starks.,18,25
2:40,71,Nate Kennell Turnover.,18,25
2:13,2197,Muusa Dama missed Jumper.,18,25
2:13,2197,Jajuan Starks Offensive Rebound.,18,25
2:12,71,Foul on Nate Kennell.,18,25
2:12,2197,Jajuan Starks made Free Throw.,19,25
2:12,2197,Jajuan Starks made Free Throw.,20,25
2:01,71,Darrell Brown Turnover.,20,25
2:00,2197,D'Angelo Jackson Steal.,20,25
1:44,2197,Montell Goodwin missed Jumper.,20,25
1:44,71,Donte Thomas Block.,20,25
1:42,71,Darrell Brown Defensive Rebound.,20,25
1:20,71,JoJo McGlaston missed Three Point Jumper.,20,25
1:20,2197,D'Angelo Jackson Defensive Rebound.,20,25
1:07,2197,Terrell Lewis missed Jumper.,20,25
1:07,71,Elijah Childs Defensive Rebound.,20,25
0:58,71,JoJo McGlaston Turnover.,20,25
0:57,2197,Terrell Lewis Steal.,20,25
0:42,2197,Muusa Dama made Dunk. Assisted by D'Angelo Jackson.,22,25
0:40,71,Bradley  Timeout,22,25
0:23,71,Nate Kennell missed Three Point Jumper.,22,25
0:23,2197,Muusa Dama Defensive Rebound.,22,25
0:03,2197,Montell Goodwin missed Three Point Jumper.,22,25
0:03,71,Dwayne Lautier-Ogunleye Defensive Rebound.,22,25
0:00,71,End of 1st half,22,25
19:44,2197,Jajuan Starks missed Jumper.,22,25
19:44,71,Dwayne Lautier-Ogunleye Defensive Rebound.,22,25
19:28,71,Koch Bar made Layup. Assisted by Donte Thomas.,22,27
18:54,2197,Eastern Illinois  Turnover.,22,27
18:43,71,Darrell Brown made Layup.,22,29
18:39,2197,Eastern Illinois  Timeout,22,29
18:14,71,Foul on Dwayne Lautier-Ogunleye.,22,29
18:07,2197,Muusa Dama made Layup. Assisted by Ray Crossland.,24,29
17:49,71,Dwayne Lautier-Ogunleye made Three Point Jumper. Assisted by Nate Kennell.,24,32
17:30,2197,D'Angelo Jackson Turnover.,24,32
17:08,71,Nate Kennell Turnover.,24,32
17:06,2197,D'Angelo Jackson Steal.,24,32
17:06,2197,D'Angelo Jackson Turnover.,24,32
17:06,2197,Foul on D'Angelo Jackson.,24,32
16:43,71,Dwayne Lautier-Ogunleye made Layup.,24,34
16:43,2197,Foul on D'Angelo Jackson.,24,34
16:43,71,Dwayne Lautier-Ogunleye made Free Throw.,24,35
16:13,2197,Muusa Dama missed Jumper.,24,35
16:13,71,Dwayne Lautier-Ogunleye Defensive Rebound.,24,35
16:08,71,Dwayne Lautier-Ogunleye Turnover.,24,35
16:07,2197,D'Angelo Jackson Steal.,24,35
16:05,2197,D'Angelo Jackson made Layup.,26,35
15:39,71,Darrell Brown Turnover.,26,35
15:39,71,Foul on Darrell Brown.,26,35
