Georgia,2239,CS Fullerton,61
3:46,2239,Davon Clare made Free Throw.,18,22
3:17,61,Foul on Tyree Crump.,18,22
3:17,61,Tyree Crump Turnover.,18,22
2:56,2239,Kyle Allman made Jumper. Assisted by Austen Awosika.,18,24
2:40,2239,Foul on Johnny Wang.,18,24
2:20,61,Tyree Crump missed Three Point Jumper.,18,24
2:20,61,Rayshaun Hammonds Offensive Rebound.,18,24
2:16,61,Rayshaun Hammonds missed Jumper.,18,24
2:16,61,Rayshaun Hammonds Offensive Rebound.,18,24
2:14,61,Rayshaun Hammonds made Layup.,20,24
2:14,2239,Foul on Kyle Allman.,20,24
2:14,61,Rayshaun Hammonds made Free Throw.,21,24
2:02,2239,Dwight Ramos Turnover.,21,24
1:38,61,Derek Ogbeide missed Jumper.,21,24
1:38,2239,Jackson Rowe Defensive Rebound.,21,24
1:21,2239,Austen Awosika missed Jumper.,21,24
1:21,61,Derek Ogbeide Defensive Rebound.,21,24
0:46,61,E'Torrion Wilridge Turnover.,21,24
0:34,2239,CSU Fullerton  Timeout,21,24
0:24,2239,Khalil Ahmad missed Jumper.,21,24
0:24,61,Rayshaun Hammonds Defensive Rebound.,21,24
0:06,61,William Jackson II Turnover.,21,24
0:06,2239,Kyle Allman Steal.,21,24
0:02,2239,Austen Awosika made Three Point Jumper.,21,27
0:00,2239,End of 1st half,21,27
19:45,61,Derek Ogbeide Turnover.,21,27
19:45,61,Foul on Derek Ogbeide.,21,27
19:35,61,Foul on Juwan Parker.,21,27
19:25,2239,Kyle Allman Turnover.,21,27
19:02,61,Juwan Parker made Jumper.,23,27
18:45,2239,Khalil Ahmad missed Layup.,23,27
18:45,2239,Arkim Robertson Offensive Rebound.,23,27
18:42,2239,Arkim Robertson made Layup.,23,29
18:41,61,Foul on Derek Ogbeide.,23,29
18:41,2239,Arkim Robertson missed Free Throw.,23,29
18:41,61,Yante Maten Defensive Rebound.,23,29
18:18,61,William Jackson II made Three Point Jumper. Assisted by Rayshaun Hammonds.,26,29
17:55,2239,Khalil Ahmad made Layup.,26,31
17:32,2239,Foul on Jamal Smith.,26,31
17:32,61,Juwan Parker missed Free Throw.,26,31
17:32,61,Georgia Deadball Team Rebound.,26,31
17:32,61,Juwan Parker made Free Throw.,27,31
17:07,2239,Kyle Allman missed Jumper.,27,31
17:07,61,Rayshaun Hammonds Defensive Rebound.,27,31
16:59,2239,Foul on Jackson Rowe.,27,31
16:46,2239,Foul on Khalil Ahmad.,27,31
16:36,61,Yante Maten Turnover.,27,31
16:17,2239,Kyle Allman made Layup.,27,33
16:10,61,Juwan Parker missed Jumper.,27,33
16:10,2239,Arkim Robertson Block.,27,33
16:09,61,Georgia Offensive Rebound.,27,33
15:56,61,Juwan Parker missed Jumper.,27,33
15:56,2239,Jamal Smith Defensive Rebound.,27,33
15:38,2239,Austen Awosika missed Layup.,27,33
15:38,61,Mike Edwards Block.,27,33
15:38,2239,CSU Fullerton Offensive Rebound.,27,33
15:38,2239,Official TV Timeout,27,33
15:27,2239,Austen Awosika missed Three Point Jumper.,27,33
15:27,61,Rayshaun Hammonds Defensive Rebound.,27,33
15:16,61,Mike Edwards made Layup. Assisted by Rayshaun Hammonds.,29,33
14:51,61,Foul on William Jackson II.,29,33
14:51,2239,Kyle Allman made Free Throw.,29,34
14:51,2239,Kyle Allman missed Free Throw.,29,34
14:51,61,Yante Maten Defensive Rebound.,29,34
14:31,61,William Jackson II made Jumper. Assisted by Juwan Parker.,31,34
14:10,2239,Kyle Allman made Three Point Jumper. Assisted by Austen Awosika.,31,37
13:41,61,William Jackson II missed Three Point Jumper.,31,37
13:41,2239,Austen Awosika Defensive Rebound.,31,37
13:35,2239,Dwight Ramos Turnover.,31,37
