Coastal Carolina,333,Alabama,324
10:43,324,Jaylan Robertson Block.,9,11
10:40,324,Jaylan Robertson Defensive Rebound.,9,11
10:36,324,Jaylen Shaw missed Jumper.,9,11
10:36,333,Nick King Block.,9,11
10:33,333,Nick King Defensive Rebound.,9,11
10:28,333,Ar'Mond Davis missed Jumper.,9,11
10:28,333,Donta Hall Offensive Rebound.,9,11
10:15,333,Avery Johnson Jr. missed Three Point Jumper.,9,11
10:15,324,Demario Beck Defensive Rebound.,9,11
9:45,324,Amidou Bamba made Jumper.,11,11
9:30,333,Ar'Mond Davis missed Three Point Jumper.,11,11
9:30,324,Demario Beck Defensive Rebound.,11,11
9:27,324,Jaylen Shaw made Layup.,13,11
9:27,333,Foul on Avery Johnson Jr..,13,11
9:27,324,Jaylen Shaw made Free Throw.,14,11
9:12,333,Donta Hall missed Jumper.,14,11
9:12,333,Riley Norris Offensive Rebound.,14,11
9:10,324,Foul on Colton Ray-St Cyr.,14,11
8:57,333,Donta Hall missed Jumper.,14,11
8:57,324,Demario Beck Defensive Rebound.,14,11
8:55,324,Demario Beck Turnover.,14,11
8:55,333,Nick King Steal.,14,11
8:55,333,Foul on Donta Hall.,14,11
8:55,333,Donta Hall Turnover.,14,11
8:37,324,Colton Ray-St Cyr made Three Point Jumper. Assisted by Jaylan Robertson.,17,11
8:17,333,Riley Norris Turnover.,17,11
8:15,324,Josh Coleman Steal.,17,11
8:04,324,Demario Beck missed Jumper.,17,11
8:04,324,Jaylan Robertson Offensive Rebound.,17,11
7:46,324,Jaylan Robertson missed Layup.,17,11
7:46,333,Nick King Block.,17,11
7:44,333,Riley Norris Defensive Rebound.,17,11
7:44,333,Official TV Timeout,17,11
7:44,324,Foul on Josh Coleman.,17,11
7:44,333,Riley Norris made Free Throw.,17,12
7:44,333,Riley Norris missed Free Throw.,17,12
7:44,333,Bola Olaniyan Offensive Rebound.,17,12
7:37,333,Foul on Bola Olaniyan.,17,12
7:37,333,Bola Olaniyan Turnover.,17,12
7:18,324,Elijah Wilson missed Three Point Jumper.,17,12
7:18,324,Coastal Carolina Offensive Rebound.,17,12
7:13,324,Colton Ray-St Cyr Turnover.,17,12
7:13,333,Corban Collins Steal.,17,12
7:13,324,Foul on Demario Beck.,17,12
7:13,333,Corban Collins made Free Throw.,17,13
7:13,333,Corban Collins made Free Throw.,17,14
6:56,324,Colton Ray-St Cyr made Three Point Jumper. Assisted by Elijah Wilson.,20,14
6:37,333,Riley Norris Turnover.,20,14
6:33,324,Amidou Bamba missed Layup.,20,14
6:33,333,Bola Olaniyan Defensive Rebound.,20,14
6:26,333,Braxton Key made Dunk. Assisted by Dazon Ingram.,20,16
6:00,324,Elijah Wilson missed Three Point Jumper.,20,16
6:00,324,Demario Beck Offensive Rebound.,20,16
5:53,333,Foul on Bola Olaniyan.,20,16
5:53,324,Elijah Wilson made Free Throw.,21,16
5:53,324,Elijah Wilson made Free Throw.,22,16
5:39,333,Corban Collins missed Three Point Jumper.,22,16
5:39,324,Coastal Carolina Defensive Rebound.,22,16
5:19,324,Colton Ray-St Cyr made Layup.,24,16
4:59,333,Shannon Hale made Layup.,24,18
4:41,324,Jaylan Robertson Turnover.,24,18
4:26,333,Shannon Hale missed Jumper.,24,18
4:26,324,Jaylan Robertson Defensive Rebound.,24,18
4:08,324,Colton Ray-St Cyr Turnover.,24,18
4:07,333,Braxton Key Steal.,24,18
