Lipscomb,2509,Purdue,288
4:01,288,Garrison Mathews missed Three Point Jumper.,34,39
4:01,2509,Vincent Edwards Defensive Rebound.,34,39
3:59,288,Foul on Andrew Fleming.,34,39
3:59,2509,Official TV Timeout,34,39
3:59,2509,Vincent Edwards made Free Throw.,34,40
3:59,2509,Vincent Edwards missed Free Throw.,34,40
3:59,288,Andrew Fleming Defensive Rebound.,34,40
3:39,288,Andrew Fleming made Jumper.,36,40
3:13,2509,Dakota Mathias Turnover.,36,40
2:56,288,Andrew Fleming missed Jumper.,36,40
2:56,2509,Vincent Edwards Defensive Rebound.,36,40
2:47,2509,P.J. Thompson missed Three Point Jumper.,36,40
2:47,2509,Vincent Edwards Offensive Rebound.,36,40
2:36,2509,Vincent Edwards missed Jumper.,36,40
2:36,288,Kenny Cooper Defensive Rebound.,36,40
2:26,288,Kenny Cooper missed Jumper.,36,40
2:26,2509,Dakota Mathias Defensive Rebound.,36,40
2:09,288,Foul on Rob Marberry.,36,40
2:09,2509,Matt Haarms made Free Throw.,36,41
2:09,2509,Matt Haarms missed Free Throw.,36,41
2:09,288,Garrison Mathews Defensive Rebound.,36,41
2:02,288,Garrison Mathews made Layup.,38,41
1:46,2509,P.J. Thompson missed Jumper.,38,41
1:46,288,Aaron Korn Defensive Rebound.,38,41
1:27,288,Rob Marberry missed Jumper.,38,41
1:27,2509,Ryan Cline Defensive Rebound.,38,41
1:20,2509,Ryan Cline missed Three Point Jumper.,38,41
1:20,2509,Matt Haarms Offensive Rebound.,38,41
1:15,2509,Matt Haarms made Layup.,38,43
1:08,2509,Foul on Ryan Cline.,38,43
0:56,288,Michael Buckland Turnover.,38,43
0:43,2509,Dakota Mathias missed Three Point Jumper.,38,43
0:43,2509,Vincent Edwards Offensive Rebound.,38,43
0:14,2509,Vincent Edwards missed Three Point Jumper.,38,43
0:14,288,Garrison Mathews Defensive Rebound.,38,43
0:08,2509,Foul on P.J. Thompson.,38,43
0:04,288,Rob Marberry missed Jumper.,38,43
0:04,2509,Carsen Edwards Defensive Rebound.,38,43
0:00,2509,End of 1st half,38,43
20:00,288,Jump Ball won by Lipscomb,38,43
19:44,288,Michael Buckland Turnover.,38,43
19:29,2509,Isaac Haas made Dunk. Assisted by Dakota Mathias.,38,45
19:07,288,Michael Buckland missed Three Point Jumper.,38,45
19:07,288,Eli Pepper Offensive Rebound.,38,45
18:49,288,Kenny Cooper Turnover.,38,45
18:39,2509,Isaac Haas made Dunk. Assisted by Carsen Edwards.,38,47
18:39,288,Foul on Rob Marberry.,38,47
18:39,2509,Isaac Haas missed Free Throw.,38,47
18:39,288,Michael Buckland Defensive Rebound.,38,47
18:26,288,Garrison Mathews missed Three Point Jumper.,38,47
18:26,2509,Dakota Mathias Defensive Rebound.,38,47
18:18,2509,P.J. Thompson missed Layup.,38,47
18:18,288,Garrison Mathews Block.,38,47
18:18,288,Rob Marberry Defensive Rebound.,38,47
18:11,288,Garrison Mathews made Three Point Jumper. Assisted by Kenny Cooper.,41,47
17:56,2509,Dakota Mathias made Three Point Jumper.,41,50
17:39,2509,Foul on P.J. Thompson.,41,50
17:39,288,Eli Pepper missed Free Throw.,41,50
17:39,288,Lipscomb Deadball Team Rebound.,41,50
17:39,288,Eli Pepper missed Free Throw.,41,50
17:39,2509,Vincent Edwards Defensive Rebound.,41,50
17:22,288,Foul on Rob Marberry.,41,50
17:22,2509,Isaac Haas made Free Throw.,41,51
17:22,2509,Isaac Haas made Free Throw.,41,52
17:19,288,Matt Rose Turnover.,41,52
17:19,2509,P.J. Thompson Steal.,41,52
17:16,2509,Vincent Edwards made Three Point Jumper. Assisted by P.J. Thompson.,41,55
17:08,288,Lipscomb  Timeout,41,55
17:06,288,Eli Pepper made Dunk. Assisted by Michael Buckland.,43,55
16:46,288,Foul on Eli Pepper.,43,55
16:38,288,Foul on Eli Pepper.,43,55
16:36,2509,Isaac Haas made Dunk. Assisted by Vincent Edwards.,43,57
16:14,288,Aaron Korn missed Three Point Jumper.,43,57
16:14,2509,Isaac Haas Defensive Rebound.,43,57
16:06,2509,Dakota Mathias made Jumper. Assisted by P.J. Thompson.,43,59
15:43,2509,Foul on Isaac Haas.,43,59
15:43,2509,Official TV Timeout,43,59
15:43,288,Garrison Mathews missed Free Throw.,43,59
15:43,288,Lipscomb Deadball Team Rebound.,43,59
15:43,288,Garrison Mathews made Free Throw.,44,59
15:31,2509,P.J. Thompson missed Three Point Jumper.,44,59
15:31,288,Lipscomb Defensive Rebound.,44,59
15:10,288,Rob Marberry missed Three Point Jumper.,44,59
15:10,288,Aaron Korn Offensive Rebound.,44,59
15:01,288,Garrison Mathews missed Three Point Jumper.,44,59
15:01,288,Matt Rose Offensive Rebound.,44,59
14:58,288,Matt Rose made Layup.,46,59
14:46,2509,Carsen Edwards made Jumper.,46,61
14:46,288,Foul on Matt Rose.,46,61
14:46,2509,Carsen Edwards made Free Throw.,46,62
14:20,2509,Foul on Dakota Mathias.,46,62
14:20,288,Garrison Mathews made Free Throw.,47,62
14:20,288,Garrison Mathews made Free Throw.,48,62
14:20,2509,Foul on Dakota Mathias.,46,62
14:20,288,Garrison Mathews made Free Throw.,49,62
14:15,2509,Carsen Edwards missed Three Point Jumper.,49,62
14:15,288,Aaron Korn Defensive Rebound.,49,62
14:00,288,Garrison Mathews missed Layup.,49,62
14:00,2509,Isaac Haas Block.,49,62
14:00,2509,Isaac Haas Defensive Rebound.,49,62
13:49,2509,Foul on P.J. Thompson.,49,62
13:49,2509,P.J. Thompson Turnover.,49,62
13:32,288,Garrison Mathews missed Layup.,49,62
13:32,2509,Carsen Edwards Defensive Rebound.,49,62
13:25,2509,Carsen Edwards missed Layup.,49,62
13:25,288,Rob Marberry Defensive Rebound.,49,62
13:15,288,Matt Rose made Three Point Jumper. Assisted by Michael Buckland.,52,62
13:00,2509,Nojel Eastern Turnover.,52,62
13:00,2509,Foul on Nojel Eastern.,52,62
12:36,288,Rob Marberry Turnover.,52,62
12:22,2509,Vincent Edwards made Layup.,52,64
12:02,288,Kenny Cooper missed Three Point Jumper.,52,64
12:02,2509,Matt Haarms Defensive Rebound.,52,64
11:50,2509,Carsen Edwards Turnover.,52,64
11:50,288,George Brammeier Steal.,52,64
11:46,288,Eli Pepper missed Three Point Jumper.,52,64
11:46,2509,Carsen Edwards Defensive Rebound.,52,64
11:36,288,Foul on Kenny Cooper.,52,64
11:36,2509,Official TV Timeout,52,64
11:31,2509,Vincent Edwards made Three Point Jumper. Assisted by Ryan Cline.,52,67
11:13,2509,Foul on Nojel Eastern.,52,67
11:13,288,Kenny Cooper missed Free Throw.,52,67
11:13,2509,Matt Haarms Defensive Rebound.,52,67
10:56,2509,Vincent Edwards made Three Point Jumper. Assisted by Ryan Cline.,52,70
10:33,288,Garrison Mathews missed Layup.,52,70
10:33,2509,Matt Haarms Block.,52,70
10:33,2509,Ryan Cline Defensive Rebound.,52,70
10:25,2509,Nojel Eastern Turnover.,52,70
10:21,288,Rob Marberry Turnover.,52,70
10:21,2509,Nojel Eastern Steal.,52,70
10:10,2509,Nojel Eastern made Layup. Assisted by Matt Haarms.,52,72
10:04,288,Kenny Cooper missed Jumper.,52,72
10:04,2509,Matt Haarms Block.,52,72
10:04,2509,Ryan Cline Defensive Rebound.,52,72
9:57,2509,Foul on Ryan Cline.,52,72
9:57,2509,Ryan Cline Turnover.,52,72
9:52,2509,Foul on Nojel Eastern.,52,72
9:52,288,Michael Buckland missed Free Throw.,52,72
9:51,2509,Matt Haarms Defensive Rebound.,52,72
9:33,288,Foul on Garrison Mathews.,52,72
9:33,2509,Vincent Edwards made Free Throw.,52,73
9:33,2509,Vincent Edwards made Free Throw.,52,74
9:33,2509,Vincent Edwards made Free Throw.,52,75
9:17,288,Rob Marberry made Layup. Assisted by Aaron Korn.,54,75
8:50,2509,Vincent Edwards made Three Point Jumper. Assisted by Dakota Mathias.,54,78
8:18,288,Garrison Mathews missed Layup.,54,78
8:18,2509,Matt Haarms Block.,54,78
8:18,2509,Vincent Edwards Defensive Rebound.,54,78
8:11,2509,Dakota Mathias missed Three Point Jumper.,54,78
8:11,2509,Vincent Edwards Offensive Rebound.,54,78
8:00,2509,Dakota Mathias missed Jumper.,54,78
8:00,2509,P.J. Thompson Offensive Rebound.,54,78
7:47,2509,Vincent Edwards missed Jumper.,54,78
7:47,288,Lipscomb Deadball Team Rebound.,54,78
7:43,2509,Foul on Isaac Haas.,54,78
7:43,2509,Official TV Timeout,54,78
7:43,288,Rob Marberry made Free Throw.,55,78
7:43,288,Rob Marberry made Free Throw.,56,78
7:25,2509,Vincent Edwards missed Layup.,56,78
7:25,2509,Isaac Haas Offensive Rebound.,56,78
7:25,2509,Isaac Haas made Two Point Tip Shot.,56,80
6:51,288,Lipscomb  Turnover.,56,80
6:36,2509,Vincent Edwards missed Three Point Jumper.,56,80
6:36,288,Matt Rose Defensive Rebound.,56,80
6:21,288,Aaron Korn missed Jumper.,56,80
6:21,2509,Dakota Mathias Defensive Rebound.,56,80
6:01,288,Foul on Rob Marberry.,56,80
6:01,2509,Isaac Haas made Free Throw.,56,81
6:01,2509,Isaac Haas missed Free Throw.,56,81
6:01,288,Matt Rose Defensive Rebound.,56,81
5:52,288,Garrison Mathews missed Three Point Jumper.,56,81
5:52,2509,Carsen Edwards Defensive Rebound.,56,81
5:41,2509,Carsen Edwards made Layup.,56,83
5:23,288,Aaron Korn made Three Point Jumper. Assisted by Kenny Cooper.,59,83
5:05,2509,Dakota Mathias made Three Point Jumper. Assisted by P.J. Thompson.,59,86
4:53,2509,Foul on Isaac Haas.,59,86
4:53,288,Rob Marberry missed Free Throw.,59,86
4:53,288,Lipscomb Deadball Team Rebound.,59,86
4:53,288,Rob Marberry missed Free Throw.,59,86
4:53,2509,Carsen Edwards Defensive Rebound.,59,86
4:35,2509,Isaac Haas made Layup. Assisted by Carsen Edwards.,59,88
4:25,288,Greg Jones Turnover.,59,88
4:19,2509,Matt Haarms missed Jumper.,59,88
4:19,288,Michael Buckland Defensive Rebound.,59,88
4:12,288,Andrew Fleming Turnover.,59,88
4:12,2509,Carsen Edwards Steal.,59,88
4:07,2509,Carsen Edwards made Layup.,59,90
3:50,288,Andrew Fleming made Three Point Jumper. Assisted by Michael Buckland.,62,90
3:26,2509,Matt Haarms missed Jumper.,62,90
3:26,2509,Matt Haarms Offensive Rebound.,62,90
3:23,2509,Matt Haarms made Layup.,62,92
3:18,288,Michael Buckland made Layup.,64,92
3:05,2509,Nojel Eastern Turnover.,64,92
3:05,288,Greg Jones Steal.,64,92
3:00,288,Greg Jones missed Jumper.,64,92
3:00,288,Garrison Mathews Offensive Rebound.,64,92
2:52,2509,Foul on Matt Haarms.,64,92
2:52,2509,Official TV Timeout,64,92
2:52,288,Garrison Mathews made Free Throw.,65,92
2:52,288,Garrison Mathews made Free Throw.,66,92
2:30,2509,Grady Eifert missed Jumper.,66,92
2:30,2509,Grady Eifert Offensive Rebound.,66,92
2:30,2509,Grady Eifert missed Two Point Tip Shot.,66,92
2:30,288,Matt Rose Defensive Rebound.,66,92
2:07,288,Matt Rose missed Three Point Jumper.,66,92
2:07,2509,Jacquil Taylor Defensive Rebound.,66,92
1:49,288,Foul on Greg Jones.,66,92
1:49,2509,Nojel Eastern missed Free Throw.,66,92
1:49,2509,Purdue Deadball Team Rebound.,66,92
1:49,2509,Nojel Eastern missed Free Throw.,66,92
1:49,288,George Brammeier Defensive Rebound.,66,92
1:43,288,Greg Jones Turnover.,66,92
1:43,2509,Nojel Eastern Steal.,66,92
1:33,2509,Tommy Luce made Layup.,66,94
1:24,288,Matt Rose missed Three Point Jumper.,66,94
1:24,2509,Grady Eifert Defensive Rebound.,66,94
1:12,2509,Nojel Eastern made Layup.,66,96
1:00,288,Andrew Fleming missed Three Point Jumper.,66,96
1:00,2509,Jacquil Taylor Defensive Rebound.,66,96
0:50,2509,Nojel Eastern missed Three Point Jumper.,66,96
0:50,2509,Tommy Luce Offensive Rebound.,66,96
0:45,2509,Tommy Luce made Layup.,66,98
0:33,288,Matt Rose Turnover.,66,98
0:33,2509,Matt Haarms Steal.,66,98
0:00,2509,End of Game,66,98
