Incarnate Word,2447,Nicholls,2916
6:20,2447,Foul on Jahvaughn Powell.,17,23
6:20,2916,Keaton Hervey made Free Throw.,18,23
6:20,2916,Keaton Hervey made Free Throw.,19,23
6:06,2447,Lafayette Rutledge missed Three Point Jumper.,19,23
6:06,2916,Simi Socks Defensive Rebound.,19,23
5:39,2916,Cody Graham missed Jumper.,19,23
5:39,2447,Ryghe Lyons Block.,19,23
5:38,2447,Kimani Jackson Defensive Rebound.,19,23
5:22,2447,Kevin Johnson made Three Point Jumper. Assisted by Ryghe Lyons.,19,26
5:02,2916,Simi Socks missed Layup.,19,26
5:02,2447,Kevin Johnson Defensive Rebound.,19,26
4:56,2447,Stevie Repichowski missed Three Point Jumper.,19,26
4:56,2447,Kimani Jackson Offensive Rebound.,19,26
4:32,2447,Stevie Repichowski made Three Point Jumper. Assisted by Kevin Johnson.,19,29
4:09,2916,Simi Socks Turnover.,19,29
3:55,2447,Official TV Timeout,19,29
3:54,2447,Kevin Johnson Turnover.,19,29
3:52,2916,Jalin Hart Steal.,19,29
3:49,2916,Keaton Hervey missed Layup.,19,29
3:49,2447,Kimani Jackson Defensive Rebound.,19,29
3:44,2447,Kimani Jackson Turnover.,19,29
3:43,2916,Shawn Johnson Steal.,19,29
3:26,2916,Augustine Ene missed Three Point Jumper.,19,29
3:26,2916,Charles Brown III Offensive Rebound.,19,29
3:19,2916,Shawn Johnson missed Three Point Jumper.,19,29
3:19,2916,Keaton Hervey Offensive Rebound.,19,29
3:03,2916,Keaton Hervey missed Jumper.,19,29
3:03,2447,Ryghe Lyons Defensive Rebound.,19,29
2:36,2447,Ryghe Lyons missed Dunk.,19,29
2:36,2447,Kevin Johnson Offensive Rebound.,19,29
2:13,2447,Ryghe Lyons made Jumper.,19,31
1:52,2916,Jalin Hart made Three Point Jumper. Assisted by Keaton Hervey.,22,31
1:33,2447,Stevie Repichowski missed Three Point Jumper.,22,31
1:33,2916,Shawn Johnson Defensive Rebound.,22,31
1:13,2916,Augustine Ene missed Three Point Jumper.,22,31
1:13,2916,Keaton Hervey Offensive Rebound.,22,31
1:03,2916,Jalin Hart missed Jumper.,22,31
1:03,2447,Kimani Jackson Defensive Rebound.,22,31
0:54,2916,Foul on Charles Brown III.,22,31
0:54,2447,Kimani Jackson made Free Throw.,22,32
0:54,2447,Kimani Jackson missed Free Throw.,22,32
0:54,2916,Charles Brown III Defensive Rebound.,22,32
