Vanderbilt,57,Florida,238
13:58,238,Matthew Fisher-Davis Defensive Rebound.,0,9
13:33,238,Foul on Djery Baptiste.,0,9
13:33,238,Djery Baptiste Turnover.,0,9
13:23,57,Chris Chiozza missed Three Point Jumper.,0,9
13:23,57,Deaundrae Ballard Offensive Rebound.,0,9
13:11,57,Egor Koulechov missed Layup.,0,9
13:11,238,Clevon Brown Defensive Rebound.,0,9
13:00,238,Clevon Brown made Dunk. Assisted by Saben Lee.,2,9
12:32,238,Foul on Saben Lee.,2,9
12:18,57,Mike Okauru missed Three Point Jumper.,2,9
12:18,238,Payton Willis Defensive Rebound.,2,9
12:13,57,Foul on Keith Stone.,2,9
12:05,238,Joe Toye missed Jumper.,2,9
12:05,238,Jeff Roberson Offensive Rebound.,2,9
11:52,238,Joe Toye missed Layup.,2,9
11:52,57,Egor Koulechov Defensive Rebound.,2,9
11:42,57,Mike Okauru missed Jumper.,2,9
11:42,238,Jeff Roberson Defensive Rebound.,2,9
11:34,238,Saben Lee made Layup.,4,9
11:34,57,Foul on Mike Okauru.,4,9
11:34,238,Saben Lee made Free Throw.,5,9
11:31,57,Official TV Timeout,5,9
11:19,57,Egor Koulechov missed Jumper.,5,9
11:19,238,Clevon Brown Defensive Rebound.,5,9
11:12,238,Saben Lee missed Layup.,5,9
11:12,57,Keith Stone Block.,5,9
11:12,57,Chris Chiozza Defensive Rebound.,5,9
11:05,238,Foul on Payton Willis.,5,9
11:05,57,Deaundrae Ballard made Free Throw.,5,10
11:05,57,Deaundrae Ballard made Free Throw.,5,11
10:47,238,Matthew Fisher-Davis missed Jumper.,5,11
10:47,238,Vanderbilt Offensive Rebound.,5,11
10:32,238,Jeff Roberson missed Layup.,5,11
10:32,57,Kevarrius Hayes Block.,5,11
10:32,57,Chris Chiozza Defensive Rebound.,5,11
10:25,57,Chris Chiozza made Layup.,5,13
10:03,238,Payton Willis missed Jumper.,5,13
10:03,57,Kevarrius Hayes Block.,5,13
10:03,57,Kevarrius Hayes Defensive Rebound.,5,13
9:50,57,Chris Chiozza Turnover.,5,13
9:34,238,Riley LaChance made Three Point Jumper.,8,13
9:10,57,KeVaughn Allen made Three Point Jumper. Assisted by Kevarrius Hayes.,8,16
8:52,57,Foul on Kevarrius Hayes.,8,16
8:36,238,Saben Lee missed Jumper.,8,16
8:36,57,Kevarrius Hayes Block.,8,16
8:36,57,KeVaughn Allen Defensive Rebound.,8,16
8:30,57,KeVaughn Allen made Three Point Jumper.,8,19
8:25,238,Vanderbilt  Timeout,8,19
8:25,57,Official TV Timeout,8,19
8:12,238,Jeff Roberson missed Jumper.,8,19
8:12,57,Jalen Hudson Defensive Rebound.,8,19
7:48,57,KeVaughn Allen made Jumper.,8,21
7:33,238,Jeff Roberson made Three Point Jumper. Assisted by Riley LaChance.,11,21
7:03,57,Chris Chiozza made Layup.,11,23
6:45,238,Riley LaChance Turnover.,11,23
6:26,57,Keith Stone made Layup.,11,25
6:06,238,Jeff Roberson missed Three Point Jumper.,11,25
6:06,57,Keith Stone Defensive Rebound.,11,25
5:38,57,Jalen Hudson made Three Point Jumper. Assisted by Keith Stone.,11,28
5:38,238,Foul on Matthew Fisher-Davis.,11,28
5:38,57,Jalen Hudson made Free Throw.,11,29
5:19,238,Payton Willis made Three Point Jumper.,14,29
5:01,57,Keith Stone missed Jumper.,14,29
5:01,238,Clevon Brown Defensive Rebound.,14,29
4:31,238,Payton Willis made Three Point Jumper. Assisted by Larry Austin Jr..,17,29
3:59,57,Jalen Hudson made Three Point Jumper. Assisted by Kevarrius Hayes.,17,32
3:38,238,Maxwell Evans missed Three Point Jumper.,17,32
3:38,238,Vanderbilt Offensive Rebound.,17,32
3:38,57,Foul on Kevarrius Hayes.,17,32
3:34,57,Official TV Timeout,17,32
3:34,57,Official TV Timeout,17,32
3:17,238,Payton Willis missed Three Point Jumper.,17,32
3:17,57,Mike Okauru Defensive Rebound.,17,32
3:09,57,Jalen Hudson missed Three Point Jumper.,17,32
3:09,57,Dontay Bassett Offensive Rebound.,17,32
3:02,57,Chris Chiozza missed Layup.,17,32
3:02,238,Djery Baptiste Block.,17,32
3:02,238,Djery Baptiste Defensive Rebound.,17,32
2:53,238,Clevon Brown made Three Point Jumper. Assisted by Payton Willis.,20,32
2:25,57,Mike Okauru missed Three Point Jumper.,20,32
2:25,238,Maxwell Evans Defensive Rebound.,20,32
2:19,238,Maxwell Evans Turnover.,20,32
2:04,57,Egor Koulechov made Jumper. Assisted by Chris Chiozza.,20,34
1:28,238,Maxwell Evans missed Jumper.,20,34
1:28,57,KeVaughn Allen Defensive Rebound.,20,34
1:21,57,Egor Koulechov made Three Point Jumper. Assisted by KeVaughn Allen.,20,37
0:54,238,Larry Austin Jr. Turnover.,20,37
0:54,57,Dontay Bassett Steal.,20,37
0:47,57,Egor Koulechov missed Three Point Jumper.,20,37
0:47,238,Maxwell Evans Defensive Rebound.,20,37
0:38,57,Foul on Chris Chiozza.,20,37
0:15,238,Foul on Joe Toye.,20,37
0:15,238,Joe Toye Turnover.,20,37
0:08,57,Chris Chiozza made Three Point Jumper.,20,40
0:00,57,End of 1st half,20,40
20:00,238,Jump Ball won by Vanderbilt,20,40
19:44,238,Saben Lee made Layup.,22,40
19:25,57,Keith Stone missed Jumper.,22,40
19:25,238,Jeff Roberson Defensive Rebound.,22,40
19:15,238,Jeff Roberson made Layup.,24,40
18:46,238,Foul on Riley LaChance.,24,40
18:46,57,Kevarrius Hayes made Free Throw.,24,41
18:46,57,Kevarrius Hayes made Free Throw.,24,42
18:35,57,Foul on KeVaughn Allen.,24,42
18:23,238,Matthew Fisher-Davis made Jumper.,26,42
18:04,57,Keith Stone Turnover.,26,42
17:54,238,Saben Lee Turnover.,26,42
17:54,57,Keith Stone Steal.,26,42
17:41,57,Chris Chiozza missed Jumper.,26,42
17:41,57,Keith Stone Offensive Rebound.,26,42
17:38,238,Foul on Riley LaChance.,26,42
17:38,238,Foul on Joe Toye.,26,42
17:36,238,Foul on Joe Toye.,26,42
17:22,57,Kevarrius Hayes made Jumper.,26,44
17:03,57,Foul on Kevarrius Hayes.,26,44
17:03,238,Jeff Roberson made Free Throw.,27,44
17:03,238,Jeff Roberson missed Free Throw.,27,44
17:03,57,Jalen Hudson Defensive Rebound.,27,44
16:55,57,Egor Koulechov missed Layup.,27,44
16:55,57,Keith Stone Offensive Rebound.,27,44
16:47,57,Keith Stone missed Layup.,27,44
16:47,238,Saben Lee Defensive Rebound.,27,44
16:42,238,Jeff Roberson made Layup.,29,44
16:24,238,Foul on Matthew Fisher-Davis.,29,44
16:24,57,Jalen Hudson missed Free Throw.,29,44
16:24,57,Florida Deadball Team Rebound.,29,44
16:24,57,Jalen Hudson made Free Throw.,29,45
16:24,57,Jalen Hudson missed Free Throw.,29,45
16:24,238,Jeff Roberson Defensive Rebound.,29,45
16:15,238,Matthew Fisher-Davis missed Layup.,29,45
16:15,57,KeVaughn Allen Block.,29,45
16:15,57,KeVaughn Allen Defensive Rebound.,29,45
16:05,57,Egor Koulechov missed Three Point Jumper.,29,45
16:05,238,Matthew Fisher-Davis Defensive Rebound.,29,45
15:56,57,Foul on Chris Chiozza.,29,45
15:56,57,Official TV Timeout,29,45
15:56,238,Saben Lee made Free Throw.,30,45
15:56,238,Saben Lee made Free Throw.,31,45
15:42,57,Chris Chiozza missed Jumper.,31,45
15:42,238,Joe Toye Defensive Rebound.,31,45
15:36,238,Jeff Roberson made Three Point Jumper. Assisted by Saben Lee.,34,45
15:24,57,Florida  Timeout,34,45
15:14,238,Foul on Saben Lee.,34,45
15:14,57,KeVaughn Allen made Free Throw.,34,46
15:14,57,KeVaughn Allen made Free Throw.,34,47
15:05,238,Matthew Fisher-Davis made Layup. Assisted by Saben Lee.,36,47
14:56,57,Jalen Hudson missed Layup.,36,47
14:56,238,Saben Lee Defensive Rebound.,36,47
14:56,57,Foul on Keith Stone.,36,47
14:47,238,Saben Lee made Layup.,38,47
14:34,57,Egor Koulechov made Jumper.,38,49
14:16,238,Saben Lee missed Three Point Jumper.,38,49
14:16,57,Mike Okauru Defensive Rebound.,38,49
13:59,57,Keith Stone made Layup.,38,51
13:45,238,Vanderbilt  Timeout,38,51
13:36,238,Matthew Fisher-Davis missed Jumper.,38,51
13:36,57,Keith Stone Block.,38,51
13:36,238,Vanderbilt Offensive Rebound.,38,51
13:26,238,Matthew Fisher-Davis missed Three Point Jumper.,38,51
13:26,238,Vanderbilt Offensive Rebound.,38,51
13:20,238,Joe Toye missed Three Point Jumper.,38,51
13:20,57,Egor Koulechov Defensive Rebound.,38,51
12:56,57,Jalen Hudson missed Three Point Jumper.,38,51
12:56,238,Riley LaChance Defensive Rebound.,38,51
12:40,238,Matthew Fisher-Davis made Three Point Jumper. Assisted by Joe Toye.,41,51
12:29,238,Foul on Saben Lee.,41,51
12:29,57,KeVaughn Allen made Free Throw.,41,52
12:29,57,KeVaughn Allen made Free Throw.,41,53
12:08,238,Matthew Fisher-Davis made Jumper.,43,53
11:50,57,Egor Koulechov made Jumper.,43,55
11:24,238,Riley LaChance made Layup.,45,55
11:24,57,Foul on Keith Stone.,45,55
11:24,57,Official TV Timeout,45,55
11:24,238,Riley LaChance made Free Throw.,46,55
11:10,57,Egor Koulechov missed Jumper.,46,55
11:10,238,Matthew Fisher-Davis Defensive Rebound.,46,55
10:49,238,Joe Toye missed Three Point Jumper.,46,55
10:49,238,Jeff Roberson Offensive Rebound.,46,55
10:40,57,Foul on Kevarrius Hayes.,46,55
10:40,238,Riley LaChance made Free Throw.,47,55
10:40,238,Riley LaChance made Free Throw.,48,55
10:33,238,Foul on Joe Toye.,48,55
10:33,57,Egor Koulechov made Free Throw.,48,56
10:33,57,Egor Koulechov made Free Throw.,48,57
10:23,238,Matthew Fisher-Davis missed Three Point Jumper.,48,57
10:23,57,Egor Koulechov Defensive Rebound.,48,57
10:06,57,Chris Chiozza made Layup.,48,59
9:39,238,Saben Lee made Layup.,50,59
9:11,57,Chris Chiozza made Layup.,50,61
8:47,57,Foul on Chris Chiozza.,50,61
8:47,238,Saben Lee made Free Throw.,51,61
8:47,238,Saben Lee made Free Throw.,52,61
8:23,57,Chris Chiozza made Layup.,52,63
7:58,238,Jeff Roberson missed Jumper.,52,63
7:58,57,Keith Stone Block.,52,63
7:58,238,Vanderbilt Offensive Rebound.,52,63
7:58,57,Official TV Timeout,52,63
7:55,238,Jeff Roberson made Jumper. Assisted by Riley LaChance.,54,63
7:35,238,Foul on Joe Toye.,54,63
7:35,57,Egor Koulechov made Free Throw.,54,64
7:35,57,Egor Koulechov made Free Throw.,54,65
7:22,238,Payton Willis missed Jumper.,54,65
7:22,238,Jeff Roberson Offensive Rebound.,54,65
7:22,57,Foul on Keith Stone.,54,65
7:22,238,Jeff Roberson missed Free Throw.,54,65
7:22,57,Keith Stone Defensive Rebound.,54,65
7:09,57,Deaundrae Ballard Turnover.,54,65
7:09,238,Riley LaChance Steal.,54,65
7:01,238,Riley LaChance missed Three Point Jumper.,54,65
7:01,238,Matthew Fisher-Davis Offensive Rebound.,54,65
6:43,238,Jeff Roberson missed Three Point Jumper.,54,65
6:43,57,Egor Koulechov Defensive Rebound.,54,65
6:30,57,KeVaughn Allen missed Jumper.,54,65
6:30,238,Saben Lee Defensive Rebound.,54,65
6:23,238,Saben Lee missed Layup.,54,65
6:23,57,Egor Koulechov Defensive Rebound.,54,65
6:00,57,Deaundrae Ballard made Three Point Jumper. Assisted by Chris Chiozza.,54,68
5:54,238,Vanderbilt  Timeout,54,68
5:49,238,Matthew Fisher-Davis made Three Point Jumper. Assisted by Riley LaChance.,57,68
5:20,57,Chris Chiozza missed Layup.,57,68
5:20,238,Clevon Brown Defensive Rebound.,57,68
5:13,238,Jeff Roberson made Layup. Assisted by Payton Willis.,59,68
4:52,238,Foul on Jeff Roberson.,59,68
4:52,57,Egor Koulechov made Free Throw.,59,69
4:52,57,Egor Koulechov made Free Throw.,59,70
4:42,238,Matthew Fisher-Davis made Jumper. Assisted by Payton Willis.,61,70
4:12,57,Florida  Timeout,61,70
4:05,57,Chris Chiozza missed Three Point Jumper.,61,70
4:05,238,Riley LaChance Defensive Rebound.,61,70
3:50,238,Jeff Roberson missed Three Point Jumper.,61,70
3:50,238,Clevon Brown Offensive Rebound.,61,70
3:50,238,Clevon Brown missed Jumper.,61,70
3:50,57,Jalen Hudson Block.,61,70
3:50,238,Jeff Roberson Offensive Rebound.,61,70
3:50,238,Jeff Roberson Turnover.,61,70
3:50,57,Egor Koulechov Steal.,61,70
3:50,238,Foul on Jeff Roberson.,61,70
3:50,57,Egor Koulechov made Free Throw.,61,71
3:50,57,Egor Koulechov made Free Throw.,61,72
3:35,238,Payton Willis made Three Point Jumper.,64,72
3:10,238,Foul on Payton Willis.,64,72
3:10,57,Chris Chiozza made Free Throw.,64,73
3:10,57,Chris Chiozza made Free Throw.,64,74
2:56,238,Jeff Roberson made Three Point Jumper. Assisted by Payton Willis.,67,74
2:28,57,Egor Koulechov missed Jumper.,67,74
2:28,238,Riley LaChance Defensive Rebound.,67,74
2:08,238,Riley LaChance missed Three Point Jumper.,67,74
2:08,238,Clevon Brown Offensive Rebound.,67,74
1:43,57,Foul on Deaundrae Ballard.,67,74
1:43,238,Clevon Brown missed Free Throw.,67,74
1:43,238,Payton Willis Offensive Rebound.,67,74
1:43,238,Riley LaChance made Three Point Jumper. Assisted by Matthew Fisher-Davis.,70,74
1:36,57,Keith Stone missed Jumper.,70,74
1:36,238,Riley LaChance Defensive Rebound.,70,74
1:29,238,Matthew Fisher-Davis missed Three Point Jumper.,70,74
1:29,57,Keith Stone Defensive Rebound.,70,74
0:50,57,Chris Chiozza made Layup.,70,76
0:34,57,Foul on KeVaughn Allen.,70,76
0:34,238,Payton Willis made Free Throw.,71,76
0:34,238,Payton Willis missed Free Throw.,71,76
0:34,57,Egor Koulechov Defensive Rebound.,71,76
0:27,238,Foul on Payton Willis.,71,76
0:27,57,KeVaughn Allen made Free Throw.,71,77
0:27,57,KeVaughn Allen made Free Throw.,71,78
0:24,238,Matthew Fisher-Davis missed Three Point Jumper.,71,78
0:24,57,Kevarrius Hayes Defensive Rebound.,71,78
0:19,238,Foul on Jeff Roberson.,71,78
0:19,57,Kevarrius Hayes missed Free Throw.,71,78
0:19,57,Florida Deadball Team Rebound.,71,78
0:19,57,Kevarrius Hayes made Free Throw.,71,79
0:13,238,Matthew Fisher-Davis made Three Point Jumper. Assisted by Jeff Roberson.,74,79
0:09,57,Florida  Timeout,74,79
0:08,238,Foul on Payton Willis.,74,79
0:08,57,Egor Koulechov made Free Throw.,74,80
0:08,57,Egor Koulechov made Free Throw.,74,81
0:02,238,Jeff Roberson missed Three Point Jumper.,74,81
0:02,57,Egor Koulechov Defensive Rebound.,74,81
0:00,57,End of Game,74,81
