Arkansas-Pine Bluff,2031,Little Rock,2029
2:49,2029,Kennedy McKinney Defensive Rebound.,26,20
2:41,2029,Joe'Randle Toliver missed Three Point Jumper.,26,20
2:41,2031,Kemy Osse Defensive Rebound.,26,20
2:21,2031,Lis Shoshi missed Jumper.,26,20
2:21,2031,Maurius Hill Offensive Rebound.,26,20
2:17,2031,Maurius Hill made Layup.,26,22
1:59,2029,Travon Harper Turnover.,26,22
1:56,2031,Lis Shoshi Steal.,26,22
1:30,2031,Kemy Osse missed Three Point Jumper.,26,22
1:30,2029,Jaquan Lynch Defensive Rebound.,26,22
1:18,2029,Joe'Randle Toliver Turnover.,26,22
1:17,2031,Evan Moorman Steal.,26,22
1:15,2031,Maurius Hill made Layup. Assisted by Marcus Johnson Jr..,26,24
1:09,2029,Arkansas-Pine Bluff  Timeout,26,24
0:57,2029,Jaquan Lynch missed Three Point Jumper.,26,24
0:57,2031,Lis Shoshi Defensive Rebound.,26,24
0:36,2031,Little Rock  Timeout,26,24
0:26,2031,Jalen Jackson missed Jumper.,26,24
0:26,2029,David Tillman Defensive Rebound.,26,24
0:03,2029,Charles Jackson missed Jumper.,26,24
0:02,2031,Oliver Black Block.,26,24
0:02,2031,Marcus Johnson Jr. Defensive Rebound.,26,24
0:00,2031,End of 1st half,26,24
19:49,2029,Trent Steen made Jumper.,28,24
19:32,2031,Kemy Osse made Three Point Jumper. Assisted by Jalen Jackson.,28,27
19:01,2029,Trent Steen missed Jumper.,28,27
19:01,2031,Kemy Osse Defensive Rebound.,28,27
18:54,2031,Kemy Osse made Three Point Jumper. Assisted by Marcus Johnson Jr..,28,30
18:30,2029,Foul on Joe'Randle Toliver.,28,30
18:30,2029,Joe'Randle Toliver Turnover.,28,30
18:19,2031,Foul on Oliver Black.,28,30
18:19,2031,Oliver Black Turnover.,28,30
18:02,2029,Foul on Trent Steen.,28,30
18:02,2031,Foul on Oliver Black.,28,30
17:49,2029,Marcus Wallace missed Three Point Jumper.,28,30
17:49,2031,Jalen Jackson Defensive Rebound.,28,30
17:36,2031,Maurius Hill made Layup. Assisted by Marcus Johnson Jr..,28,32
17:16,2029,Jaquan Lynch Turnover.,28,32
17:14,2031,Maurius Hill Steal.,28,32
17:12,2029,Foul on Charles Jackson.,28,32
17:12,2031,Marcus Johnson Jr. made Free Throw.,28,33
17:12,2031,Marcus Johnson Jr. made Free Throw.,28,34
16:56,2029,Joe'Randle Toliver Turnover.,28,34
16:42,2031,Jalen Jackson made Jumper.,28,36
16:21,2029,Kennedy McKinney Turnover.,28,36
16:18,2031,Ben Marcus Steal.,28,36
16:07,2031,Jalen Jackson made Jumper.,28,38
16:03,2029,Arkansas-Pine Bluff  Timeout,28,38
15:51,2029,Joe'Randle Toliver Turnover.,28,38
15:49,2031,Marcus Johnson Jr. Steal.,28,38
15:42,2031,Jalen Jackson made Jumper.,28,40
15:20,2029,Jaquan Lynch made Three Point Jumper. Assisted by Kennedy McKinney.,31,40
14:58,2031,Maurius Hill missed Jumper.,31,40
14:58,2031,Ben Marcus Offensive Rebound.,31,40
14:53,2031,Ben Marcus missed Jumper.,31,40
14:53,2029,Deshon Bayless Defensive Rebound.,31,40
14:41,2029,Jaquan Lynch made Three Point Jumper. Assisted by Marcus Wallace.,34,40
14:22,2031,Maurius Hill missed Jumper.,34,40
14:22,2031,Maurius Hill Offensive Rebound.,34,40
14:18,2031,Maurius Hill made Layup.,34,42
13:59,2029,Jaquan Lynch made Jumper.,36,42
13:32,2029,Foul on Charles Jackson.,36,42
13:19,2029,Foul on Kennedy McKinney.,36,42
13:19,2031,Maurius Hill made Free Throw.,36,43
13:19,2031,Maurius Hill made Free Throw.,36,44
13:10,2029,Jaquan Lynch missed Jumper.,36,44
13:10,2031,Kemy Osse Defensive Rebound.,36,44
12:56,2031,Andre Jones missed Three Point Jumper.,36,44
12:56,2029,Jaquan Lynch Defensive Rebound.,36,44
12:51,2031,Foul on Ben Marcus.,36,44
12:38,2029,Jaquan Lynch Turnover.,36,44
12:26,2029,Marcus Wallace made Jumper. Assisted by Jaquan Lynch.,38,44
12:10,2031,Ben Marcus made Layup. Assisted by Andre Jones.,38,46
12:10,2029,Foul on Artavious McDyess.,38,46
12:10,2031,Ben Marcus missed Free Throw.,38,46
12:10,2029,Artavious McDyess Defensive Rebound.,38,46
12:10,2029,Trent Steen missed Jumper.,38,46
12:10,2031,Marcus Johnson Jr. Defensive Rebound.,38,46
11:40,2031,Official TV Timeout,38,46
11:31,2031,Andre Jones Turnover.,38,46
11:30,2029,Trent Steen Steal.,38,46
11:24,2029,Marquis Cunningham missed Jumper.,38,46
11:24,2031,Oliver Black Defensive Rebound.,38,46
11:00,2031,Andre Jones missed Jumper.,38,46
11:00,2031,Lis Shoshi Offensive Rebound.,38,46
10:57,2031,Lis Shoshi made Layup.,38,48
10:42,2029,Trent Steen Turnover.,38,48
10:30,2029,Foul on Jaquan Lynch.,38,48
10:30,2031,Jalen Jackson made Free Throw.,38,49
10:30,2031,Jalen Jackson made Free Throw.,38,50
10:12,2031,Foul on Marcus Johnson Jr..,38,50
10:12,2029,Jaquan Lynch made Free Throw.,39,50
10:12,2029,Jaquan Lynch made Free Throw.,40,50
9:56,2031,Oliver Black made Layup. Assisted by Lis Shoshi.,40,52
9:30,2029,Travon Harper Turnover.,40,52
9:30,2031,Marcus Johnson Jr. Steal.,40,52
9:20,2031,Jalen Jackson Turnover.,40,52
8:48,2029,Jaquan Lynch Turnover.,40,52
8:25,2031,Kemy Osse missed Jumper.,40,52
8:25,2031,Jalen Jackson Offensive Rebound.,40,52
8:21,2031,Jalen Jackson made Layup.,40,54
8:01,2029,Trent Steen missed Jumper.,40,54
8:01,2031,Maurius Hill Defensive Rebound.,40,54
7:30,2031,Maurius Hill made Jumper.,40,56
7:04,2029,Charles Jackson missed Three Point Jumper.,40,56
7:04,2031,Kemy Osse Defensive Rebound.,40,56
6:48,2031,Kemy Osse missed Three Point Jumper.,40,56
6:48,2029,Charles Jackson Defensive Rebound.,40,56
6:37,2029,Travon Harper missed Layup.,40,56
6:37,2029,Travon Harper Offensive Rebound.,40,56
6:34,2029,Travon Harper made Layup.,42,56
6:31,2029,Arkansas-Pine Bluff  Timeout,42,56
6:17,2031,Marcus Johnson Jr. made Three Point Jumper. Assisted by Deondre Burns.,42,59
5:56,2029,Joe'Randle Toliver made Three Point Jumper. Assisted by Jaquan Lynch.,45,59
5:24,2031,Deondre Burns missed Three Point Jumper.,45,59
5:24,2029,Jaquan Lynch Defensive Rebound.,45,59
5:15,2029,Jaquan Lynch missed Jumper.,45,59
5:15,2029,Devin Berry Offensive Rebound.,45,59
5:09,2031,Foul on Ben Marcus.,45,59
5:04,2029,Trent Steen Turnover.,45,59
4:43,2029,Foul on Devin Berry.,45,59
4:43,2031,Andre Jones made Free Throw.,45,60
4:43,2031,Andre Jones made Free Throw.,45,61
4:30,2031,Foul on Maurius Hill.,45,61
4:28,2029,Joe'Randle Toliver missed Three Point Jumper.,45,61
4:28,2031,Maurius Hill Defensive Rebound.,45,61
4:14,2031,Maurius Hill missed Jumper.,45,61
4:14,2031,Oliver Black Offensive Rebound.,45,61
4:10,2031,Oliver Black made Layup.,45,63
3:41,2029,Kennedy McKinney made Layup. Assisted by Trent Steen.,47,63
3:23,2031,Marcus Johnson Jr. missed Three Point Jumper.,47,63
3:23,2029,Trent Steen Defensive Rebound.,47,63
3:13,2029,Marcus Wallace Turnover.,47,63
3:13,2031,Official TV Timeout,47,63
2:50,2031,Ryan Pippins Turnover.,47,63
2:45,2029,Kennedy McKinney missed Three Point Jumper.,47,63
2:45,2029,Khalid Campbell Offensive Rebound.,47,63
2:36,2029,Khalid Campbell missed Three Point Jumper.,47,63
2:36,2031,Ryan Pippins Defensive Rebound.,47,63
2:24,2031,Andre Jones missed Three Point Jumper.,47,63
2:24,2031,Oliver Black Offensive Rebound.,47,63
2:17,2029,Foul on Travon Harper.,47,63
2:17,2031,Maurius Hill missed Free Throw.,47,63
2:17,2031,Little Rock Deadball Team Rebound.,47,63
2:17,2031,Maurius Hill made Free Throw.,47,64
2:00,2031,Foul on Andre Jones.,47,64
2:00,2029,Kennedy McKinney missed Free Throw.,47,64
2:00,2029,Arkansas-Pine Bluff Deadball Team Rebound.,47,64
2:00,2029,Kennedy McKinney made Free Throw.,48,64
1:41,2031,Ryan Pippins missed Three Point Jumper.,48,64
1:41,2029,Jaquan Lynch Defensive Rebound.,48,64
1:25,2031,Foul on Deondre Burns.,48,64
1:25,2029,Kennedy McKinney missed Free Throw.,48,64
1:25,2031,Oliver Black Defensive Rebound.,48,64
1:00,2031,Shandon Goldman Turnover.,48,64
0:58,2029,Jaquan Lynch Steal.,48,64
0:54,2029,Jaquan Lynch made Layup.,50,64
0:40,2031,Andre Jones made Three Point Jumper. Assisted by Deondre Burns.,50,67
0:18,2029,Jaquan Lynch made Jumper.,52,67
0:00,2031,End of Game,52,67
