Georgia Southwestern,2247,Georgia State,3068
6:00,2247,Malik Benlevi made Free Throw.,11,23
5:38,-1,Tyrone Wooten made Three Point Jumper. Assisted by Brandon Price.,14,23
5:24,2247,Jeremy Hollowell made Jumper. Assisted by Isaiah Williams.,14,25
5:20,-1,Georgia Southwestern  Timeout,14,25
5:08,2247,Foul on Chris Clerkley.,14,25
5:08,-1,Jordan Banks missed Free Throw.,14,25
5:08,-1,Georgia Southwestern Deadball Team Rebound.,14,25
5:08,-1,Jordan Banks made Free Throw.,15,25
4:55,2247,Malik Benlevi made Layup.,15,27
4:42,-1,Tevin Wise missed Three Point Jumper.,15,27
4:42,2247,Malik Benlevi Defensive Rebound.,15,27
4:25,-1,Foul on Tevin Wise.,15,27
4:25,2247,Chris Clerkley made Free Throw.,15,28
4:25,2247,Chris Clerkley missed Free Throw.,15,28
4:25,-1,Jordan Banks Defensive Rebound.,15,28
4:03,-1,Brandon Price Turnover.,15,28
4:00,2247,Jeremy Hollowell Steal.,15,28
3:55,-1,Foul on Tevin Wise.,15,28
3:55,2247,Official TV Timeout,15,28
3:55,2247,Jeremy Hollowell missed Free Throw.,15,28
3:55,2247,Georgia St Deadball Team Rebound.,15,28
3:55,2247,Jeremy Hollowell made Free Throw.,15,29
3:55,-1,Cameron Dozier made Layup. Assisted by Jordan Banks.,17,29
3:50,2247,Malik Benlevi missed Three Point Jumper.,17,29
3:50,-1,Devin Watson Defensive Rebound.,17,29
3:32,-1,Cameron Dozier missed Three Point Jumper.,17,29
3:32,2247,Willie Clayton Defensive Rebound.,17,29
3:12,2247,Justin Seymour missed Three Point Jumper.,17,29
3:12,2247,Malik Benlevi Offensive Rebound.,17,29
2:53,2247,Justin Seymour missed Three Point Jumper.,17,29
2:53,2247,Justin Seymour Offensive Rebound.,17,29
2:50,2247,Justin Seymour made Jumper.,17,31
2:20,-1,Tyrone Wooten made Layup.,19,31
2:04,-1,Foul on Cameron Dozier.,19,31
1:58,2247,Jeremy Hollowell made Free Throw.,19,32
1:58,2247,Jeremy Hollowell made Free Throw.,19,33
1:58,-1,Brandon Price made Three Point Jumper. Assisted by Colt Yawn.,22,33
1:58,2247,Devin Mitchell made Three Point Jumper.,22,36
1:52,-1,Brandon Price missed Three Point Jumper.,22,36
1:52,2247,Willie Clayton Defensive Rebound.,22,36
0:34,2247,Devin Mitchell made Three Point Jumper. Assisted by Isaiah Dennis.,22,39
