Chicago State,77,Northwestern,2130
4:37,77,Scottie Lindsey missed Three Point Jumper.,14,25
4:37,77,Sanjay Lumpkin Offensive Rebound.,14,25
4:33,77,Sanjay Lumpkin missed Layup.,14,25
4:33,2130,Chicago St Defensive Rebound.,14,25
4:17,2130,Fred Sims Jr. Turnover.,14,25
4:16,77,Vic Law Steal.,14,25
4:13,77,Scottie Lindsey made Layup. Assisted by Vic Law.,14,27
3:52,77,Foul on Vic Law.,14,27
3:52,77,Official TV Timeout,14,27
3:42,2130,Trayvon Palmer made Jumper.,16,27
3:21,77,Bryant McIntosh missed Jumper.,16,27
3:21,2130,Clemmye Owens V Defensive Rebound.,16,27
3:03,77,Foul on Bryant McIntosh.,16,27
3:03,2130,Trayvon Palmer made Free Throw.,17,27
3:03,2130,Trayvon Palmer missed Free Throw.,17,27
3:03,77,Sanjay Lumpkin Defensive Rebound.,17,27
2:49,77,Vic Law made Jumper. Assisted by Gavin Skelly.,17,29
2:28,2130,Trayvon Palmer made Layup. Assisted by Joshua Batson.,19,29
2:17,77,Sanjay Lumpkin missed Three Point Jumper.,19,29
2:17,2130,Clemmye Owens V Defensive Rebound.,19,29
2:01,2130,Patrick Szpir Turnover.,19,29
1:47,77,Bryant McIntosh missed Three Point Jumper.,19,29
1:47,2130,Clemmye Owens V Defensive Rebound.,19,29
1:45,77,Foul on Scottie Lindsey.,19,29
1:19,2130,Trayvon Palmer missed Layup.,19,29
1:19,77,Sanjay Lumpkin Defensive Rebound.,19,29
1:13,77,Isiah Brown missed Three Point Jumper.,19,29
1:13,2130,Fred Sims Jr. Defensive Rebound.,19,29
0:41,2130,Fred Sims Jr. Turnover.,19,29
0:40,77,Isiah Brown Steal.,19,29
0:38,77,Isiah Brown missed Layup.,19,29
0:38,2130,Clemmye Owens V Block.,19,29
0:38,77,Northwestern Offensive Rebound.,19,29
0:30,77,Isiah Brown missed Jumper.,19,29
0:30,2130,Patrick Szpir Block.,19,29
0:28,2130,Joshua Batson Defensive Rebound.,19,29
0:04,77,Foul on Bryant McIntosh.,19,29
0:00,2130,Joshua Batson missed Layup.,19,29
0:00,2130,Trayvon Palmer Offensive Rebound.,19,29
0:00,2130,Trayvon Palmer made Two Point Tip Shot.,21,29
0:00,77,End of 1st half,21,29
19:44,77,Bryant McIntosh made Jumper. Assisted by Vic Law.,21,31
19:11,77,Foul on Barret Benson.,21,31
19:11,2130,Patrick Szpir made Free Throw.,22,31
19:11,2130,Patrick Szpir missed Free Throw.,22,31
19:11,77,Vic Law Defensive Rebound.,22,31
18:56,77,Vic Law made Three Point Jumper. Assisted by Scottie Lindsey.,22,34
18:26,2130,Fred Sims Jr. made Three Point Jumper. Assisted by Trayvon Palmer.,25,34
18:04,77,Scottie Lindsey Turnover.,25,34
17:36,2130,Trayvon Palmer Turnover.,25,34
17:27,2130,Foul on Brian Greene Jr..,25,34
17:27,77,Barret Benson missed Free Throw.,25,34
17:27,77,Northwestern Deadball Team Rebound.,25,34
17:27,77,Barret Benson made Free Throw.,25,35
17:17,2130,Fred Sims Jr. missed Three Point Jumper.,25,35
17:17,77,Sanjay Lumpkin Defensive Rebound.,25,35
17:07,77,Scottie Lindsey missed Three Point Jumper.,25,35
17:07,77,Scottie Lindsey Offensive Rebound.,25,35
17:03,77,Scottie Lindsey made Jumper.,25,37
16:42,2130,Joshua Batson missed Layup.,25,37
16:42,77,Scottie Lindsey Defensive Rebound.,25,37
16:36,77,Vic Law made Jumper.,25,39
16:30,2130,Chicago St  Timeout,25,39
16:07,2130,Clemmye Owens V made Three Point Jumper.,28,39
15:47,77,Official TV Timeout,28,39
15:35,77,Bryant McIntosh missed Three Point Jumper.,28,39
15:35,2130,Anthony Eaves Defensive Rebound.,28,39
15:22,77,Foul on Gavin Skelly.,28,39
15:17,77,Foul on Scottie Lindsey.,28,39
15:16,2130,Fred Sims Jr. missed Three Point Jumper.,28,39
15:16,77,Bryant McIntosh Defensive Rebound.,28,39
15:01,77,Gavin Skelly Turnover.,28,39
15:00,2130,Trayvon Palmer Steal.,28,39
14:42,2130,Trayvon Palmer made Layup. Assisted by Fred Sims Jr..,30,39
14:19,2130,Foul on Anthony Eaves.,30,39
14:06,77,Sanjay Lumpkin made Three Point Jumper. Assisted by Bryant McIntosh.,30,42
13:45,2130,Trayvon Palmer made Jumper. Assisted by Fred Sims Jr..,32,42
13:33,2130,Foul on Trayvon Palmer.,32,42
13:30,77,Vic Law Turnover.,32,42
13:30,2130,Anthony Eaves Steal.,32,42
13:30,77,Foul on Sanjay Lumpkin.,32,42
13:30,2130,Technical Foul on Deionte Simmons.,32,42
13:30,2130,Foul on Deionte Simmons.,32,42
13:30,77,Bryant McIntosh made Free Throw.,32,43
13:30,77,Bryant McIntosh made Free Throw.,32,44
13:11,77,Foul on Gavin Skelly.,32,44
13:11,77,Gavin Skelly Turnover.,32,44
12:54,2130,Anthony Eaves made Three Point Jumper.,35,44
12:34,77,Bryant McIntosh missed Three Point Jumper.,35,44
12:34,2130,Anthony Eaves Defensive Rebound.,35,44
12:25,2130,Anthony Eaves made Layup.,37,44
12:17,77,Northwestern  Timeout,37,44
12:15,77,Vic Law missed Three Point Jumper.,37,44
12:15,2130,Fred Sims Jr. Defensive Rebound.,37,44
12:11,2130,Fred Sims Jr. made Three Point Jumper.,40,44
11:52,77,Scottie Lindsey missed Three Point Jumper.,40,44
11:52,2130,Fred Sims Jr. Defensive Rebound.,40,44
11:50,77,Foul on Scottie Lindsey.,40,44
11:22,2130,Fred Sims Jr. made Three Point Jumper. Assisted by Brian Greene Jr..,43,44
10:57,77,Vic Law Turnover.,43,44
10:56,2130,Clemmye Owens V Steal.,43,44
10:44,2130,Fred Sims Jr. missed Three Point Jumper.,43,44
10:44,77,Vic Law Defensive Rebound.,43,44
10:27,77,Bryant McIntosh missed Three Point Jumper.,43,44
10:27,77,Gavin Skelly Offensive Rebound.,43,44
10:25,77,Gavin Skelly made Layup.,43,46
10:18,2130,Clemmye Owens V missed Three Point Jumper.,43,46
10:18,2130,Fred Sims Jr. Offensive Rebound.,43,46
10:05,2130,Brian Greene Jr. made Three Point Jumper. Assisted by Anthony Eaves.,46,46
9:43,77,Vic Law Turnover.,46,46
9:42,2130,Fred Sims Jr. Steal.,46,46
9:34,77,Foul on Gavin Skelly.,46,46
9:34,2130,Fred Sims Jr. missed Free Throw.,46,46
9:34,2130,Chicago St Deadball Team Rebound.,46,46
9:34,2130,Fred Sims Jr. made Free Throw.,47,46
9:16,77,Sanjay Lumpkin made Jumper. Assisted by Vic Law.,47,48
9:00,2130,Brian Greene Jr. missed Jumper.,47,48
9:00,77,Gavin Skelly Block.,47,48
8:58,2130,Brian Greene Jr. Offensive Rebound.,47,48
8:50,2130,Fred Sims Jr. made Three Point Jumper.,50,48
8:26,77,Scottie Lindsey made Jumper. Assisted by Bryant McIntosh.,50,50
8:06,2130,Trayvon Palmer made Dunk. Assisted by Brian Greene Jr..,52,50
7:50,2130,Foul on Clemmye Owens V.,52,50
7:50,77,Official TV Timeout,52,50
7:32,77,Vic Law missed Jumper.,52,50
7:32,2130,Trayvon Palmer Defensive Rebound.,52,50
7:14,2130,Fred Sims Jr. missed Three Point Jumper.,52,50
7:14,77,Bryant McIntosh Defensive Rebound.,52,50
7:08,77,Bryant McIntosh missed Layup.,52,50
7:08,2130,Anthony Eaves Defensive Rebound.,52,50
7:01,2130,Clemmye Owens V missed Layup.,52,50
7:01,77,Sanjay Lumpkin Defensive Rebound.,52,50
6:45,77,Scottie Lindsey made Layup. Assisted by Bryant McIntosh.,52,52
6:22,2130,Fred Sims Jr. Turnover.,52,52
6:07,77,Bryant McIntosh made Jumper. Assisted by Vic Law.,52,54
5:35,2130,Anthony Eaves missed Jumper.,52,54
5:35,2130,Trayvon Palmer Offensive Rebound.,52,54
5:30,2130,Clemmye Owens V missed Three Point Jumper.,52,54
5:30,2130,Trayvon Palmer Offensive Rebound.,52,54
5:23,2130,Brian Greene Jr. missed Layup.,52,54
5:23,77,Gavin Skelly Block.,52,54
5:21,2130,Chicago St Offensive Rebound.,52,54
5:18,2130,Fred Sims Jr. missed Jumper.,52,54
5:18,77,Vic Law Defensive Rebound.,52,54
4:58,77,Vic Law made Three Point Jumper. Assisted by Scottie Lindsey.,52,57
4:45,2130,Chicago St  Timeout,52,57
4:31,2130,Foul on Anthony Eaves.,52,57
4:31,2130,Anthony Eaves Turnover.,52,57
4:18,77,Gavin Skelly Turnover.,52,57
4:16,2130,Trayvon Palmer Steal.,52,57
4:07,77,Foul on Vic Law.,52,57
