Northwestern,2086,Butler,77
19:13,77,Scottie Lindsey Defensive Rebound.,32,32
19:03,2086,Foul on Tyler Lewis.,32,32
19:03,77,Sanjay Lumpkin made Free Throw.,33,32
19:03,77,Sanjay Lumpkin made Free Throw.,34,32
18:47,77,Foul on Dererk Pardon.,34,32
18:47,2086,Andrew Chrabascz made Free Throw.,34,33
18:47,2086,Andrew Chrabascz made Free Throw.,34,34
18:41,77,Scottie Lindsey missed Jumper.,34,34
18:41,2086,Tyler Wideman Defensive Rebound.,34,34
18:09,2086,Kelan Martin made Jumper.,34,36
17:45,77,Scottie Lindsey made Jumper.,36,36
17:26,2086,Kelan Martin made Three Point Jumper. Assisted by Avery Woodson.,36,39
17:02,77,Vic Law Turnover.,36,39
16:58,2086,Andrew Chrabascz missed Dunk.,36,39
16:58,77,Scottie Lindsey Defensive Rebound.,36,39
16:49,77,Vic Law made Three Point Jumper. Assisted by Bryant McIntosh.,39,39
16:44,2086,Kelan Martin missed Three Point Jumper.,39,39
16:44,77,Scottie Lindsey Defensive Rebound.,39,39
16:30,77,Scottie Lindsey made Three Point Jumper. Assisted by Sanjay Lumpkin.,42,39
16:12,2086,Kelan Martin missed Jumper.,42,39
16:12,2086,Tyler Wideman Offensive Rebound.,42,39
16:04,2086,Avery Woodson made Layup. Assisted by Andrew Chrabascz.,42,41
15:33,77,Scottie Lindsey Turnover.,42,41
15:33,2086,Official TV Timeout,42,41
15:17,77,Foul on Sanjay Lumpkin.,42,41
15:09,2086,Tyler Wideman made Jumper.,42,43
14:47,77,Scottie Lindsey missed Jumper.,42,43
14:47,2086,Sean McDermott Block.,42,43
14:47,2086,Andrew Chrabascz Defensive Rebound.,42,43
14:37,2086,Kelan Martin made Three Point Jumper. Assisted by Kamar Baldwin.,42,46
14:24,77,Northwestern  Timeout,42,46
14:23,77,Bryant McIntosh missed Jumper.,42,46
14:23,77,Dererk Pardon Offensive Rebound.,42,46
14:15,77,Dererk Pardon made Layup.,44,46
14:00,2086,Kelan Martin missed Three Point Jumper.,44,46
14:00,77,Gavin Skelly Defensive Rebound.,44,46
13:53,77,Bryant McIntosh Turnover.,44,46
13:44,2086,Kamar Baldwin Turnover.,44,46
13:44,77,Sanjay Lumpkin Steal.,44,46
13:38,77,Bryant McIntosh missed Three Point Jumper.,44,46
13:38,2086,Butler Defensive Rebound.,44,46
13:32,2086,Avery Woodson made Three Point Jumper.,44,49
13:03,2086,Foul on Nate Fowler.,44,49
13:03,77,Gavin Skelly missed Jumper.,44,49
13:03,2086,Andrew Chrabascz Defensive Rebound.,44,49
12:55,2086,Avery Woodson missed Three Point Jumper.,44,49
12:55,2086,Sean McDermott Offensive Rebound.,44,49
12:51,2086,Sean McDermott missed Jumper.,44,49
12:51,77,Nathan Taphorn Block.,44,49
12:51,77,Nathan Taphorn Defensive Rebound.,44,49
12:33,77,Foul on Isiah Brown.,44,49
12:33,77,Isiah Brown Turnover.,44,49
12:22,2086,Andrew Chrabascz Turnover.,44,49
12:10,77,Isiah Brown made Jumper.,46,49
11:46,2086,Kamar Baldwin made Jumper.,46,51
11:29,2086,Foul on Sean McDermott.,46,51
