Miami,2454,North Florida,2390
11:32,2454,Chris Davenport Defensive Rebound.,21,13
11:07,2454,Garrett Sams made Layup.,21,15
11:07,2390,Foul on Dejan Vasiljevic.,21,15
11:07,2454,Garrett Sams made Free Throw.,21,16
10:52,2390,Dewan Huell missed Jumper.,21,16
10:52,2454,Chris Davenport Defensive Rebound.,21,16
10:51,2390,Foul on Dewan Huell.,21,16
10:35,2454,Wajid Aminu missed Jumper.,21,16
10:35,2390,Miami Defensive Rebound.,21,16
10:17,2390,Kamari Murphy missed Layup.,21,16
10:17,2454,Garrett Sams Defensive Rebound.,21,16
10:07,2454,Garrett Sams Turnover.,21,16
10:06,2390,Bruce Brown Steal.,21,16
9:42,2390,Bruce Brown made Layup.,23,16
9:24,2454,Wajid Aminu missed Layup.,23,16
9:24,2390,Anthony Lawrence Jr. Defensive Rebound.,23,16
8:59,2390,Foul on Kamari Murphy.,23,16
8:59,2390,Kamari Murphy Turnover.,23,16
8:43,2454,Chris Davenport missed Three Point Jumper.,23,16
8:43,2390,Kamari Murphy Defensive Rebound.,23,16
8:39,2454,Foul on Aaron Bodager.,23,16
8:23,2390,Anthony Lawrence Jr. missed Layup.,23,16
8:23,2390,Miami Offensive Rebound.,23,16
8:08,2390,Davon Reed made Three Point Jumper.,26,16
7:52,2454,Foul on Chris Davenport.,26,16
7:52,2454,Chris Davenport Turnover.,26,16
7:36,2390,Kamari Murphy missed Jumper.,26,16
7:36,2454,North Florida Defensive Rebound.,26,16
7:10,2454,Aaron Bodager missed Three Point Jumper.,26,16
7:10,2390,Ja'Quan Newton Defensive Rebound.,26,16
6:54,2390,Bruce Brown missed Layup.,26,16
6:54,2390,Bruce Brown Offensive Rebound.,26,16
6:50,2390,Bruce Brown missed Three Point Jumper.,26,16
6:50,2454,Dallas Moore Defensive Rebound.,26,16
6:39,2454,Dallas Moore missed Layup.,26,16
6:39,2390,Davon Reed Defensive Rebound.,26,16
6:14,2454,Foul on Aaron Horne.,26,16
6:14,2390,Bruce Brown missed Free Throw.,26,16
6:14,2390,Miami Deadball Team Rebound.,26,16
6:14,2390,Bruce Brown made Free Throw.,27,16
6:05,2390,Foul on Bruce Brown.,27,16
5:45,2390,Foul on Anthony Lawrence Jr..,27,16
5:42,2454,Aaron Bodager Turnover.,27,16
5:40,2390,Anthony Lawrence Jr. Steal.,27,16
5:37,2390,Anthony Lawrence Jr. made Layup. Assisted by Davon Reed.,29,16
5:31,2454,Aaron Bodager missed Three Point Jumper.,29,16
5:31,2390,Anthony Lawrence Jr. Defensive Rebound.,29,16
5:11,2390,Anthony Lawrence Jr. missed Three Point Jumper.,29,16
5:11,2390,Rodney Miller Offensive Rebound.,29,16
5:07,2390,Rodney Miller made Layup.,31,16
4:56,2454,Dallas Moore missed Layup.,31,16
4:56,2390,Rodney Miller Defensive Rebound.,31,16
4:56,2454,Foul on Romelo Banks.,31,16
4:34,2390,Davon Reed made Jumper.,33,16
4:21,2454,Romelo Banks missed Jumper.,33,16
4:21,2390,Anthony Lawrence Jr. Defensive Rebound.,33,16
4:14,2390,Bruce Brown missed Layup.,33,16
4:14,2454,Romelo Banks Block.,33,16
4:13,2390,Bruce Brown Offensive Rebound.,33,16
3:59,2390,Ja'Quan Newton made Jumper.,35,16
3:57,2454,North Florida  Timeout,35,16
3:34,2390,Foul on Dewan Huell.,35,16
3:34,2454,Romelo Banks made Free Throw.,35,17
3:34,2454,Romelo Banks missed Free Throw.,35,17
3:34,2390,Bruce Brown Defensive Rebound.,35,17
3:10,2390,Ja'Quan Newton made Jumper. Assisted by Davon Reed.,37,17
2:52,2454,Wajid Aminu missed Layup.,37,17
2:52,2390,Kamari Murphy Defensive Rebound.,37,17
2:45,2390,Davon Reed made Layup.,39,17
2:45,2454,Foul on Wajid Aminu.,39,17
2:45,2390,Davon Reed missed Free Throw.,39,17
2:45,2454,Garrett Sams Defensive Rebound.,39,17
2:34,2454,Garrett Sams missed Layup.,39,17
2:34,2390,Davon Reed Defensive Rebound.,39,17
2:27,2390,Ja'Quan Newton made Layup.,41,17
2:18,2454,Dallas Moore missed Three Point Jumper.,41,17
2:18,2454,Aaron Bodager Offensive Rebound.,41,17
2:13,2454,Aaron Bodager missed Three Point Jumper.,41,17
2:13,2390,Rodney Miller Defensive Rebound.,41,17
2:05,2390,Dejan Vasiljevic made Three Point Jumper. Assisted by Ja'Quan Newton.,44,17
1:55,2390,Foul on Rodney Miller.,44,17
1:55,2454,Karlos Odum missed Free Throw.,44,17
1:55,2454,North Florida Deadball Team Rebound.,44,17
1:55,2454,Karlos Odum made Free Throw.,44,18
1:39,2390,Dejan Vasiljevic made Three Point Jumper. Assisted by Ja'Quan Newton.,47,18
1:31,2454,Aaron Bodager missed Three Point Jumper.,47,18
1:31,2390,Anthony Lawrence Jr. Defensive Rebound.,47,18
1:22,2390,Dejan Vasiljevic missed Layup.,47,18
1:22,2454,Aaron Bodager Defensive Rebound.,47,18
1:08,2454,Garrett Sams made Layup.,47,20
0:52,2390,Foul on Ja'Quan Newton.,47,20
0:52,2454,Foul on Garrett Sams.,47,20
0:34,2390,Anthony Lawrence Jr. made Free Throw.,48,20
0:34,2390,Anthony Lawrence Jr. missed Free Throw.,48,20
0:34,2454,Karlos Odum Defensive Rebound.,48,20
0:05,2454,Garrett Sams missed Three Point Jumper.,48,20
0:05,2390,Bruce Brown Defensive Rebound.,48,20
0:00,2390,Dejan Vasiljevic missed Three Point Jumper.,48,20
0:00,2454,North Florida Defensive Rebound.,48,20
0:00,2454,End of 1st half,48,20
19:42,2454,Foul on Nick Malonga.,48,20
19:42,2390,Davon Reed made Free Throw.,49,20
19:42,2390,Davon Reed made Free Throw.,50,20
19:25,2454,Nick Malonga missed Layup.,50,20
19:25,2390,Anthony Lawrence Jr. Block.,50,20
19:25,2454,North Florida Offensive Rebound.,50,20
19:13,2454,Aaron Bodager missed Three Point Jumper.,50,20
19:13,2390,Kamari Murphy Defensive Rebound.,50,20
19:12,2454,Foul on Nick Malonga.,50,20
18:58,2390,Dewan Huell made Layup. Assisted by Kamari Murphy.,52,20
18:58,2454,Foul on Romelo Banks.,52,20
18:58,2390,Dewan Huell made Free Throw.,53,20
18:38,2454,Chris Davenport missed Layup.,53,20
18:38,2390,Dewan Huell Defensive Rebound.,53,20
18:38,2454,Foul on Romelo Banks.,53,20
18:21,2390,Ja'Quan Newton made Jumper.,55,20
18:10,2454,Chris Davenport missed Three Point Jumper.,55,20
18:10,2390,Ja'Quan Newton Defensive Rebound.,55,20
18:00,2390,Anthony Lawrence Jr. missed Three Point Jumper.,55,20
18:00,2390,Miami Offensive Rebound.,55,20
17:41,2390,Davon Reed missed Three Point Jumper.,55,20
17:41,2390,Dewan Huell Offensive Rebound.,55,20
17:40,2454,Foul on Chris Davenport.,55,20
17:37,2454,Foul on Chris Davenport.,55,20
17:37,2390,Foul on Davon Reed.,55,20
17:37,2390,Technical Foul on Davon Reed.,55,20
17:37,2454,Technical Foul on Chris Davenport.,55,20
17:22,2390,Kamari Murphy Turnover.,55,20
17:01,2454,Romelo Banks missed Jumper.,55,20
17:01,2390,Davon Reed Defensive Rebound.,55,20
16:54,2454,Foul on Romelo Banks.,55,20
16:54,2390,Ja'Quan Newton made Free Throw.,56,20
16:54,2390,Ja'Quan Newton made Free Throw.,57,20
16:27,2454,Karlos Odum missed Jumper.,57,20
16:27,2454,Wajid Aminu Offensive Rebound.,57,20
16:05,2390,Foul on Dewan Huell.,57,20
15:45,2454,Wajid Aminu Turnover.,57,20
15:43,2390,Ja'Quan Newton Steal.,57,20
15:40,2390,Ja'Quan Newton made Layup.,59,20
15:32,2454,North Florida  Timeout,59,20
15:12,2454,Wajid Aminu made Three Point Jumper. Assisted by Dallas Moore.,59,23
14:48,2390,Kamari Murphy missed Layup.,59,23
14:48,2454,Wajid Aminu Block.,59,23
14:46,2454,Wajid Aminu Defensive Rebound.,59,23
14:42,2454,Dallas Moore made Three Point Jumper.,59,26
14:18,2390,Anthony Lawrence Jr. made Layup.,61,26
13:55,2390,Foul on Kamari Murphy.,61,26
13:55,2454,Official TV Timeout,61,26
13:55,2454,Wajid Aminu made Free Throw.,61,27
13:55,2454,Wajid Aminu missed Free Throw.,61,27
13:55,2454,Aaron Bodager Offensive Rebound.,61,27
13:32,2454,Dallas Moore Turnover.,61,27
13:29,2390,Ja'Quan Newton Steal.,61,27
13:26,2390,Bruce Brown missed Layup.,61,27
13:26,2454,Wajid Aminu Defensive Rebound.,61,27
13:22,2454,Dallas Moore missed Three Point Jumper.,61,27
13:22,2390,Ja'Quan Newton Defensive Rebound.,61,27
12:51,2390,Ja'Quan Newton made Jumper.,63,27
12:40,2454,Karlos Odum missed Layup.,63,27
12:40,2390,Kamari Murphy Defensive Rebound.,63,27
12:32,2390,Dejan Vasiljevic missed Jumper.,63,27
12:32,2390,Kamari Murphy Offensive Rebound.,63,27
12:29,2390,Kamari Murphy made Layup.,65,27
12:13,2454,Dallas Moore missed Layup.,65,27
12:13,2390,Kamari Murphy Defensive Rebound.,65,27
12:06,2390,Bruce Brown made Layup. Assisted by Ja'Quan Newton.,67,27
12:01,2454,North Florida  Timeout,67,27
11:52,2390,Foul on Dewan Huell.,67,27
11:52,2454,Aaron Bodager Turnover.,67,27
11:33,2390,Davon Reed missed Layup.,67,27
11:33,2454,Romelo Banks Block.,67,27
11:30,2454,Aaron Bodager Defensive Rebound.,67,27
11:19,2454,Romelo Banks missed Layup.,67,27
11:19,2454,Romelo Banks Offensive Rebound.,67,27
11:11,2454,Romelo Banks made Layup.,67,29
