Colgate,171,Columbia,2142
3:46,2142,Will Rayman missed Three Point Jumper.,21,41
3:46,171,Nate Hickman Defensive Rebound.,21,41
3:18,171,Nate Hickman missed Three Point Jumper.,21,41
3:18,2142,Nathan Harries Defensive Rebound.,21,41
3:06,2142,Dave Krmpotich missed Jumper.,21,41
3:06,171,Quinton Adlesh Defensive Rebound.,21,41
2:50,171,CJ Davis missed Three Point Jumper.,21,41
2:50,2142,Colgate Deadball Team Rebound.,21,41
2:48,171,Foul on Jeff Coby.,21,41
2:48,2142,Dave Krmpotich missed Free Throw.,21,41
2:48,171,Chris McComber Defensive Rebound.,21,41
2:31,2142,Foul on Dave Krmpotich.,21,41
2:31,171,Chris McComber missed Free Throw.,21,41
2:31,2142,Will Rayman Defensive Rebound.,21,41
2:13,2142,Jordan Robertson Turnover.,21,41
2:10,171,Mike Smith Steal.,21,41
1:55,2142,Foul on Jordan Robertson.,21,41
1:55,171,Mike Smith made Free Throw.,21,42
1:55,171,Mike Smith made Free Throw.,21,43
1:45,2142,Tom Rivard missed Layup.,21,43
1:45,171,Chris McComber Block.,21,43
1:44,171,Columbia Defensive Rebound.,21,43
1:33,171,Chris McComber made Layup. Assisted by Mike Smith.,21,45
1:12,2142,Jordan Swopshire made Layup.,23,45
1:05,171,Jake Killingsworth missed Three Point Jumper.,23,45
1:05,2142,Will Rayman Defensive Rebound.,23,45
0:55,2142,Sean O'Brien made Three Point Jumper. Assisted by Will Rayman.,26,45
0:24,171,Mike Smith missed Jumper.,26,45
0:24,2142,Tom Rivard Defensive Rebound.,26,45
0:02,2142,Jordan Swopshire made Three Point Jumper. Assisted by Sean O'Brien.,29,45
0:00,171,End of 1st half,29,45
19:50,2142,Jordan Swopshire made Layup.,31,45
19:50,171,Foul on Lukas Meisner.,31,45
19:50,2142,Jordan Swopshire made Free Throw.,32,45
19:36,171,Mike Smith missed Three Point Jumper.,32,45
19:36,2142,Colgate Deadball Team Rebound.,32,45
19:34,171,Foul on Jake Killingsworth.,32,45
19:24,2142,Will Rayman made Three Point Jumper. Assisted by Nathan Harries.,35,45
19:11,171,Nate Hickman missed Three Point Jumper.,35,45
19:11,2142,Colgate Deadball Team Rebound.,35,45
18:57,171,Foul on Jake Killingsworth.,35,45
18:57,2142,Will Rayman made Free Throw.,36,45
18:57,2142,Will Rayman missed Free Throw.,36,45
18:57,171,Luke Petrasek Defensive Rebound.,36,45
18:39,171,Luke Petrasek made Jumper.,36,47
18:13,2142,Foul on Will Rayman.,36,47
18:13,2142,Will Rayman Turnover.,36,47
18:03,171,Mike Smith Turnover.,36,47
17:55,2142,Jordan Swopshire missed Three Point Jumper.,36,47
17:55,171,Quinton Adlesh Defensive Rebound.,36,47
17:40,2142,Foul on Dana Batt.,36,47
17:40,171,Nate Hickman missed Free Throw.,36,47
17:40,171,Columbia Deadball Team Rebound.,36,47
17:40,171,Nate Hickman made Free Throw.,36,48
17:24,2142,Jordan Swopshire Turnover.,36,48
17:22,171,Luke Petrasek Steal.,36,48
