Marshall,356,Illinois,276
6:51,276,Jarrod West missed Free Throw.,20,28
6:51,276,Marshall Deadball Team Rebound.,20,28
6:51,276,Jarrod West made Free Throw.,21,28
6:38,356,Mark Alstork missed Jumper.,21,28
6:38,276,Milan Mijovic Defensive Rebound.,21,28
6:31,276,C.J. Burks made Jumper.,23,28
6:30,356,Illinois  Timeout,23,28
6:17,356,Da'Monte Williams made Layup.,23,30
6:09,356,Foul on Mark Alstork.,23,30
6:09,276,Jon Elmore made Free Throw.,24,30
6:09,276,Jon Elmore made Free Throw.,25,30
5:44,356,Mark Smith made Jumper.,25,32
5:32,356,Foul on Da'Monte Williams.,25,32
5:32,276,Jon Elmore made Free Throw.,26,32
5:32,276,Jon Elmore missed Free Throw.,26,32
5:32,356,Michael Finke Defensive Rebound.,26,32
5:15,356,Mark Smith missed Jumper.,26,32
5:15,276,Jarrod West Defensive Rebound.,26,32
5:05,276,Christian Thieneman missed Three Point Jumper.,26,32
5:05,356,Da'Monte Williams Defensive Rebound.,26,32
4:54,356,Kipper Nichols missed Three Point Jumper.,26,32
4:54,276,Christian Thieneman Defensive Rebound.,26,32
4:39,276,Jon Elmore Turnover.,26,32
4:26,356,Trent Frazier made Three Point Jumper. Assisted by Mark Smith.,26,35
4:10,276,Jarrod West made Three Point Jumper. Assisted by Ajdin Penava.,29,35
3:59,356,Mark Smith Turnover.,29,35
3:58,276,Jarrod West Steal.,29,35
3:54,276,Jon Elmore made Three Point Jumper. Assisted by Jarrod West.,32,35
3:26,356,Foul on Kipper Nichols.,32,35
3:26,356,Kipper Nichols Turnover.,32,35
3:26,356,Official TV Timeout,32,35
3:07,276,Jon Elmore missed Jumper.,32,35
3:07,276,Marshall Deadball Team Rebound.,32,35
3:07,356,Foul on Michael Finke.,32,35
3:07,276,Milan Mijovic missed Free Throw.,32,35
3:07,356,Kipper Nichols Defensive Rebound.,32,35
2:54,356,Kipper Nichols made Layup.,32,37
2:30,276,Dani Koljanin missed Three Point Jumper.,32,37
2:30,356,Leron Black Defensive Rebound.,32,37
2:22,356,Trent Frazier missed Layup.,32,37
2:22,276,Dani Koljanin Defensive Rebound.,32,37
2:20,356,Foul on Kipper Nichols.,32,37
2:20,276,Dani Koljanin missed Free Throw.,32,37
2:20,276,Marshall Deadball Team Rebound.,32,37
2:20,276,Dani Koljanin missed Free Throw.,32,37
2:20,356,Aaron Jordan Defensive Rebound.,32,37
2:12,356,Trent Frazier made Jumper.,32,39
1:57,276,Dani Koljanin missed Three Point Jumper.,32,39
1:57,356,Illinois Deadball Team Rebound.,32,39
1:55,276,Foul on Christian Thieneman.,32,39
1:55,356,Aaron Jordan missed Free Throw.,32,39
1:55,276,Christian Thieneman Defensive Rebound.,32,39
1:48,276,Jarrod West Turnover.,32,39
1:47,356,Aaron Jordan Steal.,32,39
1:44,276,Foul on Christian Thieneman.,32,39
1:44,356,Da'Monte Williams missed Free Throw.,32,39
1:44,356,Illinois Deadball Team Rebound.,32,39
1:44,356,Da'Monte Williams missed Free Throw.,32,39
1:44,276,Dani Koljanin Defensive Rebound.,32,39
1:27,356,Foul on Aaron Jordan.,32,39
1:27,276,Jon Elmore missed Free Throw.,32,39
1:27,276,Marshall Deadball Team Rebound.,32,39
1:27,276,Jon Elmore made Free Throw.,33,39
1:12,276,Foul on Dani Koljanin.,33,39
1:12,356,Leron Black made Free Throw.,33,40
1:12,356,Leron Black made Free Throw.,33,41
1:00,276,Dani Koljanin missed Jumper.,33,41
1:00,356,Leron Black Defensive Rebound.,33,41
0:50,356,Leron Black made Jumper. Assisted by Trent Frazier.,33,43
0:29,356,Mark Smith made Jumper. Assisted by Trent Frazier.,33,45
0:22,276,Foul on Christian Thieneman.,33,45
0:22,356,Mark Smith made Free Throw.,33,46
0:03,276,Jarrod West made Three Point Jumper. Assisted by Dani Koljanin.,36,46
0:00,356,End of 1st half,38,44
19:47,276,Jon Elmore missed Three Point Jumper.,36,46
19:47,356,Te'Jon Lucas Defensive Rebound.,36,46
19:40,356,Leron Black missed Jumper.,36,46
19:40,356,Michael Finke Offensive Rebound.,36,46
19:31,356,Mark Alstork missed Three Point Jumper.,36,46
19:31,356,Leron Black Offensive Rebound.,36,46
