Saint Mary's,61,Georgia,2608
4:52,2608,Emmett Naar made Layup.,27,29
4:39,61,Georgia  Timeout,27,29
4:23,61,Tyree Crump missed Layup.,27,29
4:23,2608,Calvin Hermanson Defensive Rebound.,27,29
4:04,2608,Evan Fitzner missed Three Point Jumper.,27,29
4:04,61,Rayshaun Hammonds Defensive Rebound.,27,29
3:37,61,Yante Maten missed Layup.,27,29
3:37,2608,Jock Landale Defensive Rebound.,27,29
3:18,2608,Emmett Naar made Layup.,29,29
3:18,61,Tyree Crump missed Layup.,29,29
3:18,61,Mike Edwards Offensive Rebound.,29,29
3:18,61,Mike Edwards made Layup.,29,31
2:39,61,Official TV Timeout,29,29
2:39,61,Official TV Timeout,29,31
2:31,2608,Evan Fitzner made Three Point Jumper. Assisted by Emmett Naar.,32,31
2:10,61,Rayshaun Hammonds missed Layup.,32,31
2:10,61,Yante Maten Offensive Rebound.,32,31
2:03,61,Yante Maten made Layup.,32,33
1:52,2608,Jock Landale missed Jumper.,32,33
1:52,61,Yante Maten Block.,32,33
1:52,61,Yante Maten Defensive Rebound.,32,33
1:36,61,Mike Edwards made Jumper.,32,35
1:18,2608,Emmett Naar missed Layup.,32,35
1:18,2608,Jock Landale Offensive Rebound.,32,35
1:11,2608,Jock Landale made Layup.,34,35
0:51,61,Juwan Parker Turnover.,34,35
0:41,2608,Jock Landale Turnover.,34,35
0:12,61,Yante Maten missed Jumper.,34,35
0:12,2608,Calvin Hermanson Defensive Rebound.,34,35
0:02,2608,Calvin Hermanson Turnover.,34,35
0:01,61,William Jackson II missed Three Point Jumper.,34,35
0:01,61,Georgia Deadball Team Rebound.,34,35
0:00,61,End of 1st half,34,35
20:00,2608,Jump Ball won by Saint Mary's,34,35
19:50,2608,Calvin Hermanson missed Three Point Jumper.,34,35
19:50,2608,Calvin Hermanson Offensive Rebound.,34,35
19:43,2608,Calvin Hermanson made Layup.,36,35
19:28,61,Yante Maten made Jumper.,36,37
19:03,2608,Jock Landale made Jumper. Assisted by Calvin Hermanson.,38,37
18:42,61,Yante Maten missed Jumper.,38,37
18:42,2608,Jock Landale Defensive Rebound.,38,37
18:32,2608,Emmett Naar missed Jumper.,38,37
18:32,61,William Jackson II Defensive Rebound.,38,37
18:16,61,William Jackson II made Three Point Jumper. Assisted by Rayshaun Hammonds.,38,40
17:49,2608,Jock Landale missed Jumper.,38,40
17:49,61,Derek Ogbeide Defensive Rebound.,38,40
17:40,61,William Jackson II missed Three Point Jumper.,38,40
17:40,2608,Jock Landale Defensive Rebound.,38,40
17:29,2608,Emmett Naar made Layup.,40,40
17:20,61,William Jackson II Turnover.,40,40
17:17,2608,Evan Fitzner made Three Point Jumper. Assisted by Emmett Naar.,43,40
16:47,61,Juwan Parker missed Jumper.,43,40
16:47,2608,Evan Fitzner Defensive Rebound.,43,40
16:27,2608,Emmett Naar missed Layup.,43,40
16:27,61,Juwan Parker Defensive Rebound.,43,40
15:59,61,William Jackson II made Jumper.,43,42
15:32,61,Foul on Yante Maten.,43,42
15:32,61,Official TV Timeout,43,42
15:32,2608,Evan Fitzner missed Layup.,43,42
15:32,61,Derek Ogbeide Block.,43,42
15:32,61,Derek Ogbeide Defensive Rebound.,43,42
15:12,61,Tyree Crump made Three Point Jumper. Assisted by Teshaun Hightower.,43,45
15:02,2608,Jock Landale made Layup.,45,45
14:46,61,Tyree Crump made Three Point Jumper. Assisted by Teshaun Hightower.,45,48
14:46,2608,Foul on Emmett Naar.,45,48
14:46,61,Tyree Crump made Free Throw.,45,49
14:32,2608,Jock Landale missed Layup.,45,49
14:32,61,Derek Ogbeide Block.,45,49
14:32,2608,Jock Landale Offensive Rebound.,45,49
14:21,2608,Jordan Hunter made Layup. Assisted by Jock Landale.,47,49
14:02,61,Yante Maten missed Jumper.,47,49
14:02,61,Georgia Offensive Rebound.,47,49
13:50,2608,Foul on Jock Landale.,47,49
13:50,61,Yante Maten made Free Throw.,47,50
13:50,61,Yante Maten made Free Throw.,47,51
13:41,61,Foul on Teshaun Hightower.,47,51
13:27,61,Foul on Yante Maten.,47,51
13:27,2608,Emmett Naar missed Free Throw.,47,51
13:27,2608,Saint Mary's Deadball Team Rebound.,47,51
13:27,2608,Emmett Naar made Free Throw.,48,51
13:12,61,Yante Maten made Layup.,48,53
12:57,2608,Emmett Naar missed Jumper.,48,53
12:57,61,Derek Ogbeide Block.,48,53
12:57,61,Tyree Crump Defensive Rebound.,48,53
12:50,2608,Foul on Cullen Neal.,48,53
12:50,61,Official TV Timeout,48,53
12:50,61,Teshaun Hightower missed Free Throw.,48,53
12:50,61,Georgia Deadball Team Rebound.,48,53
12:50,61,Teshaun Hightower missed Free Throw.,48,53
12:50,2608,Cullen Neal Defensive Rebound.,48,53
12:28,2608,Jock Landale made Layup.,50,53
12:08,61,Derek Ogbeide made Jumper. Assisted by Rayshaun Hammonds.,50,55
11:53,2608,Jock Landale missed Jumper.,50,55
11:53,61,Derek Ogbeide Defensive Rebound.,50,55
11:37,61,Tyree Crump made Three Point Jumper.,50,58
11:18,2608,Emmett Naar made Layup.,52,58
10:56,61,Derek Ogbeide missed Jumper.,52,58
10:56,2608,Jock Landale Defensive Rebound.,52,58
10:32,2608,Jock Landale made Jumper.,54,58
10:06,61,Tyree Crump missed Three Point Jumper.,54,58
10:06,2608,Cullen Neal Defensive Rebound.,54,58
9:56,61,Foul on Rayshaun Hammonds.,54,58
9:56,61,Official TV Timeout,54,58
9:56,2608,Cullen Neal made Free Throw.,55,58
9:56,2608,Cullen Neal missed Free Throw.,55,58
9:56,61,Nicolas Claxton Defensive Rebound.,55,58
9:40,61,Rayshaun Hammonds missed Three Point Jumper.,55,58
9:40,2608,Jock Landale Defensive Rebound.,55,58
9:21,2608,Emmett Naar made Layup.,57,58
8:57,61,Juwan Parker made Jumper.,57,60
8:57,2608,Foul on Cullen Neal.,57,60
8:57,61,Juwan Parker made Free Throw.,57,61
8:49,2608,Evan Fitzner made Layup.,59,61
8:23,61,Yante Maten made Layup.,59,63
8:02,2608,Tanner Krebs made Layup. Assisted by Jock Landale.,61,63
7:41,61,Tyree Crump made Jumper.,61,65
7:17,2608,Evan Fitzner missed Three Point Jumper.,61,65
7:17,61,Mike Edwards Offensive Rebound.,61,65
7:17,61,Mike Edwards missed Two Point Tip Shot.,61,65
7:17,2608,Evan Fitzner Block.,61,65
7:17,61,Yante Maten Defensive Rebound.,61,65
7:11,61,Mike Edwards missed Jumper.,61,65
7:11,2608,Evan Fitzner Defensive Rebound.,61,65
7:05,61,Foul on William Jackson II.,61,65
7:05,61,Official TV Timeout,61,65
7:05,2608,Jock Landale missed Jumper.,61,65
7:05,2608,Jock Landale Offensive Rebound.,61,65
6:48,2608,Jock Landale made Layup.,63,65
6:14,61,Juwan Parker missed Three Point Jumper.,63,65
6:14,2608,Evan Fitzner Defensive Rebound.,63,65
6:10,61,Foul on Nicolas Claxton.,63,65
5:58,2608,Emmett Naar missed Jumper.,63,65
5:58,61,Teshaun Hightower Defensive Rebound.,63,65
5:31,61,Teshaun Hightower made Layup.,63,67
5:31,2608,Foul on Jock Landale.,63,67
5:31,61,Teshaun Hightower missed Free Throw.,63,67
5:31,2608,Jock Landale Defensive Rebound.,63,67
5:09,2608,Jock Landale made Layup. Assisted by Emmett Naar.,65,67
4:48,61,Tyree Crump missed Jumper.,65,67
4:48,2608,Tanner Krebs Defensive Rebound.,65,67
4:32,2608,Tanner Krebs made Layup. Assisted by Jock Landale.,67,67
4:05,61,Tyree Crump missed Three Point Jumper.,67,67
4:05,2608,Emmett Naar Defensive Rebound.,67,67
3:58,2608,Tanner Krebs missed Three Point Jumper.,67,67
3:58,2608,Saint Mary's Offensive Rebound.,67,67
3:53,61,Official TV Timeout,67,67
3:44,2608,Evan Fitzner missed Jumper.,67,67
3:44,61,Derek Ogbeide Defensive Rebound.,67,67
3:29,61,Yante Maten missed Layup.,67,67
3:29,2608,Calvin Hermanson Defensive Rebound.,67,67
3:06,2608,Jock Landale made Layup.,69,67
2:40,61,William Jackson II missed Jumper.,69,67
2:40,61,William Jackson II Offensive Rebound.,69,67
2:18,61,Rayshaun Hammonds Turnover.,69,67
1:50,2608,Evan Fitzner missed Jumper.,69,67
1:50,61,Georgia Defensive Rebound.,69,67
1:16,61,Yante Maten missed Jumper.,69,67
1:16,2608,Saint Mary's Defensive Rebound.,69,67
1:01,2608,Emmett Naar missed Jumper.,69,67
1:01,61,Derek Ogbeide Defensive Rebound.,69,67
0:46,61,Juwan Parker made Jumper.,69,69
