Western Michigan,270,Milwaukee,2711
0:57,270,Milwaukee Defensive Rebound.,27,23
0:52,270,Milwaukee  Timeout,27,23
0:43,270,Brock Stull Turnover.,27,23
0:42,2711,Josh Davis Steal.,27,23
0:36,2711,Josh Davis missed Layup.,27,23
0:36,270,Brett Prahl Block.,27,23
0:36,2711,Western Michigan Offensive Rebound.,27,23
0:36,2711,Western Michigan  Timeout,27,23
0:28,270,Foul on Jeremy Johnson.,27,23
0:21,270,Foul on Brett Prahl.,27,23
0:21,2711,Brandon Johnson made Free Throw.,28,23
0:21,2711,Brandon Johnson made Free Throw.,29,23
0:03,270,Brock Stull made Jumper.,29,25
0:00,270,End of 1st half,29,25
19:45,270,Brett Prahl made Layup.,29,27
19:14,2711,Thomas Wilder Turnover.,29,27
19:14,270,Brock Stull Steal.,29,27
18:49,270,Jeremiah Bell Turnover.,29,27
18:49,2711,Bryce Moore Steal.,29,27
18:27,2711,Thomas Wilder Turnover.,29,27
18:03,270,Brock Stull missed Three Point Jumper.,29,27
18:03,2711,Josh Davis Defensive Rebound.,29,27
17:47,2711,Drake LaMont missed Jumper.,29,27
17:47,270,Jeremiah Bell Defensive Rebound.,29,27
17:35,2711,Foul on Brandon Johnson.,29,27
17:20,270,Bryce Barnes missed Three Point Jumper.,29,27
17:20,270,Bryce Nze Offensive Rebound.,29,27
17:16,270,Bryce Nze made Layup.,29,29
16:44,2711,Bryce Moore made Three Point Jumper. Assisted by Thomas Wilder.,32,29
16:12,270,Brock Stull made Three Point Jumper. Assisted by Bryce Nze.,32,32
16:00,2711,Thomas Wilder made Layup.,34,32
15:42,270,Jeremiah Bell made Three Point Jumper. Assisted by Bryce Nze.,34,35
15:16,2711,Brandon Johnson missed Three Point Jumper.,34,35
15:16,270,Jeremiah Bell Defensive Rebound.,34,35
14:49,270,Bryce Barnes missed Layup.,34,35
14:49,2711,Brandon Johnson Block.,34,35
14:47,270,Brock Stull Offensive Rebound.,34,35
14:45,270,Brock Stull made Three Point Jumper.,34,38
14:15,2711,Drake LaMont made Jumper.,36,38
13:56,270,Jeremiah Bell missed Three Point Jumper.,36,38
13:56,2711,Thomas Wilder Defensive Rebound.,36,38
13:49,2711,Bryce Moore missed Three Point Jumper.,36,38
13:49,270,Jeremiah Bell Defensive Rebound.,36,38
13:20,270,Brock Stull made Three Point Jumper. Assisted by Bryce Nze.,36,41
13:02,2711,Josh Davis made Three Point Jumper. Assisted by Brandon Johnson.,39,41
12:44,270,Brock Stull missed Three Point Jumper.,39,41
12:44,2711,Josh Davis Defensive Rebound.,39,41
12:35,2711,Bryce Moore Turnover.,39,41
12:34,270,Jeremiah Bell Steal.,39,41
12:31,270,Bryce Barnes made Layup. Assisted by Jeremiah Bell.,39,43
12:08,2711,Brandon Johnson missed Layup.,39,43
12:08,270,Brock Stull Defensive Rebound.,39,43
11:46,270,Bryce Barnes Turnover.,39,43
11:46,270,Official TV Timeout,39,43
11:30,2711,Brandon Johnson made Layup. Assisted by Thomas Wilder.,41,43
10:56,270,August Haas Turnover.,41,43
10:55,2711,Thomas Wilder Steal.,41,43
10:42,2711,Brandon Johnson made Layup. Assisted by Reggie Jones.,43,43
10:42,270,Foul on Brock Stull.,43,43
10:42,2711,Brandon Johnson made Free Throw.,44,43
10:26,270,Brock Stull missed Layup.,44,43
10:26,2711,Western Michigan Defensive Rebound.,44,43
10:11,2711,Thomas Wilder made Three Point Jumper. Assisted by Jared Printy.,47,43
9:54,270,Jeremy Johnson missed Three Point Jumper.,47,43
9:54,2711,Thomas Wilder Defensive Rebound.,47,43
9:28,2711,Reggie Jones made Jumper.,49,43
9:17,270,Milwaukee  Timeout,49,43
9:17,270,Official TV Timeout,49,43
9:05,270,Bryce Barnes made Three Point Jumper. Assisted by Jeremiah Bell.,49,46
8:44,2711,Reggie Jones made Jumper.,51,46
8:20,2711,Foul on Jared Printy.,51,46
8:11,270,Brett Prahl missed Layup.,51,46
8:11,2711,Jarrin Randall Defensive Rebound.,51,46
7:42,2711,Reggie Jones missed Jumper.,51,46
7:42,2711,Reggie Jones Offensive Rebound.,51,46
7:40,2711,Reggie Jones missed Layup.,51,46
7:40,270,Brett Prahl Defensive Rebound.,51,46
7:37,270,Official TV Timeout,51,46
7:23,270,Jeremiah Bell Turnover.,51,46
