Xavier,2460,Northern Iowa,2752
3:14,2752,Kaiser Gates Defensive Rebound.,25,24
3:00,2752,J.P. Macura missed Jumper.,25,24
3:00,2460,Isaiah Brown Defensive Rebound.,25,24
2:39,2460,Klint Carlson missed Three Point Jumper.,25,24
2:39,2752,Trevon Bluiett Defensive Rebound.,25,24
2:27,2752,J.P. Macura Turnover.,25,24
2:27,2460,Official TV Timeout,25,24
2:11,2460,Isaiah Brown missed Three Point Jumper.,25,24
2:11,2752,Naji Marshall Defensive Rebound.,25,24
2:03,2460,Foul on Juwan McCloud.,25,24
2:03,2752,Trevon Bluiett made Free Throw.,26,24
2:03,2752,Trevon Bluiett made Free Throw.,27,24
1:39,2460,Klint Carlson Turnover.,27,24
1:39,2752,Paul Scruggs Steal.,27,24
1:31,2752,Paul Scruggs made Layup.,29,24
1:13,2460,Bennett Koch made Jumper. Assisted by Tywhon Pickford.,29,26
0:42,2752,Paul Scruggs Turnover.,29,26
0:26,2460,Spencer Haldeman made Three Point Jumper. Assisted by Wyatt Lohaus.,29,29
0:19,2752,Xavier  Timeout,29,29
0:11,2460,Foul on Isaiah Brown.,29,29
0:01,2752,Kerem Kanter missed Jumper.,29,29
0:01,2460,Isaiah Brown Defensive Rebound.,29,29
0:00,2460,End of 1st half,29,29
20:00,2460,Jump Ball won by Northern Iowa,29,29
19:28,2460,Juwan McCloud missed Three Point Jumper.,29,29
19:28,2752,Trevon Bluiett Defensive Rebound.,29,29
19:22,2460,Foul on Bennett Koch.,29,29
19:22,2752,Tyrique Jones made Free Throw.,30,29
19:22,2752,Tyrique Jones missed Free Throw.,30,29
19:22,2752,Kaiser Gates Offensive Rebound.,30,29
19:22,2752,Kaiser Gates missed Two Point Tip Shot.,30,29
19:22,2460,Tywhon Pickford Defensive Rebound.,30,29
19:09,2460,Bennett Koch made Jumper.,30,31
18:53,2752,Tyrique Jones made Layup.,32,31
18:38,2752,Foul on Kaiser Gates.,32,31
18:24,2460,Tywhon Pickford missed Three Point Jumper.,32,31
18:24,2752,Kaiser Gates Defensive Rebound.,32,31
18:15,2752,Kaiser Gates made Three Point Jumper. Assisted by Trevon Bluiett.,35,31
17:56,2460,Klint Carlson Turnover.,35,31
17:56,2752,Tyrique Jones Steal.,35,31
17:47,2752,Quentin Goodin Turnover.,35,31
17:47,2460,Juwan McCloud Steal.,35,31
17:36,2460,Juwan McCloud made Layup.,35,33
17:28,2752,Trevon Bluiett missed Three Point Jumper.,35,33
17:28,2460,Bennett Koch Defensive Rebound.,35,33
17:16,2752,Foul on Trevon Bluiett.,35,33
17:03,2460,Juwan McCloud missed Layup.,35,33
17:03,2752,Kaiser Gates Defensive Rebound.,35,33
16:46,2752,Sean O'Mara missed Layup.,35,33
16:46,2460,Klint Carlson Defensive Rebound.,35,33
16:22,2460,Klint Carlson missed Three Point Jumper.,35,33
16:22,2752,Trevon Bluiett Defensive Rebound.,35,33
16:12,2752,Kaiser Gates made Three Point Jumper. Assisted by J.P. Macura.,38,33
15:44,2460,Klint Carlson Turnover.,38,33
15:44,2752,Quentin Goodin Steal.,38,33
15:36,2752,Kaiser Gates missed Three Point Jumper.,38,33
15:36,2460,Tywhon Pickford Defensive Rebound.,38,33
15:06,2460,Isaiah Brown missed Three Point Jumper.,38,33
15:06,2752,Quentin Goodin Defensive Rebound.,38,33
15:01,2460,Foul on Klint Carlson.,38,33
15:01,2460,Official TV Timeout,38,33
14:53,2752,Sean O'Mara made Layup.,40,33
14:29,2460,Spencer Haldeman missed Jumper.,40,33
14:29,2752,Trevon Bluiett Defensive Rebound.,40,33
14:20,2460,Foul on Wyatt Lohaus.,40,33
14:09,2752,Naji Marshall made Three Point Jumper. Assisted by Sean O'Mara.,43,33
13:46,2460,Bennett Koch made Jumper.,43,35
13:46,2752,Foul on Trevon Bluiett.,43,35
13:46,2460,Bennett Koch made Free Throw.,43,36
13:30,2752,J.P. Macura made Three Point Jumper. Assisted by Sean O'Mara.,46,36
13:10,2460,Bennett Koch made Jumper.,46,38
13:01,2752,J.P. Macura missed Three Point Jumper.,46,38
13:01,2460,Klint Carlson Defensive Rebound.,46,38
12:40,2752,Foul on Kerem Kanter.,46,38
12:40,2460,Bennett Koch made Free Throw.,46,39
12:40,2460,Bennett Koch made Free Throw.,46,40
12:31,2460,Foul on Spencer Haldeman.,46,40
12:21,2752,Paul Scruggs missed Three Point Jumper.,46,40
12:21,2460,Bennett Koch Defensive Rebound.,46,40
11:56,2460,Bennett Koch missed Jumper.,46,40
11:56,2460,Northern Iowa Offensive Rebound.,46,40
11:51,2460,Wyatt Lohaus made Three Point Jumper. Assisted by Spencer Haldeman.,46,43
11:37,2752,Tyrique Jones missed Jumper.,46,43
11:37,2460,Wyatt Lohaus Defensive Rebound.,46,43
11:23,2460,Spencer Haldeman missed Three Point Jumper.,46,43
11:23,2752,Kerem Kanter Defensive Rebound.,46,43
11:23,2460,Foul on Bennett Koch.,46,43
10:55,2752,Trevon Bluiett missed Jumper.,46,43
10:55,2460,Ted Friedman Defensive Rebound.,46,43
10:55,2752,Foul on Tyrique Jones.,46,43
10:32,2460,Wyatt Lohaus made Three Point Jumper. Assisted by Hunter Rhodes.,46,46
10:01,2752,Kerem Kanter made Layup.,48,46
9:42,2752,Foul on Tyrique Jones.,48,46
9:42,2460,Wyatt Lohaus missed Free Throw.,48,46
9:42,2460,Northern Iowa Deadball Team Rebound.,48,46
9:42,2460,Wyatt Lohaus made Free Throw.,48,47
9:25,2460,Foul on Wyatt Lohaus.,48,47
9:21,2752,J.P. Macura missed Three Point Jumper.,48,47
9:21,2752,Kerem Kanter Offensive Rebound.,48,47
9:14,2752,Quentin Goodin missed Three Point Jumper.,48,47
9:14,2460,Ted Friedman Defensive Rebound.,48,47
8:46,2460,Wyatt Lohaus missed Three Point Jumper.,48,47
8:46,2752,Kerem Kanter Defensive Rebound.,48,47
8:40,2752,Trevon Bluiett made Three Point Jumper.,51,47
8:10,2460,Klint Carlson missed Three Point Jumper.,51,47
8:10,2752,Kerem Kanter Defensive Rebound.,51,47
8:02,2752,Trevon Bluiett missed Three Point Jumper.,51,47
8:02,2460,Wyatt Lohaus Defensive Rebound.,51,47
7:33,2460,Klint Carlson missed Three Point Jumper.,51,47
7:33,2752,Trevon Bluiett Defensive Rebound.,51,47
7:04,2752,Kerem Kanter made Three Point Jumper. Assisted by Kaiser Gates.,54,47
7:00,2460,Official TV Timeout,54,47
6:37,2460,Bennett Koch missed Jumper.,54,47
6:37,2460,Klint Carlson Offensive Rebound.,54,47
6:16,2460,Foul on Klint Carlson.,54,47
6:16,2460,Klint Carlson Turnover.,54,47
5:51,2460,Foul on Bennett Koch.,54,47
5:51,2752,Naji Marshall missed Free Throw.,54,47
5:51,2752,Xavier Deadball Team Rebound.,54,47
5:51,2752,Naji Marshall made Free Throw.,55,47
5:39,2752,Foul on Sean O'Mara.,55,47
5:39,2460,Bennett Koch made Free Throw.,55,48
5:39,2460,Bennett Koch missed Free Throw.,55,48
5:39,2752,Trevon Bluiett Defensive Rebound.,55,48
5:31,2752,Sean O'Mara made Layup.,57,48
5:00,2460,Bennett Koch made Layup. Assisted by Spencer Haldeman.,57,50
5:00,2752,Foul on Trevon Bluiett.,57,50
5:00,2460,Bennett Koch made Free Throw.,57,51
4:45,2460,Foul on Tywhon Pickford.,57,51
4:45,2752,Trevon Bluiett made Free Throw.,58,51
4:45,2752,Trevon Bluiett missed Free Throw.,58,51
4:45,2460,Tywhon Pickford Defensive Rebound.,58,51
4:21,2460,Bennett Koch missed Jumper.,58,51
4:21,2752,Kaiser Gates Defensive Rebound.,58,51
4:03,2752,Paul Scruggs Turnover.,58,51
3:40,2460,Spencer Haldeman made Three Point Jumper. Assisted by Wyatt Lohaus.,58,54
3:24,2752,Tyrique Jones made Layup.,60,54
3:24,2460,Foul on Tywhon Pickford.,60,54
3:24,2460,Official TV Timeout,60,54
3:24,2752,Tyrique Jones missed Free Throw.,60,54
3:24,2460,Wyatt Lohaus Defensive Rebound.,60,54
3:06,2752,Foul on Tyrique Jones.,60,54
3:06,2460,Bennett Koch made Free Throw.,60,55
