Delaware State,158,Nebraska,2169
10:08,2169,Simon Okolue made Free Throw.,9,25
10:08,2169,Simon Okolue missed Free Throw.,9,25
10:08,158,Evan Taylor Defensive Rebound.,9,25
9:58,2169,Foul on Marquis Collins.,9,25
9:58,158,Jordy Tshimanga missed Free Throw.,9,25
9:58,158,Nebraska Deadball Team Rebound.,9,25
9:58,158,Jordy Tshimanga made Free Throw.,9,26
9:27,2169,Delaware State  Turnover.,9,26
9:09,158,Evan Taylor made Layup.,9,28
8:44,158,Foul on Isaac Copeland.,9,28
8:29,2169,Kavon Waller missed Layup.,9,28
8:29,2169,Demola Onifade Offensive Rebound.,9,28
8:26,2169,Demola Onifade made Jumper.,11,28
8:11,158,Anton Gill missed Three Point Jumper.,11,28
8:11,2169,Kavon Waller Defensive Rebound.,11,28
7:56,2169,Myles Carter made Jumper.,13,28
7:53,158,Anton Gill Turnover.,13,28
7:53,158,Official TV Timeout,13,28
7:36,2169,Saleik Edwards missed Jumper.,13,28
7:36,158,Anton Gill Defensive Rebound.,13,28
7:33,158,Foul on Anton Gill.,13,28
7:33,158,Anton Gill Turnover.,13,28
7:14,2169,Kavon Waller made Three Point Jumper.,16,28
6:58,158,Isaac Copeland made Jumper. Assisted by Thomas Allen.,16,30
6:34,2169,Marquis Collins made Three Point Jumper.,19,30
6:21,158,James Palmer Jr. made Three Point Jumper. Assisted by Thomas Allen.,19,33
5:59,2169,Daivon Gamble missed Jumper.,19,33
5:59,158,Isaac Copeland Block.,19,33
5:58,2169,Saleik Edwards Offensive Rebound.,19,33
5:51,2169,Demola Onifade Turnover.,19,33
5:38,158,Thomas Allen made Three Point Jumper. Assisted by James Palmer Jr..,19,36
5:10,2169,Myles Carter Turnover.,19,36
5:09,158,Thomas Allen Steal.,19,36
5:07,158,Thomas Allen made Layup. Assisted by Isaac Copeland.,19,38
4:32,2169,Marquis Collins made Jumper.,21,38
4:26,2169,Foul on Marquis Collins.,21,38
4:05,158,Thomas Allen missed Three Point Jumper.,21,38
4:05,2169,Myles Carter Defensive Rebound.,21,38
3:49,2169,Demola Onifade missed Jumper.,21,38
3:49,2169,Artem Tavakalyan Offensive Rebound.,21,38
3:24,2169,Daivon Gamble missed Jumper.,21,38
3:24,2169,Daivon Gamble Offensive Rebound.,21,38
3:22,2169,Daivon Gamble missed Jumper.,21,38
3:22,158,Isaac Copeland Block.,21,38
3:21,158,Evan Taylor Defensive Rebound.,21,38
3:15,158,Isaac Copeland Turnover.,21,38
3:15,158,Official TV Timeout,21,38
2:45,2169,Marquis Collins missed Three Point Jumper.,21,38
2:45,158,Nebraska Defensive Rebound.,21,38
2:27,2169,Foul on Marquis Collins.,21,38
2:19,158,Isaiah Roby missed Dunk.,21,38
2:19,2169,Daivon Gamble Defensive Rebound.,21,38
2:01,2169,Marquis Collins made Jumper.,23,38
1:41,2169,Foul on Marquis Collins.,23,38
1:41,158,Duby Okeke missed Free Throw.,23,38
1:41,158,Nebraska Deadball Team Rebound.,23,38
1:41,158,Duby Okeke made Free Throw.,23,39
1:27,2169,Artem Tavakalyan missed Jumper.,23,39
1:27,158,Isaiah Roby Defensive Rebound.,23,39
1:08,158,Glynn Watson Jr. missed Three Point Jumper.,23,39
1:08,2169,Daivon Gamble Defensive Rebound.,23,39
0:47,2169,Kavon Waller made Three Point Jumper. Assisted by Jonathan Walker.,26,39
0:30,158,Thomas Allen missed Jumper.,26,39
0:30,158,Duby Okeke Offensive Rebound.,26,39
0:26,158,Duby Okeke Turnover.,26,39
0:25,2169,Jonathan Walker Steal.,26,39
0:01,2169,Artem Tavakalyan Turnover.,26,39
0:00,158,Glynn Watson Jr. Steal.,26,39
0:00,158,Thomas Allen made Three Point Jumper. Assisted by Glynn Watson Jr..,26,42
0:00,158,End of 1st half,26,39
19:48,158,Isaac Copeland missed Jumper.,26,42
19:48,158,Jordy Tshimanga Offensive Rebound.,26,42
19:41,158,James Palmer Jr. missed Three Point Jumper.,26,42
19:41,158,James Palmer Jr. Offensive Rebound.,26,42
19:37,158,James Palmer Jr. made Jumper.,26,44
19:14,158,Foul on Jordy Tshimanga.,26,44
18:52,2169,Delaware State  Turnover.,26,44
18:37,158,Isaac Copeland missed Jumper.,26,44
18:37,2169,Jonathan Walker Defensive Rebound.,26,44
18:19,2169,Kavon Waller missed Three Point Jumper.,26,44
18:19,2169,Artem Tavakalyan Offensive Rebound.,26,44
18:11,2169,Simon Okolue made Layup. Assisted by Artem Tavakalyan.,28,44
17:55,158,James Palmer Jr. missed Layup.,28,44
17:55,158,Jordy Tshimanga Offensive Rebound.,28,44
17:52,158,Jordy Tshimanga made Dunk.,28,46
17:32,2169,Artem Tavakalyan made Jumper.,30,46
17:23,158,James Palmer Jr. missed Three Point Jumper.,30,46
17:23,2169,Kavon Waller Defensive Rebound.,30,46
17:12,2169,Johquin Wiley missed Layup.,30,46
17:12,158,Glynn Watson Jr. Defensive Rebound.,30,46
17:06,158,Glynn Watson Jr. Turnover.,30,46
16:48,2169,Simon Okolue made Jumper. Assisted by Saleik Edwards.,32,46
16:48,158,Foul on Thomas Allen.,32,46
16:48,2169,Simon Okolue made Free Throw.,33,46
16:36,158,James Palmer Jr. made Three Point Jumper. Assisted by Isaac Copeland.,33,49
16:11,2169,Saleik Edwards missed Three Point Jumper.,33,49
16:11,158,Nebraska Defensive Rebound.,33,49
15:55,158,Isaac Copeland made Dunk. Assisted by Jordy Tshimanga.,33,51
15:39,2169,Johquin Wiley made Jumper.,35,51
15:21,158,Jordy Tshimanga made Jumper. Assisted by Anton Gill.,35,53
15:07,2169,Johquin Wiley Turnover.,35,53
15:07,158,Official TV Timeout,35,53
14:57,158,James Palmer Jr. made Layup.,35,55
14:57,2169,Foul on Simon Okolue.,35,55
14:57,158,James Palmer Jr. made Free Throw.,35,56
14:42,2169,Simon Okolue Turnover.,35,56
14:30,158,Isaiah Roby Turnover.,35,56
14:28,2169,Artem Tavakalyan Steal.,35,56
14:26,2169,Artem Tavakalyan made Dunk.,37,56
14:15,158,Anton Gill made Jumper.,37,58
14:00,2169,Marquis Collins missed Jumper.,37,58
14:00,158,Jack McVeigh Defensive Rebound.,37,58
13:33,158,Anton Gill missed Layup.,37,58
13:33,2169,Marquis Collins Defensive Rebound.,37,58
13:25,2169,Johquin Wiley made Layup.,39,58
12:59,158,Jordy Tshimanga Turnover.,39,58
12:58,2169,Johquin Wiley Steal.,39,58
12:52,2169,Artem Tavakalyan made Three Point Jumper. Assisted by Johquin Wiley.,42,58
12:40,158,Anton Gill missed Jumper.,42,58
12:40,158,Jordy Tshimanga Offensive Rebound.,42,58
12:36,2169,Foul on Kavon Waller.,42,58
12:16,2169,Foul on Marquis Collins.,42,58
12:16,158,Isaac Copeland missed Free Throw.,42,58
12:16,158,Nebraska Deadball Team Rebound.,42,58
12:16,158,Isaac Copeland made Free Throw.,42,59
12:00,2169,Kavon Waller made Jumper.,44,59
11:40,158,Glynn Watson Jr. missed Three Point Jumper.,44,59
11:40,158,Isaac Copeland Offensive Rebound.,44,59
11:35,158,Official TV Timeout,44,59
11:29,158,Glynn Watson Jr. Turnover.,44,59
11:27,2169,Johquin Wiley Steal.,44,59
11:23,2169,Johquin Wiley made Layup. Assisted by Artem Tavakalyan.,46,59
11:06,158,Isaac Copeland missed Three Point Jumper.,46,59
11:06,158,Duby Okeke Offensive Rebound.,46,59
11:00,158,Jack McVeigh missed Three Point Jumper.,46,59
11:00,158,Isaac Copeland Offensive Rebound.,46,59
10:55,158,Isaac Copeland missed Jumper.,46,59
10:55,2169,Demola Onifade Defensive Rebound.,46,59
10:36,2169,Demola Onifade made Jumper.,48,59
10:24,158,Jack McVeigh missed Jumper.,48,59
10:24,2169,Simon Okolue Defensive Rebound.,48,59
10:16,158,Foul on Evan Taylor.,48,59
10:03,2169,Kavon Waller missed Three Point Jumper.,48,59
10:03,158,Isaiah Roby Defensive Rebound.,48,59
9:52,158,James Palmer Jr. missed Layup.,48,59
9:52,2169,Demola Onifade Defensive Rebound.,48,59
9:26,2169,Simon Okolue missed Jumper.,48,59
9:26,158,Isaiah Roby Defensive Rebound.,48,59
9:13,2169,Foul on Artem Tavakalyan.,48,59
9:13,158,Jordy Tshimanga missed Free Throw.,48,59
9:13,158,Nebraska Deadball Team Rebound.,48,59
9:13,158,Jordy Tshimanga made Free Throw.,48,60
8:49,2169,Demola Onifade missed Jumper.,48,60
8:49,158,Jordy Tshimanga Defensive Rebound.,48,60
8:38,158,Anton Gill made Three Point Jumper. Assisted by Isaiah Roby.,48,63
8:26,2169,Delaware State  Timeout,48,63
8:26,158,Official TV Timeout,48,63
8:19,2169,Artem Tavakalyan missed Jumper.,48,63
