Elon,282,Indiana State,2210
5:12,282,Brandon Murphy Offensive Rebound.,26,11
5:08,282,Brandon Murphy made Layup.,26,13
4:57,2210,Tyler Seibring missed Three Point Jumper.,26,13
4:57,282,Qiydar Davis Defensive Rebound.,26,13
4:47,282,Jordan Barnes missed Jumper.,26,13
4:47,2210,Tyler Seibring Defensive Rebound.,26,13
4:31,282,Foul on Qiydar Davis.,26,13
4:31,2210,Tyler Seibring made Three Point Jumper. Assisted by Sheldon Eberhardt.,29,13
4:07,282,Bronson Kessinger missed Jumper.,29,13
4:07,2210,Sheldon Eberhardt Defensive Rebound.,29,13
4:06,282,Foul on Brandon Murphy.,29,13
3:58,2210,Dainan Swoope missed Three Point Jumper.,29,13
3:58,282,Jordan Barnes Defensive Rebound.,29,13
3:49,282,Jordan Barnes missed Three Point Jumper.,29,13
3:49,2210,Sheldon Eberhardt Defensive Rebound.,29,13
3:24,282,Foul on Jordan Barnes.,29,13
3:24,282,Official TV Timeout,29,13
3:24,2210,Tyler Seibring made Free Throw.,30,13
3:24,2210,Tyler Seibring missed Free Throw.,30,13
3:24,282,Tyreke Key Defensive Rebound.,30,13
3:13,282,Jordan Barnes made Jumper.,30,15
2:53,2210,Karolis Kundrotas Turnover.,30,15
2:47,282,Brenton Scott missed Three Point Jumper.,30,15
2:47,282,Devin Thomas Offensive Rebound.,30,15
2:40,282,Tyreke Key made Three Point Jumper. Assisted by Jordan Barnes.,30,18
2:32,2210,Elon  Timeout,30,18
2:22,282,Foul on Devin Thomas.,30,18
2:22,2210,Tyler Seibring made Free Throw.,31,18
2:22,2210,Tyler Seibring missed Free Throw.,31,18
2:22,282,Emondre Rickman Defensive Rebound.,31,18
2:10,282,Jordan Barnes made Three Point Jumper. Assisted by Tyreke Key.,31,21
2:02,2210,Dmitri Thompson missed Jumper.,31,21
2:02,2210,Dmitri Thompson Offensive Rebound.,31,21
1:48,2210,Tyler Seibring missed Jumper.,31,21
1:48,282,Brenton Scott Defensive Rebound.,31,21
1:41,282,Brenton Scott made Jumper. Assisted by Jordan Barnes.,31,23
1:28,2210,Tyler Seibring Turnover.,31,23
1:28,2210,Foul on Tyler Seibring.,31,23
1:08,282,Jordan Barnes made Three Point Jumper.,31,26
0:42,2210,Dainan Swoope made Three Point Jumper. Assisted by Tyler Seibring.,34,26
0:08,282,Tyreke Key made Three Point Jumper. Assisted by Jordan Barnes.,34,29
0:01,282,Foul on Jordan Barnes.,34,29
0:01,2210,Dainan Swoope made Free Throw.,35,29
0:01,2210,Dainan Swoope made Free Throw.,36,29
