Chicago State,2460,Northern Iowa,2130
4:59,2460,Miles Wentzien made Free Throw.,19,38
4:44,2460,Foul on Bennett Koch.,19,38
4:44,2130,Montana Byrd missed Free Throw.,19,38
4:44,2460,Tywhon Pickford Defensive Rebound.,19,38
4:31,2460,Klint Carlson Turnover.,19,38
4:24,2460,Foul on Klint Carlson.,19,38
4:24,2130,Deionte Simmons missed Free Throw.,19,38
4:24,2460,Tywhon Pickford Defensive Rebound.,19,38
3:54,2460,Juwan McCloud made Layup.,19,40
3:54,2130,Foul on Cameron Bowles.,19,40
3:54,2460,Official TV Timeout,19,40
3:54,2460,Juwan McCloud made Free Throw.,19,41
3:37,2130,Fred Sims Jr. missed Three Point Jumper.,19,41
3:37,2460,Juwan McCloud Defensive Rebound.,19,41
3:14,2460,Juwan McCloud missed Three Point Jumper.,19,41
3:14,2460,Tywhon Pickford Offensive Rebound.,19,41
3:08,2460,Tywhon Pickford Turnover.,19,41
3:08,2130,Glen Burns Steal.,19,41
2:40,2130,Glen Burns missed Three Point Jumper.,19,41
2:40,2460,Tanner Lohaus Defensive Rebound.,19,41
2:17,2460,Juwan McCloud made Layup.,19,43
2:09,2130,Cameron Bowles Turnover.,19,43
1:58,2130,Foul on Glen Burns.,19,43
1:58,2460,Juwan McCloud made Free Throw.,19,44
1:58,2460,Juwan McCloud missed Free Throw.,19,44
1:58,2130,Deionte Simmons Defensive Rebound.,19,44
1:40,2130,Travon Bell Turnover.,19,44
1:38,2460,Juwan McCloud Steal.,19,44
1:34,2460,Miles Wentzien missed Layup.,19,44
1:34,2460,Tywhon Pickford Offensive Rebound.,19,44
1:32,2460,Tywhon Pickford missed Layup.,19,44
1:32,2130,Fred Sims Jr. Defensive Rebound.,19,44
1:17,2130,Travon Bell missed Three Point Jumper.,19,44
1:17,2460,Tywhon Pickford Defensive Rebound.,19,44
0:55,2460,Miles Wentzien missed Three Point Jumper.,19,44
0:55,2460,Tanner Lohaus Offensive Rebound.,19,44
0:35,2460,Juwan McCloud made Layup.,19,46
0:27,2130,Rob Shaw made Layup.,21,46
0:14,2460,Juwan McCloud missed Three Point Jumper.,21,46
0:14,2130,Travon Bell Defensive Rebound.,21,46
0:06,2130,Montana Byrd missed Three Point Jumper.,21,46
0:06,2460,Tywhon Pickford Defensive Rebound.,21,46
0:00,2460,End of 1st half,21,46
19:43,2460,Bennett Koch missed Jumper.,21,46
19:43,2130,Glen Burns Defensive Rebound.,21,46
19:34,2130,Travon Bell made Three Point Jumper. Assisted by Glen Burns.,24,46
19:10,2460,Isaiah Brown missed Three Point Jumper.,24,46
19:10,2460,Tywhon Pickford Offensive Rebound.,24,46
19:04,2460,Tywhon Pickford missed Layup.,24,46
19:04,2460,Bennett Koch Offensive Rebound.,24,46
19:01,2460,Bennett Koch missed Layup.,24,46
19:01,2130,Deionte Simmons Block.,24,46
18:59,2130,Deionte Simmons Defensive Rebound.,24,46
18:52,2130,Travon Bell missed Three Point Jumper.,24,46
18:52,2460,Tywhon Pickford Defensive Rebound.,24,46
18:21,2460,Juwan McCloud missed Jumper.,24,46
18:21,2130,Chicago State Defensive Rebound.,24,46
17:58,2130,Jelani Pruitt missed Jumper.,24,46
17:58,2460,Bennett Koch Defensive Rebound.,24,46
17:57,2130,Foul on Deionte Simmons.,24,46
17:45,2460,Juwan McCloud made Layup.,24,48
17:30,2130,Montana Byrd missed Jumper.,24,48
17:30,2460,Tywhon Pickford Defensive Rebound.,24,48
17:20,2460,Bennett Koch made Layup. Assisted by Juwan McCloud.,24,50
17:20,2130,Foul on Deionte Simmons.,24,50
17:20,2460,Bennett Koch made Free Throw.,24,51
16:58,2130,Deionte Simmons missed Jumper.,24,51
16:58,2130,Jelani Pruitt Offensive Rebound.,24,51
16:55,2130,Jelani Pruitt made Layup.,26,51
16:44,2460,Isaiah Brown Turnover.,26,51
16:44,2460,Foul on Isaiah Brown.,26,51
16:24,2130,Travon Bell missed Three Point Jumper.,26,51
16:24,2460,Juwan McCloud Defensive Rebound.,26,51
16:15,2130,Foul on Montana Byrd.,26,51
16:10,2460,Isaiah Brown missed Three Point Jumper.,26,51
16:10,2130,Glen Burns Defensive Rebound.,26,51
16:06,2130,Glen Burns Turnover.,26,51
16:05,2460,Bennett Koch made Layup. Assisted by Isaiah Brown.,26,53
15:56,2460,Foul on Tywhon Pickford.,26,53
15:56,2460,Official TV Timeout,26,53
15:47,2130,Glen Burns missed Layup.,26,53
15:47,2460,Bennett Koch Block.,26,53
15:45,2460,Klint Carlson Defensive Rebound.,26,53
15:36,2130,Foul on Alex Dubovitskiy.,26,53
15:30,2460,Klint Carlson made Jumper.,26,55
15:17,2460,Foul on Isaiah Brown.,26,55
15:10,2130,Montana Byrd missed Jumper.,26,55
15:10,2460,Tywhon Pickford Defensive Rebound.,26,55
15:05,2460,Tywhon Pickford Turnover.,26,55
14:53,2130,Fred Sims Jr. missed Jumper.,26,55
14:53,2460,Bennett Koch Defensive Rebound.,26,55
14:34,2460,Bennett Koch made Layup.,26,57
14:34,2130,Foul on Glen Burns.,26,57
14:34,2460,Bennett Koch made Free Throw.,26,58
14:25,2130,Glen Burns made Layup. Assisted by Rob Shaw.,28,58
14:06,2460,Miles Wentzien missed Layup.,28,58
14:06,2130,Cameron Bowles Defensive Rebound.,28,58
13:48,2130,Cameron Bowles missed Layup.,28,58
13:48,2460,Bennett Koch Block.,28,58
13:48,2130,Chicago State Deadball Team Rebound.,28,58
13:47,2130,Deionte Simmons Turnover.,28,58
13:44,2460,Tywhon Pickford Steal.,28,58
13:43,2130,Foul on Glen Burns.,28,58
13:43,2460,Juwan McCloud made Free Throw.,28,59
13:43,2460,Juwan McCloud made Free Throw.,28,60
13:24,2130,Fred Sims Jr. missed Layup.,28,60
13:24,2130,Fred Sims Jr. Offensive Rebound.,28,60
13:22,2460,Foul on Klint Carlson.,28,60
13:22,2130,Fred Sims Jr. made Free Throw.,29,60
13:22,2130,Fred Sims Jr. made Free Throw.,30,60
12:59,2460,Juwan McCloud Turnover.,30,60
12:58,2130,Deionte Simmons Steal.,30,60
12:52,2130,Fred Sims Jr. missed Layup.,30,60
12:52,2460,Tywhon Pickford Block.,30,60
12:50,2130,Rob Shaw Offensive Rebound.,30,60
12:45,2130,Deionte Simmons Turnover.,30,60
12:45,2130,Foul on Deionte Simmons.,30,60
12:17,2460,Klint Carlson missed Three Point Jumper.,30,60
12:17,2130,Montana Byrd Defensive Rebound.,30,60
12:04,2130,Deionte Simmons made Layup.,32,60
11:47,2460,Miles Wentzien made Layup.,32,62
11:32,2130,Deionte Simmons missed Jumper.,32,62
11:32,2460,Tywhon Pickford Defensive Rebound.,32,62
11:08,2460,Juwan McCloud missed Layup.,32,62
11:08,2460,Klint Carlson Offensive Rebound.,32,62
11:04,2460,Juwan McCloud missed Three Point Jumper.,32,62
11:04,2460,Miles Wentzien Offensive Rebound.,32,62
10:58,2460,Miles Wentzien Turnover.,32,62
10:58,2460,Official TV Timeout,32,62
10:46,2130,Fred Sims Jr. missed Jumper.,32,62
10:46,2130,Chicago State Deadball Team Rebound.,32,62
10:40,2130,Fred Sims Jr. made Jumper.,34,62
10:24,2460,Tywhon Pickford missed Three Point Jumper.,34,62
10:24,2460,Bennett Koch Offensive Rebound.,34,62
10:06,2460,Klint Carlson missed Jumper.,34,62
10:06,2130,Montana Byrd Defensive Rebound.,34,62
9:52,2130,Montana Byrd missed Layup.,34,62
9:52,2460,Tywhon Pickford Defensive Rebound.,34,62
9:29,2130,Foul on Jalen Stephens-Holmes.,34,62
9:29,2460,Bennett Koch made Free Throw.,34,63
9:29,2460,Bennett Koch made Free Throw.,34,64
9:19,2130,Rob Shaw Turnover.,34,64
8:50,2460,Miles Wentzien Turnover.,34,64
8:49,2130,Jalen Stephens-Holmes Steal.,34,64
8:43,2130,Fred Sims Jr. made Jumper.,36,64
8:08,2460,Juwan McCloud missed Jumper.,36,64
8:08,2460,Juwan McCloud Offensive Rebound.,36,64
7:58,2460,Tywhon Pickford made Layup. Assisted by Klint Carlson.,36,66
7:44,2130,Rob Shaw made Jumper.,38,66
7:30,2460,Bennett Koch made Dunk. Assisted by Tywhon Pickford.,38,68
7:10,2130,Fred Sims Jr. missed Jumper.,38,68
7:10,2460,Miles Wentzien Defensive Rebound.,38,68
7:00,2460,Tywhon Pickford made Three Point Jumper. Assisted by Juwan McCloud.,38,71
6:55,2130,Chicago State  Timeout,38,71
6:55,2460,Official TV Timeout,38,71
6:45,2130,Fred Sims Jr. missed Three Point Jumper.,38,71
6:45,2460,Ted Friedman Defensive Rebound.,38,71
6:17,2130,Foul on Glen Burns.,38,71
6:17,2460,Spencer Haldeman missed Free Throw.,38,71
6:17,2460,Tanner Lohaus Offensive Rebound.,38,71
6:05,2460,Ted Friedman made Layup. Assisted by Tanner Lohaus.,38,73
5:50,2130,Rob Shaw missed Layup.,38,73
5:50,2130,Fred Sims Jr. Offensive Rebound.,38,73
5:39,2130,Fred Sims Jr. missed Jumper.,38,73
5:39,2460,Tanner Lohaus Defensive Rebound.,38,73
5:26,2460,Spencer Haldeman Turnover.,38,73
5:16,2130,Travon Bell missed Three Point Jumper.,38,73
5:16,2460,Spencer Haldeman Defensive Rebound.,38,73
4:50,2460,Miles Wentzien Turnover.,38,73
4:49,2130,Travon Bell Steal.,38,73
4:45,2130,Jelani Pruitt missed Layup.,38,73
4:45,2460,Tanner Lohaus Block.,38,73
4:42,2460,Tanner Lohaus Defensive Rebound.,38,73
4:26,2460,Adam McDermott missed Three Point Jumper.,38,73
4:26,2460,Ted Friedman Offensive Rebound.,38,73
4:22,2460,Ted Friedman missed Layup.,38,73
4:22,2130,Rob Shaw Defensive Rebound.,38,73
4:15,2460,Foul on Miles Wentzien.,38,73
