Charleston,2429,Charlotte,232
19:17,2429,Foul on Jailan Haslem.,39,25
19:17,2429,Jailan Haslem Turnover.,39,25
19:01,232,Joe Chealey missed Jumper.,39,25
19:01,232,Cameron Johnson Offensive Rebound.,39,25
18:58,232,Cameron Johnson made Dunk.,41,25
18:58,232,Technical Foul on Cameron Johnson.,41,25
18:58,2429,Jon Davis missed Free Throw.,41,25
18:58,2429,Charlotte Deadball Team Rebound.,41,25
18:49,2429,Andrien White made Three Point Jumper.,41,28
18:22,232,Nick Harris missed Jumper.,41,28
18:22,2429,Najee Garvin Defensive Rebound.,41,28
18:14,2429,Jon Davis made Layup.,41,30
17:56,232,Grant Riller made Three Point Jumper.,44,30
17:46,232,Foul on Nick Harris.,44,30
17:36,2429,Andrien White Turnover.,44,30
17:34,232,Osinachi Smart Steal.,44,30
17:29,232,Joe Chealey Turnover.,44,30
17:09,2429,Najee Garvin made Dunk. Assisted by Andrien White.,44,32
16:54,232,Foul on Grant Riller.,44,32
16:54,232,Grant Riller Turnover.,44,32
16:42,232,Foul on Osinachi Smart.,44,32
16:29,2429,Najee Garvin made Layup. Assisted by Jon Davis.,44,34
16:10,232,Osinachi Smart made Layup.,46,34
16:10,2429,Foul on Jailan Haslem.,46,34
16:10,232,Osinachi Smart made Free Throw.,47,34
15:52,2429,Milos Supica missed Layup.,47,34
15:52,232,Cameron Johnson Defensive Rebound.,47,34
15:34,232,Joe Chealey made Layup.,49,34
15:24,2429,Jon Davis made Jumper.,49,36
15:01,232,Cameron Johnson Turnover.,49,36
14:59,2429,Hudson Price Steal.,49,36
14:59,2429,Hudson Price Turnover.,49,36
14:59,2429,Official TV Timeout,49,36
14:37,232,Joe Chealey made Three Point Jumper.,52,36
14:20,2429,Jon Davis missed Layup.,52,36
14:20,232,Marquise Pointer Defensive Rebound.,52,36
14:15,232,Joe Chealey missed Three Point Jumper.,52,36
14:15,2429,Andrien White Defensive Rebound.,52,36
14:12,232,Foul on Jaylen McManus.,52,36
13:53,2429,Najee Garvin made Jumper.,52,38
13:37,232,Grant Riller made Three Point Jumper. Assisted by Osinachi Smart.,55,38
13:21,232,Foul on Osinachi Smart.,55,38
13:21,2429,Milos Supica made Free Throw.,55,39
13:21,2429,Milos Supica made Free Throw.,55,40
13:11,2429,Foul on Jon Davis.,55,40
13:02,232,Marquise Pointer Turnover.,55,40
13:00,2429,Najee Garvin Steal.,55,40
12:57,2429,Najee Garvin made Jumper.,55,42
12:38,232,Joe Chealey Turnover.,55,42
12:35,2429,Milos Supica Steal.,55,42
12:33,2429,Andrien White made Layup.,55,44
12:29,232,Charleston  Timeout,55,44
12:29,2429,Official TV Timeout,55,44
12:11,232,Marquise Pointer Turnover.,55,44
12:09,2429,Andrien White Steal.,55,44
12:07,2429,Najee Garvin made Dunk. Assisted by Andrien White.,55,46
11:47,232,Joe Chealey missed Layup.,55,46
11:47,232,Nick Harris Offensive Rebound.,55,46
11:44,232,Nick Harris made Dunk.,57,46
11:27,232,Foul on Evan Bailey.,57,46
11:27,2429,Official TV Timeout,57,46
11:20,2429,Najee Garvin missed Jumper.,57,46
11:20,2429,Hudson Price Offensive Rebound.,57,46
11:00,2429,Andrien White missed Jumper.,57,46
11:00,2429,Najee Garvin Offensive Rebound.,57,46
10:57,2429,Najee Garvin made Two Point Tip Shot.,57,48
10:36,232,Joe Chealey made Three Point Jumper. Assisted by Cameron Johnson.,60,48
10:24,2429,Najee Garvin made Layup. Assisted by Jon Davis.,60,50
9:54,232,Cameron Johnson made Layup.,62,50
9:41,2429,Jon Davis missed Jumper.,62,50
9:41,232,Charleston Defensive Rebound.,62,50
9:28,232,Joe Chealey made Jumper.,64,50
9:09,2429,Foul on Andrien White.,64,50
9:09,2429,Andrien White Turnover.,64,50
8:55,232,Cameron Johnson missed Three Point Jumper.,64,50
8:55,2429,Milos Supica Defensive Rebound.,64,50
8:44,232,Foul on Nick Harris.,64,50
8:44,2429,Jon Davis made Free Throw.,64,51
8:44,2429,Jon Davis made Free Throw.,64,52
8:29,232,Marquise Pointer made Jumper.,66,52
8:07,2429,Hudson Price missed Jumper.,66,52
8:07,232,Joe Chealey Defensive Rebound.,66,52
7:52,232,Foul on Sambia Ndiaye.,66,52
7:52,232,Sambia Ndiaye Turnover.,66,52
7:52,2429,Official TV Timeout,66,52
