Montana State,2348,Louisiana Tech,147
3:50,2348,Exavian Christon Defensive Rebound.,24,25
3:45,2348,Exavian Christon missed Jumper.,24,25
3:45,147,Isaac Bonton Defensive Rebound.,24,25
3:38,147,Isaac Bonton Turnover.,24,25
3:38,2348,Official TV Timeout,24,25
3:30,147,Foul on Harald Frey.,24,25
3:30,2348,Jalen Harris made Free Throw.,24,26
3:30,2348,Jalen Harris made Free Throw.,24,27
3:09,147,Harald Frey made Layup.,26,27
2:54,2348,Jalen Harris missed Three Point Jumper.,26,27
2:54,147,Isaac Bonton Defensive Rebound.,26,27
2:50,147,Devonte Klines made Dunk. Assisted by Isaac Bonton.,28,27
2:33,2348,Jacobi Boykins missed Jumper.,28,27
2:33,2348,Oliver Powell Offensive Rebound.,28,27
2:28,2348,Oliver Powell made Jumper.,28,29
2:09,147,Harald Frey missed Jumper.,28,29
2:09,2348,Derric Jean Defensive Rebound.,28,29
2:02,2348,Jalen Harris missed Jumper.,28,29
2:02,147,Konner Frey Defensive Rebound.,28,29
1:57,147,Konner Frey Turnover.,28,29
1:56,2348,Jacobi Boykins Steal.,28,29
1:53,2348,Jalen Harris made Dunk. Assisted by Jacobi Boykins.,28,31
1:30,147,Isaac Bonton made Three Point Jumper. Assisted by Devonte Klines.,31,31
1:27,2348,Louisiana Tech  Timeout,31,31
1:21,2348,Jacobi Boykins missed Three Point Jumper.,31,31
1:21,147,Sam Neumann Defensive Rebound.,31,31
1:12,147,Isaac Bonton missed Three Point Jumper.,31,31
1:12,2348,Exavian Christon Defensive Rebound.,31,31
0:59,2348,DaQuan Bracey made Jumper.,31,33
0:54,2348,DaQuan Bracey made Free Throw.,31,34
0:52,147,Sam Neumann Turnover.,31,34
0:47,2348,Derric Jean Steal.,31,34
0:46,147,Foul on Joe Mvuezolo Jr..,31,34
0:41,147,Foul on Sam Neumann.,31,34
0:40,2348,Derric Jean missed Free Throw.,31,34
0:39,2348,Louisiana Tech Deadball Team Rebound.,31,34
0:38,2348,Derric Jean made Free Throw.,31,35
0:30,147,Devonte Klines missed Three Point Jumper.,31,35
0:30,2348,Louisiana Tech Defensive Rebound.,31,35
0:20,2348,DaQuan Bracey Turnover.,31,35
0:00,2348,End of 1st half,31,35
19:48,2348,Jacobi Boykins made Three Point Jumper. Assisted by DaQuan Bracey.,31,38
19:21,147,Harald Frey missed Three Point Jumper.,31,38
19:21,2348,Jacobi Boykins Defensive Rebound.,31,38
19:11,147,Foul on Keljin Blevins.,31,38
19:11,2348,Joniah White made Free Throw.,31,39
19:11,2348,Joniah White made Free Throw.,31,40
18:58,147,Joe Mvuezolo Jr. made Three Point Jumper. Assisted by Devonte Klines.,34,40
18:36,2348,Jy'lan Washington missed Jumper.,34,40
18:36,2348,Jy'lan Washington Offensive Rebound.,34,40
18:23,2348,DaQuan Bracey missed Three Point Jumper.,34,40
18:23,147,Sam Neumann Defensive Rebound.,34,40
18:15,147,Sam Neumann Turnover.,34,40
17:56,2348,Jalen Harris missed Layup.,34,40
17:56,147,Joe Mvuezolo Jr. Block.,34,40
17:53,2348,Jy'lan Washington Offensive Rebound.,34,40
17:44,2348,Jalen Harris missed Layup.,34,40
17:44,2348,Joniah White Offensive Rebound.,34,40
17:38,2348,Joniah White missed Jumper.,34,40
17:38,147,Konner Frey Defensive Rebound.,34,40
17:31,2348,Foul on Joniah White.,34,40
17:31,147,Keljin Blevins made Free Throw.,35,40
17:31,147,Keljin Blevins missed Free Throw.,35,40
17:31,2348,Jy'lan Washington Defensive Rebound.,35,40
17:25,2348,Jacobi Boykins made Three Point Jumper. Assisted by Jalen Harris.,35,43
17:21,147,Montana State  Timeout,35,43
17:10,147,Joe Mvuezolo Jr. missed Jumper.,35,43
17:10,147,Konner Frey Offensive Rebound.,35,43
17:06,147,Konner Frey missed Jumper.,35,43
17:06,2348,Jacobi Boykins Defensive Rebound.,35,43
16:59,147,Foul on Konner Frey.,35,43
16:56,2348,Jalen Harris made Free Throw.,35,44
16:56,2348,Jalen Harris made Free Throw.,35,45
16:39,147,Konner Frey missed Jumper.,35,45
16:39,2348,Joniah White Block.,35,45
16:35,147,Zach Green Offensive Rebound.,35,45
16:01,147,Zach Green Turnover.,35,45
16:01,2348,Jalen Harris Steal.,35,45
16:00,2348,Jalen Harris missed Three Point Jumper.,35,45
16:00,147,Isaac Bonton Defensive Rebound.,35,45
15:55,147,Isaac Bonton Turnover.,35,45
15:53,2348,Jalen Harris Steal.,35,45
15:50,2348,Jacobi Boykins made Three Point Jumper. Assisted by Jalen Harris.,35,48
15:46,147,Zach Green missed Jumper.,35,48
15:46,2348,Jalen Harris Defensive Rebound.,35,48
15:39,2348,DaQuan Bracey missed Layup.,35,48
15:39,147,Joe Mvuezolo Jr. Block.,35,48
15:36,147,Joe Mvuezolo Jr. Defensive Rebound.,35,48
15:35,2348,Foul on Jalen Harris.,35,48
15:31,2348,Official TV Timeout,35,48
15:31,147,Joe Mvuezolo Jr. missed Free Throw.,35,48
15:31,147,Montana State Deadball Team Rebound.,35,48
15:31,147,Joe Mvuezolo Jr. made Free Throw.,36,48
15:16,2348,Jacobi Boykins missed Three Point Jumper.,36,48
15:16,147,Joe Mvuezolo Jr. Defensive Rebound.,36,48
15:01,147,Joe Mvuezolo Jr. missed Three Point Jumper.,36,48
15:01,2348,Jy'lan Washington Defensive Rebound.,36,48
14:52,147,Foul on Isaac Bonton.,36,48
14:52,2348,DaQuan Bracey made Free Throw.,36,49
14:52,2348,DaQuan Bracey missed Free Throw.,36,49
14:52,147,Keljin Blevins Defensive Rebound.,36,49
14:47,147,Devonte Klines missed Layup.,36,49
14:47,2348,Anthony Duruji Block.,36,49
14:44,147,Montana State Offensive Rebound.,36,49
14:34,147,Keljin Blevins missed Jumper.,36,49
14:34,2348,Anthony Duruji Defensive Rebound.,36,49
14:27,147,Foul on Zach Green.,36,49
14:27,2348,DaQuan Bracey made Free Throw.,36,50
14:27,2348,DaQuan Bracey missed Free Throw.,36,50
14:27,147,Joe Mvuezolo Jr. Defensive Rebound.,36,50
14:07,147,Zach Green missed Jumper.,36,50
14:07,2348,Oliver Powell Defensive Rebound.,36,50
13:37,2348,Foul on Oliver Powell.,36,50
13:37,2348,Oliver Powell Turnover.,36,50
13:15,147,Harald Frey missed Layup.,36,50
13:15,147,Sam Neumann Offensive Rebound.,36,50
13:13,2348,Foul on Exavian Christon.,36,50
13:05,2348,Foul on Exavian Christon.,36,50
13:00,147,Keljin Blevins Turnover.,36,50
12:47,2348,Jacobi Boykins missed Three Point Jumper.,36,50
12:47,147,Joe Mvuezolo Jr. Defensive Rebound.,36,50
12:26,147,Keljin Blevins made Layup.,38,50
12:07,2348,Exavian Christon missed Jumper.,38,50
12:07,147,Sam Neumann Defensive Rebound.,38,50
11:58,147,Harald Frey missed Three Point Jumper.,38,50
11:58,2348,Anthony Duruji Defensive Rebound.,38,50
11:37,2348,Derric Jean missed Jumper.,38,50
11:37,147,Joe Mvuezolo Jr. Defensive Rebound.,38,50
11:14,2348,Official TV Timeout,38,50
11:01,147,Harald Frey missed Jumper.,38,50
11:01,2348,Joniah White Defensive Rebound.,38,50
10:54,2348,Derric Jean made Layup.,38,52
10:26,147,Isaac Bonton made Layup.,40,52
10:06,147,Foul on Harald Frey.,40,52
9:53,2348,Jalen Harris missed Layup.,40,52
9:53,147,Konner Frey Defensive Rebound.,40,52
9:51,2348,Foul on Jalen Harris.,40,52
9:32,147,Isaac Bonton made Three Point Jumper. Assisted by Harald Frey.,43,52
9:22,2348,Louisiana Tech  Timeout,43,52
9:08,2348,Derric Jean missed Three Point Jumper.,43,52
9:08,2348,Joniah White Offensive Rebound.,43,52
9:02,2348,Joniah White made Two Point Tip Shot.,43,54
8:35,147,Isaac Bonton missed Three Point Jumper.,43,54
8:35,147,Zach Green Offensive Rebound.,43,54
8:30,147,Harald Frey made Three Point Jumper. Assisted by Zach Green.,46,54
8:12,147,Foul on Joe Mvuezolo Jr..,46,54
8:09,2348,Joniah White Turnover.,46,54
7:58,147,Konner Frey made Layup.,48,54
7:45,2348,Jalen Harris missed Jumper.,48,54
7:45,147,Joe Mvuezolo Jr. Defensive Rebound.,48,54
7:31,147,Foul on Konner Frey.,48,54
7:31,147,Konner Frey Turnover.,48,54
7:31,2348,Official TV Timeout,48,54
7:08,2348,Derric Jean made Layup.,48,56
6:50,147,Keljin Blevins missed Layup.,48,56
6:50,2348,Oliver Powell Block.,48,56
6:46,2348,Jalen Harris Defensive Rebound.,48,56
6:31,2348,DaQuan Bracey made Three Point Jumper.,48,59
6:25,147,Devonte Klines missed Jumper.,48,59
6:25,147,Isaac Bonton Offensive Rebound.,48,59
6:18,147,Isaac Bonton missed Layup.,48,59
6:18,2348,Jacobi Boykins Defensive Rebound.,48,59
6:10,2348,Oliver Powell made Jumper. Assisted by DaQuan Bracey.,48,61
6:06,147,Montana State  Timeout,48,61
5:48,2348,Foul on Jacobi Boykins.,48,61
5:48,147,Devonte Klines missed Free Throw.,48,61
5:48,147,Montana State Deadball Team Rebound.,48,61
5:48,147,Devonte Klines made Free Throw.,49,61
5:32,147,Foul on Zach Green.,49,61
5:32,2348,Derric Jean missed Free Throw.,49,61
5:32,2348,Louisiana Tech Deadball Team Rebound.,49,61
5:32,2348,Derric Jean made Free Throw.,49,62
5:14,147,Devonte Klines made Layup.,51,62
5:14,2348,Foul on Jacobi Boykins.,51,62
5:14,147,Devonte Klines missed Free Throw.,51,62
5:14,147,Zach Green Offensive Rebound.,51,62
5:09,147,Isaac Bonton missed Jumper.,51,62
5:09,2348,Derric Jean Block.,51,62
5:06,2348,Jacobi Boykins Defensive Rebound.,51,62
4:47,147,Foul on Isaac Bonton.,51,62
4:47,2348,DaQuan Bracey made Free Throw.,51,63
4:47,2348,DaQuan Bracey made Free Throw.,51,64
4:25,147,Devonte Klines missed Jumper.,51,64
4:25,2348,Oliver Powell Defensive Rebound.,51,64
4:13,2348,Exavian Christon missed Three Point Jumper.,51,64
4:13,147,Isaac Bonton Defensive Rebound.,51,64
4:05,147,Isaac Bonton missed Layup.,51,64
4:05,2348,Louisiana Tech Defensive Rebound.,51,64
4:04,147,Foul on Sam Neumann.,51,64
4:04,2348,Oliver Powell made Free Throw.,51,65
4:04,2348,Oliver Powell made Free Throw.,51,66
3:48,2348,Foul on Jy'lan Washington.,51,66
3:48,2348,Official TV Timeout,51,66
3:48,147,Harald Frey made Free Throw.,52,66
3:48,147,Harald Frey made Free Throw.,53,66
3:36,2348,Jy'lan Washington missed Layup.,53,66
3:36,2348,Jy'lan Washington Offensive Rebound.,53,66
3:31,2348,Jy'lan Washington missed Jumper.,53,66
3:31,147,Keljin Blevins Block.,53,66
3:31,2348,Louisiana Tech Offensive Rebound.,53,66
3:18,2348,Oliver Powell Turnover.,53,66
3:03,2348,Foul on Derric Jean.,53,66
3:03,147,Harald Frey made Free Throw.,54,66
3:03,147,Harald Frey made Free Throw.,55,66
2:40,147,Foul on Joe Mvuezolo Jr..,55,66
2:40,2348,DaQuan Bracey missed Free Throw.,55,66
2:40,2348,Louisiana Tech Deadball Team Rebound.,55,66
2:40,2348,DaQuan Bracey missed Free Throw.,55,66
2:40,147,Keljin Blevins Defensive Rebound.,55,66
2:16,147,Harald Frey made Three Point Jumper. Assisted by Devonte Klines.,58,66
1:53,2348,Derric Jean missed Three Point Jumper.,58,66
1:53,2348,Louisiana Tech Offensive Rebound.,58,66
1:52,147,Foul on Sam Neumann.,58,66
1:51,2348,Oliver Powell made Free Throw.,58,67
1:51,2348,Oliver Powell made Free Throw.,58,68
1:30,147,Devonte Klines missed Layup.,58,68
1:30,147,Devonte Klines Offensive Rebound.,58,68
1:18,147,Harald Frey missed Three Point Jumper.,58,68
1:18,147,Konner Frey Offensive Rebound.,58,68
1:06,147,Keljin Blevins missed Three Point Jumper.,58,68
1:06,2348,Oliver Powell Defensive Rebound.,58,68
0:35,2348,Jalen Harris missed Jumper.,58,68
0:35,2348,Jalen Harris Offensive Rebound.,58,68
0:33,2348,Jalen Harris made Jumper.,58,70
0:33,147,Foul on Harald Frey.,58,70
0:33,2348,Jalen Harris made Free Throw.,58,71
0:23,147,Isaac Bonton missed Jumper.,58,71
0:23,2348,Jalen Harris Defensive Rebound.,58,71
0:17,147,Keljin Blevins missed Jumper.,58,71
0:17,147,Montana State Offensive Rebound.,58,71
0:09,147,Keljin Blevins missed Layup.,58,71
0:09,2348,Kyle McKinley Defensive Rebound.,58,71
0:00,2348,End of Game,58,71
