IUPUI,130,Michigan,85
17:16,85,Foul on Evan Hall.,36,47
17:16,130,Derrick Walton Jr. made Free Throw.,36,48
17:16,130,Derrick Walton Jr. made Free Throw.,36,49
17:00,85,Ron Patterson made Jumper. Assisted by Matt O'Leary.,38,49
16:31,130,Derrick Walton Jr. made Three Point Jumper. Assisted by D.J. Wilson.,38,52
16:17,85,Kellon Thomas missed Three Point Jumper.,38,52
16:15,130,D.J. Wilson Defensive Rebound.,38,52
15:52,130,D.J. Wilson missed Three Point Jumper.,38,52
15:49,85,Kellon Thomas Defensive Rebound.,38,52
15:45,85,Darell Combs made Layup.,40,52
15:33,130,Ibi Watson missed Three Point Jumper.,40,52
15:31,130,Moritz Wagner Offensive Rebound.,40,52
15:30,130,Moritz Wagner made Jumper.,40,54
15:30,85,Foul on Ron Patterson.,40,54
15:30,130,Moritz Wagner made Free Throw.,40,55
15:30,130,Official TV Timeout,40,54
15:18,85,Matt O'Leary missed Jumper.,40,55
15:18,130,Moritz Wagner Block.,40,55
15:15,130,D.J. Wilson Defensive Rebound.,40,55
14:49,130,Derrick Walton Jr. missed Three Point Jumper.,40,55
14:46,85,D.J. McCall Defensive Rebound.,40,55
14:28,85,Matt O'Leary made Three Point Jumper. Assisted by Darell Combs.,43,55
14:08,130,Muhammad-Ali Abdur-Rahkman made Jumper.,43,57
13:43,85,Aaron Brennan made Jumper. Assisted by Kellon Thomas.,45,57
13:26,130,Ibi Watson missed Three Point Jumper.,45,57
13:23,85,IUPUI Defensive Rebound.,45,57
13:13,130,Foul on Duncan Robinson.,45,57
13:07,85,Darell Combs made Three Point Jumper.,48,57
12:35,130,Zak Irvin missed Jumper.,48,57
12:32,130,Duncan Robinson Offensive Rebound.,48,57
12:15,85,Foul on D.J. McCall.,48,57
12:15,130,Muhammad-Ali Abdur-Rahkman made Free Throw.,48,58
12:15,130,Muhammad-Ali Abdur-Rahkman made Free Throw.,48,59
11:53,130,Foul on Xavier Simpson.,48,59
11:53,130,Official TV Timeout,48,59
11:44,85,Darell Combs Turnover.,48,59
11:44,130,Duncan Robinson Steal.,48,59
11:27,130,Mark Donnal missed Jumper.,48,59
11:27,85,D.J. McCall Block.,48,59
11:27,130,Michigan Offensive Rebound.,48,59
11:20,85,Foul on Josh James.,48,59
11:20,130,Derrick Walton Jr. made Free Throw.,48,60
11:20,130,Derrick Walton Jr. made Free Throw.,48,61
10:58,85,Darell Combs made Jumper. Assisted by T.J. Henderson.,50,61
10:35,130,Derrick Walton Jr. missed Three Point Jumper.,50,61
10:31,130,Mark Donnal Offensive Rebound.,50,61
10:29,85,Foul on Aaron Brennan.,50,61
10:29,85,Foul on Darell Combs.,50,61
10:18,130,Zak Irvin made Jumper.,50,63
10:18,85,Foul on D.J. McCall.,50,63
10:18,130,Zak Irvin made Free Throw.,50,64
10:08,85,Evan Hall missed Jumper.,50,64
10:07,130,Zak Irvin Defensive Rebound.,50,64
10:07,130,Zak Irvin Turnover.,50,64
