Jackson State,2433,UL Monroe,2296
11:01,2433,Jordon Harris Turnover.,11,12
10:58,2296,Paris Collins Steal.,11,12
10:57,2296,Paris Collins Turnover.,11,12
10:56,2433,Marvin Jean-Pierre Steal.,11,12
10:41,2433,Travis Munnings made Three Point Jumper. Assisted by Jordon Harris.,11,15
10:23,2296,Maurice Rivers missed Jumper.,11,15
10:23,2433,Sam McDaniel Defensive Rebound.,11,15
10:18,2433,Travis Munnings made Dunk. Assisted by Sam McDaniel.,11,17
9:53,2296,Darius Austin missed Three Point Jumper.,11,17
9:53,2433,Sam McDaniel Defensive Rebound.,11,17
9:31,2433,Travis Munnings missed Three Point Jumper.,11,17
9:31,2296,Darius Austin Defensive Rebound.,11,17
9:16,2296,Chace Franklin made Three Point Jumper. Assisted by Darius Austin.,14,17
8:59,2296,Foul on Chace Franklin.,14,17
8:52,2433,Jordon Harris made Three Point Jumper. Assisted by Sam McDaniel.,14,20
8:34,2296,Paris Collins Turnover.,14,20
8:33,2433,Sam McDaniel Steal.,14,20
8:32,2433,Sam McDaniel Turnover.,14,20
8:31,2296,Charles Taylor Jr. Steal.,14,20
8:02,2296,Paris Collins made Three Point Jumper. Assisted by Charles Taylor Jr..,17,20
7:44,2433,Marvin Jean-Pierre missed Layup.,17,20
7:44,2296,Charles Taylor Jr. Block.,17,20
7:44,2433,UL Monroe Offensive Rebound.,17,20
7:44,2433,Official TV Timeout,17,20
7:37,2296,Foul on Maurice Rivers.,17,20
7:37,2433,Travis Munnings missed Free Throw.,17,20
7:37,2433,UL Monroe Deadball Team Rebound.,17,20
7:37,2433,Travis Munnings made Free Throw.,17,21
7:10,2296,Foul on Charles Taylor Jr..,17,21
7:10,2296,Charles Taylor Jr. Turnover.,17,21
6:41,2433,Jordon Harris made Three Point Jumper. Assisted by Sam McDaniel.,17,24
6:19,2433,Foul on Jordon Harris.,17,24
6:18,2296,Jeremiah Jefferson made Three Point Jumper. Assisted by Paris Collins.,20,24
6:05,2296,Foul on Darius Austin.,20,24
6:05,2433,Sam McDaniel made Free Throw.,20,25
6:05,2433,Sam McDaniel made Free Throw.,20,26
5:48,2296,Jeremiah Jefferson made Three Point Jumper. Assisted by Julian Daughtry.,23,26
5:19,2433,Sam McDaniel missed Three Point Jumper.,23,26
5:19,2296,Paris Collins Defensive Rebound.,23,26
4:51,2296,Darius Austin Turnover.,23,26
4:50,2433,Sam McDaniel Steal.,23,26
4:46,2433,Sam McDaniel made Layup. Assisted by Travis Munnings.,23,28
4:30,2296,Paris Collins missed Jumper.,23,28
4:30,2296,Charles Taylor Jr. Offensive Rebound.,23,28
4:28,2433,Foul on Kiir Deng.,23,28
4:00,2296,Paris Collins missed Jumper.,23,28
4:00,2296,Darius Austin Offensive Rebound.,23,28
3:57,2296,Jackson State  Turnover.,23,28
3:56,2433,Official TV Timeout,23,28
3:41,2433,Michael Ertel made Three Point Jumper. Assisted by Sam McDaniel.,23,31
3:11,2296,Paris Collins made Three Point Jumper. Assisted by Darius Austin.,26,31
2:58,2433,Travis Munnings missed Layup.,26,31
2:58,2296,Jesse Love Block.,26,31
