UC Santa Barbara,2539,San Francisco,2540
3:17,2539,Erik Poulsen missed Three Point Jumper.,35,35
3:17,2539,Souley Boum Offensive Rebound.,35,35
3:04,2539,Chase Foster missed Three Point Jumper.,35,35
3:04,2540,Christian Terrell Defensive Rebound.,35,35
2:56,2540,Christian Terrell missed Three Point Jumper.,35,35
2:56,2539,Erik Poulsen Defensive Rebound.,35,35
2:44,2540,Foul on Marcus Jackson.,35,35
2:44,2539,Official TV Timeout,35,35
2:44,2539,Souley Boum made Free Throw.,35,36
2:44,2539,Souley Boum made Free Throw.,35,37
2:26,2539,Foul on Erik Poulsen.,35,37
2:26,2540,Max Heidegger made Free Throw.,36,37
2:26,2540,Max Heidegger missed Free Throw.,36,37
2:26,2539,Remu Raitanen Defensive Rebound.,36,37
2:14,2540,Foul on Jalen Canty.,36,37
2:14,2539,Chase Foster made Free Throw.,36,38
2:14,2539,Chase Foster made Free Throw.,36,39
2:02,2539,Foul on Frankie Ferrari.,36,39
2:02,2540,Gabe Vincent made Free Throw.,37,39
2:02,2540,Gabe Vincent made Free Throw.,38,39
1:47,2539,Remu Raitanen missed Three Point Jumper.,38,39
1:47,2539,Matt McCarthy Offensive Rebound.,38,39
1:34,2539,Chase Foster made Layup. Assisted by Remu Raitanen.,38,41
1:16,2540,Max Heidegger missed Layup.,38,41
1:16,2539,Chase Foster Defensive Rebound.,38,41
1:15,2540,Foul on Maxwell Kupchak.,38,41
1:03,2539,Chase Foster Turnover.,38,41
0:41,2540,Gabe Vincent made Three Point Jumper.,41,41
0:07,2539,Souley Boum Turnover.,41,41
0:06,2540,Gabe Vincent Steal.,41,41
0:06,2540,Gabe Vincent Turnover.,41,41
0:06,2539,San Francisco  Timeout,41,41
0:04,2540,Foul on Max Heidegger.,41,41
0:00,2539,Souley Boum missed Three Point Jumper.,41,41
0:00,2540,UC Santa Barbara Defensive Rebound.,41,41
0:00,2539,End of 1st half,41,41
19:44,2539,Chase Foster missed Three Point Jumper.,41,41
19:44,2540,Max Heidegger Defensive Rebound.,41,41
19:32,2540,Jalen Canty made Jumper.,43,41
18:57,2539,Chase Foster missed Jumper.,43,41
18:57,2540,UC Santa Barbara Deadball Team Rebound.,43,41
18:50,2539,San Francisco  Turnover.,43,41
18:36,2540,Gabe Vincent made Jumper.,45,41
18:02,2540,Foul on Jalen Canty.,45,41
18:02,2539,Nick Loew made Free Throw.,45,42
18:02,2539,Nick Loew made Free Throw.,45,43
17:38,2540,Max Heidegger missed Jumper.,45,43
17:38,2540,Leland King II Offensive Rebound.,45,43
17:32,2540,Leland King II made Jumper.,47,43
17:32,2539,Foul on Remu Raitanen.,47,43
17:32,2540,Leland King II made Free Throw.,48,43
17:16,2539,Remu Raitanen missed Three Point Jumper.,48,43
17:16,2540,Leland King II Defensive Rebound.,48,43
17:04,2540,Gabe Vincent missed Jumper.,48,43
17:04,2539,Remu Raitanen Defensive Rebound.,48,43
16:42,2539,Jordan Ratinho Turnover.,48,43
16:25,2540,Jalen Canty missed Jumper.,48,43
16:25,2539,San Francisco Defensive Rebound.,48,43
16:13,2539,Frankie Ferrari made Jumper.,48,45
15:53,2540,Gabe Vincent missed Layup.,48,45
15:53,2539,Matt McCarthy Defensive Rebound.,48,45
15:41,2539,Nate Renfro missed Three Point Jumper.,48,45
15:41,2540,Leland King II Defensive Rebound.,48,45
15:34,2539,Official TV Timeout,48,45
15:34,2540,Foul on Gabe Vincent.,48,45
15:34,2539,Foul on Nate Renfro.,48,45
15:34,2539,Official TV Timeout,48,45
15:18,2540,Max Heidegger missed Three Point Jumper.,48,45
15:18,2539,Remu Raitanen Defensive Rebound.,48,45
15:01,2539,Matt McCarthy made Layup.,48,47
14:34,2540,Christian Terrell made Layup. Assisted by Max Heidegger.,50,47
14:19,2539,Matt McCarthy made Jumper.,50,49
14:00,2540,Leland King II Turnover.,50,49
14:00,2539,Frankie Ferrari Steal.,50,49
13:40,2539,Chase Foster missed Layup.,50,49
13:40,2539,Matt McCarthy Offensive Rebound.,50,49
13:36,2539,Matt McCarthy made Two Point Tip Shot.,50,51
13:25,2540,Marcus Jackson Turnover.,50,51
13:24,2539,Jamaree Bouyea Steal.,50,51
13:22,2539,Jamaree Bouyea made Layup.,50,53
13:03,2539,Foul on Matt McCarthy.,50,53
13:03,2540,Leland King II made Free Throw.,51,53
13:03,2540,Leland King II made Free Throw.,52,53
12:55,2540,Foul on Ami Lakoju.,52,53
12:44,2539,Chase Foster made Three Point Jumper. Assisted by Jamaree Bouyea.,52,56
12:27,2540,Foul on Gabe Vincent.,52,56
12:27,2540,Gabe Vincent Turnover.,52,56
12:17,2539,Erik Poulsen missed Three Point Jumper.,52,56
12:17,2540,Max Heidegger Defensive Rebound.,52,56
12:09,2539,Foul on Erik Poulsen.,52,56
12:09,2540,Christian Terrell made Free Throw.,53,56
12:09,2540,Christian Terrell missed Free Throw.,53,56
12:09,2539,Erik Poulsen Defensive Rebound.,53,56
11:55,2539,Erik Poulsen missed Three Point Jumper.,53,56
11:55,2540,Leland King II Defensive Rebound.,53,56
11:27,2540,Leland King II missed Jumper.,53,56
11:27,2539,Erik Poulsen Defensive Rebound.,53,56
11:23,2540,Foul on Leland King II.,53,56
11:23,2539,Official TV Timeout,53,56
11:04,2539,Matt McCarthy missed Jumper.,53,56
11:04,2540,UC Santa Barbara Defensive Rebound.,53,56
10:45,2540,Gabe Vincent missed Jumper.,53,56
10:45,2539,Matt McCarthy Defensive Rebound.,53,56
10:28,2539,Matt McCarthy missed Jumper.,53,56
10:28,2540,Leland King II Defensive Rebound.,53,56
10:21,2540,Max Heidegger Turnover.,53,56
10:09,2539,Nate Renfro missed Three Point Jumper.,53,56
10:09,2540,Max Heidegger Defensive Rebound.,53,56
9:53,2540,Leland King II made Layup. Assisted by Jalen Canty.,55,56
9:41,2540,Foul on Leland King II.,55,56
9:41,2539,Nate Renfro made Free Throw.,55,57
9:41,2539,Nate Renfro missed Free Throw.,55,57
9:41,2540,Leland King II Defensive Rebound.,55,57
9:29,2540,Gabe Vincent Turnover.,55,57
9:29,2540,Foul on Gabe Vincent.,55,57
9:18,2539,Souley Boum made Layup. Assisted by Remu Raitanen.,55,59
9:00,2539,Foul on Frankie Ferrari.,55,59
8:42,2540,Max Heidegger missed Jumper.,55,59
8:42,2540,UC Santa Barbara Deadball Team Rebound.,55,59
8:40,2540,UC Santa Barbara  Turnover.,55,59
8:30,2540,Foul on Maxwell Kupchak.,55,59
8:30,2539,Souley Boum made Free Throw.,55,60
8:30,2539,Souley Boum made Free Throw.,55,61
8:05,2540,Maxwell Kupchak made Jumper.,57,61
7:46,2539,Remu Raitanen missed Three Point Jumper.,57,61
7:46,2540,Christian Terrell Defensive Rebound.,57,61
7:36,2540,Max Heidegger made Three Point Jumper.,60,61
7:21,2540,Foul on Jalen Canty.,60,61
7:21,2539,Official TV Timeout,60,61
7:21,2539,Souley Boum made Free Throw.,60,62
7:21,2539,Souley Boum made Free Throw.,60,63
7:02,2539,Foul on Nick Loew.,60,63
7:02,2540,Jalen Canty made Free Throw.,61,63
7:02,2540,Jalen Canty made Free Throw.,62,63
6:48,2539,Frankie Ferrari missed Three Point Jumper.,62,63
6:48,2539,Remu Raitanen Offensive Rebound.,62,63
6:42,2540,Foul on Leland King II.,62,63
6:42,2539,Remu Raitanen missed Free Throw.,62,63
6:42,2539,San Francisco Deadball Team Rebound.,62,63
