Southeast Missouri State,2428,North Carolina Central,2546
15:06,2428,C.J. Wiggins made Layup.,9,7
14:51,2428,Foul on Raasean Davis.,9,7
14:51,2546,Jonathan Dalton made Free Throw.,10,7
14:51,2546,Jonathan Dalton missed Free Throw.,10,7
14:51,2546,Jonathan Dalton Offensive Rebound.,10,7
14:43,2546,Denzel Mahoney made Layup.,12,7
14:21,2428,Raasean Davis Turnover.,12,7
14:04,2546,Justin Carpenter Turnover.,12,7
14:02,2428,Raasean Davis Steal.,12,7
13:53,2428,Jordan Perkins missed Jumper.,12,7
13:53,2546,Jonathan Dalton Defensive Rebound.,12,7
13:44,2546,Jonathan Dalton made Layup.,14,7
13:19,2428,Reginald Gardner Jr missed Three Point Jumper.,14,7
13:19,2428,Raasean Davis Offensive Rebound.,14,7
13:13,2428,Raasean Davis made Layup.,14,9
12:54,2546,Jonathan Dalton Turnover.,14,9
12:27,2546,Foul on Donnie Lewis.,14,9
12:27,2428,Reginald Gardner Jr made Free Throw.,14,10
12:27,2428,Reginald Gardner Jr made Free Throw.,14,11
12:21,2546,Daniel Simmons made Layup. Assisted by Donnie Lewis.,16,11
12:04,2428,Jordan Perkins missed Three Point Jumper.,16,11
12:04,2546,Ray Kowalski Defensive Rebound.,16,11
11:57,2546,Milos Vranes made Layup. Assisted by Daniel Simmons.,18,11
11:40,2428,Pablo Rivas made Three Point Jumper. Assisted by Reginald Gardner Jr.,18,14
11:07,2546,Milos Vranes missed Jumper.,18,14
11:07,2428,Alston Jones Defensive Rebound.,18,14
10:58,2428,Raasean Davis missed Layup.,18,14
10:58,2546,Daniel Simmons Defensive Rebound.,18,14
10:50,2546,Daniel Simmons made Layup.,20,14
10:24,2428,Reginald Gardner Jr made Layup.,20,16
9:58,2546,Ray Kowalski Turnover.,20,16
9:57,2428,Official TV Timeout,20,16
9:39,2428,Dominique Reid missed Jumper.,20,16
9:39,2546,Ledarrius Brewer Defensive Rebound.,20,16
9:27,2546,Ledarrius Brewer missed Three Point Jumper.,20,16
9:27,2428,Pablo Rivas Defensive Rebound.,20,16
9:13,2428,Alston Jones made Jumper.,20,18
9:00,2546,Ledarrius Brewer missed Layup.,20,18
9:00,2428,Dominique Reid Defensive Rebound.,20,18
8:53,2428,Dominique Reid Turnover.,20,18
8:53,2428,Foul on Dominique Reid.,20,18
8:38,2428,Foul on Larry McKnight Jr..,20,18
8:38,2546,Justin Carpenter made Free Throw.,21,18
8:38,2546,Justin Carpenter made Free Throw.,22,18
8:16,2428,Dominique Reid made Layup.,22,20
7:59,2546,Denzel Mahoney made Three Point Jumper. Assisted by Ray Kowalski.,25,20
7:35,2428,Jordan Perkins Turnover.,25,20
7:34,2428,Official TV Timeout,25,20
7:14,2546,Jonathan Dalton missed Three Point Jumper.,25,20
7:14,2428,Jordan Perkins Defensive Rebound.,25,20
7:06,2428,Pablo Rivas made Layup. Assisted by Jordan Perkins.,25,22
7:06,2546,Foul on Denzel Mahoney.,25,22
