Tenn-Martin,236,Chattanooga,2630
9:05,2630,Terrence Parker made Jumper. Assisted by Fatodd Lewis.,48,45
9:02,236,Chattanooga  Timeout,48,45
8:32,236,Makale Foreman missed Three Point Jumper.,48,45
8:32,2630,Terrence Parker Defensive Rebound.,48,45
8:24,2630,Fatodd Lewis missed Layup.,48,45
8:24,236,Joshua Phillips Defensive Rebound.,48,45
8:00,236,Nat Dixon missed Three Point Jumper.,48,45
8:00,236,James Lewis Jr. Offensive Rebound.,48,45
7:57,236,James Lewis Jr. made Layup.,48,47
7:57,236,Official TV Timeout,48,47
7:56,236,Official TV Timeout,48,47
7:48,236,Foul on James Lewis Jr..,48,47
7:48,2630,Matthew Butler made Free Throw.,49,47
7:48,2630,Matthew Butler made Free Throw.,50,47
7:45,236,Nat Dixon Turnover.,50,47
7:44,2630,Matthew Butler Steal.,50,47
7:43,2630,Matthew Butler missed Three Point Jumper.,50,47
7:43,2630,Terrence Parker Offensive Rebound.,50,47
7:13,2630,Darius Thompson missed Three Point Jumper.,50,47
7:13,236,Chattanooga Defensive Rebound.,50,47
6:50,236,Joshua Phillips made Layup. Assisted by Nat Dixon.,50,49
6:24,2630,Matthew Butler missed Jumper.,50,49
6:24,236,Chattanooga Defensive Rebound.,50,49
5:59,236,Rodney Chatman made Three Point Jumper. Assisted by Makale Foreman.,50,52
5:41,2630,Matthew Butler made Jumper. Assisted by Mike Fofana.,52,52
5:15,236,Makale Foreman made Three Point Jumper. Assisted by Rodney Chatman.,52,55
4:51,2630,Terrence Parker missed Layup.,52,55
4:51,236,Nat Dixon Defensive Rebound.,52,55
4:26,236,James Lewis Jr. made Jumper. Assisted by Nat Dixon.,52,57
4:02,2630,Matthew Butler made Three Point Jumper.,55,57
4:00,2630,UT Martin  Timeout,55,57
4:00,236,Official TV Timeout,55,57
3:36,236,Makale Foreman missed Three Point Jumper.,55,57
3:36,2630,Mike Fofana Defensive Rebound.,55,57
3:04,2630,Darius Thompson missed Three Point Jumper.,55,57
3:04,236,James Lewis Jr. Defensive Rebound.,55,57
2:49,236,Joshua Phillips missed Jumper.,55,57
2:49,2630,Dominique Williams Defensive Rebound.,55,57
2:27,2630,Matthew Butler made Jumper.,57,57
1:58,236,Joshua Phillips made Layup. Assisted by Nat Dixon.,57,59
1:30,2630,Matthew Butler missed Three Point Jumper.,57,59
1:30,236,Joshua Phillips Defensive Rebound.,57,59
1:12,236,Makale Foreman made Three Point Jumper. Assisted by Rodney Chatman.,57,62
1:03,2630,UT Martin  Timeout,57,62
1:00,2630,Dominique Williams missed Layup.,57,62
1:00,236,Makinde London Defensive Rebound.,57,62
0:42,2630,Foul on Darius Thompson.,57,62
0:25,236,Nat Dixon Turnover.,57,62
0:24,2630,Darius Thompson Steal.,57,62
0:22,2630,Matthew Butler made Three Point Jumper. Assisted by Darius Thompson.,60,62
0:15,2630,Foul on Darius Thompson.,60,62
0:13,2630,Foul on DelFincko Bogan.,60,62
0:13,236,Makale Foreman made Free Throw.,60,63
0:13,236,Makale Foreman made Free Throw.,60,64
0:13,236,Chattanooga  Timeout,60,64
0:09,2630,Matthew Butler made Three Point Jumper. Assisted by DelFincko Bogan.,63,64
0:05,2630,Foul on DelFincko Bogan.,63,64
0:05,236,Makale Foreman made Free Throw.,63,65
0:05,236,Makale Foreman made Free Throw.,63,66
0:01,2630,Matthew Butler Turnover.,63,66
0:00,236,End of Game,63,66
