CSU Bakersfield,2567,SMU,2934
2:42,2567,Semi Ojeleye missed Three Point Jumper.,18,21
2:42,2934,Brent Wrapp Defensive Rebound.,18,21
2:35,2934,Dedrick Basile made Jumper.,20,21
2:09,2934,Foul on Shon Briggs.,20,21
2:09,2567,Official TV Timeout,20,21
2:09,2567,Semi Ojeleye made Free Throw.,20,22
2:09,2567,Semi Ojeleye made Free Throw.,20,23
1:56,2934,Damiyne Durham missed Three Point Jumper.,20,23
1:56,2567,Shake Milton Defensive Rebound.,20,23
1:36,2567,Ben Emelogu II missed Three Point Jumper.,20,23
1:36,2934,Dedrick Basile Defensive Rebound.,20,23
1:09,2934,Matt Smith made Jumper. Assisted by Brent Wrapp.,22,23
0:49,2567,Ben Emelogu II Turnover.,22,23
0:49,2567,Foul on Ben Emelogu II.,22,23
0:28,2934,Damiyne Durham Turnover.,22,23
0:27,2567,Sterling Brown Steal.,22,23
0:04,2567,Ben Emelogu II missed Three Point Jumper.,22,23
0:00,2567,SMU Deadball Team Rebound.,22,23
0:00,2567,End of 1st half,22,23
19:47,2567,Shake Milton missed Three Point Jumper.,22,23
19:47,2934,James Suber Defensive Rebound.,22,23
19:18,2934,Matt Smith missed Jumper.,22,23
19:18,2567,Ben Moore Defensive Rebound.,22,23
18:46,2567,Ben Moore missed Layup.,22,23
18:46,2934,Brent Wrapp Defensive Rebound.,22,23
18:35,2934,James Suber Turnover.,22,23
18:35,2934,Foul on James Suber.,22,23
18:19,2567,Shake Milton missed Jumper.,22,23
18:19,2567,Semi Ojeleye Offensive Rebound.,22,23
17:52,2567,Semi Ojeleye missed Three Point Jumper.,22,23
17:52,2934,Matt Smith Defensive Rebound.,22,23
17:40,2934,Dedrick Basile made Jumper.,24,23
17:08,2934,Foul on Dedrick Basile.,24,23
17:08,2567,Shake Milton made Free Throw.,24,24
17:08,2567,Shake Milton made Free Throw.,24,25
16:40,2934,Shon Briggs missed Three Point Jumper.,24,25
16:40,2567,Semi Ojeleye Defensive Rebound.,24,25
16:23,2934,Foul on Dedrick Basile.,24,25
16:23,2567,Semi Ojeleye missed Free Throw.,24,25
16:23,2567,SMU Deadball Team Rebound.,24,25
16:23,2567,Semi Ojeleye made Free Throw.,24,26
16:10,2567,Foul on Semi Ojeleye.,24,26
16:10,2934,Brent Wrapp missed Free Throw.,24,26
16:10,2934,CSU Bakersfield Deadball Team Rebound.,24,26
16:10,2934,Brent Wrapp missed Free Throw.,24,26
16:10,2567,Semi Ojeleye Defensive Rebound.,24,26
15:57,2567,Shake Milton made Three Point Jumper. Assisted by Jarrey Foster.,24,29
15:33,2934,Damiyne Durham made Three Point Jumper.,27,29
15:11,2567,Jarrey Foster missed Jumper.,27,29
15:11,2934,Taze Moore Defensive Rebound.,27,29
14:35,2934,Damiyne Durham Turnover.,27,29
14:35,2567,Official TV Timeout,27,29
14:35,2567,SMU  Timeout,27,29
14:35,2567,Official TV Timeout,27,29
14:08,2567,Shake Milton missed Jumper.,27,29
14:08,2934,Shon Briggs Defensive Rebound.,27,29
13:37,2934,Matt Smith missed Jumper.,27,29
13:37,2567,Ben Moore Defensive Rebound.,27,29
13:30,2567,Ben Emelogu II missed Jumper.,27,29
13:30,2934,Justin Pride Defensive Rebound.,27,29
13:24,2567,Foul on Shake Milton.,27,29
13:24,2934,Matt Smith missed Free Throw.,27,29
13:24,2934,CSU Bakersfield Deadball Team Rebound.,27,29
13:24,2934,Matt Smith missed Free Throw.,27,29
13:24,2567,Ben Moore Defensive Rebound.,27,29
13:02,2567,Sterling Brown Turnover.,27,29
12:49,2934,Taze Moore Turnover.,27,29
12:34,2934,Foul on Justin Pride.,27,29
12:27,2567,Jarrey Foster missed Jumper.,27,29
12:27,2934,Jaylin Airington Defensive Rebound.,27,29
12:21,2934,Shon Briggs missed Layup.,27,29
12:21,2567,Semi Ojeleye Block.,27,29
12:18,2934,Dedrick Basile Offensive Rebound.,27,29
12:05,2567,Foul on Semi Ojeleye.,27,29
12:05,2934,Jaylin Airington made Free Throw.,28,29
12:05,2934,Jaylin Airington made Free Throw.,29,29
12:03,2567,Ben Moore Turnover.,29,29
12:01,2934,Jaylin Airington Steal.,29,29
11:50,2934,Dedrick Basile missed Jumper.,29,29
11:50,2934,Jaylin Airington Offensive Rebound.,29,29
11:37,2934,Matt Smith made Layup. Assisted by Damiyne Durham.,31,29
11:37,2567,Foul on Semi Ojeleye.,31,29
11:37,2567,Official TV Timeout,31,29
11:37,2934,Matt Smith made Free Throw.,32,29
11:29,2567,Harry Froling made Jumper. Assisted by Jarrey Foster.,32,31
11:08,2934,Damiyne Durham made Jumper.,34,31
10:46,2567,Harry Froling Turnover.,34,31
10:46,2567,Foul on Harry Froling.,34,31
10:28,2934,Damiyne Durham missed Three Point Jumper.,34,31
10:28,2567,Sterling Brown Defensive Rebound.,34,31
10:27,2934,Foul on Jaylin Airington.,34,31
10:14,2567,Shake Milton missed Jumper.,34,31
10:14,2934,Dedrick Basile Defensive Rebound.,34,31
10:04,2934,Damiyne Durham made Three Point Jumper. Assisted by Dedrick Basile.,37,31
9:52,2567,Shake Milton Turnover.,37,31
9:35,2934,Shon Briggs missed Jumper.,37,31
9:35,2934,Shon Briggs Offensive Rebound.,37,31
9:14,2934,Damiyne Durham missed Three Point Jumper.,37,31
9:14,2567,Ben Moore Defensive Rebound.,37,31
8:51,2567,Sterling Brown made Three Point Jumper. Assisted by Shake Milton.,37,34
8:21,2934,Dedrick Basile missed Three Point Jumper.,37,34
8:20,2567,Shake Milton Block.,37,34
8:19,2934,CSU Bakersfield Deadball Team Rebound.,37,34
8:18,2934,CSU Bakersfield  Turnover.,37,34
8:01,2567,Harry Froling made Layup. Assisted by Ben Moore.,37,36
7:40,2934,Jaylin Airington missed Layup.,37,36
7:40,2934,Shon Briggs Offensive Rebound.,37,36
7:39,2567,Official TV Timeout,37,36
7:15,2934,Matt Smith missed Layup.,37,36
7:15,2934,Shon Briggs Offensive Rebound.,37,36
6:53,2934,Matt Smith missed Jumper.,37,36
6:53,2567,Ben Moore Defensive Rebound.,37,36
6:24,2567,Sterling Brown missed Jumper.,37,36
6:24,2934,Dedrick Basile Defensive Rebound.,37,36
6:17,2934,Shon Briggs missed Jumper.,37,36
6:17,2934,Shon Briggs Offensive Rebound.,37,36
6:12,2934,Shon Briggs Turnover.,37,36
6:11,2567,Sterling Brown Steal.,37,36
5:57,2567,Harry Froling missed Three Point Jumper.,37,36
5:57,2934,Brent Wrapp Defensive Rebound.,37,36
5:49,2934,Jaylin Airington made Three Point Jumper. Assisted by Dedrick Basile.,40,36
5:28,2934,Foul on Shon Briggs.,40,36
