Wofford,261,Vermont,2747
9:25,2747,Nathan Hoover Turnover.,18,18
9:10,2747,Foul on Ryan Sawvell.,18,18
9:01,261,Darren Payen made Free Throw.,18,19
9:01,261,Darren Payen made Free Throw.,18,20
8:37,2747,Nathan Hoover Turnover.,18,20
8:26,261,Foul on Darren Payen.,18,20
8:26,261,Darren Payen Turnover.,18,20
8:16,2747,Fletcher Magee made Jumper.,20,20
8:00,261,Dre Wills Turnover.,20,20
7:57,2747,Matthew Pegram Steal.,20,20
7:55,261,Foul on Dre Wills.,20,20
7:55,261,Official TV Timeout,20,20
7:42,2747,Justin Tucker missed Jumper.,20,20
7:42,261,Payton Henson Defensive Rebound.,20,20
7:34,261,Payton Henson missed Jumper.,20,20
7:34,2747,Matthew Pegram Defensive Rebound.,20,20
7:26,2747,Eric Garcia missed Jumper.,20,20
7:26,261,Payton Henson Defensive Rebound.,20,20
7:18,2747,Foul on Matthew Pegram.,20,20
7:04,261,Payton Henson made Free Throw.,20,21
7:04,261,Payton Henson made Free Throw.,20,22
6:39,2747,Nathan Hoover missed Three Point Jumper.,20,22
6:39,261,Vermont Defensive Rebound.,20,22
6:22,261,Anthony Lamb missed Three Point Jumper.,20,22
6:22,2747,Derrick Brooks Defensive Rebound.,20,22
6:08,2747,Derrick Brooks Turnover.,20,22
6:07,261,Cam Ward Steal.,20,22
5:55,261,Drew Urquhart Turnover.,20,22
5:54,2747,Derrick Brooks Steal.,20,22
5:44,2747,Derrick Brooks missed Jumper.,20,22
5:44,261,Anthony Lamb Defensive Rebound.,20,22
5:26,261,Kurt Steidl made Three Point Jumper. Assisted by Ernie Duncan.,20,25
5:21,2747,Wofford  Timeout,20,25
5:09,2747,Justin Tucker made Layup. Assisted by Derrick Brooks.,22,25
4:50,261,Dre Wills made Layup.,22,27
4:32,2747,Fletcher Magee made Three Point Jumper. Assisted by Derrick Brooks.,25,27
4:27,261,Foul on Darren Payen.,25,27
4:23,2747,Fletcher Magee made Free Throw.,26,27
4:09,261,Foul on Anthony Lamb.,26,27
4:09,2747,Fletcher Magee Turnover.,26,27
3:57,2747,Matthew Pegram missed Jumper.,26,27
3:57,261,Dre Wills Defensive Rebound.,26,27
3:56,261,Dre Wills missed Free Throw.,26,27
3:56,261,Vermont Deadball Team Rebound.,26,27
3:56,261,Dre Wills made Free Throw.,26,28
