Illinois State,2628,TCU,2287
5:56,2287,DJ Clayton missed Three Point Jumper.,22,20
5:56,2628,JD Miller Defensive Rebound.,22,20
5:52,2287,Foul on Andre Washington.,22,20
5:52,2628,JD Miller made Free Throw.,22,21
5:52,2628,JD Miller missed Free Throw.,22,21
5:52,2287,DJ Clayton Defensive Rebound.,22,21
5:52,2628,Foul on Kenrich Williams.,22,21
5:52,2287,DJ Clayton made Free Throw.,23,21
5:52,2287,DJ Clayton made Free Throw.,24,21
5:29,2628,Kenrich Williams Turnover.,24,21
5:19,2628,Foul on Karviar Shepherd.,24,21
5:19,2287,Tony Wills made Free Throw.,25,21
5:19,2287,Tony Wills made Free Throw.,26,21
5:07,2628,JD Miller Turnover.,26,21
4:56,2287,DJ Clayton missed Layup.,26,21
4:56,2628,Kenrich Williams Defensive Rebound.,26,21
4:28,2628,Alex Robinson Turnover.,26,21
4:27,2287,MiKyle McIntosh Steal.,26,21
4:26,2287,MiKyle McIntosh Turnover.,26,21
4:25,2628,Kenrich Williams Steal.,26,21
4:22,2628,Alex Robinson made Three Point Jumper. Assisted by Kenrich Williams.,26,24
4:21,2628,Foul on Alex Robinson.,26,24
4:21,2628,Technical Foul on Alex Robinson.,26,24
4:21,2287,Paris Lee made Free Throw.,27,24
4:21,2287,Paris Lee made Free Throw.,28,24
3:58,2287,Paris Lee missed Three Point Jumper.,28,24
3:58,2628,Vladimir Brodziansky Defensive Rebound.,28,24
3:46,2287,Foul on Tony Wills.,28,24
3:46,2628,Official TV Timeout,28,24
3:46,2628,Vladimir Brodziansky missed Free Throw.,28,24
3:46,2628,TCU Deadball Team Rebound.,28,24
3:46,2628,Vladimir Brodziansky made Free Throw.,28,25
3:35,2287,DJ Clayton Turnover.,28,25
3:34,2628,Alex Robinson Steal.,28,25
3:30,2628,Jaylen Fisher missed Layup.,28,25
3:30,2287,MiKyle McIntosh Defensive Rebound.,28,25
3:13,2287,Phil Fayne made Layup. Assisted by Paris Lee.,30,25
2:54,2628,Vladimir Brodziansky made Layup. Assisted by Brandon Parrish.,30,27
2:31,2287,MiKyle McIntosh Turnover.,30,27
2:19,2628,Jaylen Fisher Turnover.,30,27
2:18,2287,MiKyle McIntosh Steal.,30,27
1:59,2287,Paris Lee made Three Point Jumper. Assisted by DJ Clayton.,33,27
1:58,2628,TCU  Timeout,33,27
1:35,2628,Alex Robinson made Layup. Assisted by Jaylen Fisher.,33,29
1:23,2287,MiKyle McIntosh Turnover.,33,29
1:09,2628,Malique Trent missed Jumper.,33,29
1:08,2628,Vladimir Brodziansky Offensive Rebound.,33,29
1:08,2287,Foul on Phil Fayne.,33,29
1:08,2628,Vladimir Brodziansky made Free Throw.,33,30
1:08,2628,Vladimir Brodziansky made Free Throw.,33,31
0:43,2287,MiKyle McIntosh Turnover.,33,31
0:33,2628,Kenrich Williams missed Layup.,33,31
0:33,2287,MiKyle McIntosh Defensive Rebound.,33,31
0:05,2287,Keyshawn Evans made Three Point Jumper. Assisted by Paris Lee.,36,31
0:00,2628,End of 1st half,36,34
19:43,2628,Jaylen Fisher missed Jumper.,36,31
19:43,2628,Kenrich Williams Offensive Rebound.,36,31
19:36,2628,JD Miller Turnover.,36,31
19:12,2287,Deontae Hawkins missed Jumper.,36,31
19:12,2287,DJ Clayton Offensive Rebound.,36,31
19:11,2628,Foul on Karviar Shepherd.,36,31
19:11,2287,DJ Clayton missed Free Throw.,36,31
19:11,2287,Illinois St Deadball Team Rebound.,36,31
19:11,2287,DJ Clayton made Free Throw.,37,31
18:52,2628,Kenrich Williams made Three Point Jumper. Assisted by Alex Robinson.,37,34
18:45,2287,Tony Wills missed Layup.,37,34
18:44,2628,Karviar Shepherd Block.,37,34
18:43,2628,Kenrich Williams Defensive Rebound.,37,34
18:28,2628,Karviar Shepherd missed Jumper.,37,34
18:28,2287,DJ Clayton Defensive Rebound.,37,34
18:21,2287,Deontae Hawkins made Three Point Jumper. Assisted by Tony Wills.,40,34
17:53,2628,Kenrich Williams made Jumper. Assisted by Alex Robinson.,40,36
17:36,2628,Foul on Alex Robinson.,40,36
17:26,2287,DJ Clayton made Three Point Jumper. Assisted by Paris Lee.,43,36
17:09,2628,JD Miller made Dunk. Assisted by Jaylen Fisher.,43,38
16:48,2287,Tony Wills missed Jumper.,43,38
16:48,2628,Karviar Shepherd Defensive Rebound.,43,38
16:40,2287,Foul on Deontae Hawkins.,43,38
16:40,2628,Jaylen Fisher made Free Throw.,43,39
16:40,2628,Jaylen Fisher made Free Throw.,43,40
16:32,2287,Phil Fayne Turnover.,43,40
16:19,2628,Kenrich Williams missed Jumper.,43,40
16:19,2287,Paris Lee Defensive Rebound.,43,40
16:12,2287,Keyshawn Evans missed Three Point Jumper.,43,40
16:12,2628,Kenrich Williams Defensive Rebound.,43,40
16:10,2287,Foul on DJ Clayton.,43,40
15:50,2628,JD Miller missed Three Point Jumper.,43,40
15:50,2287,MiKyle McIntosh Defensive Rebound.,43,40
15:43,2628,Foul on Karviar Shepherd.,43,40
15:43,2628,Official TV Timeout,43,40
15:43,2287,MiKyle McIntosh made Free Throw.,44,40
15:43,2287,MiKyle McIntosh made Free Throw.,45,40
15:19,2628,Jaylen Fisher made Three Point Jumper. Assisted by Brandon Parrish.,45,43
14:54,2287,Paris Lee Turnover.,45,43
14:53,2628,Jaylen Fisher Steal.,45,43
14:49,2628,Alex Robinson missed Jumper.,45,43
14:49,2287,Paris Lee Defensive Rebound.,45,43
14:43,2287,Paris Lee made Jumper.,47,43
14:18,2628,Kenrich Williams missed Three Point Jumper.,47,43
14:18,2287,Keyshawn Evans Defensive Rebound.,47,43
14:02,2287,Phil Fayne made Dunk. Assisted by Keyshawn Evans.,49,43
13:46,2287,Foul on DJ Clayton.,49,43
13:29,2628,Jaylen Fisher missed Layup.,49,43
13:29,2628,Kenrich Williams Offensive Rebound.,49,43
13:19,2628,Jaylen Fisher missed Three Point Jumper.,49,43
13:19,2628,Kenrich Williams Offensive Rebound.,49,43
13:16,2287,Foul on Tony Wills.,49,43
13:12,2628,Alex Robinson Turnover.,49,43
13:11,2287,Paris Lee Steal.,49,43
13:09,2287,Paris Lee Turnover.,49,43
13:08,2628,Jaylen Fisher Steal.,49,43
13:07,2628,Alex Robinson made Layup.,49,45
12:50,2628,Foul on Brandon Parrish.,49,45
12:50,2287,Phil Fayne made Free Throw.,50,45
12:50,2287,Phil Fayne made Free Throw.,51,45
12:29,2628,Vladimir Brodziansky missed Layup.,51,45
12:29,2287,Phil Fayne Block.,51,45
12:27,2287,Keyshawn Evans Defensive Rebound.,51,45
12:23,2287,MiKyle McIntosh Turnover.,51,45
12:22,2628,Brandon Parrish Steal.,51,45
12:15,2287,Foul on MiKyle McIntosh.,51,45
11:58,2628,Kenrich Williams Turnover.,51,45
11:58,2628,Foul on Kenrich Williams.,51,45
11:58,2628,Official TV Timeout,51,45
11:36,2287,Keyshawn Evans missed Three Point Jumper.,51,45
11:36,2628,Vladimir Brodziansky Defensive Rebound.,51,45
11:24,2628,Vladimir Brodziansky made Jumper. Assisted by Alex Robinson.,51,47
11:08,2287,DJ Clayton Turnover.,51,47
11:07,2628,Kenrich Williams Steal.,51,47
10:53,2628,Brandon Parrish made Three Point Jumper. Assisted by Vladimir Brodziansky.,51,50
10:44,2287,Illinois St  Timeout,51,50
10:44,2628,Official TV Timeout,51,50
10:33,2287,MiKyle McIntosh made Jumper. Assisted by Deontae Hawkins.,53,50
10:33,2628,Foul on Brandon Parrish.,53,50
10:33,2287,MiKyle McIntosh made Free Throw.,54,50
10:08,2628,Desmond Bane made Layup.,54,52
9:52,2287,DJ Clayton Turnover.,54,52
9:51,2628,Alex Robinson Steal.,54,52
9:25,2628,Brandon Parrish missed Jumper.,54,52
9:25,2287,Tony Wills Defensive Rebound.,54,52
9:23,2628,Foul on Kenrich Williams.,54,52
9:23,2287,Tony Wills made Free Throw.,55,52
9:23,2287,Tony Wills missed Free Throw.,55,52
9:23,2628,Brandon Parrish Defensive Rebound.,55,52
9:03,2628,Vladimir Brodziansky made Layup. Assisted by Jaylen Fisher.,55,54
9:03,2287,Foul on Tony Wills.,55,54
9:03,2628,Vladimir Brodziansky made Free Throw.,55,55
8:43,2287,Paris Lee Turnover.,55,55
8:25,2628,Malique Trent missed Three Point Jumper.,55,55
8:25,2628,Jaylen Fisher Offensive Rebound.,55,55
8:18,2628,Jaylen Fisher Turnover.,55,55
8:06,2287,Phil Fayne missed Layup.,55,55
8:06,2628,Vladimir Brodziansky Block.,55,55
8:05,2628,Brandon Parrish Defensive Rebound.,55,55
7:59,2628,Jaylen Fisher made Three Point Jumper. Assisted by Brandon Parrish.,55,58
7:32,2287,Deontae Hawkins missed Three Point Jumper.,55,58
7:31,2628,Vladimir Brodziansky Defensive Rebound.,55,58
7:00,2628,TCU  Turnover.,55,58
7:00,2628,Official TV Timeout,55,58
6:52,2287,DJ Clayton made Layup. Assisted by Deontae Hawkins.,57,58
6:18,2628,Kenrich Williams missed Three Point Jumper.,57,58
6:18,2628,TCU Offensive Rebound.,57,58
6:16,2287,Foul on MiKyle McIntosh.,57,58
6:16,2628,Vladimir Brodziansky made Free Throw.,57,59
6:16,2628,Vladimir Brodziansky made Free Throw.,57,60
6:04,2287,Deontae Hawkins made Layup. Assisted by DJ Clayton.,59,60
6:04,2628,Foul on Brandon Parrish.,59,60
6:04,2287,Deontae Hawkins made Free Throw.,60,60
5:42,2628,Vladimir Brodziansky made Layup. Assisted by Jaylen Fisher.,60,62
5:20,2287,DJ Clayton made Three Point Jumper. Assisted by Tony Wills.,63,62
5:04,2628,Vladimir Brodziansky made Layup. Assisted by Kenrich Williams.,63,64
4:37,2287,DJ Clayton made Layup. Assisted by Deontae Hawkins.,65,64
4:19,2628,Kenrich Williams missed Jumper.,65,64
4:19,2628,Vladimir Brodziansky Offensive Rebound.,65,64
4:18,2287,Foul on MiKyle McIntosh.,65,64
4:18,2628,Vladimir Brodziansky made Free Throw.,65,65
4:18,2628,Vladimir Brodziansky made Free Throw.,65,66
4:04,2287,Keyshawn Evans missed Three Point Jumper.,65,66
4:04,2628,Brandon Parrish Defensive Rebound.,65,66
3:45,2628,Vladimir Brodziansky made Layup. Assisted by Kenrich Williams.,65,68
3:42,2628,TCU  Timeout,65,68
3:42,2628,Official TV Timeout,65,68
3:26,2287,Paris Lee missed Layup.,65,68
3:26,2628,Brandon Parrish Defensive Rebound.,65,68
2:56,2628,Alex Robinson missed Layup.,65,68
2:56,2287,Deontae Hawkins Defensive Rebound.,65,68
2:50,2287,Paris Lee made Three Point Jumper.,68,68
2:37,2287,Foul on Paris Lee.,68,68
2:37,2628,Vladimir Brodziansky missed Free Throw.,68,68
2:37,2628,TCU Deadball Team Rebound.,68,68
2:37,2628,Vladimir Brodziansky made Free Throw.,68,69
2:09,2287,Paris Lee missed Three Point Jumper.,68,69
2:09,2628,Brandon Parrish Defensive Rebound.,68,69
2:03,2628,Jaylen Fisher missed Three Point Jumper.,68,69
2:03,2287,MiKyle McIntosh Defensive Rebound.,68,69
2:00,2628,Foul on Kenrich Williams.,68,69
2:00,2287,MiKyle McIntosh made Free Throw.,69,69
2:00,2287,MiKyle McIntosh made Free Throw.,70,69
1:37,2628,Jaylen Fisher missed Jumper.,70,69
1:37,2287,Tony Wills Defensive Rebound.,70,69
1:18,2287,Paris Lee Turnover.,70,69
1:17,2628,Alex Robinson Steal.,70,69
1:13,2628,Alex Robinson missed Layup.,70,69
1:13,2628,Kenrich Williams Offensive Rebound.,70,69
1:11,2628,Kenrich Williams made Dunk.,70,71
1:03,2287,Illinois St  Timeout,70,71
0:54,2628,Foul on Vladimir Brodziansky.,70,71
0:54,2287,Paris Lee missed Free Throw.,70,71
0:54,2287,Paris Lee made Free Throw.,71,71
0:54,2287,Illinois St Deadball Team Rebound.,70,71
0:42,2628,Jaylen Fisher made Three Point Jumper. Assisted by Alex Robinson.,71,74
0:31,2287,Deontae Hawkins missed Three Point Jumper.,71,74
0:30,2628,Brandon Parrish Defensive Rebound.,71,74
0:29,2287,Foul on MiKyle McIntosh.,71,74
0:29,2628,Brandon Parrish made Free Throw.,71,75
0:29,2628,Brandon Parrish made Free Throw.,71,76
0:29,2628,TCU  Timeout,71,76
0:21,2287,MiKyle McIntosh Turnover.,71,76
0:19,2287,Foul on Tony Wills.,71,76
0:19,2628,Alex Robinson made Free Throw.,71,77
0:19,2628,Alex Robinson made Free Throw.,71,78
0:15,2287,MiKyle McIntosh missed Three Point Jumper.,71,78
0:15,2628,Kenrich Williams Defensive Rebound.,71,78
0:09,2287,Foul on Deontae Hawkins.,71,78
0:09,2628,Jaylen Fisher made Free Throw.,71,79
0:09,2628,Jaylen Fisher made Free Throw.,71,80
0:03,2287,Keyshawn Evans missed Three Point Jumper.,71,80
0:03,2287,MiKyle McIntosh Offensive Rebound.,71,80
0:01,2287,MiKyle McIntosh missed Jumper.,71,80
0:00,2287,Illinois St Offensive Rebound.,71,80
0:00,2628,End of Game,71,80
