Alabama A&amp;M,2572,Southern Miss,2010
3:23,2572,Tim Rowe made Jumper. Assisted by Kevin Holland.,25,31
3:07,2010,Tracy Burnett missed Jumper.,25,31
3:07,2572,Tim Rowe Block.,25,31
3:06,2572,Tim Rowe Defensive Rebound.,25,31
3:01,2572,Kevin Holland Turnover.,25,31
2:58,2010,Rakiya Battle Steal.,25,31
2:56,2010,Rakiya Battle missed Jumper.,25,31
2:56,2572,Tim Rowe Defensive Rebound.,25,31
2:29,2572,Michael Ramey missed Three Point Jumper.,25,31
2:29,2010,LaQuan Wiltshire Defensive Rebound.,25,31
2:04,2010,De'Edrick Petty missed Three Point Jumper.,25,31
2:04,2572,Eddie Davis III Defensive Rebound.,25,31
1:52,2572,Tim Rowe made Jumper. Assisted by Kevin Holland.,25,33
1:20,2010,Eugene Jones Jr. made Jumper. Assisted by Rakiya Battle.,27,33
0:53,2572,Tim Rowe made Three Point Jumper. Assisted by Kevin Holland.,27,36
0:34,2010,Eugene Jones Jr. missed Three Point Jumper.,27,36
0:34,2572,Quinton Campbell Defensive Rebound.,27,36
0:27,2010,Foul on LaQuan Wiltshire.,27,36
0:27,2572,Quinton Campbell made Free Throw.,27,37
0:27,2572,Quinton Campbell made Free Throw.,27,38
0:03,2010,Eugene Jones Jr. missed Three Point Jumper.,27,38
0:03,2572,Eddie Davis III Defensive Rebound.,27,38
0:00,2572,End of 1st half,27,38
19:51,2010,Foul on Quinterian McConico.,27,38
19:46,2572,Raheem Watts made Dunk. Assisted by Michael Ramey.,27,40
19:21,2010,Rakiya Battle missed Three Point Jumper.,27,40
19:21,2572,Eddie Davis III Defensive Rebound.,27,40
19:13,2572,Kevin Holland missed Jumper.,27,40
19:13,2572,Kevin Holland Offensive Rebound.,27,40
19:10,2010,Foul on De'Edrick Petty.,27,40
19:02,2572,Eddie Davis III missed Three Point Jumper.,27,40
19:02,2010,Tracy Burnett Defensive Rebound.,27,40
18:56,2010,Evan Wiley made Jumper.,29,40
18:36,2572,Quinton Campbell missed Layup.,29,40
18:36,2010,Tracy Burnett Block.,29,40
18:36,2010,Alabama A&M Defensive Rebound.,29,40
18:24,2010,Tracy Burnett missed Jumper.,29,40
18:24,2572,Raheem Watts Defensive Rebound.,29,40
18:17,2572,Kevin Holland missed Jumper.,29,40
18:17,2572,Southern Miss Offensive Rebound.,29,40
18:09,2572,Michael Ramey missed Three Point Jumper.,29,40
18:09,2010,Quinterian McConico Defensive Rebound.,29,40
17:53,2010,Quinterian McConico Turnover.,29,40
17:50,2572,Michael Ramey Steal.,29,40
17:37,2572,Foul on Raheem Watts.,29,40
17:37,2572,Raheem Watts Turnover.,29,40
17:11,2572,Foul on Eddie Davis III.,29,40
17:11,2010,Tracy Burnett made Free Throw.,30,40
17:11,2010,Tracy Burnett made Free Throw.,31,40
16:42,2572,Kevin Holland missed Three Point Jumper.,31,40
16:42,2010,Quinterian McConico Defensive Rebound.,31,40
16:15,2010,Rakiya Battle Turnover.,31,40
16:03,2572,Raheem Watts made Layup. Assisted by Cortez Edwards.,31,42
15:28,2010,Rakiya Battle made Three Point Jumper. Assisted by Tracy Burnett.,34,42
15:04,2572,Cortez Edwards missed Jumper.,34,42
15:04,2010,Rakiya Battle Defensive Rebound.,34,42
14:56,2010,De'Edrick Petty missed Layup.,34,42
14:56,2572,Cortez Edwards Defensive Rebound.,34,42
14:45,2010,Foul on De'Edrick Petty.,34,42
14:45,2572,Official TV Timeout,34,42
14:45,2572,Quinton Campbell made Free Throw.,34,43
14:45,2572,Quinton Campbell missed Free Throw.,34,43
14:45,2572,Raheem Watts Offensive Rebound.,34,43
14:25,2572,Raheem Watts Turnover.,34,43
14:07,2010,Evan Wiley made Jumper. Assisted by Rakiya Battle.,36,43
13:49,2572,D'Angelo Richardson missed Jumper.,36,43
13:49,2010,Rakiya Battle Block.,36,43
13:48,2572,Southern Miss Offensive Rebound.,36,43
13:42,2572,Cortez Edwards missed Three Point Jumper.,36,43
13:42,2010,Eugene Jones Jr. Defensive Rebound.,36,43
13:17,2010,Tracy Burnett missed Jumper.,36,43
13:17,2572,Tim Rowe Block.,36,43
13:15,2572,Raheem Watts Defensive Rebound.,36,43
13:07,2572,Cortez Edwards missed Jumper.,36,43
13:07,2572,Cortez Edwards Offensive Rebound.,36,43
13:01,2572,Robert Thomas III made Jumper.,36,45
12:29,2010,Tracy Burnett missed Jumper.,36,45
