Marist,2514,Quinnipiac,2368
4:50,2514,Mikey Dixon made Layup.,20,30
4:50,2368,Foul on Ryan Funk.,20,30
4:50,2514,Mikey Dixon made Free Throw.,20,31
4:30,2368,Kentrall Brooks Turnover.,20,31
4:30,2514,Daniel Harris Steal.,20,31
4:14,2514,Mikey Dixon missed Three Point Jumper.,20,31
4:14,2368,Ryan Funk Defensive Rebound.,20,31
4:13,2514,Foul on Daniel Harris.,20,31
4:13,2368,Ryan Funk made Free Throw.,21,31
4:13,2368,Ryan Funk made Free Throw.,22,31
3:52,2514,Peter Kiss made Layup. Assisted by Phil Winston.,22,33
3:52,2368,Foul on Ryan Funk.,22,33
3:52,2514,Peter Kiss made Free Throw.,22,34
3:23,2368,Ryan Funk missed Three Point Jumper.,22,34
3:23,2368,Obi Momah Offensive Rebound.,22,34
3:15,2368,Isaiah Lamb missed Layup.,22,34
3:15,2368,Marist Offensive Rebound.,22,34
3:15,2514,Foul on Alain Chigha.,22,34
3:15,2368,Obi Momah missed Free Throw.,22,34
3:15,2514,Donovan Smith Defensive Rebound.,22,34
2:57,2368,Foul on Obi Momah.,22,34
2:57,2514,Donovan Smith made Free Throw.,22,35
2:57,2514,Donovan Smith made Free Throw.,22,36
2:41,2368,Khallid Hart missed Jumper.,22,36
2:41,2514,Phil Winston Defensive Rebound.,22,36
2:30,2514,Phil Winston missed Layup.,22,36
2:30,2514,Donovan Smith Offensive Rebound.,22,36
2:29,2514,Donovan Smith made Layup.,22,38
2:17,2368,Tobias Sjoberg Turnover.,22,38
2:16,2514,Peter Kiss Steal.,22,38
2:14,2514,Peter Kiss made Dunk.,22,40
2:12,2368,Marist  Timeout,22,40
1:51,2368,Tobias Sjoberg missed Layup.,22,40
1:51,2514,Donovan Smith Block.,22,40
1:49,2514,Daniel Harris Defensive Rebound.,22,40
1:40,2514,Donovan Smith made Jumper. Assisted by Daniel Harris.,22,42
1:22,2368,Khallid Hart missed Jumper.,22,42
1:22,2368,Marist Offensive Rebound.,22,42
1:20,2514,Foul on Donovan Smith.,22,42
1:20,2368,Tobias Sjoberg missed Free Throw.,22,42
1:20,2368,Marist Deadball Team Rebound.,22,42
1:20,2368,Tobias Sjoberg made Free Throw.,23,42
0:52,2514,Peter Kiss missed Jumper.,23,42
0:52,2368,Tobias Sjoberg Block.,23,42
0:52,2368,Marist Defensive Rebound.,23,42
0:38,2368,Brian Parker made Layup. Assisted by Kristinn Palsson.,25,42
0:31,2514,Quinnipiac  Timeout,25,42
0:23,2514,Foul on Donovan Smith.,25,42
0:23,2514,Donovan Smith Turnover.,25,42
0:11,2368,Kristinn Palsson missed Three Point Jumper.,25,42
0:11,2514,Alain Chigha Defensive Rebound.,25,42
0:00,2514,End of 1st half,25,42
19:49,2514,Chaise Daniels made Layup. Assisted by Reggie Oliver.,25,44
19:21,2368,Isaiah Lamb Turnover.,25,44
19:20,2514,Chaise Daniels Steal.,25,44
19:14,2514,Phil Winston missed Layup.,25,44
19:14,2368,Ryan Funk Defensive Rebound.,25,44
19:03,2368,Ryan Funk made Layup. Assisted by Brian Parker.,27,44
18:46,2514,Chaise Daniels missed Jumper.,27,44
18:46,2368,Brian Parker Defensive Rebound.,27,44
18:39,2368,Brian Parker Turnover.,27,44
18:38,2514,Chaise Daniels Steal.,27,44
18:31,2514,Reggie Oliver missed Three Point Jumper.,27,44
18:31,2368,Marist Defensive Rebound.,27,44
18:04,2368,Tobias Sjoberg made Layup. Assisted by Brian Parker.,29,44
17:44,2514,Chaise Daniels missed Jumper.,29,44
17:44,2368,Khallid Hart Defensive Rebound.,29,44
17:36,2514,Foul on Daniel Harris.,29,44
17:36,2368,Ryan Funk Turnover.,29,44
17:36,2514,Reggie Oliver Steal.,29,44
