Savannah State,245,Texas A&amp;M,2542
14:06,2542,Javaris Jenkins made Three Point Jumper. Assisted by Zach Sellers.,14,17
13:47,245,Duane Wilson Turnover.,14,17
13:47,245,Official TV Timeout,14,17
13:30,2542,Austin Dasent made Three Point Jumper. Assisted by Alante Fenner.,17,17
13:08,2542,Foul on Ty'lik Evans.,17,17
12:57,245,Savion Flagg missed Three Point Jumper.,17,17
12:57,245,Texas A&M Offensive Rebound.,17,17
12:30,245,TJ Starks missed Three Point Jumper.,17,17
12:30,245,Tyler Davis Offensive Rebound.,17,17
12:25,245,Tyler Davis made Layup.,17,19
12:13,245,Foul on JJ Caldwell.,17,19
12:02,2542,Austin Dasent missed Three Point Jumper.,17,19
12:02,245,Savion Flagg Defensive Rebound.,17,19
11:53,245,TJ Starks missed Layup.,17,19
11:53,245,Tyler Davis Offensive Rebound.,17,19
11:52,245,Tyler Davis made Layup.,17,21
11:52,2542,Foul on Ty'lik Evans.,17,21
11:52,245,Official TV Timeout,17,21
11:52,245,Tyler Davis made Free Throw.,17,22
11:51,245,Official TV Timeout,17,21
11:42,2542,Javaris Jenkins made Jumper.,19,22
11:13,245,JJ Caldwell Turnover.,19,22
11:11,2542,Jahir Cabeza Steal.,19,22
11:05,2542,Zach Sellers missed Three Point Jumper.,19,22
11:05,245,DJ Hogg Defensive Rebound.,19,22
10:57,245,Tyler Davis made Dunk. Assisted by DJ Hogg.,19,24
10:50,2542,Javaris Jenkins made Three Point Jumper. Assisted by Austin Dasent.,22,24
10:40,245,TJ Starks missed Layup.,22,24
10:39,2542,Javaris Jenkins Block.,22,24
10:38,2542,Jahir Cabeza Defensive Rebound.,22,24
10:33,2542,Javaris Jenkins missed Three Point Jumper.,22,24
10:33,245,Savion Flagg Defensive Rebound.,22,24
10:23,245,Tyler Davis missed Layup.,22,24
10:23,2542,Austin Dasent Defensive Rebound.,22,24
9:55,2542,Jahir Cabeza missed Three Point Jumper.,22,24
9:55,2542,Austin Dasent Offensive Rebound.,22,24
9:50,2542,Austin Dasent missed Jumper.,22,24
9:50,245,Tyler Davis Defensive Rebound.,22,24
9:31,245,JJ Caldwell missed Three Point Jumper.,22,24
9:31,245,Tyler Davis Offensive Rebound.,22,24
8:56,245,Texas A&M  Turnover.,22,24
8:34,2542,Javaris Jenkins missed Three Point Jumper.,22,24
8:34,2542,Alante Fenner Offensive Rebound.,22,24
8:26,2542,Alante Fenner missed Jumper.,22,24
8:26,245,TJ Starks Defensive Rebound.,22,24
8:20,245,TJ Starks missed Layup.,22,24
8:20,2542,Savannah State Defensive Rebound.,22,24
8:05,2542,Maricus Glenn Turnover.,22,24
8:04,245,Admon Gilder Steal.,22,24
7:59,245,Admon Gilder made Dunk.,22,26
7:58,245,Foul on Savion Flagg.,22,26
7:58,245,Official TV Timeout,22,26
7:56,2542,Javaris Jenkins Turnover.,22,26
7:55,245,JJ Caldwell Steal.,22,26
7:53,245,JJ Caldwell made Layup.,22,28
7:46,2542,Zach Sellers missed Jumper.,22,28
7:46,245,Tonny Trocha-Morelos Defensive Rebound.,22,28
7:34,245,Admon Gilder missed Layup.,22,28
7:34,2542,Maricus Glenn Block.,22,28
7:33,245,Texas A&M Offensive Rebound.,22,28
7:23,245,TJ Starks made Three Point Jumper. Assisted by Tonny Trocha-Morelos.,22,31
7:13,2542,Javaris Jenkins missed Three Point Jumper.,22,31
7:13,245,TJ Starks Defensive Rebound.,22,31
7:05,2542,Foul on Javaris Jenkins.,22,31
7:05,245,Savion Flagg made Free Throw.,22,32
7:05,245,Savion Flagg made Free Throw.,22,33
6:51,2542,Dexter McClanahan missed Layup.,22,33
6:51,245,Tyler Davis Block.,22,33
6:49,245,Tonny Trocha-Morelos Defensive Rebound.,22,33
6:45,245,Tonny Trocha-Morelos made Layup. Assisted by JJ Caldwell.,22,35
6:36,2542,Dexter McClanahan missed Three Point Jumper.,22,35
6:36,245,Duane Wilson Defensive Rebound.,22,35
6:26,245,Admon Gilder Turnover.,22,35
6:22,2542,Jahir Cabeza made Three Point Jumper.,25,35
6:00,245,Tonny Trocha-Morelos missed Layup.,25,35
6:00,2542,Zach Sellers Defensive Rebound.,25,35
5:52,2542,Dexter McClanahan missed Three Point Jumper.,25,35
5:52,245,Admon Gilder Defensive Rebound.,25,35
5:35,245,Duane Wilson missed Layup.,25,35
5:35,245,Tyler Davis Offensive Rebound.,25,35
5:29,245,Tyler Davis Turnover.,25,35
5:28,2542,Maricus Glenn Steal.,25,35
5:25,2542,Dexter McClanahan missed Layup.,25,35
5:25,245,Tonny Trocha-Morelos Block.,25,35
5:24,2542,Savannah State Offensive Rebound.,25,35
5:17,2542,John Grant Jr. made Three Point Jumper. Assisted by Zach Sellers.,28,35
4:59,245,Admon Gilder missed Three Point Jumper.,28,35
4:59,2542,John Grant Jr. Defensive Rebound.,28,35
4:48,2542,John Grant Jr. missed Three Point Jumper.,28,35
4:48,2542,Dexter McClanahan Offensive Rebound.,28,35
4:44,2542,Dexter McClanahan made Two Point Tip Shot.,30,35
4:12,245,Admon Gilder missed Three Point Jumper.,30,35
4:12,245,Tonny Trocha-Morelos Offensive Rebound.,30,35
4:05,245,Tonny Trocha-Morelos made Two Point Tip Shot.,30,37
3:44,2542,Jahir Cabeza missed Layup.,30,37
3:44,245,Tyler Davis Defensive Rebound.,30,37
3:34,245,Duane Wilson made Three Point Jumper. Assisted by DJ Hogg.,30,40
3:23,2542,Dexter McClanahan missed Jumper.,30,40
3:23,245,Tyler Davis Defensive Rebound.,30,40
3:17,245,Admon Gilder made Layup. Assisted by Tonny Trocha-Morelos.,30,42
3:09,2542,Savannah State  Timeout,30,42
2:52,2542,John Grant Jr. missed Layup.,30,42
2:52,245,Tyler Davis Defensive Rebound.,30,42
2:50,2542,Foul on John Grant Jr..,30,42
2:50,245,Tyler Davis missed Free Throw.,30,42
2:50,245,Jay Jay Chandler Offensive Rebound.,30,42
2:37,245,Tyler Davis missed Jumper.,30,42
2:37,2542,John Grant Jr. Defensive Rebound.,30,42
2:25,2542,Alante Fenner made Three Point Jumper. Assisted by John Grant Jr..,33,42
1:57,245,DJ Hogg made Three Point Jumper. Assisted by Jay Jay Chandler.,33,45
1:40,2542,Jahir Cabeza missed Three Point Jumper.,33,45
1:40,245,Tyler Davis Defensive Rebound.,33,45
1:26,2542,Foul on John Grant Jr..,33,45
1:26,245,Jay Jay Chandler missed Free Throw.,33,45
1:26,2542,Ralueke Orizu Defensive Rebound.,33,45
1:14,2542,Javaris Jenkins missed Three Point Jumper.,33,45
1:14,245,Tonny Trocha-Morelos Defensive Rebound.,33,45
1:05,245,Duane Wilson Turnover.,33,45
0:58,2542,Javaris Jenkins Turnover.,33,45
0:44,245,Duane Wilson made Three Point Jumper. Assisted by Admon Gilder.,33,48
