Northwestern State,2447,Nicholls,2466
8:30,2466,Malik Metoyer Steal.,7,26
8:27,2466,Malik Metoyer made Layup.,9,26
8:02,2447,Legend Robertin missed Layup.,9,26
8:02,2466,Ishmael Lane Defensive Rebound.,9,26
7:44,2447,Foul on Legend Robertin.,9,26
7:44,2447,Official TV Timeout,9,26
7:31,2466,C.J. Jones made Jumper.,11,26
7:08,2447,Roddy Peters missed Layup.,11,26
7:08,2466,Ishmael Lane Defensive Rebound.,11,26
6:59,2466,Malik Metoyer Turnover.,11,26
6:58,2447,Kevin Johnson Steal.,11,26
6:55,2447,Roddy Peters made Dunk. Assisted by Kevin Johnson.,11,28
6:40,2466,Iziahiah Sweeney missed Three Point Jumper.,11,28
6:40,2466,Malik Metoyer Offensive Rebound.,11,28
6:34,2447,Foul on Kimani Jackson.,11,28
6:34,2466,Malik Metoyer missed Free Throw.,11,28
6:34,2466,Northwestern State Deadball Team Rebound.,11,28
6:34,2466,Malik Metoyer missed Free Throw.,11,28
6:34,2447,Ryghe Lyons Defensive Rebound.,11,28
6:06,2447,Kevin Johnson missed Jumper.,11,28
6:06,2447,Ryghe Lyons Offensive Rebound.,11,28
6:04,2447,Ryghe Lyons missed Layup.,11,28
6:04,2466,Malik Metoyer Block.,11,28
6:02,2447,Tevon Saddler Offensive Rebound.,11,28
6:01,2466,Foul on Ishmael Lane.,11,28
6:01,2447,Tevon Saddler made Free Throw.,11,29
6:01,2447,Tevon Saddler made Free Throw.,11,30
5:57,2466,Brandon Hutton missed Jumper.,11,30
5:57,2447,Roddy Peters Defensive Rebound.,11,30
5:42,2447,Jahvaughn Powell made Three Point Jumper. Assisted by Kevin Johnson.,11,33
5:29,2466,Brandon Hutton Turnover.,11,33
5:25,2447,Jahvaughn Powell Steal.,11,33
5:21,2447,Roddy Peters made Three Point Jumper. Assisted by Kevin Johnson.,11,36
5:21,2466,Northwestern State  Timeout,11,36
5:08,2466,C.J. Jones missed Layup.,11,36
5:08,2447,Ryghe Lyons Block.,11,36
5:04,2447,Roddy Peters Defensive Rebound.,11,36
5:00,2447,Roddy Peters missed Layup.,11,36
5:00,2447,Ryghe Lyons Offensive Rebound.,11,36
4:58,2447,Ryghe Lyons missed Two Point Tip Shot.,11,36
4:58,2466,Vontay Ott Defensive Rebound.,11,36
4:52,2447,Foul on Jahvaughn Powell.,11,36
4:52,2466,Vontay Ott missed Free Throw.,11,36
4:52,2447,Roddy Peters Defensive Rebound.,11,36
4:39,2447,Lafayette Rutledge missed Three Point Jumper.,11,36
4:39,2466,Iziahiah Sweeney Defensive Rebound.,11,36
4:28,2466,Malik Metoyer missed Layup.,11,36
4:28,2447,Roddy Peters Defensive Rebound.,11,36
4:16,2447,Tevon Saddler missed Jumper.,11,36
4:16,2447,Roddy Peters Offensive Rebound.,11,36
3:57,2447,Tevon Saddler made Dunk. Assisted by Kevin Johnson.,11,38
3:34,2466,Iziahiah Sweeney missed Three Point Jumper.,11,38
3:34,2466,Northwestern State Offensive Rebound.,11,38
3:33,2447,Foul on Roddy Peters.,11,38
3:33,2447,Official TV Timeout,11,38
3:33,2466,Brandon Hutton made Free Throw.,12,38
3:33,2466,Brandon Hutton missed Free Throw.,12,38
3:33,2447,Roddy Peters Defensive Rebound.,12,38
3:23,2466,Foul on Malik Metoyer.,12,38
3:23,2447,Tevon Saddler made Free Throw.,12,39
3:23,2447,Tevon Saddler made Free Throw.,12,40
3:14,2466,Vontay Ott missed Layup.,12,40
3:14,2447,Tevon Saddler Defensive Rebound.,12,40
3:09,2447,Kevin Johnson missed Three Point Jumper.,12,40
3:09,2466,Brandon Hutton Defensive Rebound.,12,40
3:00,2466,Brandon Hutton made Jumper.,14,40
2:47,2447,Tevon Saddler made Layup. Assisted by Roddy Peters.,14,42
2:23,2466,Darian Dixon Turnover.,14,42
2:22,2447,Tevon Saddler Steal.,14,42
2:18,2447,Ryghe Lyons missed Layup.,14,42
2:18,2466,Darian Dixon Block.,14,42
2:16,2466,Iziahiah Sweeney Defensive Rebound.,14,42
2:09,2466,Malik Metoyer made Three Point Jumper. Assisted by Iziahiah Sweeney.,17,42
2:06,2447,Nicholls  Timeout,17,42
1:55,2447,Ryghe Lyons Turnover.,17,42
1:35,2466,Brandon Hutton missed Layup.,17,42
1:35,2447,Legend Robertin Block.,17,42
1:32,2466,Iziahiah Sweeney Offensive Rebound.,17,42
1:30,2466,Iziahiah Sweeney missed Layup.,17,42
1:30,2447,Legend Robertin Defensive Rebound.,17,42
1:20,2447,Lafayette Rutledge made Three Point Jumper. Assisted by Kevin Johnson.,17,45
0:53,2466,Iziahiah Sweeney missed Three Point Jumper.,17,45
0:53,2447,Legend Robertin Defensive Rebound.,17,45
0:46,2447,Roddy Peters Turnover.,17,45
0:46,2447,Foul on Roddy Peters.,17,45
0:46,2466,Brandon Hutton Turnover.,17,45
0:20,2447,Lafayette Rutledge made Three Point Jumper. Assisted by Tevon Saddler.,17,48
0:01,2447,Foul on Legend Robertin.,17,48
0:01,2466,C.J. Jones missed Free Throw.,17,48
0:01,2466,Northwestern State Deadball Team Rebound.,17,48
0:01,2466,C.J. Jones made Free Throw.,18,48
0:00,2447,End of 1st half,18,48
19:37,2447,Foul on Kimani Jackson.,18,48
19:37,2466,Malik Metoyer made Free Throw.,19,48
19:37,2466,Malik Metoyer made Free Throw.,20,48
19:08,2447,Kevin Johnson missed Jumper.,20,48
19:08,2466,Vontay Ott Defensive Rebound.,20,48
19:00,2447,Foul on Kevin Johnson.,20,48
19:00,2466,C.J. Jones made Free Throw.,21,48
19:00,2466,C.J. Jones made Free Throw.,22,48
18:54,2447,Jahvaughn Powell Turnover.,22,48
18:54,2466,Malik Metoyer Steal.,22,48
18:51,2466,Iziahiah Sweeney Turnover.,22,48
18:50,2447,Jahvaughn Powell Steal.,22,48
18:43,2466,Foul on Larry Owens.,22,48
18:43,2447,Tevon Saddler made Free Throw.,22,49
18:43,2447,Tevon Saddler made Free Throw.,22,50
18:33,2447,Foul on Ryghe Lyons.,22,50
18:22,2466,Larry Owens missed Layup.,22,50
18:22,2466,Ishmael Lane Offensive Rebound.,22,50
18:19,2466,Ishmael Lane missed Layup.,22,50
18:19,2447,Ryghe Lyons Block.,22,50
18:18,2466,Iziahiah Sweeney Offensive Rebound.,22,50
18:15,2466,Iziahiah Sweeney made Layup.,24,50
18:15,2447,Nicholls  Timeout,24,50
18:15,2447,Official TV Timeout,24,50
17:55,2447,Jahvaughn Powell made Three Point Jumper. Assisted by Ryghe Lyons.,24,53
17:42,2466,Ishmael Lane missed Jumper.,24,53
17:42,2447,Roddy Peters Defensive Rebound.,24,53
17:29,2466,Foul on Malik Metoyer.,24,53
17:29,2447,Roddy Peters missed Free Throw.,24,53
17:29,2447,Nicholls Deadball Team Rebound.,24,53
17:29,2447,Roddy Peters made Free Throw.,24,54
17:14,2466,Larry Owens Turnover.,24,54
16:53,2447,Jahvaughn Powell made Three Point Jumper. Assisted by Kevin Johnson.,24,57
16:27,2466,Brandon Hutton made Layup. Assisted by Vontay Ott.,26,57
16:06,2447,Ryghe Lyons Turnover.,26,57
16:05,2466,Ishmael Lane Steal.,26,57
16:03,2466,Vontay Ott missed Three Point Jumper.,26,57
16:03,2466,Iziahiah Sweeney Offensive Rebound.,26,57
15:58,2466,Iziahiah Sweeney missed Layup.,26,57
15:58,2466,Iziahiah Sweeney Offensive Rebound.,26,57
15:55,2466,Iziahiah Sweeney made Layup.,28,57
15:38,2447,Roddy Peters missed Layup.,28,57
15:38,2466,Ishmael Lane Defensive Rebound.,28,57
15:31,2466,Iziahiah Sweeney Turnover.,28,57
15:31,2466,Foul on Iziahiah Sweeney.,28,57
15:31,2447,Official TV Timeout,28,57
15:24,2447,Stevie Repichowski made Three Point Jumper. Assisted by Tevon Saddler.,28,60
15:05,2466,Ishmael Lane Turnover.,28,60
14:55,2447,Stevie Repichowski made Three Point Jumper. Assisted by Tevon Saddler.,28,63
14:38,2447,Foul on Jahvaughn Powell.,28,63
14:38,2466,Ishmael Lane made Free Throw.,29,63
14:38,2466,Ishmael Lane made Free Throw.,30,63
14:17,2447,Legend Robertin made Dunk. Assisted by Tevon Saddler.,30,65
14:17,2466,Foul on Ishmael Lane.,30,65
14:17,2447,Legend Robertin missed Free Throw.,30,65
14:17,2466,Ishmael Lane Defensive Rebound.,30,65
14:06,2466,Iziahiah Sweeney missed Jumper.,30,65
14:06,2466,Ishmael Lane Offensive Rebound.,30,65
14:01,2466,Ishmael Lane missed Two Point Tip Shot.,30,65
14:01,2466,Brandon Hutton Offensive Rebound.,30,65
13:48,2466,Vontay Ott missed Layup.,30,65
13:48,2447,Legend Robertin Block.,30,65
13:47,2466,Brandon Hutton Offensive Rebound.,30,65
13:44,2466,Brandon Hutton Turnover.,30,65
13:24,2447,Roddy Peters missed Layup.,30,65
13:24,2466,Darian Dixon Block.,30,65
13:23,2466,Darian Dixon Defensive Rebound.,30,65
13:13,2466,Darian Dixon missed Layup.,30,65
13:13,2447,Kimani Jackson Block.,30,65
13:12,2447,Roddy Peters Defensive Rebound.,30,65
13:07,2447,Roddy Peters missed Jumper.,30,65
13:07,2447,Stevie Repichowski Offensive Rebound.,30,65
12:44,2447,Stevie Repichowski missed Three Point Jumper.,30,65
12:44,2466,Iziahiah Sweeney Defensive Rebound.,30,65
12:34,2466,Iziahiah Sweeney missed Layup.,30,65
12:34,2447,Legend Robertin Block.,30,65
12:33,2447,Kimani Jackson Defensive Rebound.,30,65
12:33,2466,Foul on Iziahiah Sweeney.,30,65
12:01,2447,Legend Robertin missed Jumper.,30,65
12:01,2466,Northwestern State Deadball Team Rebound.,30,65
12:00,2447,Official TV Timeout,30,65
11:34,2466,Vontay Ott made Layup.,32,65
