Hartford,164,Rutgers,42
3:35,42,Jason Dunne Turnover.,20,25
3:34,164,Corey Sanders Steal.,20,25
3:31,164,Issa Thiam Turnover.,20,25
3:31,164,Official TV Timeout,20,25
3:16,42,J.R. Lynch Turnover.,20,25
3:16,164,Deshawn Freeman Steal.,20,25
3:16,164,Deshawn Freeman made Dunk.,20,27
3:02,42,J.R. Lynch Turnover.,20,27
2:44,164,Deshawn Freeman missed Three Point Jumper.,20,27
2:44,42,Jack Hobbs Defensive Rebound.,20,27
2:24,42,J.R. Lynch made Three Point Jumper. Assisted by Jason Dunne.,23,27
2:11,42,Foul on J.R. Lynch.,23,27
2:11,164,Corey Sanders made Free Throw.,23,28
2:11,164,Corey Sanders made Free Throw.,23,29
1:53,164,Foul on Issa Thiam.,23,29
1:53,42,John Carroll made Free Throw.,24,29
1:53,42,John Carroll made Free Throw.,25,29
1:27,164,Mike Williams missed Three Point Jumper.,25,29
1:27,164,Eugene Omoruyi Offensive Rebound.,25,29
1:15,164,Candido Sa missed Layup.,25,29
1:15,42,Hassan Attia Block.,25,29
1:14,42,J.R. Lynch Defensive Rebound.,25,29
1:02,42,John Carroll missed Three Point Jumper.,25,29
1:02,164,Corey Sanders Defensive Rebound.,25,29
0:52,164,Geo Baker missed Three Point Jumper.,25,29
0:52,164,Eugene Omoruyi Offensive Rebound.,25,29
0:50,42,George Blagojevic made Free Throw.,26,29
0:50,42,Foul on Jack Hobbs.,26,29
0:50,164,Eugene Omoruyi missed Free Throw.,26,29
0:50,164,Rutgers Deadball Team Rebound.,26,29
0:50,164,Eugene Omoruyi missed Free Throw.,26,29
0:50,42,Hartford Defensive Rebound.,26,29
0:50,164,Foul on Mike Williams.,26,29
0:50,42,George Blagojevic made Free Throw.,27,29
0:50,164,Rutgers  Timeout,27,29
0:32,164,Corey Sanders missed Jumper.,27,29
0:32,164,Mike Williams Offensive Rebound.,27,29
0:30,42,Foul on Jack Hobbs.,27,29
0:30,164,Mike Williams missed Free Throw.,27,29
0:30,164,Rutgers Offensive Rebound.,27,29
0:14,164,Mike Williams missed Layup.,27,29
0:14,42,Jason Dunne Defensive Rebound.,27,29
0:10,42,Hartford  Timeout,27,29
0:01,42,George Blagojevic missed Layup.,27,29
0:01,164,Deshawn Freeman Defensive Rebound.,27,29
0:00,164,End of 1st half,27,29
19:43,164,Deshawn Freeman made Jumper.,27,31
19:23,42,Travis Weatherington missed Three Point Jumper.,27,31
19:23,42,Hassan Attia Offensive Rebound.,27,31
