Rice,2636,UT San Antonio,242
12:52,2636,Deon Lyle Defensive Rebound.,9,11
12:37,2636,Giovanni De Nicolao Turnover.,9,11
12:15,242,Najja Hunter made Jumper.,11,11
11:57,2636,Jhivvan Jackson Turnover.,11,11
11:54,242,Dylan Jones Steal.,11,11
11:40,242,Dylan Jones Turnover.,11,11
11:39,2636,Giovanni De Nicolao Steal.,11,11
11:36,2636,George Willborn III made Layup. Assisted by Giovanni De Nicolao.,11,13
11:36,242,Foul on Ako Adams.,11,13
11:31,2636,Official TV Timeout,11,13
11:31,2636,George Willborn III missed Free Throw.,11,13
11:31,242,Connor Cashaw Defensive Rebound.,11,13
11:28,242,Rice  Turnover.,11,13
11:01,2636,Kendell Ramlal made Layup. Assisted by Giovanni De Nicolao.,11,15
10:57,242,Dylan Jones Turnover.,11,15
10:57,242,Foul on Dylan Jones.,11,15
10:51,2636,Kendell Ramlal missed Layup.,11,15
10:51,242,Connor Cashaw Block.,11,15
10:48,242,Malik Osborne Defensive Rebound.,11,15
10:39,242,Najja Hunter missed Three Point Jumper.,11,15
10:39,2636,Deon Lyle Defensive Rebound.,11,15
10:23,2636,Deon Lyle missed Layup.,11,15
10:23,242,Najja Hunter Block.,11,15
10:21,242,Miles Lester Defensive Rebound.,11,15
10:17,242,Najja Hunter Turnover.,11,15
10:09,2636,Jhivvan Jackson missed Three Point Jumper.,11,15
10:09,242,Najja Hunter Defensive Rebound.,11,15
10:03,242,Najja Hunter Turnover.,11,15
9:44,2636,Deon Lyle missed Three Point Jumper.,11,15
9:44,2636,Kendell Ramlal Offensive Rebound.,11,15
9:39,242,Foul on Connor Cashaw.,11,15
9:39,2636,Kendell Ramlal missed Free Throw.,11,15
9:39,2636,UT San Antonio Deadball Team Rebound.,11,15
9:39,2636,Kendell Ramlal made Free Throw.,11,16
9:33,242,Miles Lester Turnover.,11,16
9:19,2636,Giovanni De Nicolao made Layup.,11,18
9:12,242,Rice  Timeout,11,18
8:57,242,Connor Cashaw missed Three Point Jumper.,11,18
8:57,2636,Keaton Wallace Defensive Rebound.,11,18
8:55,242,Foul on Bishop Mency.,11,18
8:40,2636,Nick Allen missed Jumper.,11,18
8:40,242,Connor Cashaw Defensive Rebound.,11,18
8:31,2636,Foul on Austin Karrer.,11,18
8:31,242,Connor Cashaw missed Free Throw.,11,18
8:31,242,Rice Deadball Team Rebound.,11,18
8:31,242,Connor Cashaw missed Free Throw.,11,18
8:31,2636,Byron Frohnen Defensive Rebound.,11,18
8:20,2636,Keaton Wallace missed Three Point Jumper.,11,18
8:20,242,Malik Osborne Defensive Rebound.,11,18
8:01,2636,Foul on Byron Frohnen.,11,18
8:01,242,Robert Martin made Free Throw.,12,18
8:01,242,Robert Martin missed Free Throw.,12,18
8:01,2636,Byron Frohnen Defensive Rebound.,12,18
7:58,242,Foul on Malik Osborne.,12,18
7:49,2636,Keaton Wallace missed Jumper.,12,18
7:49,242,Robert Martin Defensive Rebound.,12,18
7:22,242,Connor Cashaw missed Three Point Jumper.,12,18
7:22,2636,Byron Frohnen Defensive Rebound.,12,18
7:14,2636,Nick Allen made Three Point Jumper. Assisted by Jhivvan Jackson.,12,21
6:51,242,Malik Osborne Turnover.,12,21
6:50,2636,Giovanni De Nicolao Steal.,12,21
6:45,2636,Keaton Wallace made Three Point Jumper. Assisted by Giovanni De Nicolao.,12,24
6:24,2636,Foul on Nick Allen.,12,24
6:24,2636,Official TV Timeout,12,24
6:05,242,Connor Cashaw made Three Point Jumper. Assisted by Ako Adams.,15,24
5:47,2636,Nick Allen Turnover.,15,24
5:33,2636,Foul on Deon Lyle.,15,24
5:33,242,Connor Cashaw made Free Throw.,16,24
5:33,242,Connor Cashaw made Free Throw.,17,24
5:25,2636,Deon Lyle missed Three Point Jumper.,17,24
5:25,242,Austin Meyer Defensive Rebound.,17,24
5:03,2636,Foul on Keaton Wallace.,17,24
5:03,242,Connor Cashaw missed Free Throw.,17,24
5:03,2636,Byron Frohnen Defensive Rebound.,17,24
4:48,2636,Byron Frohnen missed Jumper.,17,24
4:48,242,Austin Meyer Defensive Rebound.,17,24
4:42,242,Ako Adams Turnover.,17,24
4:42,2636,Byron Frohnen Steal.,17,24
4:42,242,Foul on Ako Adams.,17,24
4:42,2636,Byron Frohnen made Free Throw.,17,25
4:42,2636,Byron Frohnen missed Free Throw.,17,25
4:42,242,Malik Osborne Defensive Rebound.,17,25
4:21,242,Robert Martin missed Jumper.,17,25
4:21,242,Malik Osborne Offensive Rebound.,17,25
4:15,242,Robert Martin Turnover.,17,25
4:14,2636,Jhivvan Jackson Steal.,17,25
4:11,2636,Jhivvan Jackson Turnover.,17,25
3:52,242,Miles Lester Turnover.,17,25
3:51,2636,Giovanni De Nicolao Steal.,17,25
3:38,242,Foul on Austin Meyer.,17,25
3:38,2636,Official TV Timeout,17,25
3:38,2636,Byron Frohnen made Free Throw.,17,26
3:38,2636,Byron Frohnen made Free Throw.,17,27
3:28,2636,Foul on Nick Allen.,17,27
3:28,242,Malik Osborne made Free Throw.,18,27
3:28,242,Malik Osborne missed Free Throw.,18,27
3:28,2636,Keaton Wallace Defensive Rebound.,18,27
3:14,2636,Giovanni De Nicolao missed Three Point Jumper.,18,27
3:14,2636,Kendell Ramlal Offensive Rebound.,18,27
2:50,2636,Jhivvan Jackson made Three Point Jumper. Assisted by Byron Frohnen.,18,30
2:16,242,Robert Martin made Layup.,20,30
2:04,242,Foul on Miles Lester.,20,30
2:04,2636,Jhivvan Jackson made Free Throw.,20,31
2:04,2636,Jhivvan Jackson missed Free Throw.,20,31
2:04,242,Malik Osborne Defensive Rebound.,20,31
1:40,242,Malik Osborne made Jumper.,22,31
1:25,2636,Jhivvan Jackson Turnover.,22,31
1:23,242,Robert Martin Steal.,22,31
1:19,242,Connor Cashaw Turnover.,22,31
1:18,2636,Byron Frohnen Steal.,22,31
1:13,2636,Giovanni De Nicolao made Three Point Jumper. Assisted by Keaton Wallace.,22,34
0:45,242,Robert Martin made Three Point Jumper. Assisted by Connor Cashaw.,25,34
0:34,2636,UT San Antonio  Timeout,25,34
0:22,2636,Keaton Wallace missed Three Point Jumper.,25,34
0:22,242,Malik Osborne Defensive Rebound.,25,34
0:00,2636,End of 1st half,25,34
19:44,2636,Austin Karrer missed Three Point Jumper.,25,34
19:44,242,Malik Osborne Defensive Rebound.,25,34
19:22,242,Bishop Mency Turnover.,25,34
19:02,2636,Giovanni De Nicolao made Three Point Jumper. Assisted by Keaton Wallace.,25,37
18:45,2636,Foul on Austin Karrer.,25,37
18:44,242,Connor Cashaw missed Jumper.,25,37
18:44,2636,Nick Allen Defensive Rebound.,25,37
18:28,242,Foul on Connor Cashaw.,25,37
18:28,2636,Byron Frohnen missed Free Throw.,25,37
18:28,2636,UT San Antonio Deadball Team Rebound.,25,37
18:28,2636,Byron Frohnen made Free Throw.,25,38
18:10,242,Ako Adams Turnover.,25,38
18:07,2636,Giovanni De Nicolao Steal.,25,38
18:04,242,Foul on Malik Osborne.,25,38
18:04,2636,Byron Frohnen made Free Throw.,25,39
18:04,2636,Byron Frohnen made Free Throw.,25,40
17:51,242,Connor Cashaw made Three Point Jumper. Assisted by Bishop Mency.,28,40
17:34,2636,Keaton Wallace missed Jumper.,28,40
17:34,242,Connor Cashaw Defensive Rebound.,28,40
17:22,242,Connor Cashaw missed Jumper.,28,40
17:22,2636,Byron Frohnen Defensive Rebound.,28,40
17:15,2636,Giovanni De Nicolao missed Three Point Jumper.,28,40
17:15,242,Malik Osborne Defensive Rebound.,28,40
17:01,242,Malik Osborne made Jumper. Assisted by Connor Cashaw.,30,40
17:01,2636,Foul on Nick Allen.,30,40
17:01,242,Malik Osborne missed Free Throw.,30,40
17:01,2636,Deon Lyle Defensive Rebound.,30,40
16:40,2636,Deon Lyle missed Layup.,30,40
16:40,242,Connor Cashaw Defensive Rebound.,30,40
16:33,2636,Foul on Byron Frohnen.,30,40
16:33,242,Ako Adams made Free Throw.,31,40
16:33,242,Ako Adams made Free Throw.,32,40
16:18,2636,Giovanni De Nicolao Turnover.,32,40
16:06,242,Ako Adams Turnover.,32,40
15:51,2636,Kendell Ramlal made Jumper. Assisted by Jhivvan Jackson.,32,42
15:39,242,Robert Martin missed Jumper.,32,42
15:39,2636,Kendell Ramlal Block.,32,42
15:37,242,Rice Offensive Rebound.,32,42
15:37,2636,Official TV Timeout,32,42
15:25,242,Bishop Mency made Three Point Jumper. Assisted by Miles Lester.,35,42
15:09,2636,Deon Lyle made Three Point Jumper. Assisted by Jhivvan Jackson.,35,45
14:51,242,Miles Lester missed Three Point Jumper.,35,45
14:51,242,Malik Osborne Offensive Rebound.,35,45
14:32,242,Malik Osborne missed Jumper.,35,45
14:32,2636,Jhivvan Jackson Defensive Rebound.,35,45
14:21,2636,Byron Frohnen missed Three Point Jumper.,35,45
14:21,242,Connor Cashaw Defensive Rebound.,35,45
14:07,242,Connor Cashaw missed Jumper.,35,45
14:07,2636,Deon Lyle Defensive Rebound.,35,45
13:54,2636,Kendell Ramlal Turnover.,35,45
13:52,242,Malik Osborne Steal.,35,45
13:42,242,Robert Martin Turnover.,35,45
13:42,2636,Jhivvan Jackson Steal.,35,45
13:35,2636,George Willborn III made Three Point Jumper. Assisted by Keaton Wallace.,35,48
13:19,242,Austin Meyer Turnover.,35,48
13:03,2636,Deon Lyle missed Jumper.,35,48
13:03,2636,Nick Allen Offensive Rebound.,35,48
12:59,2636,Nick Allen made Two Point Tip Shot.,35,50
12:48,242,Bishop Mency missed Three Point Jumper.,35,50
12:48,2636,UT San Antonio Defensive Rebound.,35,50
12:33,2636,Nick Allen made Jumper. Assisted by Deon Lyle.,35,52
12:05,2636,Foul on George Willborn III.,35,52
12:00,242,Tim Harrison missed Jumper.,35,52
12:00,242,Tim Harrison Offensive Rebound.,35,52
11:56,2636,Foul on Nick Allen.,35,52
11:56,2636,Official TV Timeout,35,52
11:40,242,Tim Harrison missed Three Point Jumper.,35,52
11:40,2636,Keaton Wallace Defensive Rebound.,35,52
11:24,2636,Keaton Wallace made Jumper.,35,54
11:09,242,Ako Adams made Three Point Jumper. Assisted by Miles Lester.,38,54
10:57,2636,Jhivvan Jackson Turnover.,38,54
10:56,242,Miles Lester Steal.,38,54
10:50,242,Miles Lester Turnover.,38,54
10:49,2636,Jhivvan Jackson Steal.,38,54
10:45,2636,Jhivvan Jackson missed Layup.,38,54
10:45,2636,Deon Lyle Offensive Rebound.,38,54
10:43,2636,Deon Lyle made Layup.,38,56
10:13,242,Tim Harrison missed Jumper.,38,56
10:13,2636,Keaton Wallace Defensive Rebound.,38,56
10:02,2636,Deon Lyle made Three Point Jumper. Assisted by Jhivvan Jackson.,38,59
9:48,242,Connor Cashaw missed Jumper.,38,59
9:48,2636,Keaton Wallace Defensive Rebound.,38,59
9:40,242,Foul on Tim Harrison.,38,59
9:40,2636,George Willborn III missed Free Throw.,38,59
9:40,2636,UT San Antonio Deadball Team Rebound.,38,59
9:40,2636,George Willborn III missed Free Throw.,38,59
9:40,242,Tim Harrison Defensive Rebound.,38,59
9:31,2636,Foul on Deon Lyle.,38,59
9:31,242,Ako Adams made Free Throw.,39,59
9:31,242,Ako Adams made Free Throw.,40,59
9:22,2636,Deon Lyle missed Three Point Jumper.,40,59
9:22,242,Tim Harrison Defensive Rebound.,40,59
9:20,2636,Foul on Toby Van Ry.,40,59
9:20,242,Tim Harrison made Free Throw.,41,59
9:20,242,Tim Harrison made Free Throw.,42,59
9:04,2636,Keaton Wallace missed Three Point Jumper.,42,59
9:04,242,Ako Adams Defensive Rebound.,42,59
8:57,242,Najja Hunter missed Layup.,42,59
8:57,2636,Austin Karrer Defensive Rebound.,42,59
8:56,242,Foul on Ako Adams.,42,59
8:37,2636,Toby Van Ry missed Jumper.,42,59
8:37,2636,Toby Van Ry Offensive Rebound.,42,59
8:34,2636,Toby Van Ry made Jumper.,42,61
8:28,242,Connor Cashaw missed Three Point Jumper.,42,61
8:28,242,Najja Hunter Offensive Rebound.,42,61
8:24,2636,Foul on Toby Van Ry.,42,61
