Pepperdine,2541,Santa Clara,2492
1:00,2541,Foul on KJ Feagin.,26,26
1:00,2492,Colbey Ross missed Free Throw.,26,26
1:00,2492,Pepperdine Deadball Team Rebound.,26,26
1:00,2492,Colbey Ross made Free Throw.,27,26
0:30,2541,Josip Vrankic made Three Point Jumper. Assisted by Shaquille Walters.,27,29
0:03,2492,Colbey Ross missed Jumper.,27,29
0:03,2541,Santa Clara Deadball Team Rebound.,27,29
0:02,2541,Henry Caruso Turnover.,27,29
0:02,2492,Trae Berhow Steal.,27,29
0:00,2541,End of 1st half,27,29
19:51,2541,Emmanuel Ndumanya missed Layup.,27,29
19:51,2492,Trae Berhow Block.,27,29
19:50,2492,Trae Berhow Defensive Rebound.,27,29
19:44,2492,Colbey Ross Turnover.,27,29
19:42,2541,Emmanuel Ndumanya Steal.,27,29
19:33,2541,Henry Caruso made Three Point Jumper. Assisted by Josip Vrankic.,27,32
19:16,2492,Trae Berhow missed Jumper.,27,32
19:16,2541,Josip Vrankic Block.,27,32
19:13,2541,Josip Vrankic Defensive Rebound.,27,32
18:58,2541,Josip Vrankic missed Three Point Jumper.,27,32
18:58,2492,Jade' Smith Defensive Rebound.,27,32
18:32,2492,Trae Berhow made Three Point Jumper. Assisted by Eric Cooper Jr..,30,32
18:30,2541,Foul on Josip Vrankic.,30,32
18:30,2492,Trae Berhow made Free Throw.,31,32
18:18,2492,Foul on Trae Berhow.,31,32
18:18,2541,Josip Vrankic made Free Throw.,31,33
18:18,2541,Josip Vrankic made Free Throw.,31,34
17:54,2492,Eric Cooper Jr. made Jumper.,33,34
17:34,2541,Emmanuel Ndumanya missed Layup.,33,34
17:34,2492,Nolan Taylor Block.,33,34
17:33,2492,Nolan Taylor Defensive Rebound.,33,34
17:30,2492,Eric Cooper Jr. made Layup. Assisted by Jade' Smith.,35,34
17:30,2541,Foul on Josip Vrankic.,35,34
17:30,2492,Eric Cooper Jr. missed Free Throw.,35,34
17:30,2541,Josip Vrankic Defensive Rebound.,35,34
17:11,2541,Shaquille Walters missed Three Point Jumper.,35,34
17:11,2492,Eric Cooper Jr. Defensive Rebound.,35,34
16:58,2492,Nolan Taylor made Jumper. Assisted by Jade' Smith.,37,34
16:50,2492,Foul on Nolan Taylor.,37,34
16:49,2541,Santa Clara  Timeout,37,34
16:48,2541,Official TV Timeout,37,34
16:42,2541,Official TV Timeout,37,34
16:40,2541,Matt Hauser made Three Point Jumper. Assisted by Josip Vrankic.,37,37
16:14,2541,Foul on Josip Vrankic.,37,37
16:14,2492,Nolan Taylor missed Free Throw.,37,37
16:14,2492,Pepperdine Deadball Team Rebound.,37,37
16:14,2492,Nolan Taylor made Free Throw.,38,37
16:00,2541,Matt Hauser missed Three Point Jumper.,38,37
16:00,2492,Matthew Atewe Defensive Rebound.,38,37
15:47,2492,Eric Cooper Jr. missed Jumper.,38,37
15:47,2541,KJ Feagin Defensive Rebound.,38,37
15:39,2541,Matt Hauser made Three Point Jumper. Assisted by KJ Feagin.,38,40
15:22,2492,Colbey Ross made Layup.,40,40
14:59,2541,Matt Hauser missed Three Point Jumper.,40,40
14:59,2492,Trae Berhow Defensive Rebound.,40,40
14:49,2492,Colbey Ross made Jumper.,42,40
14:28,2541,Josip Vrankic missed Jumper.,42,40
14:28,2492,Colbey Ross Defensive Rebound.,42,40
14:13,2492,Colbey Ross made Layup.,44,40
14:12,2541,Foul on Henry Caruso.,44,40
14:12,2541,Official TV Timeout,44,40
14:12,2492,Colbey Ross made Free Throw.,45,40
13:51,2541,Henry Caruso missed Jumper.,45,40
13:51,2492,Trae Berhow Defensive Rebound.,45,40
13:32,2492,Jade' Smith missed Layup.,45,40
13:32,2541,Matt Hauser Defensive Rebound.,45,40
13:21,2541,Josip Vrankic Turnover.,45,40
13:20,2492,Colbey Ross Steal.,45,40
13:15,2492,Colbey Ross Turnover.,45,40
13:15,2541,Matt Hauser Steal.,45,40
13:15,2541,Kai Healy made Layup. Assisted by Matt Hauser.,45,42
12:44,2492,Harrison Meads made Layup. Assisted by Eric Cooper Jr..,47,42
12:22,2492,Foul on Harrison Meads.,47,42
12:22,2541,Emmanuel Ndumanya made Free Throw.,47,43
12:22,2541,Emmanuel Ndumanya missed Free Throw.,47,43
12:22,2492,Colbey Ross Defensive Rebound.,47,43
12:08,2492,Knox Hellums Turnover.,47,43
12:07,2541,Emmanuel Ndumanya Steal.,47,43
11:51,2541,Kai Healy Turnover.,47,43
11:49,2492,Elijah Lee Steal.,47,43
11:47,2492,Elijah Lee Turnover.,47,43
11:46,2541,Henry Caruso Steal.,47,43
11:36,2541,KJ Feagin missed Jumper.,47,43
11:36,2541,Henry Caruso Offensive Rebound.,47,43
11:31,2541,Henry Caruso made Layup.,47,45
11:13,2492,Colbey Ross made Layup.,49,45
11:00,2541,Henry Caruso missed Jumper.,49,45
