Benedictine (AZ),3084,Utah Valley,110031
8:48,-1,Carter Aby missed Three Point Jumper.,11,25
8:48,-1,Benedictine (AZ) Offensive Rebound.,11,25
8:39,-1,Monnard Brown missed Layup.,11,25
8:39,3084,Jordan Poydras Defensive Rebound.,11,25
8:34,-1,Foul on Richie Thornton V.,11,25
8:34,3084,Jordan Poydras missed Free Throw.,11,25
8:34,3084,Utah Valley Deadball Team Rebound.,11,25
8:34,3084,Jordan Poydras made Free Throw.,11,26
8:18,-1,Devin White made Layup.,13,26
8:06,3084,Telly Davenport missed Three Point Jumper.,13,26
8:06,-1,Monnard Brown Defensive Rebound.,13,26
7:48,-1,Monnard Brown made Layup. Assisted by Carter Aby.,15,26
7:35,3084,Jordan Poydras missed Three Point Jumper.,15,26
7:35,-1,Monnard Brown Defensive Rebound.,15,26
7:32,3084,Foul on Joonas Tahvanainen.,15,26
7:32,3084,Official TV Timeout,15,26
7:32,-1,Joe Baldi made Free Throw.,16,26
7:32,-1,Joe Baldi made Free Throw.,17,26
7:13,3084,Telly Davenport missed Three Point Jumper.,17,26
7:13,-1,Joe Baldi Defensive Rebound.,17,26
7:03,-1,Joe Baldi Turnover.,17,26
7:02,3084,Telly Davenport Steal.,17,26
6:55,3084,Jordan Poydras missed Three Point Jumper.,17,26
6:55,3084,Utah Valley Offensive Rebound.,17,26
6:42,-1,Foul on Devin White.,17,26
6:42,3084,Hayden Schenck missed Free Throw.,17,26
6:42,3084,Utah Valley Deadball Team Rebound.,17,26
6:42,3084,Hayden Schenck made Free Throw.,17,27
6:26,-1,Carter Aby made Jumper.,19,27
6:06,3084,Telly Davenport Turnover.,19,27
5:55,-1,Monnard Brown made Layup.,21,27
5:41,3084,Hayden Schenck made Three Point Jumper. Assisted by Jordan Poydras.,21,30
5:20,-1,Carter Aby missed Jumper.,21,30
5:20,3084,Zach Nelson Defensive Rebound.,21,30
5:10,3084,Ivory Young Turnover.,21,30
5:09,-1,Joe Baldi Steal.,21,30
5:05,-1,Joe Baldi made Jumper.,23,30
4:51,3084,Ivory Young missed Three Point Jumper.,23,30
4:51,-1,Carter Aby Defensive Rebound.,23,30
4:33,-1,Joe Baldi Turnover.,23,30
4:32,3084,Hayden Schenck Steal.,23,30
4:28,3084,Telly Davenport made Dunk. Assisted by Jordan Poydras.,23,32
4:14,-1,Monnard Brown Turnover.,23,32
4:04,3084,Telly Davenport Turnover.,23,32
4:03,-1,Jorge Cano Steal.,23,32
3:52,-1,Carter Aby Turnover.,23,32
3:51,3084,Hayden Schenck Steal.,23,32
3:48,3084,Hayden Schenck made Layup.,23,34
3:32,-1,Devin White missed Three Point Jumper.,23,34
3:32,-1,Jorge Cano Offensive Rebound.,23,34
3:31,3084,Foul on Zach Nelson.,23,34
3:29,3084,Official TV Timeout,23,34
3:29,-1,Jorge Cano missed Free Throw.,23,34
3:29,3084,Joonas Tahvanainen Defensive Rebound.,23,34
3:21,3084,Jordan Poydras missed Three Point Jumper.,23,34
3:21,3084,Joonas Tahvanainen Offensive Rebound.,23,34
3:08,-1,Foul on Troy Conley.,23,34
3:08,3084,Ivory Young made Free Throw.,23,35
3:08,3084,Ivory Young made Free Throw.,23,36
2:58,-1,Nate Mcanally missed Jumper.,23,36
2:58,3084,Joonas Tahvanainen Defensive Rebound.,23,36
2:48,-1,Foul on Matt Drannbauer.,23,36
2:48,3084,Telly Davenport missed Free Throw.,23,36
2:48,3084,Utah Valley Deadball Team Rebound.,23,36
2:48,3084,Telly Davenport made Free Throw.,23,37
2:32,-1,Jorge Cano made Layup. Assisted by Troy Conley.,25,37
2:18,3084,Ivory Young Turnover.,25,37
2:17,-1,Richie Thornton V Steal.,25,37
2:12,-1,Richie Thornton V Turnover.,25,37
2:11,3084,Jordan Poydras Steal.,25,37
2:06,3084,Ivory Young made Three Point Jumper. Assisted by Telly Davenport.,25,40
1:48,-1,Jorge Cano made Layup.,27,40
1:30,3084,Telly Davenport missed Three Point Jumper.,27,40
1:30,-1,Richie Thornton V Defensive Rebound.,27,40
1:21,-1,Richie Thornton V missed Layup.,27,40
1:21,3084,Joonas Tahvanainen Defensive Rebound.,27,40
1:15,3084,Ivory Young missed Three Point Jumper.,27,40
1:15,3084,Joonas Tahvanainen Offensive Rebound.,27,40
1:12,3084,Jordan Poydras made Three Point Jumper. Assisted by Joonas Tahvanainen.,27,43
0:55,-1,Troy Conley missed Three Point Jumper.,27,43
0:55,-1,Richie Thornton V Offensive Rebound.,27,43
0:52,-1,Richie Thornton V missed Layup.,27,43
0:52,3084,Telly Davenport Defensive Rebound.,27,43
0:47,3084,Telly Davenport Turnover.,27,43
0:27,-1,Troy Conley made Three Point Jumper. Assisted by Joe Baldi.,30,43
0:05,3084,Jordan Poydras missed Three Point Jumper.,30,43
