Chicago State,2473,Oakland,2130
16:38,2473,Martez Walker made Layup. Assisted by Stevie Clark.,9,8
16:32,2473,Foul on Stevie Clark.,9,8
16:32,2130,Glen Burns missed Free Throw.,9,8
16:32,2130,Chicago St Deadball Team Rebound.,9,8
16:32,2130,Glen Burns missed Free Throw.,9,8
16:32,2473,Jalen Hayes Defensive Rebound.,9,8
16:24,2130,Foul on Trayvon Palmer.,9,8
16:24,2473,Martez Walker missed Free Throw.,9,8
16:24,2473,Oakland Deadball Team Rebound.,9,8
16:24,2473,Martez Walker made Free Throw.,9,9
16:09,2130,Fred Sims Jr. missed Jumper.,9,9
16:09,2473,Martez Walker Defensive Rebound.,9,9
16:01,2473,Martez Walker Turnover.,9,9
15:59,2130,Fred Sims Jr. Steal.,9,9
15:57,2130,Deionte Simmons made Layup. Assisted by Fred Sims Jr..,11,9
15:42,2473,Stevie Clark made Three Point Jumper. Assisted by Sherron Dorsey-Walker.,11,12
15:40,2473,Foul on Xavier Hill-Mais.,11,12
15:40,2473,Official TV Timeout,11,12
15:28,2130,Foul on Deionte Simmons.,11,12
15:28,2130,Deionte Simmons Turnover.,11,12
15:13,2473,Brailen Neely made Three Point Jumper. Assisted by Nick Daniels.,11,15
14:41,2130,Trayvon Palmer missed Three Point Jumper.,11,15
14:41,2473,Brailen Neely Defensive Rebound.,11,15
14:13,2473,Sherron Dorsey-Walker missed Layup.,11,15
14:13,2473,Oakland Offensive Rebound.,11,15
14:11,2473,Oakland  Timeout,11,15
14:10,2473,Sherron Dorsey-Walker missed Three Point Jumper.,11,15
14:10,2130,Deionte Simmons Defensive Rebound.,11,15
13:59,2130,Deionte Simmons missed Jumper.,11,15
13:59,2473,Jalen Hayes Defensive Rebound.,11,15
13:41,2473,Jalen Hayes missed Jumper.,11,15
13:41,2130,Clemmye Owens V Defensive Rebound.,11,15
13:19,2130,Clemmye Owens V missed Three Point Jumper.,11,15
13:19,2473,Sherron Dorsey-Walker Block.,11,15
13:16,2473,Xavier Hill-Mais Defensive Rebound.,11,15
13:08,2473,Jalen Hayes made Dunk. Assisted by Xavier Hill-Mais.,11,17
12:41,2130,Glen Burns missed Three Point Jumper.,11,17
12:41,2473,Jalen Hayes Defensive Rebound.,11,17
12:33,2473,Stevie Clark missed Three Point Jumper.,11,17
12:33,2130,Chicago St Defensive Rebound.,11,17
12:18,2130,Fred Sims Jr. made Jumper.,13,17
12:14,2130,Foul on Fred Sims Jr..,13,17
12:00,2473,Martez Walker missed Layup.,13,17
12:00,2130,Glen Burns Defensive Rebound.,13,17
11:31,2130,Trayvon Palmer missed Three Point Jumper.,13,17
11:31,2473,Stevie Clark Defensive Rebound.,13,17
11:25,2473,Martez Walker made Dunk. Assisted by Stevie Clark.,13,19
11:22,2130,Chicago St  Timeout,13,19
11:10,2130,Brian Greene Jr. missed Jumper.,13,19
11:10,2473,Stevie Clark Defensive Rebound.,13,19
10:59,2473,Xavier Hill-Mais Turnover.,13,19
10:49,2130,Glen Burns missed Jumper.,13,19
10:49,2473,Stevie Clark Defensive Rebound.,13,19
10:44,2130,Foul on Trayvon Palmer.,13,19
10:44,2473,Nick Daniels made Free Throw.,13,20
10:44,2473,Nick Daniels made Free Throw.,13,21
10:24,2473,Foul on Stevie Clark.,13,21
10:24,2130,Patrick Szpir made Free Throw.,14,21
10:24,2130,Patrick Szpir missed Free Throw.,14,21
10:24,2473,Oakland Defensive Rebound.,14,21
10:22,2473,Stevie Clark Turnover.,14,21
10:20,2130,Joshua Batson Steal.,14,21
10:13,2130,Delundre Dixon made Layup.,16,21
9:58,2130,Foul on Patrick Szpir.,16,21
9:40,2130,Foul on Delundre Dixon.,16,21
9:40,2473,Jalen Hayes made Free Throw.,16,22
9:40,2473,Jalen Hayes missed Free Throw.,16,22
9:40,2130,Patrick Szpir Defensive Rebound.,16,22
9:20,2130,Foul on Clemmye Owens V.,16,22
9:20,2130,Clemmye Owens V Turnover.,16,22
9:13,2473,Martez Walker missed Three Point Jumper.,16,22
9:13,2130,Patrick Szpir Defensive Rebound.,16,22
8:59,2130,Clemmye Owens V made Layup.,18,22
8:50,2130,Foul on Brian Greene Jr..,18,22
8:50,2473,Stevie Clark made Free Throw.,18,23
8:50,2473,Stevie Clark made Free Throw.,18,24
8:34,2130,Clemmye Owens V missed Three Point Jumper.,18,24
